Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Absol, Tier 3","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Genesect (Shock),Fury Cutter,X-Scissor,50,1.2033351379759354,1.207933015417143,0.9954800111946,1.2346282142338982,1.2362830955168587,1.0324089968182417,1.237327172268635,1.2634964549459928,1.0295979564203046,1.2726205569337417,1.2772972141362533,1.0757450421188788,1.2378821323085794,1.2614410153086775,1.0229417604446982,1.2901412227451807,1.3157732893000125,1.0701860280909412,1.295955127748986,1.358241374524773,1.0592727998700402,1.2572902640559862,1.3409276305358058,1.064736078372378,1.2734523249011969,1.3088987222299202,1.066238331119441,1.320550787326902,1.395820984753919,1.081553629118203
Yanmega,Bug Bite,Bug Buzz,50,1.2155230626915394,1.1908181226470957,1.0188471360304108,1.2219582238162883,1.2201014248743998,1.0120443619950268,1.2130326679337173,1.209455288348308,1.0441165302557653,1.2850749818966274,1.2709356722378617,1.1526198975476947,1.2536176928339111,1.2419455961495662,1.0534367925897714,1.2756336223421423,1.275671116262668,1.0655507563484925,1.231450162273018,1.2750967782539249,1.04570123275854,1.2282200163579657,1.2931756263618042,1.0310120335696102,1.250002629828274,1.2577795761369746,1.0317874295901264,1.2749058178244335,1.3552832232923249,1.0623030558964703
Genesect (Douse),Fury Cutter,X-Scissor,30,1.355272054768084,1.341290822101644,1.1819279582637974,1.57251764644355,1.481328310310854,1.2875744512057279,1.4515897083540856,1.4338223875979563,1.3404436046534667,1.517346307992031,1.5134095564920271,1.2857528222925785,1.437425792022283,1.426648210994385,1.3057309576207512,1.5421015867325292,1.5396007887409808,1.2682141224871237,1.4984467758794227,1.5046254956677245,1.2776213197713655,1.4770598250422402,1.549662577852047,1.2355338009202386,1.4880181094206857,1.5252396408343771,1.2827558714090148,1.4702344868025086,1.5478811055153776,1.2840287932557184
Scizor,Fury Cutter,X-Scissor,40,1.3211182440287457,1.3156596749079668,1.150321729024457,1.5340752129045103,1.4551420150686458,1.2634250464779657,1.4167437752397105,1.4052637823881575,1.28557264496064,1.4802615272062973,1.4755041123983004,1.2576894816794717,1.4000738344368482,1.399311040120602,1.2803548487734018,1.4439559899771417,1.4536987619720048,1.2440289270579803,1.4633987778921398,1.4838554215571296,1.2499596565163487,1.4517396607614743,1.5341295546986493,1.213602474914585,1.4595751866089868,1.4901475448527792,1.2095275474209424,1.4432125589719456,1.5259943553751236,1.2594895464059563
Shadow Hitmonchan,Counter,Close Combat,50,1.4925091605937268,1.3039296463553283,1.4965409434298846,1.342983240096229,1.2609227436676935,1.344634905458251,1.4850115860693742,1.3056033990868676,1.4811922468126109,1.3430621681802979,1.2984865080863492,1.3460353541435817,1.427630614300899,1.314189978737356,1.4241922761513666,1.3310427050439642,1.2873927168380501,1.3543174825292834,1.3099483034758257,1.3091380526346448,1.3325744660021237,1.305282435337565,1.3212925399252435,1.3034284538312195,1.3132615166527979,1.3169147713161788,1.3819947084227775,1.2756482621795024,1.338101118024304,1.2719605138474113
Genesect (Shock),Fury Cutter,X-Scissor,45,1.2229214594140567,1.2272111203964258,1.0203483393430721,1.2755100556048546,1.2753382410747123,1.0626801442925733,1.2734070997069167,1.2932606505182782,1.0911461263770326,1.3170453699109457,1.3143598920055735,1.1085881648453484,1.2700599522998404,1.2891793709109205,1.0619239348174672,1.324896359650367,1.3542116004064049,1.0948574042863588,1.3256182120167639,1.3789877804582928,1.1345546240778825,1.2788633905168758,1.355649882517635,1.0829563128945643,1.315197977099818,1.3397427991674506,1.0913459666656269,1.3396068591070116,1.417556024518894,1.1085266100622562
Yanmega,Bug Bite,Bug Buzz,40,1.3016540519715707,1.2726940780068485,1.100946075427533,1.3314261692034133,1.2841050524332185,1.1169485465302638,1.3318429318910292,1.3264247885836462,1.2309356965055192,1.4076141850277963,1.3601851864826493,1.3171763085395807,1.3353564380200063,1.3260249282269212,1.1582751582436597,1.3827120072475547,1.3789019339532518,1.1724266342194765,1.3612246790848777,1.3754902693822777,1.1525647236271575,1.3221793888762312,1.3555655588351092,1.1344796367940733,1.3557072472747118,1.343710454335178,1.1490920381858318,1.341788491762876,1.4090678602381592,1.120980096472815
Shadow Hitmonchan,Counter,Close Combat,45,1.5353257008998054,1.3291312043416819,1.5391056141416566,1.466132767556187,1.2864767677653801,1.4677083579360073,1.5678494602201176,1.3666622143749365,1.5541496334948024,1.3975256313852742,1.3716628396806467,1.437266331391511,1.4611721246218976,1.3428333495231635,1.4439398308078297,1.3957108593754965,1.3363220838062426,1.407686103112002,1.3856556745914588,1.366596567622518,1.386426100650921,1.3637493068935147,1.3773244874544488,1.3600448660002418,1.3866712081080446,1.356182792773643,1.4677770768932767,1.2948074720419005,1.3511122493204564,1.2923925924880766
Zapdos (Galarian),Counter,Close Combat,40,1.2464586040148877,1.2101911182386877,1.2482945949381468,1.178210944169082,1.1718241251851527,1.1783139590791458,1.1904655452525543,1.1987784379614295,1.2197535361383192,1.2112461648069064,1.2318836393551733,1.2259089117134696,1.2302276833468908,1.2251995846298962,1.2376123018039875,1.228067855890555,1.2489910359410785,1.2217473287574803,1.2245613203277212,1.2493579622744626,1.2250947572375057,1.2461078249621844,1.274764720869032,1.2479534155369763,1.2220925646351333,1.2457259547243926,1.2389099839405153,1.2376055932306456,1.315161135772545,1.2376055932306456
Blaziken,Counter,Focus Blast,35,1.6197598306140262,1.327326724935081,1.619267796974681,1.5222733629802583,1.2851684678635655,1.5217816961167703,1.6118248707120058,1.4217303653554803,1.6007806390463508,1.380698199931613,1.3543378282187246,1.4196092474054787,1.505582554514389,1.3933260159705882,1.495517913404746,1.393404750725556,1.325001577380088,1.4034301334232124,1.450687314640904,1.4266016785655609,1.6906204820101107,1.3345549770002494,1.3310320288487272,1.3221315294888516,1.5677878440752449,1.4435787573716805,1.5642593400013685,1.3167909921746164,1.375696322528017,1.3167909921746164
Conkeldurr,Counter,Dynamic Punch,50,1.008214313563447,1.0144150501139935,1.007784590832748,0.9885845877885262,0.9994970510532195,0.9896454199381194,1.00884014270384,1.035815618641728,1.0126228022770907,1.0147901030648947,1.0413373977670712,1.0200173899189497,1.033788726459491,1.0566406168259252,1.0366270496747312,1.024471327415672,1.0829633936865861,1.025945217196435,1.053746242100554,1.1045573228648269,1.05432709220922,1.0560881149747403,1.110274119717212,1.0547875413022887,1.034601859717826,1.0576948049828172,1.036419554701758,1.0742862651165654,1.1340298109014455,1.0742862651165654
Scizor,Fury Cutter,X-Scissor,45,1.2950056115424016,1.295670869507783,1.0572162797396616,1.3716130553315542,1.33925013580676,1.192532336348637,1.3610125144931797,1.3726658533315048,1.210702841764909,1.4582303923931281,1.4449326856473788,1.182649260849128,1.3357030692614154,1.3472865440630275,1.2253653743657789,1.408029527935152,1.415594596330995,1.207270024682427,1.4177895090651425,1.4563141739952206,1.2010488498879681,1.412192744545879,1.492704872311465,1.1831896160129471,1.4212450465521922,1.4500093222878128,1.1818931305499956,1.4183228174527116,1.4984582355071954,1.2329503447571455
Zapdos (Galarian),Counter,Close Combat,50,1.1588804438815494,1.1125995950859127,1.1643537450814438,1.103141648980859,1.0908182399443953,1.1028702990616681,1.123555163245807,1.1179345219023589,1.12452884636773,1.1469186802771631,1.1549479744673243,1.1484840611665956,1.1255498943769597,1.131711942022639,1.1350596024379753,1.1495312695200095,1.165395649336569,1.1458680271135302,1.151422810927997,1.1915240415656223,1.16650416567601,1.1378737168116126,1.1800554476900729,1.141262410058278,1.1350606649995367,1.1814935780198106,1.1406369286894555,1.1622295481615512,1.2308172843942717,1.1622295481615512
Shadow Venomoth,Bug Bite,Bug Buzz,50,1.5187321278961667,1.3258559649520723,1.277176324204726,1.3664947326378227,1.3218865878593817,1.1494525975362462,1.5019156835535463,1.378157402761405,1.244798816786816,1.5062171194331884,1.404202245598142,1.3255757472629863,1.4440440184230723,1.349409724662016,1.2049399026892078,1.3848731453105125,1.347870056303112,1.1612698564137869,1.426593148800446,1.3930079671079962,1.1858522088326258,1.3356524486924057,1.3527179252860266,1.107302673311428,1.4257920498658967,1.3883330479818516,1.1894388333380488,1.3948402989206339,1.418970989105447,1.1577924005213844
Shadow Hitmonlee,Rock Smash or Low Kick,Close Combat,40,1.7049664375642917,1.3886883713958036,1.7144414343330259,1.508320061948127,1.319401682654187,1.5089867065426805,1.60214087319879,1.4546929872501164,1.5784240329681392,1.4318643363177646,1.4356860786235106,1.5829508572587048,1.4912407878580822,1.422723884243521,1.4821607527529501,1.429232594676523,1.3832438318237545,1.430795247383138,1.4444332101717219,1.4219848471412302,1.4460168840168648,1.3575839404448555,1.407396861000158,1.357149393782129,1.5531406074262482,1.4548502618099843,1.5505657939505968,1.3372209481186728,1.3928651921583592,1.3514634931769665
Heracross,Counter,Megahorn,35,1.4084207228991166,1.3050603223005046,1.3058287048196955,1.3810107143941668,1.3048441048057038,1.2769215812967945,1.3064987667596084,1.3045401791976703,1.3552307303463846,1.3983125851018463,1.371228977409894,1.3050025853273703,1.327215192801054,1.3203591484398913,1.3205157602674544,1.3176333686768347,1.3142434133225047,1.237168181848482,1.34585688560294,1.3429724033665986,1.2569252471364964,1.3450451953184073,1.3672819926693092,1.2381986779082497,1.3332778953442002,1.3451872389366448,1.2354351344090115,1.3288691358789293,1.3806169829963262,1.220347845044646
Conkeldurr,Counter,Dynamic Punch,40,1.084158626482421,1.099330042011795,1.0847267239381064,1.0670793659764422,1.082935806843986,1.0680099796880327,1.071271535594249,1.1058583263939417,1.087730205194542,1.1074297049924275,1.1386581779482006,1.1042067111275466,1.1055687068863167,1.1232065908248376,1.1108543744223882,1.0857845842051554,1.128777044649457,1.1032557102875544,1.1246527962952233,1.161300528676379,1.1217594000701132,1.1422839697178118,1.187511422285067,1.139973521534953,1.1101083102331635,1.153302121201349,1.1057141694663757,1.1442206275914848,1.2116330391983399,1.1442206275914848
Genesect (Shock),Fury Cutter,X-Scissor,35,1.303474420659876,1.3002138243337986,1.0764507670828918,1.3988307122347552,1.3426418779966058,1.221727837349052,1.380554556838764,1.381932558078182,1.2601548399292415,1.4617453113197099,1.4549699478331515,1.2062489492191577,1.3686790001601359,1.3754299758268578,1.2549289589513277,1.4238463593480681,1.4313465386788544,1.2218540081521483,1.4341277554407224,1.4613434503007472,1.2287975782229412,1.4227332048616106,1.5010641047902626,1.1879468598368228,1.4376362220818033,1.4610391848040178,1.1945285485693613,1.4226868319514787,1.5042862863435316,1.2381201723479809
Durant,Bug Bite,X-Scissor,35,1.550421097120631,1.533553801196868,1.2868636231407762,1.7065429967575083,1.5845048599418983,1.445838672113558,1.74015396840687,1.6164175458072614,1.4722403234161545,1.6647029617881557,1.6255809319303411,1.3950116890321653,1.6987349391442266,1.6088103808163798,1.4246432418545512,1.6131255474738033,1.5847124418935585,1.3953139951960387,1.694534587582783,1.6668009592374053,1.4063230265082047,1.588460525732677,1.6422827991310642,1.361453092216773,1.6156265363335862,1.642975631950757,1.4137847980690894,1.6474001149502646,1.7196708172044812,1.3888780187399148
Shadow Hariyama,Counter,Dynamic Punch,30,1.2762485592827766,1.1585698685097403,1.27866275093048,1.1994173594779622,1.145839484001795,1.198564771389143,1.284978733322886,1.223321213959128,1.2919273007737673,1.1717837341729833,1.1909236435980872,1.1937854557152074,1.2158440654286473,1.2092930947400231,1.2170420394457688,1.1587570329060866,1.1629174628588168,1.1676415196735561,1.1783440175685498,1.214937286246776,1.1899310502968743,1.1557159450468986,1.2002565636093836,1.156945434062164,1.163825363925914,1.1987326766863726,1.2144688436082838,1.1929101683535654,1.2798211091189675,1.1929101683535654
Yanmega,Bug Bite,Bug Buzz,35,1.3767706534847644,1.3180503664415522,1.1583778618955265,1.374413647988879,1.3279671035539198,1.1552762613158243,1.3974766551873752,1.370042285783898,1.308529357779302,1.5744670123622722,1.4140979274999488,1.3724527016756947,1.4808453749326065,1.4400801165315347,1.2768951444533014,1.4273853602340807,1.4143722679461284,1.2163864953940833,1.422757905132721,1.4064384472938132,1.2376379881619155,1.4159506387809009,1.4314742765219683,1.1565675520853609,1.4064867525574625,1.4043349484710843,1.2258601714865676,1.392974698330474,1.448728323677769,1.168630102759743
Shadow Machamp,Counter,Dynamic Punch,30,1.2200993538536804,1.0936362492108769,1.2251361671385086,1.1562586988025387,1.061064381261029,1.1587005317551633,1.1865256937150344,1.131208569739329,1.1862879420379646,1.1027323461349494,1.1097198817557425,1.1387318895881067,1.158207021452296,1.1481561839167655,1.1598255639402477,1.1197460813371807,1.1056466840901555,1.1236217080896975,1.1130731406610523,1.1112101554307632,1.1092483094543457,1.094228317413319,1.134044903666201,1.092250357303476,1.1118741038935724,1.1318743106524851,1.1292738941360512,1.0854421595765895,1.142479816589024,1.0854421595765895
Zapdos (Galarian),Counter,Close Combat,45,1.1744762412065957,1.1345243114021488,1.1791266823500257,1.113401596615122,1.1074689605637416,1.113459272311954,1.173047604910762,1.1747998838640332,1.1802308849317302,1.1671529087953558,1.186195219038712,1.1662679725330547,1.198668748069427,1.2006136569772183,1.2024939534104409,1.1830868888720723,1.2032483421674367,1.1755664012571025,1.2024191643381432,1.2336236194267785,1.20042707996017,1.1956053977350245,1.2295691952783792,1.1978361424272992,1.182231441332098,1.211339620013392,1.1891060844916062,1.1758146441342838,1.241674715224642,1.1758146441342838
Golisopod,Fury Cutter,X-Scissor,30,1.6568625496128357,1.6076886943443416,1.3634123518736179,1.6224111309244647,1.6085317433539041,1.346307500666381,1.6371167865810616,1.6220927274321848,1.368883918468381,1.772475698226767,1.7642078591043777,1.583667747902913,1.6993598445658815,1.693122464648716,1.3571077870440387,1.7096500470711478,1.6868379751272018,1.4499217976033878,1.6604756773363527,1.7463877597409534,1.4141714670289232,1.6841161095257315,1.7783317058724482,1.411171019139549,1.646268116494017,1.7015922975413098,1.4306602247360558,1.7409371156124211,1.8456055372913467,1.4209883000708856
Golisopod,Waterfall,X-Scissor,30,1.9309220376592888,1.9324139388434456,1.627253963596899,1.9513036289084513,1.9463812137918937,1.6466818444076297,2.276326197030893,2.3086548144533428,1.8978374497862087,2.0628921565659555,2.0679897077611087,1.9005508623138216,2.362625912642025,2.407192366975947,1.9529773905532597,2.0499704710461115,2.0294345879135767,1.7454839591462874,2.339052361538475,2.47095461288929,1.9698309123913205,1.958479681711455,2.056850612391939,1.6524222143552345,2.2993152048086074,2.395762977870025,1.9726138147357921,2.0282815609711515,2.1286611365841646,1.7018360451614944
Golisopod,Metal Claw,X-Scissor,30,1.9613616286576059,1.9494241492869677,1.7232600746947566,1.9613512730407556,1.9557556233277213,1.7191469817158551,2.1761968561443505,2.2033581734742604,1.859753114403781,2.0757289011733397,2.0826606507251935,1.9550058650723239,2.156181053258227,2.1876723657071935,1.8413757875471348,2.012158306197856,2.017760469302522,1.7875689471230967,2.230970439830038,2.3712428113675488,1.951231221645255,1.9853178173061325,2.104366903903509,1.7433844704326673,2.1615236596279157,2.2571060378197116,1.9019986634426782,2.085107148105912,2.2012748416374683,1.8293058494900722
Shadow Gardevoir,Charm,Dazzling Gleam,30,1.2230552053286865,1.1795297449133826,1.2251650972032373,1.5137957736261587,1.2470492607388564,1.523199126450433,1.4363278975281388,1.2986398698785304,1.4446319066935245,1.3746903575736318,1.307834640467907,1.582789447803315,1.2918936088056816,1.2276460478715292,1.3060425659640131,1.2439915881625248,1.2355976450097308,1.2428394418415365,1.2570596677817862,1.2716296784801098,1.2618947958750364,1.2159034962484145,1.2043787900206258,1.219054011349056,1.2560984810837357,1.2587140417836788,1.316599736025697,1.24983140170023,1.271115930326105,1.24983140170023
Gardevoir,Charm,Dazzling Gleam,30,1.3732478172488702,1.360750874934173,1.3719446736101197,1.5770358572021446,1.4590358099650107,1.5719960346113229,1.6313491459706113,1.5003873634071907,1.6973228985828845,1.4867105025312204,1.478439622935879,1.5584149015112816,1.4965096414661128,1.4233496707443745,1.5471045865238495,1.4654928256944395,1.4387936551427893,1.476153811179509,1.4583633924305173,1.4678745031796046,1.4814943672043903,1.4089685549943622,1.441079800597488,1.4158254999498305,1.4684584140116281,1.4517503895168635,1.4977355062606839,1.4501096997121,1.508077797080443,1.448314397839045
Shadow Hitmonchan,Counter,Close Combat,35,1.7369561014307655,1.4535169077980143,1.7436816738632799,1.6170541447210816,1.4269322201958992,1.6164289907786367,1.661809530819508,1.4768263358537934,1.641342664841192,1.5660117214726899,1.5177945794606853,1.697948418402814,1.6029066362224431,1.476492990537723,1.5869374428629315,1.4991957188630984,1.436693508371697,1.5133692845329472,1.485706611121246,1.4631758129058268,1.4937194033098873,1.4371102891405205,1.4701537775984213,1.4378769302276224,1.6002353907900633,1.4953638243482679,1.6062060078094411,1.4120442554772754,1.4629729914326717,1.409974876012667
Tapu Bulu,Bullet Seed or Rock Smash,Dazzling Gleam,45,1.3089381971923062,1.331941203782664,1.3092463246355615,1.2429468000215944,1.296559470707916,1.2679900198902074,1.2062660962356369,1.2300330817315108,1.246071150614203,1.3079917668222691,1.3616903527881916,1.3408226615596945,1.191199399162725,1.2145615812317205,1.2088554920713517,1.269798301532044,1.3336525520991092,1.3183340819936897,1.2133190322727891,1.2594303853594189,1.2203115377598872,1.350875131688419,1.3906371665270283,1.3538020129243964,1.2413158233925825,1.2916403683839262,1.2450352771814817,1.3892406252665077,1.4617822834996175,1.3892406252665077
Mega Lopunny,Low Kick,Focus Blast,45,1.1548185737780743,1.0670617148602972,1.1531348440108713,1.3583055217678837,1.1092456250822433,1.373082151280295,1.137164401205277,1.1356890316536667,1.1565579948636053,1.1534116102654088,1.1520847346498615,1.1839616215111928,1.174633494915916,1.1676823674245635,1.1979310645103427,1.131046168746959,1.1553150334210796,1.1564843653784103,1.1640084409326061,1.1962814988472523,1.1969385981400193,1.1803043786594951,1.2098955271010203,1.1826087770842957,1.178850751743969,1.201939041910636,1.181595597220096,1.1704603666945905,1.2296563316730933,1.1704603666945905
Shadow Scizor,Fury Cutter,X-Scissor,30,1.2936522186066073,1.273629097698876,1.0671734294179414,1.457306277140264,1.2792055705233536,1.219729221565776,1.4884238018791196,1.3467958058032614,1.2380241797663574,1.4510686244527577,1.3548915908793533,1.2668958090464542,1.4100696045224619,1.3410689884278322,1.156290600771928,1.3874562173214073,1.3707246715555816,1.147269896676012,1.3831309025398262,1.3916428973106958,1.1721199786002794,1.3149122206003667,1.3541148600020723,1.1130747640495944,1.4178531726369208,1.3659325032507095,1.1963618713833815,1.4448146954535959,1.424882699161073,1.1940135959966443
