Attacker,Fast Move,Charged Move,Level,"Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Mew, Tier 5","Mew, Tier 5","Mew, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Azelf, Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Latias, Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Uxie, Tier 5","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Alakazam, Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3"
(Boss weights),,,,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,1.7857142857142858,0.0,0.0,1.7857142857142858,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,1.7857142857142858,0.0,0.0,1.7857142857142858,0.0,0.0,3.5714285714285716,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Genesect,Fury Cutter or Metal Claw,X-Scissor,45,1.2788089114898744,1.2849616569153306,1.0673570480544132,1.2430236514205781,1.2683220669198874,1.0795283017646202,1.6222134195091438,1.7348622617589635,1.350098335464133,1.6269580332230535,1.7646446804967673,1.352629498392391,1.5214802226207533,1.5242454488984183,1.3216192979731693,1.630084240449359,1.707250138162759,1.3593438330895227,1.6218860107728224,1.6637667987444074,1.351902665077446,1.4373835818218688,1.3372538955694613,1.2200294370722407,1.4630697651500533,1.5095450491372107,1.209355127420526,1.3741657085270025,1.3626887202880709,1.1932372187679459,1.3018783070424107,1.2320676196049158,1.1946099645663566,1.5438086231589934,1.594939737303935,1.2499493997177773,1.5314260387874865,1.57380939331646,1.2869041022212802,1.4274705329786392,1.4602326972807207,1.1940313453124787,1.3810020707244814,1.4017207222694366,1.2100366997085408,1.242367702039925,1.2539664544891862,1.0888090090930298,1.419460812645001,1.418912703401489,1.1825097358030323,1.4443106109386035,1.4654919003919074,1.2551706366138418,1.4585359276856698,1.4849280222594798,1.2956847297504437,1.2381923099332108,1.1947730914645578,1.0822268225274383,1.4636392756963656,1.494640178359446,1.2847341280910975,1.5666078164099377,1.2826345088494842,1.2500599657477922,1.4394347931365328,1.442644522889253,1.1667861064941012,1.226348904862949,1.2352003198805817,1.0088021656059154,1.5065967551889785,1.5055377503852083,1.255795703797698,1.4874040363165903,1.5619537835481057,1.2230484534672312,1.354654741670259,1.4243640282623213,1.140388763828517,1.4342756699452939,1.5085781540888907,1.211055420180457,1.367736727797717,1.4494138844985098,1.1458015959309853,1.5019680004406457,1.5745090001846287,1.253502790667647,1.4177638160413117,1.5427124254843407,1.2590396619683,1.512308104604022,1.567044472359122,1.2395066063253595,1.505797062219177,1.5735194770545835,1.2660557320268142,1.4889352649232457,1.575340592299989,1.2369723344430241,1.546343593902021,1.5398914250960414,1.2908985586188406,1.4814031678081268,1.5315713718715964,1.2439354067127415,1.6302755309211336,1.7473040339900079,1.3595105848706444
Hydreigon,Bite or Dragon Breath,Brutal Swing,50,1.0419165366423786,1.0341136344303539,1.0416058300599063,1.0265389574193768,1.0588268105057648,1.0274016294010748,1.3036084057875406,1.401361606422921,1.305512803730437,1.3012925856622677,1.405229523466457,1.3021678988894563,1.2075709340653837,1.2441320971636394,1.2112791300558055,1.298611113667295,1.3468549650656376,1.2971970573080795,1.2351836584980593,1.2998147283701642,1.2360950691173076,1.025377350424939,1.045121702016176,1.0239331382623156,1.2407002849602125,1.273079520544712,1.2411217006186972,1.055557086238588,1.0908113285631815,1.0537232130338714,0.9261621731899445,0.944153242064649,0.9276891075146756,1.2014903656811426,1.2762232770007251,1.2056243898970935,1.1576077051393,1.2168070271007372,1.1661545196051846,1.130122092634239,1.1653380993124256,1.1337788972934475,1.118095703143003,1.1502263832328927,1.1181352810341363,1.008573712923488,1.0315627600663242,1.0094175177516767,1.093532096821382,1.1135828573796323,1.0913224684613634,1.1685120378811449,1.2092585017525215,1.168499333468689,1.1796408846646655,1.246927905845004,1.1777356272906694,0.9771420848260874,0.9322462238720961,0.9792178503468659,1.1791350085240435,1.2418748277289193,1.180688044258237,1.019693538452443,0.992737779187043,1.0281178246984801,1.0610361792564242,1.0873541852096538,1.060657985411975,0.9564118356974695,0.9853603152472526,0.9564696653480734,1.1108800870116922,1.177752016677241,1.1108800870116922,1.1816303139800635,1.258903890981836,1.1816303139800635,1.088254784755807,1.1485951788970048,1.088254784755807,1.1569708237983962,1.2028280430761078,1.1569708237983962,1.08428839641851,1.1589181773524524,1.0814789421067514,1.1910027551885753,1.2598421309475158,1.1914106828008797,1.191560643408218,1.2183749880201906,1.191560643408218,1.171859835161034,1.2315458255229097,1.171859835161034,1.1711821841482482,1.2613353983409243,1.1670842044799556,1.1928912924126072,1.2689959958996462,1.1939390550079396,1.1775644483760235,1.2425723109921238,1.1775644483760235,1.1604070721609887,1.2142341244806432,1.160207738154712,1.3029130784335885,1.3948806766379265,1.3029130784335885
Hoopa (Unbound),Astonish,Shadow Ball or Dark Pulse,40,1.2073647621167294,1.1885322889440706,1.2079396578545352,1.2086957169251875,1.1990909291049394,1.2083992023382981,1.4435497977655591,1.5243904082240238,1.4419848198113965,1.3924195235810382,1.5076869408359934,1.3942012835278859,1.4344216819789404,1.444977444870806,1.4473628908637326,1.4952274493605056,1.6071009658178672,1.496268482834874,1.5287026144749334,1.57035816472602,1.5316695048127156,1.1646234731045484,1.1693145913354555,1.1652422987315003,1.3984982965325286,1.3842697987722115,1.4043007584860752,1.2834693849340477,1.2726664405435115,1.3113722425019436,1.2370401156262987,1.1276117751903842,1.2483424553771123,1.4047465702555084,1.4352431949633688,1.4110304679435384,1.352022470667806,1.3790978848625561,1.3678910244894946,1.35893659731434,1.352987724081674,1.3733032884569734,1.3081577810940503,1.3356458650955032,1.306568904474756,1.1876540685319492,1.1654500799810423,1.1860777895206427,1.2597942096641281,1.2657745449855748,1.2933817698009187,1.3411415853201083,1.3574885140023247,1.3425610663894196,1.3348440584428458,1.3537006727774175,1.345326422766265,1.1315347751762668,1.0914471976253863,1.128450377543429,1.360818839856139,1.3805280637170811,1.3671128089602393,1.2766518465426175,1.1698302082978353,1.2756828503227111,1.3184347314462967,1.315823286197003,1.3129210078276885,1.2332620844983087,1.135726914649871,1.238192243382882,1.2986627390555607,1.309697561859875,1.2986627390555607,1.3449205503342698,1.3825038328479342,1.3395719036573064,1.1814193741291428,1.2264210801536861,1.1814193741291428,1.2454458524405416,1.292874827870654,1.2454458524405416,1.2347907958892768,1.2886666475772168,1.2362591474827493,1.3488342557633881,1.4026242609107347,1.3495336192198206,1.3859958811232072,1.3737566171013131,1.379417018760553,1.3829387645400977,1.3781891676527593,1.3829387645400977,1.3779091371826113,1.393733501606701,1.3966983387806124,1.3289290738839774,1.384996659814222,1.3376046843977027,1.3049631867135776,1.357381620841928,1.3165530701173702,1.3722290404586541,1.3758721893368349,1.3819846408209902,1.4210146238592196,1.492015753765725,1.4217297053114322
Yanmega,Bug Bite,Bug Buzz,45,1.3083800119556313,1.2949458908634972,1.1041391421077102,1.376426031196424,1.335543047664893,1.1539876424967423,1.5715263760182066,1.660940465904692,1.3262749177529944,1.5336743116361815,1.6602609174849956,1.279668921966546,1.5762517407900936,1.537594992034946,1.3150470639508671,1.6683523983339639,1.713196713364342,1.3598732208070945,1.6567753831497165,1.6831457942491936,1.3802148415897526,1.443707188341051,1.336571573176309,1.1983353990614622,1.490131358293783,1.478653863194254,1.2520211596000785,1.5203221681342571,1.428727714965964,1.3074547387736857,1.3847618102380552,1.2514340597195772,1.1370215751670882,1.5751607003832724,1.5204816627675628,1.3805484978478235,1.5339032358888693,1.4885727224059098,1.268274923760489,1.4871160220722948,1.4672566495816126,1.2607871513921738,1.4313929067201532,1.4168014542541796,1.209144497670723,1.310473440878806,1.293297607962919,1.1041627165262249,1.444692729479499,1.393082866384644,1.2335122958711833,1.5303917277588521,1.527827474837323,1.2735990979487921,1.5601188221614057,1.5554177813336187,1.2937115887434845,1.2631932116300262,1.198039572401498,1.0710554529668996,1.5043156865165594,1.489224615238408,1.2593385255705525,1.5509403679421092,1.3260055194517757,1.4251186606735124,1.4573681961620892,1.4113276622451187,1.282496696545944,1.2480227042396874,1.22321024768077,1.0426622811597028,1.4531530861959576,1.4383726094443943,1.1965517085108313,1.4741809959135288,1.5205702821773996,1.229068888673578,1.4241607037661312,1.3687040598056703,1.195352138199392,1.4006681189611447,1.46074108913045,1.1993305652720048,1.3802098665739613,1.4283903935743514,1.1376979496246364,1.4849218762888041,1.5539788570193076,1.254946621156436,1.4915738567155261,1.5038076661779756,1.2363038967766729,1.4983433489136224,1.5062588701189579,1.2569421944528991,1.5490542155963618,1.5452531024988279,1.3167419997925556,1.4901251489730025,1.4967043560073425,1.2688212343684773,1.4904028113644672,1.4673867525957651,1.2604935336122958,1.5335487377313612,1.505728632609769,1.2617658808097383,1.5868038697624876,1.6543685625356397,1.308656450811251
Krookodile,Snarl,Crunch,35,1.4886175165147353,1.502850637342354,1.488112117253747,1.5991086709541875,1.6095821896254026,1.5991656983267715,1.7914043762680616,1.8973516400228783,1.793387608420664,1.7425178418539018,1.8590683186333345,1.7387815091225522,1.818981186943323,1.8276617807656472,1.823322329202192,1.9034137225747754,2.030625863494237,1.9036008597710024,1.9459309325173795,1.9943777498772923,1.9459309325173795,1.4721203841547212,1.498066705602779,1.4773222620876525,1.7314822444364022,1.7451937290534367,1.730617208830868,1.591517955585889,1.562289390683356,1.599557395426112,1.315218925604512,1.337111262053883,1.3379401894435172,1.659120490472283,1.746498992223258,1.668781606334745,1.6287392313288247,1.6973517001669536,1.6476209860496347,1.6732371915719741,1.7121128185926426,1.6806662950988631,1.7437783785577472,1.6910163832881981,1.742362676815813,1.4758426338198791,1.5012381878942753,1.4755797117758214,1.6509700286762394,1.6334470315766088,1.6525258805925374,1.7268993132174764,1.7235616554854405,1.7272544679119488,1.6756300685391468,1.7246126749957436,1.6787109334778607,1.4306848020686311,1.3726079172547514,1.4293376868444614,1.7772590377209494,1.7672841371708947,1.7621246857999784,1.7345967314306716,1.5406424456606507,1.7351503879919268,1.61229029474233,1.637829674257448,1.610912573153798,1.4808252821608658,1.447163671593212,1.4813483868600137,1.6746463337260946,1.6591583431523613,1.6746463337260946,1.6730787315410613,1.7394281789840247,1.6730787315410613,1.494287960128221,1.5539991521070504,1.494287960128221,1.587519321794031,1.6781342878105179,1.587519321794031,1.5105642785266857,1.5982914772777654,1.5105642785266857,1.6966903900810801,1.7816746785720838,1.6953162275871394,1.7966055758082866,1.7907672476643548,1.7966055758082866,1.663002154842485,1.7130996463913144,1.663002154842485,1.704639305357472,1.767799763632539,1.7122189742460128,1.7245890012082743,1.7679084414479862,1.749697501232741,1.657211545787966,1.7133192296291397,1.6533096956050548,1.724421397620122,1.7674842418352115,1.7281583305288304,1.7598093846511682,1.8630444255907097,1.7598093846511682
