Attacker,Fast Move,Charged Move,Level,"Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Mew, Tier 5","Mew, Tier 5","Mew, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Azelf, Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Latias, Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Uxie, Tier 5","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Kadabra, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3"
(Boss weights),,,,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,1.7857142857142858,0.0,0.0,1.7857142857142858,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,1.7857142857142858,0.0,0.0,1.7857142857142858,0.0,0.0,3.5714285714285716,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Krookodile,Snarl or Mud-Slap,Crunch,40,1.6228267388063489,1.68516884708731,1.6209663941375851,1.6846531080425615,1.757897916529918,1.6848179242176338,2.039682118756361,2.175654253396909,2.043657981328156,1.9625610079111366,2.1093405539937837,1.962794178264147,1.9538746659158304,1.9909461522938963,1.9564245680540815,2.041070609483665,2.2207198334197717,2.041657722756026,2.009357474491717,2.163870010561492,2.009357474491717,1.4061092256927026,1.6319229302108413,1.59649527258991,1.8742298708782454,1.9132171291673707,1.8735433061255438,1.466528804889601,1.725676284235489,1.6407934007646747,1.2527554865364572,1.4875935474944553,1.2684096340840536,1.8711090821101637,1.9995993946258859,1.8702259169869988,1.790593678991551,1.9097177665133893,1.8033220061514186,1.812165181557961,1.8543405019291836,1.808670371894213,1.9167947715243814,1.8502160019578096,1.9159353494284193,1.5769115907786269,1.6532138655947732,1.5760870024970546,1.8069194190767666,1.7824171853256416,1.8071762697662503,1.8638833235711125,1.9012800433984796,1.8641614483454447,1.8195987642862694,1.9017007151240293,1.8186152521843038,1.5791929729756935,1.509325030856703,1.5775261291162717,1.9427154096495942,1.9352895493496929,1.9401700560922357,1.8809698347316677,1.677797457620396,1.878788073979588,1.7044886836972288,1.766963003005981,1.7164154354383843,1.6580154807736713,1.6019665286488993,1.6558832137563715,1.8515035421336066,1.9234654443068826,1.8515035421336066,1.8011564646614397,1.844204668009686,1.8011564646614397,1.8176505847914173,1.9208568247030386,1.8176505847914173,1.6444479815708317,1.7459514286318432,1.6444479815708317,1.7881770546591167,1.9003958984734506,1.7881770546591167,1.7008350803325465,1.8223870518104972,1.7008350803325465,1.8763163698942378,1.9856601821625086,1.87653006936829,1.9207785644588595,1.9432009067534937,1.9207785644588595,1.621354218592665,1.6928325799062676,1.6249887886364058,1.8728398060531235,1.9501219604426914,1.8869467078363753,1.8093281239792198,1.9017513754796784,1.8188396689191302,1.8477808780675518,1.91817910194648,1.897857502744599,1.9832828382270655,2.1033406151089973,1.9832828382270655
Darkrai,Snarl,Dark Pulse or Shadow Ball,35,1.1980679825014897,1.1676364039696878,1.197547708255394,1.2299754021818086,1.1870626528909742,1.2304528039525493,1.4085921646142072,1.4832502181210427,1.4099735572433012,1.3436346510202768,1.4391272933964496,1.3446996322624765,1.3968288630275782,1.3808307136946498,1.4081351575266923,1.4996425258521666,1.5543513502905706,1.4995840575292951,1.538712516339904,1.5275826771737067,1.538712516339904,1.1581926818797286,1.1430402279252925,1.1574440933796317,1.3373525256325267,1.3195029798720421,1.3396332135771323,1.3389179546267305,1.2450894147187366,1.310746814818395,1.16804303322416,1.0791427979442956,1.1739130696656932,1.3268232483549898,1.3524377157214527,1.337428429093686,1.326448776636423,1.3406427262062475,1.3393197855222083,1.3624474514915352,1.3444130463735107,1.3717913280697078,1.321500600063048,1.312464512400381,1.3229270172165555,1.1819056579309535,1.1512936991711247,1.1812709374849706,1.3372904707449897,1.2590357459985906,1.366479222321584,1.3586208638494717,1.345028785534321,1.3590648284730262,1.3166865408480013,1.308300626321336,1.3215974188809179,1.128660105082643,1.060231591979396,1.1339740004755896,1.3471604657002552,1.3499669067452038,1.3559552060346134,1.2413646713405646,1.1464392914230817,1.2416389346690258,1.3103830123689175,1.2829812725609953,1.3145729452624724,1.2157248007190666,1.1436740099025822,1.2149929629422962,1.33204857842468,1.3437560869974012,1.33204857842468,1.3265857693727632,1.291650133284496,1.3265857693727632,1.2948446059424716,1.3283956828061216,1.2948446059424716,1.178093518106748,1.213940888069208,1.178093518106748,1.2548530868530428,1.3007036664724592,1.2548530868530428,1.1815557993315826,1.2454353686691606,1.1851056113642238,1.3024228306501986,1.3478446024074977,1.303237667087777,1.4056769903588924,1.3648146209004623,1.4056769903588924,1.3694902376470004,1.366216457450596,1.3958939551594252,1.3034380158446879,1.3439815133040076,1.326444528485833,1.2937969914133711,1.3123327695073839,1.3043070373147683,1.3502867371821523,1.3210020769279653,1.3634144638010053,1.3545558363289267,1.4118972125611797,1.3545558363289267
Rapidash (Galarian),Psycho Cut,Megahorn,50,2.236578616399495,2.1249647510673375,1.9615553521039382,2.4879438913488046,2.391247103036096,2.1597552345464335,2.776681665688841,3.0033649041901187,2.3857580980332775,2.6029578865044662,2.8897076855000448,2.256367020751388,2.6045951584764557,2.5530464525162677,2.301215759138074,2.818887521600695,2.9145218156431922,2.449217131984433,2.82297900536702,2.867098814475219,2.4827194267447235,2.295721728765826,2.1867632517470867,2.007941262688116,2.664426439926696,2.6175303177168256,2.30546028697424,3.2417929190226777,2.4772868004855595,2.8331723608545647,2.765242424993357,2.1957322999742552,2.436582336250583,2.4869141716693854,2.538986298886015,2.172665604133916,2.481819370877584,2.4974169021568833,2.1655700497448755,2.5653653053685677,2.5842116665147565,2.280353821924545,2.494402810525714,2.3985599639040416,2.186080899283427,2.2095850567956,2.1514396509314304,1.933405318795459,2.4475459584890253,2.411252389482594,2.149785123623559,2.5938748264746865,2.607885753673272,2.265825278294507,2.5935781891873564,2.6044610730869926,2.2426625166010052,2.9501901729107716,2.0245599381230317,2.732519331834429,2.6490122744378723,2.651838754363238,2.3127648499744735,2.1876765139636922,2.063781208897404,1.9299325038455613,2.4294794106956883,2.388513728660551,2.1277253806602916,2.4897019763038695,2.2184830700658473,2.1568079194697996,2.669251052211523,2.657488861086309,2.3197683802571833,2.5203574989607587,2.5127583204699984,2.1984899753198386,2.3863257400104634,2.4304762376654505,2.081083019169617,2.336069426391133,2.3571527161162487,2.0436805324425995,2.476051921399064,2.5626046429298013,2.145794926463588,2.4250309882179693,2.3896008029286473,2.1184001667011527,2.4874481572965337,2.5900906216116373,2.1613316118462915,2.4245165924234224,2.491772424410241,2.1372414359711076,2.707393065714242,2.7574653208591986,2.3896199127546054,2.4820819297504904,2.615746273738089,2.2017424643737584,2.4694628599183663,2.535739748167211,2.15618777676469,2.478554044035877,2.51783804677551,2.1832437382393657,2.5236991835435507,2.7212394635404062,2.2146775382254313
Gengar,Lick or Shadow Claw,Shadow Ball,40,1.307491479158011,1.152493227505071,1.3178076667838496,1.4841399636746633,1.2375570388805432,1.4841970332439969,1.3340969398678448,1.4042989962774333,1.3361567755052872,1.3005992152076888,1.3988688374970024,1.3012462535335767,1.3352086792895423,1.3066638098988004,1.3505697893308197,1.3447576557972778,1.383832389433198,1.3451337970985722,1.3297224134511043,1.3343287371221049,1.3305422991805034,1.3574942746618284,1.2133474376494364,1.3534910959916795,1.4062034629343474,1.3162134167009993,1.4071677049870306,1.4872492588385737,1.2304697722647693,1.4876001979627662,1.7588276413227986,1.1396385652471401,1.7549972878798517,1.3699095262208378,1.3373155011551885,1.3858275520897907,1.3815150089468753,1.3274876018137514,1.4070572366465859,1.4789149286002603,1.310140956058615,1.4806546952322355,1.5565925820777484,1.3018526255293184,1.5566870620507594,1.2916696322637045,1.1710444448958477,1.3027137158049256,1.4442867246910003,1.2909913712647663,1.4661131156586693,1.45556800053403,1.3215167495161657,1.4633168473108757,1.5001384510216518,1.3532812694132141,1.5194703122300715,1.369741542872888,1.1759211087527348,1.3723658566965649,1.413849776578956,1.342319787271902,1.4183645945411099,1.453840679636277,1.2003027065558924,1.478868304278478,1.6280514413785068,1.2963133559904076,1.6572446651275672,1.4173989824847404,1.1493163458893634,1.4192284320656663,1.3872878044846328,1.342747958423015,1.3872878044846328,1.4175137753960014,1.3164015693268332,1.4039902863654465,1.3590611573865754,1.2881091758382472,1.3628232805584506,1.5478671710623695,1.3454167916084414,1.5478671710623695,1.3617241350507143,1.2953737699883,1.3651459031100337,1.2907348640896092,1.2282419790149304,1.2941168226135549,1.3500198435225905,1.3245413264940356,1.3560141652222801,1.359720382982405,1.3235427462529592,1.359720382982405,1.3605125250314756,1.3313479071480347,1.3678405286545088,1.3619713450539415,1.3473585673277348,1.3769068924556036,1.336682629900102,1.332642042953028,1.336682629900102,1.3077607030600686,1.2837973393723392,1.3414725706959614,1.3363637141881002,1.403367931495794,1.3363637141881002
Gardevoir,Charm,Shadow Ball,45,1.5980451411931247,1.5999296431304058,1.5989687572260312,1.6422602384405516,1.6696489994504737,1.6423634917441594,1.9642036423897582,2.0772408187988396,1.9704202749910142,1.8901159112435524,2.035417945528455,1.8972671235131024,1.8859005418510886,1.9286565849683408,1.8929947863986443,2.0090312203907468,2.1286529170869843,2.009153974413702,1.6684644892385578,1.720708691290818,1.668360748306608,1.610472248169872,1.6297293686274543,1.6127721405144273,1.8394646108582016,1.8370397831044976,1.83939137728458,1.7237832629307948,1.7266481373567455,1.752968759741452,1.831201668848753,1.534122119749053,1.8880625756330458,1.840185452956138,1.9000416552573731,1.8428102531871169,1.8546936672073835,1.8721044627527896,1.8577450713150125,1.4445541018825139,1.4634274274122383,1.4580765864361767,1.418345452886294,1.4514597040610717,1.4263284345083265,1.594495253121344,1.6062913407055595,1.5946703430148348,1.6853704961027003,1.7065764163851855,1.6929207102551103,1.7998906966788208,1.8397630973243473,1.8004769047001044,1.8576666572616993,1.8494571601255116,1.8679795011308238,1.6587431099278689,1.5032758903778671,1.6623160865019382,1.812033306115933,1.8380829360202622,1.8100630102223236,1.605434105737832,1.5664564766433628,1.6109661017444483,1.4041173531226505,1.4085397119700664,1.3989089159795032,1.340470316155658,1.2570332478595483,1.3430877516373203,1.86280305666657,1.8786714409977332,1.86280305666657,1.7556369748925147,1.781203761035578,1.7556369748925147,1.7938522819601908,1.8583427577239613,1.7938522819601908,1.634672304017345,1.6950476105166539,1.634672304017345,1.709395185885727,1.7796030263650984,1.709395185885727,1.6993484458526962,1.743607646336038,1.6993484458526962,1.8131820674926742,1.8949310347548063,1.811297361617585,1.7877461610158316,1.8389615712975114,1.7877461610158316,1.8609818206162805,1.9168121576709112,1.87827533603801,1.772748480904628,1.854921421650704,1.7697792332611744,1.750806753981577,1.8115708233563128,1.750806753981577,1.7704313195801544,1.837616211744846,1.7826063375122914,1.9192552510111345,2.0122656335728513,1.9192552510111345
