Attacker,Fast Move,Charged Move,Level,"Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Mew, Tier 5","Mew, Tier 5","Mew, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Azelf, Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Latias, Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Uxie, Tier 5","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Kadabra, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3"
(Boss weights),,,,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,1.7857142857142858,0.0,0.0,1.7857142857142858,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,1.7857142857142858,0.0,0.0,1.7857142857142858,0.0,0.0,3.5714285714285716,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0,1.1538461538461537,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Hoopa,Astonish,Shadow Ball,30,1.3903372335885666,1.343781195305406,1.3933271420541384,1.4118192467771093,1.3508707996368485,1.4118573703611692,1.5499304548671107,1.6136388076472337,1.552152143877468,1.513502116097228,1.6054171044183356,1.5120287210372088,1.5234720498543386,1.527270541525776,1.5432193330892867,1.5545978156264029,1.6241066367952939,1.5547275652295514,1.573371605039108,1.5724104279790778,1.5752616417727325,1.3429738228337227,1.2977027712659388,1.345510805000067,1.4859039334807453,1.4632990669856534,1.4878281249402006,1.4030179448188662,1.353507599872601,1.3974621609668991,2.163085153689103,1.3633855519715186,2.1532236026041858,1.505761585096392,1.5224223067921425,1.502522796752062,1.4739069828056337,1.4907445555571204,1.506061596313166,1.5060124423713195,1.468144297796702,1.509248681026414,1.6263377557642003,1.4694368809257379,1.6198672026369592,1.2868540074567512,1.2968409720585667,1.2881456935901798,1.4222569306405561,1.3866596914077465,1.4267157452935104,1.4554638817852914,1.4915327908301814,1.4550332584149954,1.4682730846164926,1.4909247508549859,1.4796057734620527,1.486448135575734,1.2538016495911564,1.4959140032184075,1.4838153196825046,1.4901325559467251,1.5135065379965444,1.3120903756265456,1.2835440273307863,1.3176249064143861,1.4310489745737458,1.3981624845929355,1.4555202190324286,1.3848665334756678,1.2602247964601534,1.3787867172660349,1.7686557173018809,1.541207968165321,1.7686557173018809,1.6238168639044652,1.4634022866212595,1.6012631503978183,1.459538183172197,1.465706061632816,1.459538183172197,1.3844984400107159,1.3684346878214944,1.3844984400107159,1.3854439440934652,1.409994353784383,1.3854439440934652,1.4050951341307467,1.4213288302773888,1.4131924191355603,1.4785791145981437,1.5076370120628722,1.4802430377020068,1.492394135092928,1.4688458763897194,1.492394135092928,1.5167419101302058,1.4937832704580354,1.5779295112159744,1.4480916978954106,1.4904793626939685,1.486350765151725,1.4252090913738893,1.45488202971661,1.4330706997974774,1.4668955513898836,1.4384197062164477,1.481107283381177,1.534229456092605,1.592661464360676,1.534229456092605
Shadow Honchkrow,Snarl,Dark Pulse,50,1.1126132900695767,1.0579929539733535,1.1159049293987375,1.2198701973027495,1.1136737344765097,1.2161663266657514,1.244497290129517,1.3199844840224202,1.244657131765593,1.193873688246975,1.2683102620136384,1.1905609682065599,1.2946168372563414,1.2896981361085362,1.3115272328376741,1.3822765723984007,1.4128972578282935,1.3822765723984007,1.3345710821621817,1.4099430061321712,1.3345710821621817,1.1109045507286757,1.0505286198537835,1.110739677512262,1.2524854678420312,1.2328325970497422,1.2513004906959746,1.4598329390596843,1.1730738289593046,1.4600543918028444,1.0465360925369886,0.9907023152144433,1.0325950033660576,1.284948162392887,1.2872575345495452,1.3020646558908244,1.2399649315534782,1.2554096192679873,1.2753233767517214,1.2432152535979764,1.2368530431869973,1.285175730373389,1.1282945857905808,1.1667920638666183,1.1288687244558415,1.116601200731294,1.0602363019051064,1.1163621427138768,1.355504835938196,1.1729366878788823,1.4284285238986032,1.2100511482759706,1.2225003891990163,1.2094160856297658,1.1910267700025097,1.198797550154464,1.188260719559214,1.030721056035269,0.9534340585025473,1.032989699963387,1.2039946385601277,1.2529342408756576,1.2176569144115306,1.3573540832313604,1.0937326907990959,1.3632402329064344,1.276660777426195,1.199283082334369,1.2584007290277979,1.0611833185256418,1.0187777810806087,1.0613466348181064,1.177024164090367,1.2034260925651736,1.177024164090367,1.1655748638812093,1.145204955799547,1.1655748638812093,1.1568854627285359,1.1896335178701278,1.1568854627285359,1.0343172668062017,1.0754548310717833,1.0343172668062017,1.0979815299964077,1.1438585234768965,1.0979815299964077,1.040364618137474,1.0917988220064567,1.044670397929797,1.1735421528215362,1.2180581886860022,1.1777861283315079,1.3109955056012528,1.264147121015573,1.3216853055138207,1.2556727225466529,1.265318216852107,1.3530111355253616,1.1832025419027474,1.2106144477271727,1.1861320626667917,1.1929703188954126,1.1919522011935502,1.1928616723333307,1.2241825088548788,1.2500655366375666,1.305108647491874,1.2215928021709912,1.2748686284138675,1.2215928021709912
Shadow Sharpedo,Bite or Waterfall,Crunch,45,1.4481490080480361,1.1771545557600513,1.4489604854764995,1.3510407576318852,1.2195974029084264,1.3510407576318852,1.4246134539107433,1.4539500026091619,1.4211677754384733,1.3927988226548045,1.425657829089558,1.3920731901635044,1.6142444777567841,1.436970128453595,1.6132840578268648,1.6544456580753335,1.596806495550848,1.6544456580753335,1.6329699572059815,1.5954600790114133,1.6463891685132483,1.306522526880388,1.1906844567359862,1.2988100925483574,1.4664383358311706,1.3738187595246316,1.465480765481169,1.5081738630658479,1.3243332932430205,1.503767376635071,1.2391738909562493,1.2062387367852978,1.2321758982005013,1.4737630895744576,1.3949269153654074,1.5499846764572707,1.6027461448449496,1.3982709304316352,1.6148550752412856,1.548219648382388,1.373750244396765,1.546923871343186,1.4281404336492498,1.3737006699321404,1.4281120320476068,1.1915483956977284,1.1664143015388433,1.1907402563623086,1.465934516294438,1.3102579429344499,1.4657931225080212,1.546273424760008,1.3697208340381803,1.5470064815226727,1.477517821175928,1.379641413338917,1.4727103977855756,1.188208902080138,1.0885845297513974,1.1896692482288065,1.3663434946809663,1.3646655502543525,1.376000738362067,1.3657387518486754,1.242529776075041,1.3691816109912407,1.5286989337412102,1.3658297279762905,1.5308303602202575,1.2559852364621165,1.241179196360999,1.2594217160431183,1.5039633447560259,1.3869322383139238,1.5039633447560259,1.343571493978215,1.2889633678390469,1.3429643009758692,1.361486260542528,1.3279754562218566,1.2588174140350963,1.2220560956795647,1.1853921268117529,1.2220560956795647,1.2356110946872805,1.2914610398481812,1.2356110946872805,1.2164774718210862,1.220691459949978,1.2183286063457293,1.3372107382099119,1.335956668744205,1.3513382286406004,1.465372638838129,1.3963030262107992,1.465372638838129,1.6963337920981278,1.4936381274936628,1.7267247026254295,1.368117540293297,1.354561734520434,1.3700933646291864,1.3471507439094017,1.321275340212862,1.3400033801152649,1.4086208750800369,1.3682283261738257,1.4426518933377346,1.361429417491671,1.4319324670432854,1.361429417491671
Mega Gyarados,Bite or Waterfall,Crunch,30,1.2326411696253836,1.2342942035715156,1.2323080437124363,1.2349564360461591,1.2453935430877794,1.2350897064609099,1.5310471955900777,1.630812212534998,1.5317841008901874,1.511699402916301,1.632939648520456,1.5105102717308112,1.4523656393644666,1.4753809428904434,1.4537252838788428,1.6370684896019536,1.6670248158266239,1.6366097268167024,1.5678029021295885,1.6240533286377656,1.568468413997742,1.227557728415995,1.2280804085608157,1.2264430715217878,1.4388007816132427,1.496895486070778,1.4384774367669986,1.3458833251538436,1.3296323611761651,1.3580878632330426,1.2266683669044245,1.1451595194728847,1.230453116804269,1.4532958843417,1.5038174079965874,1.4469437505854632,1.4053076175818353,1.441713564147321,1.4175699858025441,1.3758291163463936,1.3912494628910104,1.3731906565437793,1.4389371325650806,1.375017167702413,1.4392414848196031,1.1949830400921393,1.2207593219963715,1.1955804240412993,1.3267458685912843,1.3281103249255652,1.332322676233096,1.4161570838090407,1.4424692162450505,1.4153248459856762,1.420593710848729,1.463082285050705,1.4151245737445979,1.1810329886776973,1.1143768487285528,1.181302159151387,1.3895565836452803,1.4558975838598045,1.4019769478041215,1.2452698149365173,1.1767812190961708,1.250423204091101,1.303342634152528,1.303691516150201,1.3090782833622934,1.2283366891832812,1.1911016175005533,1.230283041591969,1.4007163880862732,1.444889394559962,1.4007163880862732,1.328026299342153,1.386626873904436,1.328026299342153,1.3663386544987428,1.4416104380521921,1.2658047215500978,1.2841257708165208,1.3504097729470104,1.2841257708165208,1.3507110111842882,1.4116736362382964,1.3507110111842882,1.2836079231554414,1.356235715785455,1.2853275049727493,1.460517221330569,1.5315252002446396,1.4599153125792155,1.387519385570976,1.4519244577466541,1.387519385570976,1.4473897485152103,1.482575959288515,1.4860702244666957,1.4129614141060078,1.4946326616307297,1.4121771986848588,1.3931588881409083,1.46485141695,1.3931588881409083,1.3724456307126731,1.431378852702751,1.3839798555138403,1.5211659349869995,1.604759121610842,1.5211659349869995
Pinsir,Fury Cutter or Bug Bite,X-Scissor,35,1.5393883323212971,1.4835135102109107,1.2894356598882184,1.5452339104231037,1.4919620151987565,1.3020914653802418,1.7451447036211751,1.8599395893715918,1.4790609285592013,1.7708876637356676,1.910503271186963,1.4693572299161448,1.8352377206033665,1.8034883977458458,1.4755542559671488,1.8883788170002613,1.9442725454478913,1.5947980276587568,1.9091715257660442,1.9034047462713903,1.6262023994775476,1.656105949594234,1.5087842170680175,1.4170101584691563,1.7767271771136395,1.7566436453273206,1.4825302758247392,1.772618247536773,1.571674473306857,1.4921029763718854,1.5628338695621646,1.3802955178428595,1.3009577432406945,1.785230398526797,1.7928670561913185,1.4808597608288392,1.730485867229454,1.7290554249868209,1.47190474399208,1.675765283550998,1.6495320654194903,1.4160429572362305,1.7171593950885162,1.7018409077082752,1.3760200380500809,1.5075133303042902,1.5170355469037,1.2135142139521213,1.6858514616094782,1.6234023713991723,1.3816193743482335,1.7073191112408415,1.7268482371670317,1.4277478791799012,1.7434906982396376,1.7466025544881743,1.4618372653522482,1.476714906083646,1.3493423055776086,1.2526091371069308,1.7712897721886949,1.758882379255352,1.4843785702050951,1.590233768260042,1.4685007508618404,1.3569273453570232,1.6209910236480851,1.5812061605247176,1.3572661306339728,1.4293553749196817,1.40257868806113,1.2149512429740241,1.7401574256262864,1.6931992112858152,1.459005241957596,1.6952384586091316,1.6408615091235197,1.4535293865424808,1.6521033006779595,1.676673813539632,1.403473973482001,1.609375319985528,1.5542450372794068,1.3734798658237726,1.6829089192833462,1.6923882594068484,1.388642266259122,1.6186817796516277,1.6092869036930693,1.3655744024843652,1.7124067294410301,1.749857047743481,1.4452197005531833,1.7146135470734953,1.656872693475446,1.4741639500555836,1.775408588816309,1.7799890692047857,1.4799901402027282,1.7755462908172368,1.7623457650581074,1.4609404621533975,1.7570803828335593,1.71893666970593,1.4455962104363191,1.7418277179195882,1.6922026232321647,1.4372232737604982,1.8191532231390808,1.9085328142960427,1.4687342551381657
