Attacker,Fast Move,Charged Move,Level,"Arceus (Ghost), Tier 5","Arceus (Ghost), Tier 5","Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Articuno (Galarian), Tier 5","Articuno (Galarian), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Shadow Rider), Tier 5","Calyrex (Shadow Rider), Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Hoopa, Tier 5","Hoopa, Tier 5","Jirachi, Tier 5","Jirachi, Tier 5","Lunala, Tier 5","Lunala, Tier 5","Mew, Tier 5","Mew, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma (Dawn Wings), Tier 5","Necrozma (Dawn Wings), Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Solgaleo, Tier 5","Solgaleo, Tier 5","Spectrier, Tier 5","Spectrier, Tier 5","Victini, Tier 5","Victini, Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Lugia, Tier 5","Lugia, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Blacephalon, Ultra Beast Tier","Blacephalon, Ultra Beast Tier","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Banette, Mega Tier","Mega Banette, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Braviary (Hisuian), Tier 3","Braviary (Hisuian), Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
(Boss weights),,,,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Alakazam,Confusion,Shadow Ball,35,1.8266827301196895,1.7697426749224234,1.987942868370949,1.941487848010353,2.1411732897436213,2.0216297433738273,1.9522435682773236,2.0370542100499907,2.595835095385772,2.0137763133164177,2.0050541028388302,2.130507051226363,2.000449558828463,2.0881403697118124,2.619587059097894,2.0410129607089575,2.3110084453371496,2.3063147179021337,2.619319083484906,1.9733212075342719,2.064315959462381,2.111109698256679,2.112602781742895,2.222881545884601,2.277969702384498,2.4172970397283935,2.2597029467977467,2.3821218442781658,2.1694289856428,2.3093391946873685,2.490605890385309,2.3195093324564886,2.0952167265858583,1.801150031046664,2.196005069602288,2.080887389888029,2.0240067684281033,1.8734016890854062,2.0069732778795055,2.044085090843974,2.181721815973052,2.021846595975946,2.683160344645187,1.821359303186675,2.0140925751252268,2.1388325386878226,1.9841900352501711,2.104518173466456,1.8171679818890056,1.8722623032705328,2.25016612449497,1.9236035702295642,2.0325611358215925,2.0933676183720515,2.2364180945796575,2.100857782764031,2.015523825454899,2.0685190030324216,1.8444274940170289,1.8861185534081484,1.9862866556093377,2.0198512902097505,1.983899884848789,2.045373787956576,2.039011288292857,2.099089730914828,2.0557646134572343,1.5971522672387546,2.138808521231735,1.8587991705855387,2.064054301819813,1.7582749809826599,2.221010793138967,2.049982086076403,1.6301120435277898,1.4499427346726972,2.051874559244707,2.072921434019832,2.0310107001376663,2.0126563829048307,2.1829530990395267,2.1012299590667896,1.9635236469087312,1.8941279674834972,2.110576277489128,2.007519806633544,2.0283935242839353,1.893275217932752,2.0794304748547385,2.0886345421759165,1.9518901159798914,2.0231959783081974,1.7832618733509233,1.8771767810026385,1.7731153350515465,1.8653189432989692,1.9389077815563112,2.0094518903780756,1.7007698095734214,1.6048851073681774,1.8040450582909804,1.8734269539344965,1.9445303148279427,2.020779341522656,1.8857121790263414,1.9839351877453961,1.6523171569545938,1.602585722315908,2.0062640965864937,2.081120524629935,1.9702278119457306,2.0522424158662154,2.026290945501359,2.0792447432413104,1.8166884082152717,1.8742681187998664,1.777693245549866,1.8374835405998537,2.259036572936501,2.2248970917049196,2.149803360743654,2.250033198835487,2.0249014175183655,2.100536886518055,1.9735111235315839,2.0714920204006266,1.9565234630558475,2.037301005134712,1.9754726870365338,2.046754280389797,1.9451057321452323,2.0452520281952387,2.0313298082802778,2.0999604330779467
Mewtwo,Psycho Cut or Confusion,Shadow Ball,50,1.2643015972887561,1.318649811957501,1.2888663789306791,1.3524348020516432,1.301299435727878,1.369495044559748,1.3386775749644948,1.4343896453601095,1.2214606240015036,1.2865537778404286,1.4992519232811126,1.6151391422697128,1.4792364209749387,1.621679471265139,1.2984509125527517,1.3455305201215246,1.4701293883822344,1.5904865079047261,1.2558838608869738,1.30333317057093,1.392387116463004,1.484406325631864,1.4499793551735936,1.5694291410572512,1.5062971125273823,1.6488176782417059,1.4988049583817389,1.6441669893695428,1.4618692419211523,1.5711102277510172,1.437579635287509,1.5284289413473262,1.2277051036541142,1.2846405109393835,1.3875271024709075,1.45608614134135,1.2544657020985148,1.31178834561286,1.4338846529951563,1.5044285230239307,1.3158704145536289,1.3981855076170318,1.1285425458135954,1.1788757890282464,1.4174451608457268,1.5167449826785941,1.422267504684509,1.5289528958966536,1.357383976442817,1.4511414035214927,1.3599587872333034,1.4108519234553893,1.4026296455805234,1.4934856013694713,1.3818354564008726,1.4635732116761124,1.3451384748677875,1.416581241305557,1.2636626271679332,1.3379258397612532,1.3265432307709666,1.4130453914632908,1.3907399639484395,1.4680208405876436,1.4375950864934919,1.5120011747610778,1.1195131985394098,1.150333420881979,1.2293488853604704,1.2763146310289657,1.2054652909165382,1.22788039556067,1.2702808007523847,1.329708003045367,1.0490608793375031,1.0520853483666333,1.410385274095822,1.4965300864959774,1.263832350466231,1.3391159092384195,1.3478979407778586,1.4096726422676862,1.2292171976740955,1.2863518731822194,1.3915980622036752,1.4359008790323413,1.3703749827037497,1.4301646603016465,1.3890377679823682,1.4931251252254056,1.4356331393737876,1.518434073546293,1.3430079155672823,1.3905837730870712,1.3496295103092784,1.4360663659793815,1.3856971394278856,1.4653430686137228,1.1745094634485154,1.2122590727556868,1.3518876552786043,1.4229482385357215,1.4046858112426928,1.473938661429219,1.3623200427657651,1.4517502626776528,1.1727874586221974,1.218630941227906,1.4502947252705596,1.5086711775743447,1.3752217077833828,1.451466150692189,1.398612501788013,1.4901873837791446,1.38477990474168,1.429071989806753,1.3509192879785419,1.4066715435259693,1.4903491376245366,1.5434506079687758,1.496909954543133,1.6085908371214057,1.4206799029695456,1.4870376970212569,1.4324952841016836,1.4854630563013382,1.4302947998651891,1.4586150155627366,1.4057149512753815,1.485887331599177,1.5118865540630404,1.5800970873786409,1.4055969209740657,1.5100775751471769
Shadow Banette,Shadow Claw or Hex,Shadow Ball,50,1.2331619739457464,1.1897280891164148,1.1981296031547066,1.118704646010204,1.2981726169100012,1.1852562753086573,1.2350092476674757,1.2144600203671934,1.2175459308335683,1.062229818626069,1.232212666145426,1.2924700045367232,1.2094407353977252,1.302586640721978,1.2133517345370788,1.0977020857892232,1.2435153004554624,1.275914033338743,1.3770736947472504,1.088532574860533,1.26744486688792,1.264649534393822,1.231944034824873,1.29571413403801,1.2016267264941993,1.2789988153619103,1.1875569934918118,1.2624032411860475,1.2363232474395547,1.2952088107375017,1.2703261222010622,1.2562874771084227,1.3935751668432066,1.1429137946328407,1.2793874579715308,1.2503776015753476,1.23343774708036,1.1182737486717464,1.196931898181716,1.2327182265542844,1.1658517379350728,1.1711350336347393,1.3790215462014976,1.0243144123282357,1.2241402825693395,1.262856100968075,1.2056813076963548,1.2232416397197794,1.2779167522668955,1.2988676600321454,1.4906240955765735,1.290019796019958,1.253592871800254,1.265040117838233,1.291023088100748,1.2663245747310112,1.2009490435933838,1.2281421878328551,1.1894661568825622,1.1474471067209504,1.2019858060002933,1.1956154306152613,1.2171175271155998,1.2402157911017753,1.252662421817772,1.2799295143353293,1.314435996904032,1.0347273711930867,1.2269049664682183,1.1080940772156933,1.3839864245450466,1.1371042930425792,1.2679587084061086,1.0820569662770387,1.2320489319172063,1.0637809854549138,1.2216887584013356,1.2618539786710419,1.3822945003091507,1.1642813303834036,1.3863149021027952,1.2039643681849541,1.2323820860054664,1.1023759100923822,1.2656413010918182,1.213405501440952,1.3848069738480697,1.2800055348000554,1.230552494490082,1.2425616108996194,1.1988758263072476,1.2235759806832125,1.3589874670184696,1.2786114775725592,1.1965447809278351,1.2591897551546392,1.2040708141628325,1.2419583916783357,1.3997221739885397,1.2552873762806043,1.2432939324125636,1.275073225511421,1.2316408474438387,1.251176682510721,1.194022009622297,1.2207598296742797,1.3536631066142029,1.2756386234463808,1.1906995697579652,1.2491802657265783,1.2150392739501992,1.235632183908046,1.3204834787584037,1.2301101416106421,1.238631192549222,1.2626884688893607,1.213226042428676,1.263594245306023,1.2491921402555126,1.2201644952555522,1.2033709586802186,1.253220287042239,1.2632468413368128,1.2674085740891898,1.2269120597247312,1.2407453614523969,1.212198410023592,1.2230923256874369,1.2709554684163529,1.256435143844392,1.2319124883628143,1.2804395531320656,1.2426411519969305,1.2532522810930062
Trevenant,Shadow Claw,Shadow Ball,40,1.5105014228310762,1.558010753456979,1.4349748287473998,1.4847803698107582,1.6605265439054895,1.585229031738759,1.5998825365913973,1.6215033598999844,1.5641005309651348,1.4035276289822385,1.7036148997577194,1.7926620913329276,1.6739423625322911,1.7983560908511422,1.5760407382205142,1.4688920622446275,1.601351422555605,1.661583727287481,1.5111451555805124,1.4332633454998231,1.6203709590597173,1.6642443277426686,1.6808522184340604,1.7794825816650348,1.6576759915553172,1.7621028318806626,1.6461240261659984,1.7504673986817068,1.6779778328578778,1.7704671935649816,1.6704366411377056,1.7092096069270712,1.611898438274536,1.5490328572844867,1.7182683746896965,1.6464790355186394,1.5764847483746205,1.4901470017978637,1.623816939166402,1.679701476291382,1.5520842096761711,1.5851704283507704,1.4553736203025638,1.3392909618797975,1.6784693419014352,1.7793110775163417,1.607968319364121,1.7025002934141673,1.6373410353398026,1.7242423876220054,1.6185179611257103,1.6659890485176136,1.6617163268925232,1.6890894680269697,1.5978004827097987,1.6406937607895575,1.5688085199466433,1.603889391671349,1.4564353886785977,1.5067972273338355,1.5448013629850272,1.596590280833587,1.554201237673071,1.6122610936287856,1.606776049217025,1.65679218510683,1.774066386665954,1.3981503217993805,1.5777393902042873,1.4525803836800864,1.676342429148218,1.4905459439427333,1.4308321017510859,1.4520623404541178,1.6864654243314694,1.433788692477516,1.6174258451707613,1.6771037519968912,1.692859249407604,1.5321636095115878,1.5852870084408186,1.616039419928026,1.380335807260224,1.4268218409349778,1.5646052617987625,1.6013262955655865,1.6285457312854572,1.6966929569669296,1.6508340012021638,1.6581095972750952,1.5741123382021136,1.6346277164232275,1.6234993403693931,1.689825197889182,1.6205541237113403,1.7016269329896907,1.5975495099019803,1.6394178835767153,1.6093534757191643,1.6544307460786016,1.6725285666323213,1.7304375007235724,1.5962206700988995,1.6527479168361476,1.610167929362753,1.648242363914542,1.6426206982699396,1.6947411154831056,1.6404256932203711,1.7136047459297588,1.5796535599935504,1.633934535738143,1.582091260191675,1.6357745673008153,1.641340290628887,1.7315171555987017,1.624042916361863,1.661136308217508,1.5916298619725207,1.6177025970024255,1.6070279380969406,1.6907298636293988,1.636687628617086,1.7158870124047227,1.6053317098000857,1.666214206581298,1.6078785115283203,1.6356634483852424,1.5952362464572738,1.645717668983189,1.6865440883096157,1.7680542625349116,1.6228193230459336,1.6835005935038307
Shadow Weavile,Snarl,Foul Play,45,1.1433341436558895,1.1434896540876007,1.082396045775769,1.0830363373964185,1.1020787669395151,1.127231599238831,1.11849207207857,1.148771528518364,0.9861913823888732,1.008372685837797,1.198525082288439,1.2627940424135367,1.1662897976985271,1.2453718925084711,0.9920325343505111,1.036882273826524,1.225910134193815,1.2556152956078768,1.053995410100221,1.0280917735812205,1.2476719691093507,1.2543773762445483,1.2366203829320372,1.288154588460132,1.20787420334743,1.268290745924911,1.2014852660112676,1.2539234423860859,1.261967450778656,1.2954449796567367,1.2695657336493626,1.2416871035361492,1.0555813553042834,1.0929704091376333,1.3449948151794786,1.2628882068900504,1.1248608795934916,1.080110692001269,1.1820583810127405,1.221759716855424,1.2090435215689705,1.1504426863371282,1.014275974751096,0.9540218400667662,1.2208525893096849,1.274106041746526,1.1627598738926146,1.2087287679437941,1.2092734252579085,1.2559225287717475,1.1900626295134347,1.2170268924879313,1.188121356008266,1.2166688984513827,1.2444846472616775,1.2210115378405566,1.1439635365956529,1.1792602950070128,1.060075704846445,1.1023426550090103,1.184497173611346,1.169592345620508,1.234934383244608,1.2387128329627224,1.177233540111773,1.21809576010286,1.0523292975731982,1.0165443697311018,1.0804702039230212,1.0661072470543946,1.1961146111685423,1.0971581267432562,1.1452326570827174,1.0697187513995252,1.125949944269936,1.0684942442972638,1.1715844163320523,1.2191960623461853,1.256471949287929,1.1316855933583312,1.1759647175549595,1.2097024761108446,1.086327084050117,1.071346755081238,1.191104316658231,1.1892656826187107,1.2082330150823302,1.2261519302615194,1.1652975355640152,1.1951011821278301,1.1515734473340458,1.1848553220124292,1.1603891820580474,1.2158146437994723,1.1968669458762886,1.2511678479381443,1.140988197639528,1.1773954790958192,1.2366614574289518,1.2225733634311513,1.3655834307743961,1.2852611227525848,1.1535788580659407,1.21116366636838,1.1063798411030616,1.1566756990912275,1.1611236025232654,1.1997064518143778,1.176948882697447,1.2028202649684425,1.2090157326146547,1.2228825467026005,1.1392075525675869,1.1800743813474466,1.2417104025725814,1.2544519612899312,1.2004584247744452,1.2282272616435017,1.2056743752419627,1.1980105713089302,1.1733898564788805,1.2206956432912814,1.1788510398583631,1.2245036386420334,1.1636042438094476,1.2005030291537333,1.1590868539481771,1.1814099641164926,1.193335792211826,1.2075843460030282,1.1674591036042028,1.240091767522277,1.1642267064733882,1.2081459899523999
