Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Genesect (Chill), Tier 5","Genesect (Chill), Tier 5","Genesect, Tier 5","Genesect, Tier 5","Genesect (Burn), Tier 5","Genesect (Burn), Tier 5","Genesect (Douse), Tier 5","Genesect (Douse), Tier 5","Genesect (Shock), Tier 5","Genesect (Shock), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Jirachi, Tier 5","Jirachi, Tier 5","Magearna, Tier 5","Magearna, Tier 5","Magearna (Original Color), Tier 5","Magearna (Original Color), Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meltan, Tier 5","Meltan, Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Dusk Mane), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Solgaleo, Tier 5","Solgaleo, Tier 5","Zacian (Crowned Sword), Tier 5","Zacian (Crowned Sword), Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Regice, Tier 5","Regice, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Celesteela, Ultra Beast Tier","Celesteela, Ultra Beast Tier","Kartana, Ultra Beast Tier","Kartana, Ultra Beast Tier","Mega Aggron, Mega Tier","Mega Aggron, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Mega Lucario, Mega Tier","Mega Lucario, Mega Tier","Mega Mawile, Mega Tier","Mega Mawile, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Scizor, Mega Tier","Mega Scizor, Mega Tier","Mega Abomasnow, Mega Tier","Mega Abomasnow, Mega Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Steelix, Mega Tier","Mega Steelix, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mawile, Tier 3","Mawile, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Durant, Tier 3","Durant, Tier 3","Excadrill, Tier 3","Excadrill, Tier 3","Forretress, Tier 3","Forretress, Tier 3","Galvantula, Tier 3","Galvantula, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Parasect, Tier 3","Parasect, Tier 3","Pinsir, Tier 3","Pinsir, Tier 3","Skarmory, Tier 3","Skarmory, Tier 3","Stunfisk (Galarian), Tier 3","Stunfisk (Galarian), Tier 3","Tangela, Tier 3","Tangela, Tier 3","Venomoth, Tier 3","Venomoth, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,2.7777777777777777,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Alakazam,Confusion or Counter,Fire Punch,30,,,,,,1.5193667589690023,,1.5486504691335508,,,,,,,,,,,,,,1.562051232674545,,1.8386619998251243,,,,,,1.4699326386052673,1.6423846856693884,1.5691480156031288,,,,,,1.8772851920281224,,,,1.6807993710827285,1.5837209699595807,1.533671477814264,1.6423364053529939,1.522191624767297,1.5605777806374421,1.5157249398452752,,,,,1.5425802591396394,1.4549350931170462,,,,1.6302797917072325,,,,,,,,,,1.7679709582169112,,1.64074688580972,1.6791350081439833,1.5947906377390628,,,1.5851292653869153,1.519848127340745,1.5704246835311766,1.5555194513388133,1.5912040276596586,1.5278836964231677,,,1.636187298726222,1.533220062634298,,,1.687603311513405,1.6418446257442956,,,,,,1.5632363366242543,,1.6061681559843495,1.539277919917665,1.4978000042812596,,,,,,,,,1.838657412862008,1.8563074239553445,,,,,,,1.5907739133041814,1.5206184459193208,,,1.631692748242544,1.5506371728198183,1.578450424649855,1.5527627465092941,1.6022946708735581,1.5672053373326047
Shadow Houndoom,Fire Fang or Snarl,Flamethrower,30,1.5074506524637534,1.3831536304237715,1.5021245547233508,1.3850310646282686,1.5126150343255536,1.386190911267458,1.5025050274531773,1.3823830832454251,1.4002163129825085,1.3903776583689313,1.4663080248733174,1.4646504080827363,1.6035282143184562,1.4697665404104823,1.501330671491952,1.502839420411551,1.6522670174330587,1.4775684040903139,1.6186912012957553,1.4698458207277996,1.6221341516983494,1.4437843235011485,1.4594165247276063,1.4361914906787618,1.4622881545264315,1.4547394577068706,1.4622881545264315,1.4547394577068706,1.5867661261042258,1.418301262421728,1.4519933628305532,1.4414436138479243,1.5286887130397966,1.4971100806105195,1.584259493835195,1.4999281750035285,1.4655021346470036,1.4192107329142702,,1.4938563373514298,1.7063191970535658,1.5281347864481252,,1.5425888161776202,,1.4492361806350662,1.5936193613546836,1.4419010442251372,1.5999775031778698,1.5179292467202903,1.606529269743518,1.5791508867171478,1.443198396696702,1.3653796618262193,1.4530179397734846,1.3810201434235654,,1.6506842530768264,1.5202603553947416,1.5044604985025238,1.4671645883128586,1.37110660973704,1.4969123414776198,1.5036720959009964,1.465614910030483,1.4294511653769642,,,1.5344863615927298,1.4727058139873035,,,1.4552880311528595,1.4491998836194357,1.4489280878449196,1.4128856184539733,,1.4428435441051417,,,1.4992619893739794,1.4625977683665492,1.4102951733740994,1.3928987966010657,1.5610813560657717,1.4777400053696967,,1.5834593138494497,1.4970270630595404,1.4322728554199506,1.4773672723674964,1.438235746889692,1.4190410510475926,1.3519728778977782,1.4512348101766492,1.455650774019241,,,1.4459302354120966,1.4526714497703668,1.4952302543302827,1.4239136439015618,1.5058900312713044,1.4215693220296868,1.4892816710314918,1.412816715676563,1.3704133790395008,1.43065051403588,1.5762932219402606,1.5290931629397515,1.6234088894456662,1.5768137338279338,1.481416553006687,1.4596801805743531,1.5779424300975968,1.4531421815681362,1.5355552325080453,1.4858414425377278,,,,,,
Blaziken,Fire Spin or Counter,Blaze Kick or Blast Burn,45,1.4136088783480445,1.3231750264337343,,1.323105839646777,1.378599223417465,1.2743973756975957,1.3726119255166824,1.2715036282737684,,1.369595116031546,1.237409033343783,1.262369106273073,1.2547562067161098,1.2749108690761093,1.268468991651144,1.292392271130634,1.2602802532143265,1.2686391084403743,1.2670214959894754,1.2692276785272958,1.2818100097399798,1.2472978423809613,1.365201744604995,1.3407762372752168,1.2898717079765374,1.3175132008536357,1.2898717079765374,1.3175132008536357,1.2221012370751385,1.2048588639928788,1.2673277488776329,1.273532782673991,1.321909923017115,1.3470310944387975,1.3214664235299525,1.3315003785210136,1.3472789292038727,1.3269973724367805,1.3253860507267017,1.2923384471768005,1.2908713950332766,1.2856800706455018,1.2806848928376688,1.2588660641422842,1.2906832715342371,1.2435589831814748,1.2722010623248696,1.2481895710910271,1.4513823606454956,1.3588521213854208,1.3716392815478367,1.3435112035736063,1.1450080119702197,1.136640268358589,1.2671251055261699,1.2173619758913954,1.3411278400518778,1.3085797744852825,1.321309877561606,1.3331124614694794,,1.399867811568257,1.288546793155563,1.3084695054137425,1.3073117899282447,1.2867163747307682,,,1.3762084432561499,1.2927840705400158,,,1.2786448540494033,1.315879758420078,1.255570483318155,1.2493379012848784,,,,,1.2992871149570582,1.3225721594020965,1.2277869983194631,1.2365803186190563,1.2347548362771903,1.2828488393260087,1.3767639116855228,1.322747795033535,1.2633013912506703,1.3160438916954718,1.2546520064784,1.293664383266701,1.221959420069832,1.233504643532889,1.275376208644432,1.3074011596597237,,,1.265979358747164,1.3054615651436698,1.3380706799913968,1.3262229843368212,1.292555661126703,1.3172130607178159,1.4252644429962047,1.3646999798134094,1.3208678677057175,1.3208328212857654,1.2900078826436117,1.3686280120663985,1.3202996959687052,1.3307250246981903,1.3532201422858732,1.350578926639176,1.2588366060283296,1.2735621485017974,1.3018388153955802,1.3246950404499178,,,,,,
Mega Charizard X,Fire Spin,Blast Burn,50,1.1186579581851441,1.0686559909076918,1.1202010514765723,1.0673948785582812,1.1173029432772867,1.0684875762330848,1.1214581513338948,1.0701230966254174,1.0496566915971681,1.052324742972936,1.0660224722343095,1.0909458933604088,1.0880990205029957,1.0847906354230012,1.0691328172526875,1.1072435797181324,1.0627063616268377,1.082121962527128,1.070351187261929,1.085919553814753,1.0894014821850302,1.0817194913016077,1.0549009759167765,1.0712824401670002,1.0823308647549716,1.0877582150631242,1.0823308647549716,1.0877582150631242,1.0286672698238486,1.0264113389691512,1.0627337564243753,1.0981269992762348,1.1009480093906754,1.1050516366689265,1.055408911611091,1.0868910578625393,1.0644285130338769,1.074367304465698,1.074546638538726,1.0673782205951565,1.0987883434922139,1.104562880958022,1.0705479503334432,1.079588452275642,1.1219791451871568,1.0957945913198002,1.082270255067697,1.0915424034074888,1.0790537615097475,1.0807537662079987,1.0997669660093268,1.1113571924716548,0.964487694631664,0.9737560433519054,1.0747721190840491,1.0710200762391116,1.1018960635121924,1.0943451612927886,1.0844369114965855,1.120730982366184,1.0998833921927083,1.0802772473370643,1.0908812374987422,1.0968599754197528,1.108414727689431,1.0806070371171534,1.0903654182026679,1.1106584467537015,1.0838548635361471,1.082967696010043,1.0350886411310913,1.0546494480371238,1.0850436147768936,1.1166203737328895,1.064406388951283,1.0770474973966553,1.0840057503646912,1.1114810689075862,1.0634216447233857,1.0914257929544664,1.0897693015420975,1.1248318733820923,1.0484036623555777,1.0799566645757317,1.0804771252634304,1.1016340030787706,1.158087940191172,1.1256505006017863,1.0720867279786248,1.095222245515627,1.0600210145400673,1.1027024038937092,1.066052618223949,1.0621462971277362,1.080780651952999,1.134533116401054,1.074440778191175,1.0982225326947963,1.080631005544252,1.1122654337162763,1.094474264332841,1.0981188593197304,1.0994647278923058,1.1085864356082589,1.085097738753348,1.0804700633934006,1.0738515420266277,1.1240244547226144,1.1062311205599253,1.2032547685255972,1.0897700367323748,1.138521427632285,1.0782149968923127,1.1146982290587035,1.0887433641391087,1.1148817617079445,1.0777668761516852,1.1108140841448428,1.080771461275806,1.1201444767652131,1.0790418845341552,1.10952942591264,1.0766939567794784,1.096839738626175
Reshiram,Fire Fang,Overheat,30,1.341198624798354,1.2996245737358,1.3404985560498055,1.2970407834412265,1.3338165063824854,1.3001107667866159,1.3320897842380426,1.29712378951965,1.2773806142638426,1.2769145659348173,1.3329748085138238,1.3116525245294142,1.339161173379121,1.2982969000480669,1.3062081489387174,1.3196068680372002,1.3332155920769517,1.2985843766543759,1.300694262349557,1.2933520007305654,1.4005508895585292,1.3083181494636753,1.303151166837685,1.2833991890293122,1.2837447530336026,1.3089322699911667,1.2837447530336026,1.3089322699911667,1.260380314599165,1.2319401029467036,1.2547619567262687,1.3158489259429447,1.322475616826546,1.3658877244273677,1.280146908526227,1.284189459241627,1.266892848363849,1.287968742212034,1.3317481908535889,1.2751045814245159,1.3185478903271661,1.295744297744944,1.320153705615637,1.3041621591925108,1.3504887564929249,1.301088111080283,1.3055217489335647,1.2914533993867232,1.365031542295306,1.3342205425759506,1.3638626189591674,1.3428034124148591,1.2218056655623666,1.2033370512955706,1.335530283787697,1.289926492868201,1.4087972166183842,1.368075877923568,1.3517340491847074,1.3509236974613992,1.506542970772477,1.2715733015576374,1.3167451243130583,1.3267642010905627,1.3167253458043642,1.3213941028461924,1.3375460882985208,1.3588058103394431,1.4255885905199113,1.3508661673462128,1.251675562066006,1.2424901981197112,1.2852549520832681,1.349360100290135,1.3527816700935433,1.3121056686118178,1.2967202007701721,1.3451051684146484,1.2456944160359993,1.3236230277063081,1.3046733157511188,1.350424696654702,1.2513139618986946,1.298900757662577,1.3166978091504111,1.3212161933892212,1.4442606925809336,1.3706814306127848,1.2818064314212203,1.3299335215196937,1.2401790004660531,1.31313384869352,1.3006326372382884,1.2787819752802083,1.3323511671139183,1.3715117411173383,1.270466537191803,1.3044384208392217,1.2773837262712093,1.3291821905884504,1.3138163567605219,1.3015327435694621,1.2745709572806845,1.3008433053909039,1.3591525545956127,1.308610344917255,1.2692488939332252,1.341818053992409,1.3353584275709354,1.3629780583669575,1.3314153467926548,1.3639050416023772,1.296805028924795,1.324386789764269,1.2779460156214935,1.3043393579089655,1.276962929709035,1.3306358252521133,1.2790229920994762,1.3282303624290106,1.2720882811011907,1.3058701872619976,1.2939096830779773,1.3129090070149658
