Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Genesect (Chill), Tier 5","Genesect (Chill), Tier 5","Genesect, Tier 5","Genesect, Tier 5","Genesect (Burn), Tier 5","Genesect (Burn), Tier 5","Genesect (Douse), Tier 5","Genesect (Douse), Tier 5","Genesect (Shock), Tier 5","Genesect (Shock), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Jirachi, Tier 5","Jirachi, Tier 5","Magearna, Tier 5","Magearna, Tier 5","Magearna (Original Color), Tier 5","Magearna (Original Color), Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meltan, Tier 5","Meltan, Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Dusk Mane), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Solgaleo, Tier 5","Solgaleo, Tier 5","Zacian (Crowned Sword), Tier 5","Zacian (Crowned Sword), Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Regice, Tier 5","Regice, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Celesteela, Ultra Beast Tier","Celesteela, Ultra Beast Tier","Kartana, Ultra Beast Tier","Kartana, Ultra Beast Tier","Mega Aggron, Mega Tier","Mega Aggron, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Mega Lucario, Mega Tier","Mega Lucario, Mega Tier","Mega Mawile, Mega Tier","Mega Mawile, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Scizor, Mega Tier","Mega Scizor, Mega Tier","Mega Abomasnow, Mega Tier","Mega Abomasnow, Mega Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Steelix, Mega Tier","Mega Steelix, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mawile, Tier 3","Mawile, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Durant, Tier 3","Durant, Tier 3","Excadrill, Tier 3","Excadrill, Tier 3","Forretress, Tier 3","Forretress, Tier 3","Galvantula, Tier 3","Galvantula, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Parasect, Tier 3","Parasect, Tier 3","Pinsir, Tier 3","Pinsir, Tier 3","Skarmory, Tier 3","Skarmory, Tier 3","Stunfisk (Galarian), Tier 3","Stunfisk (Galarian), Tier 3","Tangela, Tier 3","Tangela, Tier 3","Venomoth, Tier 3","Venomoth, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,2.7777777777777777,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Alakazam,Confusion,Fire Punch,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7605806061420604,,,,,,,,,,,,,,,,,1.6782352062163777,1.737397888025503,,,,,,,,,,,,,,,,,,,,,1.7147537480858943,,,,,1.7387565453153135
Chandelure,Fire Spin,Overheat,50,1.1882349603529228,1.2074946451622055,1.1880032091788195,1.2074854805958282,1.1870948863686746,1.2105074616278142,1.1861183101783008,1.2094609904972313,1.2278909576114394,1.2084866534152263,1.1691709350479513,1.2192063535309503,1.1630288864508305,1.2133127082666086,1.1872486164192966,1.2377342075008544,1.1704013429171676,1.215857590852909,1.2091119728284037,1.2320448826368549,1.231641233020096,1.2556245630704226,1.182582416025327,1.23730511843698,1.1558918236427433,1.2061479062050702,1.1558918236427433,1.2061479062050702,1.2211044174071304,1.211989167574473,1.193788054949017,1.2402014203129874,1.1654012216717404,1.2070554527547306,1.201339718781591,1.2347836742196037,1.193444490747719,1.2315353377725367,1.2217765748031495,1.2246537542182228,1.2437073747385652,1.2341790185202024,1.1746202578088694,1.204224437842323,1.2090727609670935,1.2221309539993848,1.1688938225769088,1.2131026730535124,1.2238450999700303,1.230845142783748,1.2055461330982284,1.255732548322263,1.1742438641434592,1.1814085612759275,1.203571820766343,1.2370693336695557,1.183913070630113,1.2228345719103229,1.1564826919797648,1.2194455682574286,1.4109663836611017,1.242493629915295,1.1790875457824574,1.2206633420846704,1.1983236478727932,1.2201348775668415,1.1911897705611443,1.2244901745256547,1.2832207550536017,1.2278123680282202,1.1553266624037237,1.1775054870988368,1.1292569566004707,1.2030301201183073,1.1991186669235214,1.2050664611828166,,,1.158793091862106,1.1971507291176668,1.1821496770974274,1.2158025544328335,1.1980612522613387,1.2127419432303923,1.217830719147677,1.237984610831607,1.2949530651708991,1.285847836387619,1.1682385651202094,1.1982091260971488,1.1798772525463568,1.2377774875946723,1.1515926254060669,1.1905750326962832,1.2223412230909285,1.2699796508514511,1.1492204622434747,1.2020820880653518,1.1624344877810011,1.1896660816828433,1.1827637444279346,1.2162411634922778,1.1686498674440933,1.1900525819776813,1.1893263328690167,1.2048324633776728,1.1565829961116443,1.2034114632288193,1.1733275922808941,1.2570164794300702,1.166932961488927,1.2100436723508505,1.169885567675623,1.19011191386882,1.2210512341329411,1.2294455847962176,1.1727622515049339,1.1984443846838089,1.1270253908336598,1.1819379651721804,1.1718046575393224,1.198139948496582,1.1613407289359852,1.1834964919179585
Chandelure,Incinerate,Overheat,50,1.2038154105848475,1.3053764699207058,1.2022900898854068,1.3037590701901367,1.199948571073889,1.3073995584206,1.1976338672444802,1.2975173839770007,1.272901721540927,1.317962350319479,1.1998692240627724,1.2792849553182215,1.1844875874804937,1.274581422448159,1.2170504096365575,1.3060863741036504,1.1962926769473832,1.2761152103075022,1.2274108603880478,1.3139171926350675,1.2465673267441457,1.3264853674457049,1.1964098474144669,1.2946754976539319,1.1808514528667582,1.266345111912218,1.1808514528667582,1.266345111912218,1.2252715762579132,1.2794862035323507,1.204482938824454,1.301818535368062,1.2015678783899402,1.2870510754292763,1.2155823998529576,1.308315038139098,1.2303316989262567,1.2890706046123972,1.2436638779527558,1.2875562429696288,1.2698690551968719,1.298488981843533,1.208990383439421,1.2632916822677849,1.2262179895391352,1.2881417296918267,1.1851905403787644,1.244878318773253,1.319253328766537,1.3337821638052831,1.230314328195396,1.3240486846332589,1.1881125526815965,1.2401309809106684,1.2589631063696523,1.3313553152288415,1.1881244925997627,1.2738946480984201,1.201219736459354,1.2793290112043227,1.417813609845839,1.3337038968193846,1.2259974903573232,1.287918987623109,1.2021473161462553,1.2818964462034355,1.2134982584538039,1.283948555977608,1.3544578514599044,1.308645153713954,1.201003519808283,1.271566746740865,1.1893161103398322,1.2607351964749198,1.2147707570795607,1.2630634752456176,,,1.1607015657549897,1.223345205295343,1.2046425041502338,1.2640508199710203,1.207042569200967,1.2668539775547123,1.2320065108020124,1.2905001479727731,1.3511339915735012,1.3577291994826284,1.2008804448563484,1.2719566046993402,1.1987333507443196,1.270109689213894,1.1914103699953593,1.2805214529806355,1.242015636714148,1.3274070900717574,1.1795551902769477,1.2495267981669655,1.2029296944951828,1.2752527965808291,1.2005380701517403,1.2823630059885633,1.1997322458757937,1.2521556849309037,1.248733334353809,1.2611244623367874,1.1961987117966577,1.2814655044473686,1.2378557169139235,1.313304889028066,1.1797635301978329,1.2495908743185273,1.1957941792195936,1.2488627599124837,1.2399946897051766,1.2875218283753562,1.210721747584866,1.2691090378767507,1.1774628159016178,1.2524126633666892,1.2062267261981956,1.2630379606128537,1.194693379141917,1.244116977461349
Chandelure,Hex,Overheat,50,1.4941167709264225,1.481190688965488,1.497316217712963,1.4774185990372464,1.4918680227351322,1.4858632522588826,1.4999362705527466,1.476494455538089,1.2808886947789784,1.3276068999195285,1.5284369551002617,1.5764017545771578,1.5001533251105645,1.5628871459041753,1.5380376803488385,1.6187462670077715,1.5128486255869305,1.5811181215503474,1.5891189857404122,1.6161702625029222,1.4652831689898769,1.509715768860874,1.2931310195175076,1.3078389856240058,1.3626286908705267,1.4234783730047984,1.3626286908705267,1.4234783730047984,1.4128199743626761,1.4672686625279452,1.404671719729225,1.4866536761637776,1.2438866670646054,1.3042639129310174,1.4580041049310228,1.4782040416211413,1.286998040484825,1.3158476898114078,1.461092168166479,1.5018700787401573,1.4441681064532752,1.4888424115667909,1.422678976968046,1.4235764724476414,1.4073726915619031,1.4198599016879057,1.376646657244981,1.407114771990541,1.5099563300081347,1.5290533887057414,1.5845592905014159,1.6494160982060804,1.4080055367325013,1.4407879514089743,1.4625389943425158,1.554018603402625,1.4011233060638233,1.488965996377943,1.388486731019356,1.4713104476713668,1.4627731266048187,1.3361560105069505,1.5406381530511606,1.6295915579695046,1.5298636652425057,1.5792740859043035,1.4133516995728457,1.4753192061703144,1.646987486534644,1.5466539296255897,1.39880407168657,1.435980966535898,1.3315144564495682,1.4041166173718838,1.4325274513581199,1.450238393373146,,,1.355164303474229,1.4415429070626975,1.4295419869303625,1.471456947922964,1.3798408657925492,1.4268927204905304,1.4976176383545428,1.5479283811778632,1.5224044975476072,1.4997374723065298,1.56257155318105,1.6202093441639862,1.375202402716114,1.4261817706973101,1.4330422309412312,1.4858203602919462,1.3892256613473277,1.4554246545999785,1.3829821677625025,1.408036959553696,1.3376789274500673,1.4044267755452884,1.2424354991219777,1.2829483542707911,1.3792508169143098,1.3875564793855748,1.2830366299805598,1.2574277885778138,1.2388123200522405,1.3006203559873752,1.5938074920734333,1.63803969154891,1.3297795078871684,1.3966630837908762,1.3815932379468292,1.4155294265791505,1.4641197675724804,1.4866068237288483,1.4312384932045263,1.4738731097825863,1.3365620882447207,1.3847322626212266,1.4171035811549364,1.4294143801989736,1.4190347082807293,1.4386654800587786
Chandelure,Fire Spin,Flame Charge,50,1.4991223030767267,1.5033582989347065,1.4990184314783523,1.5016400891754116,1.5015561683676637,1.5068764021032657,1.4960558553199925,1.5012604268456755,1.497453453742615,1.4936499693932996,1.4631920226678292,1.5008309721011335,1.4555050529141993,1.4928073487021882,1.4835230470193028,1.5245695622602684,1.4635481751104058,1.4984490396303574,1.4897934628659435,1.5149368150378835,1.5550830600712993,1.5405798948665363,1.5021153075394016,1.5333246966709717,1.4466172273023854,1.494384660837364,1.4466172273023854,1.494384660837364,1.5014634274389365,1.503364351870081,1.4818288251426999,1.51617398631541,1.4498298812153048,1.502622415885712,1.5029765855551358,1.5232480011436624,1.4969410283464706,1.5221864110725907,1.5174634420697413,1.4998875140607424,1.5352550695644267,1.5239307689976054,1.4886138492772059,1.4923261314181746,1.4886941091450283,1.504313854563928,1.4683992618124775,1.506454476622248,1.5710985999914373,1.5326368968617545,1.5212154720900173,1.5517143476214315,1.4695211139575242,1.471822576646558,1.5270855618235728,1.5333856647238977,1.5022169487291577,1.500952351214638,1.4733165931637249,1.5179299253379521,1.6106845258591005,1.5287145710153767,1.4763922265901734,1.5215241217408215,1.4817005997796728,1.503074672277822,1.4823549600441532,1.5149689489965819,1.542356307432425,1.5236798305341201,1.443187644378388,1.466763446992609,1.4289611879036639,1.4771171606205105,1.4779185128106338,1.487755249470237,,,1.4414488273637525,1.4747396008332774,1.4602489180604734,1.4906103962153707,1.4823255367177368,1.5146726862302484,1.4831163065995856,1.4992009470257472,1.598281404074942,1.545686221778273,1.4598757019026332,1.475344818186774,1.457325672499347,1.5022982501958737,1.4483398725899677,1.4779310635784502,1.4934133019171039,1.5333404733854556,1.4390316796174536,1.4745467224546722,1.4296168952878956,1.4829220538901424,1.4717344319870322,1.4942478274573372,1.4791125360014798,1.4903071245497064,1.5108221463668507,1.4809349599718347,1.449772931899358,1.4995696094824431,1.5094140212157985,1.5522174815046776,1.4479272579380065,1.4881426178233543,1.4685665265775765,1.4930034156553496,1.5031606466305159,1.51301532837025,1.4576446494693946,1.4837818828737512,1.439846634141709,1.4677896086321711,1.4734238657205847,1.482307279026252,1.4628184696897573,1.4790032493739265
