Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Zoroark,30,15,15,15,Snarl,Foul Play,,,
Zoroark,35,15,15,15,Snarl,Foul Play,,,"Future Pokemon: Aegislash (can't), Zoroark, Hisuian Zoroark, Hisuian Typhlosion, Ash Greninja, Dhelmise, Lunala, Dawn Wings Necrozma, Marshadow, Blacephalon, Polteageist, Grimmsnarl, Cursola, Dragapult, Urshifu Single Strike, Spectrier, Calyrex Shadow Rider"
Zoroark,40,15,15,15,Snarl,Foul Play,,,
Zoroark,45,15,15,15,Snarl,Foul Play,,,"Future shadows and megas: Mega Banette, Mega Mewtwo Y, Mega Tyranitar, Shadow Gengar (Lick and Shadow Claw), Shadow Chandelure, Shadow Hydreigon, Shadow Banette, Shadow Giratina-O, Shadow Darkrai"
Zoroark,50,15,15,15,Snarl,Foul Play,,,
Dhelmise,30,15,15,15,Shadow Claw,Shadow Ball,,,"Other Poltergeist users: Gengar, Giratina, Decidueye, Dhelmise, Lunala, Marshadow, Polteageist, Cursola"
Dhelmise,35,15,15,15,Shadow Claw,Shadow Ball,,,
Dhelmise,40,15,15,15,Shadow Claw,Shadow Ball,,,"Other Brutal Swing users: Gyarados (Mega), Tyranitar (& Shadow, Mega), Absol (& Mega), Krookodile, Greninja (& Ash), Incineroar, Zarude"
Dhelmise,45,15,15,15,Shadow Claw,Shadow Ball,,,
Dhelmise,50,15,15,15,Shadow Claw,Shadow Ball,,,"Signature moves: Giratina-O, Darkrai, Decidueye, Incineroar, Lunala, Marsahdow, Zoroark, Hisuian Zoroark, Pangoro, Hoopa (Unbound), Grimmsnarl, Urshifu Single Strike, Calyrex Shadow Rider"
Lunala,30,15,15,15,Confusion,Shadow Ball,,,
Lunala,35,15,15,15,Confusion,Shadow Ball,,,"Better regular moves: Tyranitar (Snarl/Foul Play or Brutal Swing; & Shadow, Mega), Darkrai (Foul Play), Aegislash Blade (Shadow Claw), Lunala (Shadow Claw or Hex), Spectrier (Hex), Calyrex Shadow Rider (Hex), Urshifu Single Strike (Snarl/Foul Play)"
Lunala,40,15,15,15,Confusion,Shadow Ball,,,
Lunala,45,15,15,15,Confusion,Shadow Ball,,,"GamePress: Aegislash (with Shadow Claw), Hisuian Zoroark, Hisuian Typhlosion, Ash Greninja (with Brutal Swing), Shadow Giratina Origin"
Lunala,50,15,15,15,Confusion,Shadow Ball,,,
Lunala,30,15,15,15,Air Slash,Shadow Ball,,,
Lunala,35,15,15,15,Air Slash,Shadow Ball,,,
Lunala,40,15,15,15,Air Slash,Shadow Ball,,,
Lunala,45,15,15,15,Air Slash,Shadow Ball,,,
Lunala,50,15,15,15,Air Slash,Shadow Ball,,,
Necrozma (Dawn Wings),30,15,15,15,Shadow Claw,Shadow Ball,,,
Necrozma (Dawn Wings),35,15,15,15,Shadow Claw,Shadow Ball,,,
Necrozma (Dawn Wings),40,15,15,15,Shadow Claw,Shadow Ball,,,
Necrozma (Dawn Wings),45,15,15,15,Shadow Claw,Shadow Ball,,,
Necrozma (Dawn Wings),50,15,15,15,Shadow Claw,Shadow Ball,,,
Marshadow,30,15,15,15,Shadow Claw,Shadow Ball,,,
Marshadow,35,15,15,15,Shadow Claw,Shadow Ball,,,
Marshadow,40,15,15,15,Shadow Claw,Shadow Ball,,,
Marshadow,45,15,15,15,Shadow Claw,Shadow Ball,,,
Marshadow,50,15,15,15,Shadow Claw,Shadow Ball,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Marshadow,30,15,15,15,Shadow Claw,Shadow Punch,,,
Marshadow,35,15,15,15,Shadow Claw,Shadow Punch,,,
Marshadow,40,15,15,15,Shadow Claw,Shadow Punch,,,
Marshadow,45,15,15,15,Shadow Claw,Shadow Punch,,,
Marshadow,50,15,15,15,Shadow Claw,Shadow Punch,,,
Blacephalon,30,15,15,15,Shadow Claw,Shadow Ball,,,
Blacephalon,35,15,15,15,Shadow Claw,Shadow Ball,,,
Blacephalon,40,15,15,15,Shadow Claw,Shadow Ball,,,
Blacephalon,45,15,15,15,Shadow Claw,Shadow Ball,,,
Blacephalon,50,15,15,15,Shadow Claw,Shadow Ball,,,
Blacephalon,30,15,15,15,Astonish,Shadow Ball,,,
Blacephalon,35,15,15,15,Astonish,Shadow Ball,,,
Blacephalon,40,15,15,15,Astonish,Shadow Ball,,,
Blacephalon,45,15,15,15,Astonish,Shadow Ball,,,
Blacephalon,50,15,15,15,Astonish,Shadow Ball,,,
Polteageist,30,15,15,15,Hex,Shadow Ball,,,
Polteageist,35,15,15,15,Hex,Shadow Ball,,,
Polteageist,40,15,15,15,Hex,Shadow Ball,,,
Polteageist,45,15,15,15,Hex,Shadow Ball,,,
Polteageist,50,15,15,15,Hex,Shadow Ball,,,
Grimmsnarl,30,15,15,15,Snarl,Foul Play,,,
Grimmsnarl,35,15,15,15,Snarl,Foul Play,,,
Grimmsnarl,40,15,15,15,Snarl,Foul Play,,,
Grimmsnarl,45,15,15,15,Snarl,Foul Play,,,
Grimmsnarl,50,15,15,15,Snarl,Foul Play,,,
Cursola,30,15,15,15,Hex,Shadow Ball,,,
Cursola,35,15,15,15,Hex,Shadow Ball,,,
Cursola,40,15,15,15,Hex,Shadow Ball,,,
Cursola,45,15,15,15,Hex,Shadow Ball,,,
Cursola,50,15,15,15,Hex,Shadow Ball,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Dragapult,30,15,15,15,Hex,Shadow Ball,,,
Dragapult,35,15,15,15,Hex,Shadow Ball,,,
