Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Volcarona,30,15,15,15,Fire Spin,Overheat,,,GamePress:
Volcarona,35,15,15,15,Fire Spin,Overheat,,,Hisuian Typhlosion & Shadow
Volcarona,40,15,15,15,Fire Spin,Overheat,,,"Shadow Darmanitan, Delphox, Incineroar, Cinderace"
Volcarona,45,15,15,15,Fire Spin,Overheat,,,
Volcarona,50,15,15,15,Fire Spin,Overheat,,,
Blacephalon,30,15,15,15,Fire Spin,Overheat,,,
Blacephalon,35,15,15,15,Fire Spin,Overheat,,,
Blacephalon,40,15,15,15,Fire Spin,Overheat,,,
Blacephalon,45,15,15,15,Fire Spin,Overheat,,,
Blacephalon,50,15,15,15,Fire Spin,Overheat,,,
Blacephalon,30,15,15,15,Fire Spin,Fire Blast,,,
Blacephalon,35,15,15,15,Fire Spin,Fire Blast,,,
Blacephalon,40,15,15,15,Fire Spin,Fire Blast,,,
Blacephalon,45,15,15,15,Fire Spin,Fire Blast,,,
Blacephalon,50,15,15,15,Fire Spin,Fire Blast,,,
Delphox,30,15,15,15,Fire Spin,Blast Burn,,,
Delphox,35,15,15,15,Fire Spin,Blast Burn,,,
Delphox,40,15,15,15,Fire Spin,Blast Burn,,,
Delphox,45,15,15,15,Fire Spin,Blast Burn,,,
Delphox,50,15,15,15,Fire Spin,Blast Burn,,,
Incineroar,30,15,15,15,Fire Fang,Blast Burn,,,
Incineroar,35,15,15,15,Fire Fang,Blast Burn,,,
Incineroar,40,15,15,15,Fire Fang,Blast Burn,,,
Incineroar,45,15,15,15,Fire Fang,Blast Burn,,,
Incineroar,50,15,15,15,Fire Fang,Blast Burn,,,
Cinderace,30,15,15,15,Ember,Blast Burn,,,
Cinderace,35,15,15,15,Ember,Blast Burn,,,
Cinderace,40,15,15,15,Ember,Blast Burn,,,
Cinderace,45,15,15,15,Ember,Blast Burn,,,
Cinderace,50,15,15,15,Ember,Blast Burn,,,
,,,,,,,,,
