Attacker,Fast Move,Charged Move,Level,"Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
(Boss weights),,,,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,40,1.4695487621494554,0.751766,1.606762688889157,0.59403586,1.390153261603378,0.9423729,1.4202672592010162,0.47346383,1.4264979742658204,0.9807167,1.4022493375365028,0.7956184,1.5568753586025372,0.6809261,1.4085587060305673,0.6794789,1.3796384615028237,0.65132517,1.344689823294086,0.80474883,1.6191855498877645,0.5200752,1.3748542198891687,0.80761456,1.4360397185736617,0.67003924,1.4390275866927866,0.5424247000000001,1.4670681402185037,0.5142531,1.379726169405505,0.7867296,1.3936635060443487,0.97887474,1.3680850562421663,0.7388793,1.4908282700403992,0.68338877,1.421209309071408,0.7653511,1.3921091028093042,0.7610202,1.4031439956124052,0.7884237,1.4042689957809529,0.4720687600000001,1.4307914452713182,0.6470222500000001
Hydreigon,Bite,Brutal Swing,40,1.2050642057359582,0.7000923,1.2652223441386914,0.5453193,1.250093369655325,0.9182733,1.2540354582975075,0.44660258,1.3114091679670354,0.9323288,1.1551727116247408,0.7190606,1.283218997270246,0.62987596,1.2950541640420383,0.65022695,1.2734825703714867,0.6467523,1.2103046647467102,0.7898187,1.2621975592638226,0.47337818,1.2864692893617455,0.7950495,1.3231013866491406,0.63557786,1.2591083264744134,0.5099631000000001,1.3347672118388116,0.5050104,1.281828090929206,0.77853423,1.1807191543018247,0.8980424,1.258606995621109,0.73328173,1.2584124167173687,0.6562468,1.2519507540890447,0.7337611,1.241714060762341,0.7264266,1.2706719876561872,0.7659212,1.3955769905727289,0.4759971500000001,1.2391165212826647,0.6074087000000001
Banette,Shadow Claw,Shadow Ball,35,1.6416631297671616,0.8698649,1.8036222969127804,0.6899684,1.5625381175645667,1.0850462,1.7875915645121796,0.5575445,1.6324066225211515,1.1525153,1.4728693090680376,0.9379542,1.659110108729556,0.80267954,1.5847526327341328,0.7925093,1.5112384993797674,0.7597291,1.5424481664346157,0.9484125400000002,1.7758631089563026,0.60354877,1.5795578572379134,0.94636565,1.5624172377053425,0.7733744,1.789959583007707,0.6394785000000001,1.6783540547594575,0.60893184,1.6120375635041246,0.9311927,1.5669673889455362,1.1383952,1.5808495667314417,0.8701103,1.6401419755232047,0.7924279,1.5767899175529816,0.8944456,1.5371705820615247,0.8821655500000002,1.5996498479715844,0.8960569,1.5351956807643354,0.5441533,1.6109227920617162,0.7586019
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,40,1.205096362652993,0.6708456,1.224169451003956,0.4977461,1.2474456399437006,0.88455653,1.1936417897589826,0.40079427,1.2079896716088303,0.83759207,1.1622948513903708,0.70119035,1.1176366857832802,0.52444625,1.217900034810861,0.5853326,1.2410023470622822,0.62680864,1.1903476644272641,0.7547254,1.0852073999984808,0.3877339,1.2749974391429701,0.7739734,1.2593100088233664,0.62299365,1.256347730535238,0.4830461000000001,1.2366805206935523,0.46198884,1.2036768097818047,0.68657845,1.232149543910493,0.89633375,1.3145875954982702,0.7581114,1.2665539414632134,0.63803166,1.2056707857127744,0.7090245,1.2059566960403816,0.70344144,1.2414088221495119,0.71736044,1.3414478495704676,0.44859520000000014,1.2265619196070952,0.5882257000000001
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,35,1.203627229130554,0.69866407,1.2307332974052048,0.51696604,1.2090993344675798,0.91505986,1.2171377537056511,0.43029067,1.2442841059954945,0.9094172,1.126918817351288,0.70247674,1.0937770489344856,0.55373615,1.2126204151001074,0.6046976,1.207427716882887,0.63344264,1.2247872009371437,0.7991848000000003,1.0719995002933262,0.40747106,1.2412351442001512,0.7927357,1.2265286813990448,0.62578756,1.2164514082145266,0.5111034000000001,1.2153404296870582,0.46821254,1.1938565410196134,0.7162268,1.2944425254444254,0.98640144,1.2740394810512075,0.75880104,1.2753673020226692,0.65277827,1.2136598170977235,0.75616103,1.2279838748219218,0.7494585000000001,1.2765557171072859,0.76431334,1.3084916422884127,0.4763565,1.2585294374676135,0.63132703
