Attacker,Fast Move,Charged Move,Level,"Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Arceus (Ghost), Tier 5","Arceus (Ghost), Tier 5","Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Shadow Rider), Tier 5","Calyrex (Shadow Rider), Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Hoopa, Tier 5","Hoopa, Tier 5","Jirachi, Tier 5","Jirachi, Tier 5","Lugia (Apex), Tier 5","Lugia (Apex), Tier 5","Lugia, Tier 5","Lugia, Tier 5","Lunala, Tier 5","Lunala, Tier 5","Mew, Tier 5","Mew, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma (Dawn Wings), Tier 5","Necrozma (Dawn Wings), Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Solgaleo, Tier 5","Solgaleo, Tier 5","Spectrier, Tier 5","Spectrier, Tier 5","Victini, Tier 5","Victini, Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Uxie, Tier 5","Uxie, Tier 5","Blacephalon, Ultra Beast Tier","Blacephalon, Ultra Beast Tier"
(Boss weights),,,,1.0869565217391304,0.0,1.0869565217391304,0.0,1.0869565217391304,0.0,1.0869565217391304,0.0,1.0869565217391304,0.0,1.0869565217391304,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,1.0869565217391304,0.0,1.0869565217391304,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,0.5434782608695652,0.0,0.5434782608695652,0.0,0.5434782608695652,0.0,0.5434782608695652,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,0.5434782608695652,0.0,0.5434782608695652,0.0,0.5434782608695652,0.0,0.5434782608695652,0.0,1.0869565217391304,0.0,1.0869565217391304,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0,2.1739130434782608,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Weavile,Snarl or Feint Attack,Foul Play,40,1.4228118573449675,2.1450548,1.4978951840014163,3.16203,1.4071156957785846,2.6689408,1.2912071355419066,2.661033,1.2478429209878423,2.6702158000000003,1.2192072292667098,1.3819727,1.4834489397700281,2.5620506,1.4475435170118427,0.7379911,1.1890027793950926,1.3085321000000003,1.5138594020716818,2.3759909,1.2966872364566997,2.8327672,1.4030042496359463,3.3671856,1.6100308612531482,1.4013531,1.561202446033979,2.3999774000000005,1.59823547230777,2.2622607,1.582427167480785,1.6356492,1.5856496650266931,2.6152651,1.6881858249201576,2.3573842,1.5967461611817255,2.233129,1.2918560464488797,1.7066011000000005,1.6703367776054292,2.3972197,1.3979354666809642,1.7560843,1.4244037994023537,2.7467096000000004,1.5026827174692394,1.4002101,1.287480293849167,0.66150177,1.5049721746333329,3.6387055,1.4185453855170993,2.4211907,1.4551335233173575,2.4746926,1.403704597045725,2.162721,1.4236012601245365,2.720596,1.4334668194324305,2.3930538000000006,1.2410206102125279,2.2886918,1.4521524214370174,2.893719,1.3232833963559156,2.7243133
Golurk,Mud-Slap or Astonish,Earth Power or Shadow Punch,40,1.9301947155186687,3.0958807,2.0155706836919687,4.3286004,1.9913170407875989,3.83342,1.818884944597151,3.8292234,1.937492648891867,4.0635295000000005,2.157672621332861,2.100068,2.1894188453798873,3.776644,2.1860468922438696,1.1087596,1.9460033659965188,2.0308874000000006,1.6497979390075703,2.677559,1.972128961853427,4.275148,2.0109819452456477,4.9212265,2.174356421239411,1.9343784,2.139937070369372,3.389578600000001,2.217532179720348,3.2098641,2.1371495389835067,2.25879,1.851258636030566,3.1049857,2.2157360992501256,3.3192508,1.8946446270846284,2.7019897,1.944632868580889,2.4931660000000004,1.8541983081507403,2.662516,1.8940874966053876,2.5780418,2.110392641212431,4.097467000000001,1.9309848463900106,1.9996283,1.8307438166812664,1.0026473,2.0170733719469878,4.9846888,2.053779049738731,3.5627875,2.1560357390817684,3.6916952,2.0997369143253612,3.2197473,1.996321015249737,3.8819642,2.1885670782880853,3.473703000000001,1.8734716939248972,3.4380012,2.057521988117598,4.222544,1.9262688477840837,3.136321
Hoopa (Unbound),Astonish,Shadow Ball or Dark Pulse,40,1.2577603611683095,2.0121036,1.3252657985881484,2.8668962,1.3251526437064882,2.552265,1.2198019553318293,2.5565958,1.2147052042667352,2.5980280000000002,1.185068047803514,1.3249981,1.4479964483554575,2.4843566,1.3991474190752067,0.7152472,1.154071328767804,1.2710754000000002,1.4121460282865597,2.2933028,1.2489336356019458,2.7737339,1.3268530792918265,3.2409644,1.5222937972220103,1.3287976,1.4336814435407406,2.3012156000000004,1.5087626115268151,2.1651735,1.460496194566677,1.5699134,1.4755918297916883,2.4960318,1.6055356599712218,2.3050272,1.509592185197087,2.1303551,1.303952045454043,1.6990979000000004,1.3832978544370533,2.2634282,1.2187040864042402,1.6512605,1.4037864722084918,2.6707294000000004,1.3067684943249422,1.3556217,1.2584504193675539,0.6542064,1.4029147014002508,3.430886,1.352374714723476,2.3201356,1.409748072433052,2.387547,1.366093520297746,2.1247911,1.3589241465378554,2.6387246,1.3033164357475566,2.3206370000000005,1.224114777298022,2.2302399,1.3514728449602413,2.7252169,1.2907140772426393,2.5632987
Mega Gyarados,Waterfall or Bite or Dragon Tail,Crunch,40,1.1892498585761317,1.9190007,1.2981707675356864,2.8619854,1.1984659856143065,2.3854542,1.0935373627708767,2.3827798,1.1445164642319379,2.5691510000000006,1.1033448710795086,1.2845657,1.4621108180224602,2.5324538,1.4032001755023122,0.71809244,1.0687574951846084,1.2243081000000002,1.2752953589316847,2.1329176,1.1542221948262754,2.6030982,1.2106474785658679,3.035621,1.4824724061283674,1.2666966,1.313902493595542,2.1459260000000002,1.4746560119102832,2.0488293,1.4723875727770928,1.5148834,1.4938527164241597,2.4104218,1.5099022736046608,2.1580935,1.480744118956773,2.0221078,1.1817820364147136,1.5836313000000004,1.281557527120419,2.1124291,1.1659628918080844,1.6027808,1.3268482696837285,2.6210406000000006,1.2484978417916226,1.2984334,1.117293196700577,0.61145705,1.3694109833248809,3.4324632,1.3267500167495272,2.3055098,1.3273268555416227,2.335247,1.2005691455033018,1.9527156,1.283237855065999,2.5664015,1.259597870108633,2.2540772000000002,1.1421223233346218,2.2239249,1.2938241914416242,2.6713302,1.0476293566564996,2.328825
Gardevoir,Confusion or Charge Beam or Charm,Shadow Ball or Dazzling Gleam,40,1.7776164864358746,2.8290393,1.864586208550524,4.06695,1.790441164984778,3.4528599,1.679059877978365,3.537104,1.7104669989935912,3.687747700000001,2.3815411529574955,2.0609698,1.969365784298619,3.386482,1.9079421975046884,0.9724113,1.805731094116313,1.9431795000000005,1.9513419264929528,3.1687424,1.5925546492063165,3.5280924,1.7300139836328685,4.109123,2.2227278581240935,1.9263409,1.9261634773185352,3.081384200000001,2.0844584836697386,2.970848,2.037019854588082,2.3031945,1.9813273971527268,3.4700103,1.7839517699839729,2.5049686,2.1008728470638993,2.913901,1.7531502592892387,2.3080475000000003,1.871313396331731,3.092237,1.7386668583566058,2.3787649,1.9040550092539894,3.626023500000001,1.9453261342423918,1.8973327,1.7947093925003752,0.92512155,1.8671046333454635,4.5721674,1.9201376003367963,3.236657,1.5336674521497975,2.6006913,1.566396729669435,2.3204126,1.503084047797488,2.991141,1.4949265280370243,2.6270432000000006,1.655048248290956,3.0891612,1.883733184514063,3.715743,2.1075585404418957,3.6285267
