Attacker,Fast Move,Charged Move,Level,"Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Banette, Mega Tier","Mega Banette, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier"
(Boss weights),,,,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Gardevoir,Confusion or Charge Beam or Charm,Dazzling Gleam or Psychic or Shadow Ball,35,1.9025155184184817,2.0352926000000005,2.063084171827823,1.6784048,1.5661278708504396,1.6198884,1.7746988006931614,2.811187,1.7539777422394738,2.2375114,1.4356188254156468,5.6481366,1.375085517380717,4.729155000000001,1.80214130506338,5.744727
Shadow Tyranitar,Bite,Crunch,30,1.074372902339158,1.3872955,1.0536871573427726,1.0927289,1.1148505633846055,1.3429695,1.1350457674132737,1.8781682,1.2054260476187368,1.6339242,1.0288933836471785,4.743891,1.0907483055771647,3.9979389000000007,1.0879890217638677,3.8106606
Trevenant,Shadow Claw,Shadow Ball,35,1.566129422604656,,1.6974677772350577,,1.708526020407425,,1.3329959222423662,,1.642499794433474,,1.5105705939354646,,1.3522142969727184,,1.7755717198987917,
Shadow Shiftry,Snarl,Foul Play,35,1.3203943235435451,1.5732934000000005,1.5034450570764415,1.2403519,1.6954440606005443,1.6160774,1.2867409394284277,2.0740025,1.4782262097999574,1.8175282,1.5844617861167491,5.395083,1.3588820313382586,4.431644400000001,1.769440263049765,4.5553575
Mega Banette,Shadow Claw,Shadow Ball,45,,,1.1359340200587886,0.85633445,,,,,,,,,,,,
