Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
(Boss weights),,,,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,15.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Goodra,Dragon Breath,Draco Meteor,35,1.6714033662562837,1.4345701646898943,1.452656860585458,1.4546704057897442,1.5412174265271792,1.5038324261176796,1.5631293110936273,1.5688804988656433,1.6132049225294545,1.5765482670249114,1.6099771894001973,1.4124030167172235,1.6155299620143988,1.391948677193631,1.6173549381287575,1.464923216960534,1.5752336735036194,1.602659935740994,1.5968483789323362,1.5305245002320664,1.6664744976921377,1.6763212359469886,1.515762781286049,1.5111968067669619,1.524143851386799,1.537507758034764,1.5275979017122683,1.537109061307238,1.6371461212115777,1.466077049671223,1.5226332950619401,1.4938140824285726,1.5419655648693762,1.5198559777007212,1.5261881224329759,1.5156833850500837,1.5749015564209579,1.5642281917922287,1.571621167199945,1.5593737449516814,1.6108685806591359,1.6086696833980423
Garchomp,Dragon Tail,Outrage,50,1.0753473273316307,1.0346104596116874,1.0671708015196641,1.0589627129887251,1.0967411783345697,1.0738471477661198,1.079260806553826,1.0729777292921574,1.1231041803952608,1.127232169179992,1.1227170548900898,1.0262524748300674,1.177539517383696,1.045085557196359,1.1920392448512653,1.055780998919513,1.1064607764978238,1.1354159696024073,1.113851892835136,1.1001412661399088,1.084578020516309,1.144981690664204,1.0787809490731874,1.0987190338900326,1.09839037346881,1.0939138291291077,1.10951402368715,1.1110937050260388,1.1388671219495967,1.075594524681104,1.0802341053914086,1.0686294049028084,1.0416038188911134,1.06452030719564,1.0918186291215115,1.090604598192999,1.1286054269252783,1.124951215128512,1.090576276577743,1.0997951853611008,1.1090472656965937,1.1414134823219622
Zekrom,Dragon Breath,Outrage,35,1.3026661873677634,1.185591677186553,1.2047933051011155,1.1880599833265792,1.1979592131026553,1.1625886640533878,1.2003548164291402,1.2122581479442627,1.221557623302627,1.2218190896367727,1.371686234135439,1.1339880061148295,1.3249792631067048,1.1624345992376817,1.362455312542702,1.1407189834421303,1.2485756470673712,1.2958045352486334,1.3298591942751978,1.2246378990429372,1.245176183136334,1.2721556065560367,1.2783214142454271,1.260054108813091,1.23308894176352,1.2425943505929355,1.257866877944892,1.260366022541302,1.2633765642199077,1.204894703151358,1.1920810381985267,1.1933955916343855,1.1786745877216542,1.1816801658483136,1.2622978122412634,1.2395682981729301,1.3503528332867634,1.2541317451095688,1.3079300714431676,1.2661502276077803,1.2728637904886961,1.2666523723393999
