Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
(Boss weights),,,,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,15.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Garchomp,Dragon Tail,Outrage,50,1.0936873719885742,1.1065495926596067,1.0881427572909577,1.1170809384820573,1.10153655279312,1.1214490396337153,1.1026529874539523,1.1277227441280517,1.1369679640425798,1.1722164526103185,1.1518595334254222,1.1021821820199869,1.1705477205641193,1.107135599120299,1.179817636035536,1.1118432468073294,1.1620133836390958,1.2190268213316613,1.1452990807963412,1.1965005358247929,1.1512027687777262,1.2226831772372033,1.0885378040149682,1.1549199676225914,1.1166182903397246,1.1402755406565555,1.1243333173053804,1.1691974804058276,1.1578846504497062,1.1424212316405624,1.1138568711918344,1.1438031202701129,1.078705614355488,1.1211585518426928,1.1341361453357617,1.1734741494967302,1.1288885147511019,1.1541196887338068,1.0922849287633187,1.1363067392785735,1.1521114722164247,1.1997873122832126
Zekrom,Dragon Breath,Outrage,35,1.297006713998365,1.2536972914389632,1.2144184570339374,1.2543107322970575,1.1997052958600056,1.2160404203691784,1.2047962536502945,1.261860665358856,1.2147051484794638,1.2557751379930069,1.3706772582363498,1.222038134511855,1.3089416825792222,1.2380424437661346,1.3371911438089952,1.2130131697667963,1.3027405109133954,1.3669841407119923,1.3410260667441476,1.3282794741370203,1.277091107187279,1.3565029895408927,1.2668487542749622,1.3138171863014745,1.226446997260946,1.2802927108458362,1.2674231860364475,1.3185632543155261,1.2833856160993706,1.283787504977096,1.2052868009469475,1.2630593394652074,1.1947037815740473,1.2385897981665686,1.2975708239625123,1.3282271811058324,1.3113420486880716,1.2821330910893947,1.2928085248264691,1.3050856400636308,1.2873172525517556,1.327280678215411
Hydreigon,Dragon Breath,Dragon Pulse,30,1.4933897884769052,1.4532968395528898,1.5266770991372114,1.469481354557846,1.4667867436356712,1.4842660918938066,1.5080600943085865,1.5334507113759224,1.4392889777558981,1.45438475518675,1.6457832887066917,1.4439486678846163,1.6217184755335652,1.4458506962958788,1.7668808127429207,1.4831105115213772,1.564519302494027,1.6464881460740963,1.6075045658309812,1.6400578087030022,1.585388106979659,1.6684876294531206,1.5329982582310238,1.599463060512699,1.4655296185765097,1.494414782715343,1.4725008414675191,1.5263509159974995,1.5995195939433857,1.58632982424804,1.4919519152404237,1.5243722590910853,1.5194863012585749,1.5162529368372821,1.5992410445197711,1.6396387345989072,1.5784918464686533,1.5026336627801562,1.4867703306042124,1.5240125600187704,1.5607899261556197,1.612769213949929
