Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latios, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,6.25,2.083333333333333,2.083333333333333,2.083333333333333,3.125,3.125,6.25,6.25,6.25,6.25,6.25,8.75,8.75,8.75,8.75,15.0
Palkia,Dragon Tail,Draco Meteor,30,1.2089019931372031,1.4804079282527483,1.1334741783441913,1.2318713234828111,1.257657458219911,1.2805134203382054,1.260918307800641,1.2970665403144785,1.375206918946078,1.2830006675917138,1.233301896003453,1.258395176034328,1.2736712545069904,1.4842213784832614,1.595029903442171,1.2959820451758284
Palkia(Unscaled),Dragon Tail,Draco Meteor,30,2.6771727,2.6698627,2.2334967,2.293602,2.3860598,2.2489953,2.8435574,2.499851,2.6888516,2.5960138,2.5818894,2.382975,2.3824515,4.283839,3.5087152,0.76412225
Palkia,Dragon Breath,Draco Meteor,30,1.306610962322351,1.5407016119310826,1.184998788370898,1.2876970235101601,1.314148897956516,1.342080622864893,1.325312263319303,1.3548580346101846,1.4452645621685627,1.3883425182381826,1.3000739630696716,1.3433752878483745,1.316521207686256,1.5059569613672865,1.6583525935909413,1.366842587304559
Palkia(Unscaled),Dragon Breath,Draco Meteor,30,2.893554,2.7786002,2.3350253,2.397543,2.4932368,2.3571272,2.9887753,2.6112332,2.8258307,2.8091617,2.7216752,2.5438986,2.462604,4.3465734,3.6480112,0.80590224
Dragonite,Dragon Tail,Draco Meteor,30,1.2850003318960204,1.7383427405988985,1.3948546742874541,1.4805688258626584,1.4103942836526284,1.3349041528862202,1.338532238238909,1.3537930795092623,1.4867008770611725,1.3572431131005533,1.3022219683118592,1.3310513349822373,1.3948961657464682,1.4954281214532308,1.4918659146036497,1.3844040658357348
Dragonite(Unscaled),Dragon Tail,Draco Meteor,30,2.8456962,3.1350389,2.7485437,2.756648,2.675836,2.344523,3.0185883,2.6091807,2.9068484,2.7462354,2.726172,2.5205612,2.6092074,4.3161845,3.2817771,0.81625664
Dragonite,Dragon Tail,Dragon Claw,30,1.2950849134519038,1.5540559662897662,1.2951026586060554,1.2866489992611787,1.4184754527071242,1.317949641498196,1.3114771181314928,1.34856341059174,1.3780021851090778,1.2995202512374762,1.2740153558873244,1.3067106646651125,1.3838242756579013,1.3942804536843507,1.375754041244666,1.3856420394903624
Dragonite(Unscaled),Dragon Tail,Dragon Claw,30,2.868029,2.8026843,2.5519836,2.3955917,2.6911678,2.3147454,2.957575,2.5991015,2.694317,2.6294394,2.6671221,2.4744682,2.588497,4.0242467,3.0263565,0.81698656
Dragonite,Dragon Breath,Dragon Claw,30,1.3476225633300505,1.5709932029701503,1.311638059109738,1.3800526498852452,1.4882434902967516,1.354624897890371,1.3322596565724287,1.3647302332529259,1.3946676055482252,1.354244040849417,1.3136387155303146,1.3483231615950029,1.4007943593578494,1.419069094903448,1.3896741592637298,1.455098514748774
Dragonite(Unscaled),Dragon Breath,Dragon Claw,30,2.9843762,2.83323,2.5845664,2.5694985,2.8235335,2.379159,3.0044427,2.63026,2.7269018,2.7401671,2.7500727,2.5532682,2.6202402,4.095793,3.0569777,0.8579387
Dragonite,Dragon Tail,Outrage,30,1.2762716020282234,1.650519760802571,1.3841089070598012,1.374418304380229,1.3789312340573114,1.3058440101368591,1.3078300847660553,1.333759367259456,1.3612297698147873,1.2988930372576273,1.3091194879027102,1.2880787219724914,1.357860526603351,1.4652035056935748,1.3753302261744147,1.3453458036836534
Dragonite(Unscaled),Dragon Tail,Outrage,30,2.826366,2.9766533,2.7273693,2.559008,2.6161435,2.293484,2.9493504,2.5705695,2.661523,2.6281703,2.7406118,2.4391856,2.5399308,4.2289486,3.0254242,0.79322755
Dragonite,Dragon Breath,Outrage,30,1.3168767094338398,1.694893749485019,1.4042250965814298,1.4983053727718005,1.4283321618858693,1.323254189391462,1.3236347680950429,1.3287468402224383,1.3516415578246328,1.328765344774449,1.342129448555733,1.315659516622265,1.362739815928972,1.4650071958338793,1.3776604589858568,1.3946048317098187
Dragonite(Unscaled),Dragon Breath,Outrage,30,2.916288,3.0566802,2.767008,2.7896714,2.7098682,2.3240619,2.9849923,2.5609088,2.6427758,2.6886137,2.8097174,2.4914143,2.5490577,4.228382,3.0305502,0.8222711
Dragonite,Dragon Tail,Dragon Pulse,30,1.3884836144966763,1.7381898681437646,1.4769050805955377,1.4219234019040066,1.4951258034429749,1.3918139549607929,1.4120658599790346,1.4306967950636724,1.4748644433490372,1.3947999903528352,1.4031131077042538,1.394049275638909,1.4711406146720936,1.532550468368439,1.4833877039169638,1.4616545580986793
Dragonite(Unscaled),Dragon Tail,Dragon Pulse,30,3.074865,3.1347632,2.910223,2.647457,2.8365908,2.444475,3.1844175,2.7573981,2.8837054,2.8222277,2.9373853,2.639858,2.7518256,4.423329,3.2631269,0.8618042
Dragonite,Dragon Breath,Dragon Pulse,30,1.4386607837532608,1.7939776680901123,1.488986050406308,1.5602470808606592,1.5621327037824442,1.4264280871782646,1.4311838513481154,1.4419709986653426,1.4769854168876546,1.4473476326193573,1.4479319860756066,1.4341625609091042,1.476090364979331,1.5418419948851338,1.4920140657689345,1.5253891195324518
Dragonite(Unscaled),Dragon Breath,Dragon Pulse,30,3.1859848,3.2353745,2.9340284,2.9049997,2.963718,2.5052686,3.2275314,2.779127,2.8878524,2.9285522,3.0312126,2.715819,2.7610843,4.4501467,3.282103,0.89938265
Dragonite,Steel Wing,Outrage,30,1.5343133522897892,1.799457732512794,1.4504176250800882,1.484495063173632,1.6433644814493584,1.5669497258220881,1.6002821100876747,1.588763683375903,1.7755444846453687,,,1.681509777431758,1.744416795845133,,1.613557572706582,1.609489477147614
Dragonite(Unscaled),Steel Wing,Outrage,30,3.3978121,3.2452576,2.8580298,2.7639582,3.117833,2.75207,3.608873,3.0620422,3.4716053,,,3.184211,3.2629993,,3.549472,0.94896895
Reshiram,Dragon Breath,Draco Meteor,30,1.3163560616631196,1.5843476682265165,1.1965144665977328,1.2904835552626146,1.3695704596000842,1.3356866968270247,1.2708133124743917,1.3015283519585028,1.4815132632193115,1.383125981890611,1.2314620383732862,1.3288579656167765,1.3164889709852583,1.2707341288883365,1.4867955443912075,1.3603559289587788
Reshiram(Unscaled),Dragon Breath,Draco Meteor,30,2.915135,2.8573143,2.3577168,2.4027312,2.598384,2.3458974,2.8658721,2.5084503,2.8967054,2.7986066,2.5780377,2.5164077,2.4625437,3.6676607,3.2706234,0.80207765
Reshiram,Fire Fang,Draco Meteor,30,1.7655138811559374,2.0574338542456236,1.4064497237358775,1.5921415959014427,1.9418081825275908,1.8147332913858503,1.6956529682309098,1.8031757505909916,2.503109601908559,2.566315856479445,1.687679330828155,1.7327878857360968,2.017505490931276,1.7552016049595645,1.9676920448688464,1.8691477179261968
Reshiram(Unscaled),Fire Fang,Draco Meteor,30,3.909817,3.7105083,2.7713916,2.9643836,3.684048,3.187258,3.8239484,3.475281,4.8941655,5.192664,3.5331182,3.2813144,3.7738223,5.0659566,4.32849,1.1020657
Mega Charizard X,Dragon Breath,Dragon Claw,30,1.3308862436550288,1.4960305838064323,1.2044893459105932,1.2040486509259114,1.383125200457194,1.3467415534191858,1.3128975127131346,1.350882651909943,1.395414830612108,1.3369621236098346,1.273903293525241,1.3224888772383285,1.3657204544487398,1.3837925665154693,1.3908034993678002,1.4592416695636448
Mega Charizard X(Unscaled),Dragon Breath,Dragon Claw,30,2.9473128,2.6980376,2.3734312,2.2417994,2.6241004,2.3653133,2.9607782,2.6035714,2.7283628,2.705199,2.6668875,2.5043468,2.5546331,3.993976,3.059462,0.86038154
Mega Charizard X,Wing Attack,Dragon Claw,30,1.5672025771387315,1.8817814071385504,1.4500427939786475,1.4647386271671863,1.7085272678445445,1.5991180666017546,1.5585369119898116,1.563084074689958,1.6440489328592962,1.5727002335286027,1.6051963689883986,1.649668560158495,1.605981121589138,1.7234710923164265,1.6300763594471845,1.6707911876533295
Mega Charizard X(Unscaled),Wing Attack,Dragon Claw,30,3.4706469,3.3937254,2.8572912,2.727174,3.2414615,2.808568,3.5147314,3.0125496,3.2145007,3.1821897,3.360442,3.1239145,3.00405,4.9743743,3.5858097,0.98511297
Mega Charizard X,Air Slash,Dragon Claw,30,1.6514384192898872,2.020033333625364,1.534039977416756,1.5747331037308223,1.7966736162886274,1.684264017252862,1.6775466177829568,1.6823691118295212,1.811343725472887,1.7043131129681024,1.7973184518083118,1.8393121285272729,1.7095047694279317,1.8774266320483155,1.7135441077249443,1.8179044076811148
Mega Charizard X(Unscaled),Air Slash,Dragon Claw,30,3.6571913,3.6430578,3.0228066,2.931971,3.408695,2.9581118,3.7831159,3.242449,3.5416012,3.4484942,3.7626452,3.4830353,3.197695,5.418729,3.7694204,1.0718522
Mega Charizard X,Fire Spin,Dragon Claw,30,1.6770476065329782,1.792330449365172,1.399433388945629,1.408338025712015,1.8199581441425912,1.7257113454807944,1.7102129882384658,1.7426131419454656,1.95106586208445,1.9191005165384627,1.6620969170335362,1.6487227735848726,1.894290832138847,1.9811776401891807,1.729036564653141,1.8226004037559353
Mega Charizard X(Unscaled),Fire Spin,Dragon Claw,30,3.7139041,3.2324038,2.757566,2.6221626,3.452871,3.0309067,3.8567834,3.358558,3.8147907,3.8830934,3.479562,3.1221235,3.5433445,5.7181807,3.8035004,1.074621
Mega Charizard X,Ember,Dragon Claw,30,1.700760064464593,1.9030521925525332,1.4549692398454697,1.4678714747274322,1.8449513249742846,1.7296389257762423,1.6892971104335501,1.7621620337098631,1.9634514371731018,1.868073834813257,1.6826764580956506,1.6596373407523275,1.8716516332085709,1.958360828609158,1.7538128127528376,1.8621688517572175
Mega Charizard X(Unscaled),Ember,Dragon Claw,30,3.7664165,3.4320865,2.8669987,2.733007,3.5002887,3.0378048,3.809615,3.3962348,3.8390074,3.7798464,3.5226448,3.142792,3.500997,5.6523256,3.8580027,1.0979509
Garchomp,Dragon Tail,Outrage,30,1.256766366424947,1.4908287616687927,1.2773948578714658,1.3848268453186459,1.3163416789411695,1.2662134888506562,1.2549892069167965,1.317841959417765,1.3402065082535892,1.285834522260734,1.1762019667565522,1.176882948323563,1.3232203469930697,1.3034966368510816,1.4324965739758908,1.336591556565815
Garchomp(Unscaled),Dragon Tail,Outrage,30,2.7831707,2.6886563,2.5170906,2.5783875,2.497397,2.22388,2.8301864,2.5398917,2.6204176,2.6017478,2.462352,2.2286184,2.475135,3.7622216,3.1511776,0.78806597
Garchomp,Mud Shot,Outrage,30,1.434242231713997,1.677552013508225,1.4867705072983208,1.6307856169803023,1.498098038425058,1.4415247968895928,1.424460833612694,1.4587461299064661,1.5524718215342181,1.3738707331311515,1.2537615886143876,1.2437033242312157,1.4039492257524946,1.4400589359201792,1.5819777812346887,1.5292232727853206
Garchomp(Unscaled),Mud Shot,Outrage,30,3.1761997,3.025405,2.9296627,3.0363343,2.8422298,2.5317833,3.21237,2.8114579,3.035446,2.7798796,2.6247213,2.3551536,2.6261415,4.156375,3.4800034,0.9016433
Zekrom,Dragon Breath,Outrage,30,1.286711605839383,1.6150210799859515,1.2937944544180058,1.3943895227866994,1.3164009760568787,1.2545463303420652,1.2676842938911326,1.2835605228901008,1.319643140448341,1.300517091988682,1.1976252714861186,1.2165543384486956,1.3294672101963347,1.3147620371794104,1.3582413824799404,1.3112291920673418
Zekrom(Unscaled),Dragon Breath,Outrage,30,2.8494859,2.9126327,2.5494058,2.5961921,2.4975095,2.2033887,2.8588157,2.4738207,2.5802114,2.6314564,2.5072012,2.3037426,2.48682,3.7947364,2.9878325,0.7731121
Zekrom,Charge Beam,Outrage,30,1.4841812034865791,2.0928590653476795,1.4870533814601716,1.6673013641448418,1.5143226780369543,1.4541918283714428,1.4573730859349363,1.5219199410079731,1.4880544233524555,1.5480920556981432,1.3949862936171455,1.4167844323213135,1.5172899915254365,1.495196159838218,1.581746667235208,1.523744147113712
Zekrom(Unscaled),Charge Beam,Outrage,30,3.286792,3.7743964,2.9302201,3.1043224,2.8730116,2.5540307,3.286592,2.9332135,2.9094949,3.1323977,2.920372,2.6829107,2.8381498,4.315515,3.479495,0.89841276
Kyurem,Dragon Breath,Draco Meteor,30,1.416855531306826,1.8114696149776637,1.4907664727637195,1.4182183920763287,1.517641155466232,1.4519568181959228,1.460154854581606,1.484956062884081,1.6635890984312773,1.574501169422204,1.4150075291003885,1.4824629465270436,1.6007347722485095,1.5173531194454373,1.635230965348265,1.4819227471672016
