Attacker,Fast Move,Charged Move,Level,Arceus (Dark),Arceus (Dark),Arceus (Dragon),Arceus (Dragon),Arceus (Fighting),Arceus (Fighting),Darkrai,Darkrai,Shadow Darkrai,Shadow Darkrai,Giratina (Origin),Giratina (Origin),Giratina (Altered),Giratina (Altered),Keldeo,Keldeo,Koraidon,Koraidon,Kubfu,Kubfu,Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Shadow Latias,Shadow Latias,Latias,Latias,Shadow Latios,Shadow Latios,Latios,Latios,Marshadow,Marshadow,Meloetta (Pirouette),Meloetta (Pirouette),Miraidon,Miraidon,Moltres (Galarian),Moltres (Galarian),Necrozma (Ultra),Necrozma (Ultra),Palkia,Palkia,Palkia (Origin),Palkia (Origin),Shadow Palkia,Shadow Palkia,Shadow Terrakion,Shadow Terrakion,Terrakion,Terrakion,Ting-Lu,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Urshifu (Single Strike),Urshifu (Single Strike),Zapdos (Galarian),Zapdos (Galarian),Shadow Zekrom,Shadow Zekrom,Zekrom,Zekrom,Regidrago,Regidrago,Yveltal,Yveltal,Zamazenta (Hero),Zamazenta (Hero),Guzzlord,Guzzlord,Mega Absol,Mega Absol,Mega Gallade,Mega Gallade,Mega Sableye,Mega Sableye,Mega Sharpedo,Mega Sharpedo,Mega Altaria,Mega Altaria,Mega Ampharos,Mega Ampharos,Mega Gyarados,Mega Gyarados,Mega Lopunny,Mega Lopunny,Mega Medicham,Mega Medicham,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Mega Mewtwo X,Mega Mewtwo X,Mightyena,Mightyena,Absol,Absol,Bombirdier,Bombirdier,Crawdaunt,Crawdaunt,Drampa,Drampa,Druddigon,Druddigon,Gallade,Gallade,Hariyama,Hariyama,Machamp,Machamp,Machoke,Machoke,Medicham,Medicham,Passimian,Passimian,Poliwrath,Poliwrath,Primeape,Primeape,Sableye,Sableye,Shadow Sableye,Shadow Sableye,Samurott (Hisuian),Samurott (Hisuian),Sharpedo,Sharpedo,Shelgon,Shelgon,Umbreon,Umbreon,Zweilous,Zweilous,Shadow Sawk,Shadow Sawk,Shadow Throh,Shadow Throh
(Boss weights),,,,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Shadow Tier 3,Shadow Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Alcremie,Charm,Dazzling Gleam,50,1.49615624078692,1.486498958347821,1.5105938695465813,1.4864119992136313,1.5310636142015694,1.5112981430644792,1.3942121651501878,1.4066936153958254,1.4141136353679091,1.4154165220235038,1.3801009439748548,1.4136387948677176,1.4592939724592795,1.5043200420108223,1.4807162783802768,1.5149145679067038,1.4869770639385216,1.5146561181588292,1.5339286443094322,1.557707400667743,1.469945819041923,1.4644953213026393,1.510745495963936,1.5165066752414587,1.458287131688884,1.4729201210400034,1.522764493616291,1.6169035547587074,1.488433756187103,1.506692165616451,1.5325093333335678,1.5897767678782093,1.5150932189588788,1.5245712888588794,1.4846816992660705,1.574359949557932,1.493988010026962,1.5252043267936495,1.4669424264832656,1.4469338739203106,1.542569031079149,1.5307151109562245,1.4651282793960854,1.5258282126428369,1.4511136115058836,1.4458449777187745,1.4602236675961342,1.4522018796924319,1.4736648563678687,1.5442312983439868,1.5107703245731854,1.5428380607528778,1.4946383909213556,1.5179002875423058,1.4611201797403701,1.4366706855958313,1.5200019247938037,1.5633050805921052,1.4601716813880852,1.4877356978823182,1.5241397519794977,1.5130347570208404,1.4732346649109351,1.569942979275557,1.4449804445162902,1.4741215131548944,1.47329108634733,1.504118514107223,1.5437300574158552,1.5294828044022455,1.4932672533870504,1.5051137553578322,1.4433901774232976,1.4842636756361764,1.3740049880170904,1.3757442800086779,1.5201564595861254,1.5050168950159972,1.4208634698317413,1.4595989812888952,1.4194561634531342,1.432505621411897,1.4598733826115098,1.5292669804869263,1.4586755481320977,1.4714137380649321,1.4368551363265667,1.454554125302704,1.49388564325956,1.5184626299253385,1.5336188861296909,1.5634882959639638,1.4780498192460703,1.4756728988592678,1.5249962074791812,1.4773921724131704,1.537927076398607,1.523531340072688,1.469950891097524,1.5314653468718487,1.3888814172318638,1.4363893478291732,1.5583444499598038,1.5988144703144174,1.4645475886531885,1.4915531834893367,1.470727356486092,1.5331501652797417,1.4366563030183983,1.4849404652209175,1.5283281195689957,1.5202667928485263,1.4873489188155007,1.5238622485256172,1.5172479542413333,1.535384871860934,1.534448724554689,1.6267343565196009,1.4621790303269626,1.546254110401276,1.5032735499215257,1.5687164678738323,1.4746783742068783,1.537024774974475,1.4912266079678032,1.571484991754611,1.450291096905835,1.5463774732669564,1.4045517197393549,1.4794304503885225,1.4377872663378055,1.5063188942918424,1.4453376900751067,1.4557538309490288,1.455805475779353,1.5392197998369457,1.4448379874186712,1.5160715454101144,1.4265847840329788,1.5191279204830976,1.5464657056468425,1.5480207340792973,1.4877609482180905,1.536208758141978
Zacian,Geomancy,Play Rough,50,1.0855716020186401,1.118527148634056,1.0904498953119748,1.12225919874181,1.1034929735682666,1.1406226261463634,1.040534558790795,1.0430685916927291,1.0042158641268657,1.1061123050554071,1.026515192192124,1.0640080932781806,1.0877204519211467,1.154999293485143,1.1152678317743234,1.1331324596800816,1.113687983868294,1.1371273806212279,1.1473397949672062,1.1959052550149907,1.082466690892965,1.1025024619962829,1.1124682151547778,1.1276917350594953,1.0812207365423256,1.1232401677406443,1.1264156886075618,1.1991188198340241,1.0960731860478636,1.1440891187436801,1.125609300880881,1.201559604001633,1.125125666532276,1.140989701743335,1.1340303199169621,1.1513455592215334,1.1183662212994097,1.125242746677204,1.0462862215916726,1.083881743432431,1.1280978702547377,1.1703776108773398,1.0870442118289247,1.1353653105271846,1.0951625707130819,1.1027891766135716,1.0850732400463534,1.0868048832517467,1.121310757129033,1.1614120118955873,1.104734592055943,1.137893752540043,1.1022154302165659,1.123980337968961,1.0693579816604553,1.096015242922263,1.1410048436078235,1.1659647501886232,1.090601755594572,1.1082755982744787,1.1397720996786043,1.1348700381562555,1.0825789562884498,1.155537104780002,1.0824589680503829,1.1012658780726146,1.0875665858191215,1.138886699934254,1.122256179709441,1.145914898259028,1.0964108114625488,1.1259357434872943,1.0578928517144837,1.1130837226182293,0.9967131538983964,1.0210425216278631,1.0874047618003648,1.1151499080907392,1.0594023485038477,1.130256114959356,1.06331484978573,1.0811185234344245,1.103614326272112,1.1453052893007272,1.0655795145703069,1.0876569133717384,1.0759809145655734,1.0985862570816374,1.1228675224969114,1.136385516072634,1.116139573861618,1.159495540068919,1.093795667741957,1.1197975423430728,1.0838945787098337,1.1011655754041207,1.0962561262923236,1.0910652532733482,1.1017276830870608,1.1673215022203773,1.0397231143196284,1.0957037729441326,1.1429984431251736,1.2020981095486307,1.077230142581788,1.1425856934235021,1.096171660336493,1.15989132441826,1.09891548313935,1.1437495642981985,1.0987498649094674,1.1404496105011348,1.1121821314986364,1.1584835810750296,1.1142596800780238,1.156151700393417,1.1602144719459149,1.2177956079226329,1.1063134516431687,1.159946262006639,1.143519121442172,1.2054680282382004,1.1295837225183187,1.1976925918994308,1.1399741289514227,1.191869674352573,1.086619309513584,1.1430943458481166,1.039658166296392,1.1126558312634571,1.0850420883321632,1.1411674331981405,1.0685567635836808,1.102458162275011,1.1226863729916001,1.1863441390014633,1.0852359939656384,1.1609204524102634,1.0973593253675125,1.1573128265114836,1.1177464909642656,1.1520962314856114,1.1269717150804537,1.1718072233922396
Zacian,Fairy Wind,Play Rough,50,1.1202871742250624,1.1539358964518922,1.1267497510369433,1.1578608621480544,1.1393827963041923,1.1773255101619313,1.0651872644036833,1.0656802312990896,1.042331057074776,1.1487364343209063,1.0551419886045652,1.091501025341316,1.1066756998965723,1.1729391262659647,1.1582799866413178,1.17511811315434,1.1485531136538634,1.1739347854108741,1.1947535698721043,1.2408478091477106,1.1140293180856202,1.1295352676936958,1.1421520138635042,1.1507431808576156,1.1160250154372415,1.155952022981867,1.1795673501050603,1.2451591776741933,1.1402147601417432,1.183247241481476,1.1558039815523893,1.2217005436447623,1.175755867890628,1.1894500775721732,1.1453847607391694,1.1713488441671656,1.150274412859294,1.1591586368259132,1.0774215295179916,1.1197470828627212,1.159685106508299,1.1951010646739586,1.1323183309819165,1.1737831028114225,1.1235066891433267,1.1329986686765647,1.1205535706970873,1.1235567270958513,1.1443142719215875,1.1845924118935622,1.1512818417222457,1.1715970768077044,1.1363499448720749,1.1610053310786261,1.1041498572405746,1.1260573558960276,1.1855859147972632,1.2075469664278917,1.1281118303425248,1.1443737448867108,1.1601921466522334,1.153064760837219,1.1102257316735369,1.1815136621406779,1.1219192134993305,1.143732910937202,1.1297942831742214,1.173690206280946,1.1589383174443117,1.1755570280676066,1.1296847590996937,1.1606317721428374,1.100989219108198,1.158132246810221,1.0215327588560528,1.0417402889152847,1.1018186985694673,1.1396518323521605,1.0936093787194285,1.1640982727352975,1.0996798230560139,1.111592520026825,1.134601712355517,1.1727343011494877,1.0941877665894202,1.1168624887013332,1.1002870575676735,1.1187574849263573,1.151018361958578,1.1637365753899804,1.1631182747390054,1.2062090629666624,1.13599299500852,1.1675140758480695,1.1210286967775571,1.1479568055547604,1.1309328144464932,1.1199728792334638,1.1439123620026819,1.2191986266701074,1.0925549681847915,1.1563486820193567,1.1753089086032753,1.2484348924484745,1.0954725170712956,1.172851222233539,1.132097929860265,1.2034018940099882,1.1398131359521888,1.1830551048298745,1.1448301364341358,1.1825625140567178,1.13876386349058,1.1960076719113293,1.1523276494569457,1.2018944273525,1.1926396215138861,1.2621568598251902,1.1565504852842976,1.2134973677203598,1.1888972295033697,1.2406804688481734,1.1626177616402897,1.2314377383940165,1.1881205739758207,1.2361308039146555,1.1352732748766126,1.1790117212339561,1.0865605094789108,1.1450688994164189,1.1135673234923829,1.1890250696684619,1.0935063376567338,1.136809082870768,1.1503662430513324,1.214543226371571,1.1386282585594907,1.1977823344884444,1.1574803191226477,1.2286422804472494,1.1525593611935718,1.188150461024823,1.1522663681301772,1.2139663480408112
