Attacker,Fast Move,Charged Move,Level,Arceus (Bug),Arceus (Bug),Arceus (Fighting),Arceus (Fighting),Arceus (Grass),Arceus (Grass),Keldeo,Keldeo,Kubfu,Kubfu,Marshadow,Marshadow,Meloetta (Pirouette),Meloetta (Pirouette),Shaymin (Land),Shaymin (Land),Urshifu (Rapid Strike),Urshifu (Rapid Strike),Shadow Virizion,Shadow Virizion,Virizion,Virizion,Zapdos (Galarian),Zapdos (Galarian),Zamazenta (Hero),Zamazenta (Hero),Buzzwole,Buzzwole,Pheromosa,Pheromosa,Mega Gallade,Mega Gallade,Mega Heracross,Mega Heracross,Mega Beedrill,Mega Beedrill,Mega Blaziken,Mega Blaziken,Mega Lopunny,Mega Lopunny,Mega Medicham,Mega Medicham,Mega Venusaur,Mega Venusaur,Mega Mewtwo X,Mega Mewtwo X,Pinsir,Pinsir,Amoonguss,Amoonguss,Ariados,Ariados,Bellossom,Bellossom,Blaziken,Blaziken,Breloom,Breloom,Combusken,Combusken,Decidueye (Hisuian),Decidueye (Hisuian),Gallade,Gallade,Gloom,Gloom,Grotle,Grotle,Hariyama,Hariyama,Heracross,Heracross,Infernape,Infernape,Ludicolo,Ludicolo,Machamp,Machamp,Machoke,Machoke,Medicham,Medicham,Meganium,Meganium,Monferno,Monferno,Parasect,Parasect,Passimian,Passimian,Poliwrath,Poliwrath,Primeape,Primeape,Swadloon,Swadloon,Tangela,Tangela,Venomoth,Venomoth,Venusaur,Venusaur,Victreebel,Victreebel,Vileplume,Vileplume,Weepinbell,Weepinbell,Shadow Bayleef,Shadow Bayleef,Shadow Sawk,Shadow Sawk,Shadow Throh,Shadow Throh
(Boss weights),,,,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0,0.4411764705882353,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
,Fairy Wind or Zen Headbutt,Fly,35,5.254650540441384,4.2403173582126925,4.461936857742076,3.689277406844864,5.2556187577436395,4.240392638510248,4.388728549386789,4.116059236633046,3.9621762890241503,3.894806518751227,3.999676753617213,3.9220874178877843,4.284272181880155,3.959834977972495,7.000238945042495,4.7605788699615506,4.46313912058355,4.1417703507692405,5.6203716889774995,4.823050487940158,4.669010022631749,4.490296592305205,4.242281560808453,3.762943491593428,4.701142336814055,3.9535820426869006,7.017466465807302,4.8290387315791214,7.325286060999647,5.058670493341624,5.577739835893862,1.6682782647108196,5.44856952930006,1.8423918164052246,6.307897925603131,2.0105439757367507,4.532881065363251,1.866104575765965,4.013601258477964,1.5764180828841838,1.6283698668288529,1.667942431887367,2.006612929204394,1.9894665247232173,1.5483062942185786,1.3546084944967662,1.8480180385411018,1.9262309601527785,1.9766412395153639,2.042489227290997,1.9306442820694967,2.0378720134671418,1.8505000051521714,1.9236206719793993,1.9065593307909303,1.8963231316115248,1.8677929897199514,1.9185871865273199,1.943640839774325,2.028539691000981,1.764835219981554,1.84119549873389,1.6578885339333682,1.6797034724899982,1.9776804832188895,2.015501007755416,1.9396869661247094,2.010304861205512,1.7054696622587373,1.7497800359536992,1.8221633605087413,1.8605405100615022,1.8568751641705163,1.8623867428847645,1.8131697393559905,1.8330432349700867,1.712654776354307,1.7089673434923105,1.5941670052759127,1.6701778722058256,1.6144494308025457,1.6910370163070303,1.8398557044250279,1.8931144373114914,1.7919398201931944,1.8661396247275048,1.9118279543825607,2.037382368976423,1.65086211366683,1.7181228964566309,1.637645509145901,1.685652499889052,1.6587708459708057,1.7186500269172198,2.040658648821159,2.1175026791746197,1.823556848634643,1.8711642222618825,1.9488920477620502,2.021038039139383,1.955843514730425,1.9340436486797554,1.9703795069266163,2.018442063114196,1.943241493645645,1.9490194279256028,1.9601568848078448,2.048217917549376,1.9942791224642233,2.0222520390115983,1.7323725328750719,1.7492261127045259,1.7210246361225183,1.769179165885266
Mega Pidgeot,Wing Attack,Brave Bird,40,1.5496239598640127,1.4952975043750394,1.5502543664288522,1.4975447527602803,1.5473553104449302,1.4914595903669765,1.675558116214505,1.676841479286759,1.6559896328293735,1.6616639308855292,1.4992541871764884,1.5467081713036013,1.681156847107294,1.6687472038519178,1.6029068666633306,1.5748621163089866,1.6957405242520163,1.6969918808056592,1.640670799042608,1.6365264307164953,1.650948593598448,1.6306136437116068,1.6103401765339036,1.5603991408124054,1.5614819655499073,1.538130851093461,1.5971076251386922,1.6268505672472946,1.6916538765108662,1.6429988299395006,1.6140409832041465,1.6251896736825302,1.6672911398742336,1.6202803367253171,1.5958289595486843,1.6258494022208698,1.9052478130226638,1.6249207636215295,1.6230725430022952,1.539335998143229,1.5901944267771313,1.616697015362994,1.662251260467103,1.6050793432568762,1.4457722216538362,1.2560972299127873,1.5585675648222412,1.596003435631942,1.6021591164436553,1.6608890746878093,1.5795797987743516,1.6806803135927557,1.5202316171828238,1.5952331322705655,1.6801957301263433,1.603269611331533,1.5788108833836807,1.6034090316823961,1.657396480505244,1.6723349411772437,1.5229876618680251,1.575065572850152,1.5916983116699288,1.5927271200118445,1.5331237339656292,1.5849011674443418,1.6289383233258148,1.6949525839495574,1.6375896562101484,1.6266462506518518,1.5409645894533013,1.5505917802642726,1.559437753745363,1.5348727376702411,1.5275705300737725,1.5339993393253102,1.6422451121261759,1.5736745594514878,1.5413995854204856,1.6053012551042365,1.498634065135951,1.6092548362538759,1.5011941269869808,1.5337614372404462,1.511504302449671,1.5835358631290952,1.5120008429592922,1.5864999200007892,1.6022919708051138,1.5968881072617427,1.5409995810826984,1.5790934182562293,1.5361896701078759,1.5705216844010854,1.5138738835292842,1.6198471335071107,1.481495154549011,1.555790493038381,1.5867035069898368,1.6496768639225992,1.537761710784277,1.5474078616900628,1.5480716106261727,1.5797415410503575,1.5744779389617247,1.5521904979370305,1.5459193177802781,1.6334164884964169,1.653783808475417,1.651359094438872,1.6911917779498473,1.645341240907162,1.6829047431329247,1.6326245488608135
Mega Pidgeot,Gust,Brave Bird,40,1.522892127010711,1.4702634209826992,1.5256437249206005,1.4745171623280264,1.5231705576725403,1.4744104904094486,1.606367610575202,1.62256714815912,1.5983560808953465,1.6275533006086784,1.4418393732118573,1.561334921163261,1.6227753190370122,1.6165688457851686,1.587804083523189,1.6119157581010948,1.6069824414104377,1.6282018568251593,1.5792925867074408,1.5871936320436524,1.5820152344002587,1.5801282379566763,1.612770461959644,1.5739660421685768,1.5280385749008538,1.5356879279065472,1.5669789608835407,1.6297992308409335,1.6310085625754396,1.6029702407835402,1.6116034647488187,1.622828626798047,1.6139121528384992,1.6048658324209892,1.507987317504517,1.5658091400337066,1.9268202251472217,1.6048824530490318,1.5372515666503337,1.4901271372205174,1.560995760982295,1.5823430961025136,1.5990979831115246,1.5778456741954348,1.3901027233841157,1.279544090300985,1.4987957761264046,1.5492290268896014,1.5024484410393242,1.573665419812693,1.4838243762703112,1.573686482830098,1.4628454421881814,1.5358367152827903,1.5900805299953953,1.5507457603986863,1.5159185017939527,1.559343544584055,1.5762451977043868,1.6141570265815643,1.4624730133807653,1.532243170754905,1.536265865210183,1.5572814216985476,1.4815193342328405,1.5426949545359372,1.5454044949481884,1.6176434831373465,1.6035451609734122,1.5886598348421699,1.5041730960711182,1.5198096139881838,1.5353499729869184,1.5091762312188297,1.452179006233701,1.483511895630831,1.597906338716423,1.5673939015223848,1.4744175714954906,1.5452248800527366,1.4475780433983934,1.5441155381881198,1.4318776958297372,1.4748496940894844,1.4424712780652638,1.5372086368160691,1.460733887849633,1.5220272017379473,1.5863475635933357,1.573493901900449,1.4828214888243665,1.5317484493188276,1.493689145431176,1.5384244925538566,1.4633795426223815,1.5304539372023582,1.4518411167847076,1.5024681856667035,1.5154211570837357,1.5738289026419736,1.4945413124428633,1.5130560265025152,1.5242373681440122,1.5620656517608358,1.4973188493460132,1.4927353406419746,1.4973129945140389,1.539849547233164,1.553284035907964,1.6180744859284555,1.6378238312392674,1.6331913839287848,1.6525431811484097,1.6321124604356192
