Attacker,Fast Move,Charged Move,Level,Arceus (Fighting),Arceus (Fighting),Arceus (Poison),Arceus (Poison),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Keldeo,Keldeo,Kubfu,Kubfu,Marshadow,Marshadow,Meloetta (Pirouette),Meloetta (Pirouette),Urshifu (Rapid Strike),Urshifu (Rapid Strike),Zapdos (Galarian),Zapdos (Galarian),Terrakion,Terrakion,Zamazenta (Hero),Zamazenta (Hero),Naganadel,Naganadel,Poipole,Poipole,Mega Gengar,Mega Gengar,Mega Beedrill,Mega Beedrill,Mega Blaziken,Mega Blaziken,Mega Lopunny,Mega Lopunny,Mega Venusaur,Mega Venusaur,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Amoonguss,Amoonguss,Ariados,Ariados,Blaziken,Blaziken,Garbodor,Garbodor,Gengar,Gengar,Gloom,Gloom,Golbat,Golbat,Hariyama,Hariyama,Haunter,Haunter,Machamp,Machamp,Machoke,Machoke,Mareanie,Mareanie,Monferno,Monferno,Nidorino,Nidorino,Poliwrath,Poliwrath,Primeape,Primeape,Seviper,Seviper,Swalot,Swalot,Tentacruel,Tentacruel,Toxicroak,Toxicroak,Venomoth,Venomoth,Venusaur,Venusaur,Vileplume,Vileplume,Weezing (Galarian),Weezing (Galarian)
(Boss weights),,,,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Latias,Dragon Breath or Zen Headbutt,Psychic,30,1.5519786480503321,1.5085276640133405,1.5514559176950748,1.5066983513965382,1.4647245813337737,1.5040885015906063,1.4533657193425555,1.46379056109449,1.4771488355946216,1.5204308808243614,1.5118360963455624,1.5611326008227557,1.5245020230516768,1.5472250167890804,1.50783907925685,1.5450750198369763,1.4938859864296108,1.5356019797259013,1.5527852543103968,1.560838518829191,1.5124780941375033,1.5197886653480785,1.4914249391143732,1.5153896838620302,1.4805005892278513,1.4758591384800215,1.5299731731458839,1.5409282251523289,1.2336089212921904,1.253237747546554,1.454619714915301,1.4940869887067898,1.4087000550869722,1.4027403201625617,1.4597111734082244,1.4678091790923335,1.4112104529970178,1.4251113801188842,1.4839111400972564,1.5375824150940438,1.5046502254115135,1.5532646200298907,1.5155793353556883,1.5890444723735382,1.5137058155909868,1.5975526237905573,1.4401484052186106,1.4950956746102646,1.5000808322415926,1.5657467477624127,1.519094435649769,1.5019148412524848,1.5028723759008258,1.5729186535121447,1.52047617224125,1.577980698729576,1.5372122568069124,1.597487249347678,1.5330542837744783,1.5442657401423279,1.508535989263833,1.5846325923141744,1.5343492288389893,1.613945366970237,1.5117208332204506,1.5986577394381525,1.527399502554933,1.5820271820156124,1.5485656129944558,1.6281195359697611,1.5125142591625012,1.5845231763415337,1.5541604769838002,1.614626440836369,1.5219590157754372,1.6140389175376735,1.5365717299794555,1.6081995688614232,1.5119841876577231,1.5649264934706684,1.5173817920510906,1.5674425191179142,1.508585291805981,1.5686346417277095,1.4528021967618097,1.502066403990115,1.46645079726716,1.5173921882240513,1.5069204296201901,1.5528901997173377
Alakazam,Confusion or Psycho Cut,Psychic,35,1.6587828039360302,1.5676812856933753,1.6578033863820554,1.5718733366885889,1.627060260019985,1.589968123309031,1.6551444193916884,1.606080002793718,1.7384109774365821,1.658149042638458,1.5463749817947172,1.601345075827161,1.609192425718307,1.6339847409836041,1.7289594279146165,1.6024692157328804,1.5852398310634743,1.6123454262400567,1.7671713548222652,1.662000289562662,1.7126363304858145,1.61706457584705,1.5818939418933384,1.5852772724929876,1.7456407063611368,1.5977682448868034,1.6023067707547085,1.624884299386487,1.601257128084038,1.413892080082291,1.633231332920167,1.6711622882523067,1.7282177292464813,1.5733022283069844,1.6573150215140888,1.547898019055516,1.6063198268188137,1.540148238958542,1.618218793833217,1.5511467988829626,1.582263161983513,1.5574985375556787,1.5912678806806604,1.6153587275713248,1.6159113198919441,1.5947368488294742,1.6386591605728038,1.5893306282191775,1.5297201123461304,1.5568934100449185,1.8127252307284756,1.6568205785233068,1.56582373627346,1.5833400753945497,1.5659033442332406,1.5843156680279216,1.6145621285020002,1.5998681213466102,1.6800129619900526,1.671760394228287,1.6316843114233885,1.611831832681408,1.5409882629529115,1.6043393293801818,1.5041191119232435,1.5706802761125636,1.568271181863613,1.5943638040092032,1.5843175279882498,1.6104246821492183,1.5545640848480253,1.579217243787421,1.5644788754426815,1.6066285718216824,1.6352584030752488,1.6186451277681244,1.5970215726638166,1.6023912159562776,1.552889716987213,1.5578159990629312,1.6236741084801445,1.6415112243258883,1.5578949878564214,1.5806604574599001,1.6040115132555575,1.5352244071899572,1.6072652014642081,1.5463933744952472,1.5390141536945356,1.5609561136540262
Gardevoir,Confusion,Psychic,40,1.6053213684978185,1.6288986492439692,1.6005561786548157,1.6270636396820621,1.618797359672698,1.6606638068430986,1.6205406746760194,1.6415947991511999,1.628292580192787,1.68339007720068,1.5859881738875945,1.6601918967484106,1.623457662343068,1.7499725911525357,1.6097678039077956,1.6618275974613401,1.6112001059784589,1.6534426559167572,1.6366546250730194,1.66974590313491,1.6522454108466458,1.6580250324076609,1.5977661787636994,1.6452222144862414,1.7574544245918635,1.657866054994763,1.700332060371175,1.7402130709459696,1.769739473755365,1.5244279230006579,1.6456530034889594,1.681076412798972,1.6517372684210132,1.5715530035512728,1.5827183397253983,1.5929085711138087,1.6333116847841511,1.6466790107540947,1.637978151164324,1.6552405226193776,1.6598637351062722,1.6763296556480038,1.6294903180811229,1.6921848976130243,1.5991930900279208,1.7020495315540551,1.5989965807652884,1.6138603742866564,1.6052122667184636,1.6697783068109533,1.6565480848602274,1.733637278495246,1.6452939458765372,1.7127462702221228,1.6514053081195343,1.7013353111195737,1.6399962163965678,1.7153249017373249,1.6610853732043502,1.7105070713580526,1.6457266952135188,1.6988702281300778,1.6215851451377883,1.71526754230496,1.615762966948889,1.7116318038276723,1.6134389301757879,1.6891949339841272,1.666635246446524,1.7514661634402533,1.5911474585961598,1.6638302836278827,1.5955352089389052,1.6881446127253266,1.6605975273400584,1.7091804499369065,1.67057099522409,1.7162920714149377,1.6339983379505223,1.6657654195288734,1.6796685780274072,1.7565001528771604,1.588813841101827,1.6545899546124279,1.6404118064365623,1.672776503899245,1.6423499350917123,1.6478096415722596,1.6166263477296932,1.6473592526456804
