Attacker,Fast Move,Charged Move,Level,Arceus (Fighting),Arceus (Fighting),Arceus (Poison),Arceus (Poison),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Keldeo,Keldeo,Kubfu,Kubfu,Marshadow,Marshadow,Meloetta (Pirouette),Meloetta (Pirouette),Urshifu (Rapid Strike),Urshifu (Rapid Strike),Zapdos (Galarian),Zapdos (Galarian),Terrakion,Terrakion,Zamazenta (Hero),Zamazenta (Hero),Naganadel,Naganadel,Poipole,Poipole,Mega Gengar,Mega Gengar,Mega Beedrill,Mega Beedrill,Mega Blaziken,Mega Blaziken,Mega Lopunny,Mega Lopunny,Mega Venusaur,Mega Venusaur,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Amoonguss,Amoonguss,Ariados,Ariados,Blaziken,Blaziken,Garbodor,Garbodor,Gengar,Gengar,Gloom,Gloom,Golbat,Golbat,Hariyama,Hariyama,Haunter,Haunter,Machamp,Machamp,Machoke,Machoke,Mareanie,Mareanie,Monferno,Monferno,Nidorino,Nidorino,Poliwrath,Poliwrath,Primeape,Primeape,Seviper,Seviper,Swalot,Swalot,Tentacruel,Tentacruel,Toxicroak,Toxicroak,Venomoth,Venomoth,Venusaur,Venusaur,Vileplume,Vileplume,Weezing (Galarian),Weezing (Galarian)
(Boss weights),,,,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Latias,Dragon Breath or Zen Headbutt,Psychic,30,1.5670384785739198,1.5990379821590197,1.5666803473175235,1.5965362302111523,1.5084640391664186,1.6063878563379919,1.4848362317249302,1.5543986857997112,1.5219902752897305,1.6022687508813345,1.5413907072947095,1.609621084504339,1.529950543756313,1.6257828385522568,1.5421398161779334,1.6255679783551504,1.5424238322448196,1.6201623182520613,1.5566226661782674,1.6329492982826708,1.5539867697608016,1.6137168686860741,1.5225344028132528,1.590862049466647,1.5100302079808814,1.584748475121853,1.534682977194205,1.6115827608474373,1.332113383566559,1.4189199856476498,1.5154370931063956,1.6080542757764242,1.491668300333268,1.5443657172729905,1.5144714405063002,1.5790445454094615,1.483288632143594,1.5538410856066607,1.5369929015884467,1.600672481094521,1.5399042768897062,1.5896520016975528,1.5804075764022358,1.6570225502134714,1.5515998777368447,1.6470938369717347,1.5160889360632386,1.574746515460462,1.5156290205977136,1.5819803702932203,1.5589726394849786,1.6192596566523605,1.523239767455517,1.5942363027776145,1.5267799613402062,1.6049049613402062,1.5506851676290616,1.6114970266310438,1.5676930861252665,1.6432288843109617,1.5414389564858735,1.619186945762013,1.5355833891066706,1.6152436498071836,1.5117125312713213,1.5986599254736622,1.5380921599408994,1.593111090590082,1.5564646375011093,1.6364184932114652,1.5273186791260682,1.6000354716060876,1.571399351313444,1.6357712649387839,1.5398060197319001,1.641153197669566,1.5487932437144074,1.6209920066116557,1.5354134535532091,1.5893542136275556,1.551814646018755,1.6101553365625523,1.5237495676236597,1.6038602559667934,1.512998397384187,1.564303615028019,1.521251291415391,1.5798034645971983,1.526982053435352,1.5946937886846444
Alakazam,Confusion or Psycho Cut,Psychic,35,1.5969303585527794,1.6121159471146953,1.595666226320717,1.6166189981488368,1.5761841236125322,1.6543434055615278,1.6127342714043194,1.6402313364133143,1.6566843020614086,1.680967352758381,1.5226389747745057,1.6053009787406443,1.5360479607498458,1.6381350929436302,1.6533322723113038,1.631345243305614,1.5405767430318207,1.6177061125963024,1.671982909593568,1.6754213111379077,1.6382843164245318,1.6445323663669804,1.5416877383231016,1.610177556712096,1.6779390292599805,1.6719370601019938,1.5421803230243307,1.6273654946971328,1.567735916756369,1.514843918191604,1.589114739292415,1.6942794320827037,1.6606781116681137,1.6181047600377145,1.5987517977240908,1.597061841708725,1.5646325961519265,1.5805752810185216,1.5742112518196927,1.5989333058500703,1.5314400905361438,1.5890036308765974,1.568303525579894,1.654058891709092,1.5633114010392368,1.627724779202394,1.599340800536298,1.600318426859585,1.4888434157160186,1.5651444045533078,1.727387339055794,1.684133583690987,1.5284367843091198,1.5986552351870338,1.53772014604811,1.607227233676976,1.548116866327674,1.610997155907955,1.6222848675412915,1.6772380642596407,1.5640595999175089,1.634318931738503,1.5246040093061797,1.6056347005768556,1.503297702979304,1.570668812651983,1.530630713823991,1.6054298642533935,1.539799449818085,1.617747803709291,1.5078425504084776,1.5891390376109873,1.5234929725623119,1.6192765099494493,1.5632939919536586,1.6186501510775755,1.5495551337181523,1.6127016102997198,1.5116957329853284,1.579428164669593,1.5767019017394832,1.6493116037128064,1.5120719474230369,1.5857903839501901,1.5558710593398084,1.5770815182902564,1.5518368131472093,1.576487830662406,1.5090458565311602,1.5839631737737552
Gardevoir,Confusion,Psychic,40,1.6207818106733483,1.7062186664840773,1.6179229351836413,1.7047608664982237,1.6407310028623607,1.7469206957738088,1.63771442326371,1.7190326776408584,1.6474113573334865,1.7413054718469114,1.6299422137876622,1.7117555493954835,1.623759986356898,1.7590549528394703,1.6269260865528719,1.7225241714081088,1.6395299651450035,1.7207426708628022,1.6394143487758381,1.7293689223044242,1.663824498753274,1.7363076463231417,1.6173173807557628,1.701712832265347,1.7666029586141516,1.7636979933487573,1.6528455254891516,1.766622764933582,1.7530426982418372,1.6368927161822748,1.6579002542833028,1.7616833232085929,1.668771762772939,1.6704240998497029,1.6036499998092602,1.678568839957732,1.6378604657353735,1.7012818038427495,1.640377207786352,1.7177898303337928,1.6436789739237045,1.71426887348517,1.6549685294678618,1.7556448891562375,1.6382136709512396,1.7548301989993726,1.6183905477500629,1.6931230971201923,1.6043057921113575,1.6859614512749508,1.6775885193133047,1.7834227467811157,1.6333607375653296,1.723383639673498,1.6435110609965635,1.7303747852233677,1.6324571231578042,1.727604929759545,1.6648776609201632,1.7792294625754452,1.641369354506084,1.7275211383790472,1.622892564617395,1.7166555119992353,1.610468676195308,1.711621560154651,1.6235663496167698,1.7010250253947732,1.6432691454432513,1.751335522229124,1.601775797279771,1.6801126223493288,1.6164275487245419,1.7102533383981533,1.641153197669566,1.7368746139592341,1.6489624091220185,1.729890623587598,1.6274370229762327,1.6917091786293352,1.6722899615834308,1.7718389844663438,1.604192320996195,1.6917468004150813,1.6508018456971378,1.7120561883557592,1.6363734653179884,1.6930756108695129,1.627569904513079,1.6917047681254083
