Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Kubfu, Tier 5","Kubfu, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Marshadow, Tier 5","Marshadow, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Moltres (Galarian), Tier 5","Moltres (Galarian), Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Regidrago, Tier 5","Regidrago, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Single Strike), Tier 5","Urshifu (Single Strike), Tier 5","Yveltal, Tier 5","Yveltal, Tier 5","Zapdos (Galarian), Tier 5","Zapdos (Galarian), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Palkia, Tier 5","Palkia, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Zamazenta (Hero), Tier 5","Zamazenta (Hero), Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Guzzlord, Ultra Beast Tier","Guzzlord, Ultra Beast Tier","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Sableye, Mega Tier","Mega Sableye, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Druddigon, Tier 3","Druddigon, Tier 3","Gallade, Tier 3","Gallade, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Medicham, Tier 3","Medicham, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Sableye, Tier 3","Sableye, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,0.7936507936507936,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,2.380952380952381,0.0,2.380952380952381,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Wigglytuff,Charm,Play Rough,30,1.9119746336032017,1.9093898170640513,1.7728789869608137,1.7604350854316873,2.024415232557076,2.0132296620976913,2.2101828700706045,2.171515955474536,2.1325907209451365,2.227369653808852,1.8798579172531094,1.8417904716112052,2.071360983521752,1.8394266939253654,1.9113080732769112,1.8739311322771706,2.066714803518309,2.1275497852073277,2.1495317519495503,2.0788784823783226,1.7289134595866822,1.822734913261634,1.7061066598682544,1.877473550524013,1.8198052514544385,1.868535413983623,2.174471406099697,2.2028761038090523,1.933447261106962,1.984888395792169,1.8391500230214193,1.781090891190982,2.2236882668122284,2.1881322520045923,1.8078551410370463,1.6880149784956882,1.7443953535876386,1.861417107889946,1.6298009726951517,1.694680456063303,1.8310166936205061,1.8706663952671843,1.8251920549352256,1.7378026988922866,1.989620198057896,1.84310632100214,2.222118479288192,2.106814371330968,2.0318890162786762,2.079054589486989,1.8903250178593023,1.8091220084060926,1.784741733304517,1.8479451824614932,1.8370626971482256,1.7003806684676572,2.1378718605399327,2.0384622975244886,2.2220053391022843,1.917570342768827,1.9437521671330058,1.958416356546457,1.6939565846594795,1.788095992358078,2.065188767109945,1.986055642027935,1.6838830150285007,1.7301054182471587,1.7250886636149139,1.7787962212645991,1.9526880819018348,1.9202691413057476,2.0804222533016103,1.88251557653153,1.883801643064676,1.9069798515135585,1.774200991748293,1.7513712931705985,1.8122553746354046,1.811634542944285,1.9347853792806409,2.006305783774885,1.8225349739851133,1.9107365967102778,1.8268764345103319,1.8844601907290104,2.224621297076456,2.2360761921198034,2.149018479629505,2.1685203726428623,2.1547334336625044,2.15612461490559,2.1797855889612934,2.172200934965532,2.1579571554450285,2.2528460327753264,2.1700344291290397,2.2468041166296056,1.886614653078932,1.9621949597991954,1.939162086812451,2.01333577110091,2.1136052738023032,2.1544718018578446,2.1143001636733323,2.165117420713035,1.7629798818141924,1.8933120995075459,1.9468958008941033,1.9663466538048169,1.8057835752294702,1.9145549842330178
Klefki,Astonish,Play Rough,40,2.1603652219393825,2.236376957254033,1.8387626238108772,1.8829243129365463,2.0972303520273905,2.1535378360783723,2.2850068014561424,2.36338165743019,2.4295084570963734,2.485978627771955,1.8556433992089814,1.9339510380158043,1.9789231140752856,1.9769713218964788,2.005849384818858,2.0026537503077027,2.0380467611751714,2.0853893702735595,2.5066340241344043,2.5499392894274204,2.064908497357,2.114348527016304,1.7507372880085044,1.9082161322007192,1.9364006981379274,2.0363453031259993,2.385583728489697,2.46644232867473,2.3432094250735256,2.417121307843617,2.0034401957656574,2.0283253914217356,2.2916927309714357,2.3794737982535508,2.042329699897527,2.005540224125218,1.787151065254024,1.8427225241487823,1.7778136861411298,1.7785202541616496,1.8756721843074735,1.9040943142978284,1.688218340439539,1.7236920079627578,2.143464960190707,2.0129285563888653,2.5414187957434025,2.3673741273705384,2.160501985991792,2.205882281030403,1.9109037364318615,1.9388088424342167,2.074969247411887,2.152581942682854,2.0028448460804062,1.94614335694452,1.9072947488660712,1.9229412845686917,2.6459322161123864,2.365193749362445,1.9671931756865755,2.0034411754344004,1.9154565920380215,1.960272132610601,2.2513697386601947,2.257159162720303,1.9681224654227887,2.025474980481756,1.8389216186096102,1.9028077198970348,2.231457666167585,2.247066155813583,2.0107043619722473,1.8426236563050244,1.881230888867659,1.9287395131645375,1.7480439094351614,1.777141139548874,2.0988457731436094,2.157531987057595,2.2080379547400604,2.2827324185909657,1.9847000793029894,2.0790097258327185,1.85078103593751,1.8831695501685621,2.4372402469786434,2.4566456778321464,2.3702632352606763,2.4297623639182535,2.351554648598978,2.4010960793148923,2.3259417051887015,2.3911044149248983,2.357815619485143,2.3980749275326505,2.4238156335846703,2.52334851548683,1.8836394521215867,1.9846605860340696,2.2291170010454477,2.3543583000482777,2.368716834257645,2.420204015578015,2.360269400084752,2.4722817170537765,1.9299420470323088,2.0488670375483777,2.195355348099369,2.303211326977684,2.1368101075477623,2.253243981234608
Ninetales (Alola),Charm,Dazzling Gleam,40,1.6661298558199227,1.7056509592920426,1.544634876699577,1.5807597715440584,1.7638905756428267,1.7965363950473596,1.8200564924851934,1.8408316481881783,1.921438286381768,1.967012197328964,1.5803353753178975,1.633076107620123,1.6776105534111865,1.6197697614064066,1.5952326410495787,1.620464824399929,1.7834786695223883,1.872232366073778,1.8200548961495986,1.795682614044173,1.604403098122304,1.6130826384030945,1.611443703290566,1.639873958734414,1.608082757078439,1.6340013925487495,1.8843810407470272,1.935442616576815,1.695148403469012,1.713283019168643,1.5573051932213136,1.5562351911920165,1.8762462706838758,1.8900168679726919,1.505197858254185,1.5191791904456733,1.575612930855326,1.6088361587953428,1.5218258622619,1.5414002490126895,1.6174200102668126,1.6474098790475022,1.484374314188154,1.5079244529746956,1.726138992133679,1.5981830151038374,1.8801094718960558,1.8781998057134621,1.832791109233216,1.8425634584211297,1.7237825873304866,1.5626662115724848,1.5955944853352308,1.6122230456389848,1.5646043396612013,1.5560217966395495,1.698861158156817,1.706271650727579,1.7418058637739793,1.7072886252485262,1.659123560421059,1.6991249881792745,1.5917931437390151,1.615162521561635,1.63394099204528,1.6813671853499221,1.5236053496428854,1.5439039952235647,1.5495730944880624,1.6003938299497518,1.622573638124812,1.6593009179861447,1.6851588502632917,1.6332867612780086,1.6550913025265945,1.6458481896603752,1.6421937466051342,1.5320892048829515,1.582346893742247,1.615233886984877,1.666938908261161,1.7282774417537827,1.6306150542567346,1.690733049023153,1.6211973292628155,1.6109518113802186,1.9716301890730408,1.9811687164030374,1.8729916292314475,1.92895413058233,1.8495563978199288,1.8981140499654459,1.935826786972534,1.9076171493018765,1.9566208874118471,1.9720814753734222,1.9242587114843295,1.964042031669868,1.6125237439274027,1.6940304469066245,1.7057226870987277,1.7702482318332804,1.8423005353922692,1.8858835410104107,1.8180786866348997,1.8837187556291055,1.5718589899011781,1.6469885932699913,1.6753739717606193,1.6833411628915187,1.569272507203868,1.6417945057329582
Klefki,Astonish,Play Rough,50,1.9477589040415306,2.0055214951483697,1.7380751337527198,1.782961363768758,1.9766021715743585,2.0323440872791565,2.0828051551606395,2.187546030196473,2.2542318164696282,2.336477811628082,1.7188631039957665,1.7596974603199775,1.7833538790865648,1.7961003107939417,1.81369344437226,1.8801291945178158,1.9304697373178288,1.9649756717181477,2.2387308631975325,2.2954736003071075,1.8372828605123608,1.9145971417691237,1.636294141880815,1.7099944302816161,1.8092799251363452,1.8813227641891708,2.2097863148215224,2.29414679914775,2.1849902224292204,2.2469967118850724,1.839700566129327,1.8955325208985998,2.0892268526217777,2.1453950549046357,1.8846593819239397,1.8698837233823158,1.7000281907353083,1.7593584291431175,1.6756542677981052,1.6765626497056536,1.649683341569967,1.7185832500364504,1.612270763838618,1.6369534681084135,1.9868622327175725,1.8941070081180507,2.3686809486775435,2.1948412826242403,1.997604476352965,2.0557567772881105,1.7951254181820988,1.7862571276410544,1.9446328839177438,2.0134440812783807,1.811821551197861,1.7973493082010032,1.7305201241692505,1.7789626444004978,2.2098330327602236,2.1726341560118794,1.791769715579438,1.8733493168084228,1.8141004460010213,1.859914898819216,1.9556890401617315,2.0585440981768417,1.8215475721320238,1.8727609910402383,1.7303054793809916,1.7970824098471798,1.9759339237993627,2.0710438074084503,1.79670971276856,1.7199851124088377,1.7041093986853613,1.734609335106851,1.549296407406447,1.5886579480718483,1.9754976479187831,2.047826729990736,2.040684441717372,2.1449550060419242,1.8733263251161096,1.9624904882467264,1.6820777134966836,1.7248333805410367,2.2282959536203686,2.223838604550936,2.1897251739999746,2.2842814004558223,2.1400403573878637,2.202550008480304,2.1773345850928085,2.246131948678392,2.2076111245948375,2.248532854256954,2.2681932482741387,2.3554142584175124,1.7871793927982764,1.8921221173041702,2.0995079911451713,2.226729646376158,2.1323758260229626,2.211637195288983,2.1448143707259293,2.274445180772854,1.8316536291651062,1.9429776250247586,2.0190105204170252,2.1362164693943266,2.0025682708350065,2.099067367748755
Florges,Fairy Wind,Moonblast,45,1.4075679354969446,1.444936393444408,1.31689221777573,1.336680343503777,1.4857008661434132,1.5263875237892102,1.5549099983065537,1.547511353285009,1.5591278699547348,1.6170474996612205,1.3278337782142882,1.3041905523028947,1.3376268678719918,1.3258950327933108,1.3562774920096408,1.3771493122941805,1.5944750750185266,1.607193927638518,1.553242065873358,1.5423873344638719,1.3208541980161144,1.3396525852075898,1.3228340973746482,1.4097909555071104,1.3361486069853619,1.3942921761670999,1.5692521071733745,1.5830044025520629,1.385819268344622,1.3923808882913091,1.2967670533902282,1.3006218847479754,1.613328990157153,1.5762416622609954,1.2890096042942143,1.260155841477498,1.3295166503667926,1.3943509888232417,1.2832358679691522,1.3012596180358913,1.3410595778227912,1.3843601714666194,1.337222466750992,1.3079768258958984,1.3766834328965167,1.3349435601333586,1.5351978354560005,1.5379109113169391,1.5110516551652131,1.5233945694762983,1.3432184820836683,1.3285925926561177,1.3093776997237918,1.3589045762979968,1.2720669115467258,1.2719384388438708,1.3795844467066447,1.3759362220705742,1.4525045085966475,1.4060655589408793,1.393173461497811,1.4551090566226659,1.3040566024803437,1.4015692398251594,1.408324823994943,1.3933930089681397,1.2782360285095689,1.2796839512905276,1.3100914989186492,1.3373845441064143,1.389818729558171,1.4084859231388902,1.374141437132219,1.3283355503784444,1.3651094496817846,1.368577206469375,1.3109984265217505,1.3206234421178868,1.3625056882278188,1.3930783639307243,1.452118627590422,1.5203790296199031,1.40440914518865,1.4617393977191997,1.3503798755303822,1.3803291396724267,1.6167213227375314,1.667348901845018,1.5907432006069728,1.675975577968499,1.5464795029782321,1.5967561570805477,1.6453173860290304,1.6771001430981525,1.5861633933179877,1.6259221661428314,1.6285618909196857,1.6983022950438493,1.3741667536871687,1.477255274676047,1.4863874857956356,1.5696187857811217,1.5560340329037576,1.6179594012652183,1.551386566151629,1.6448468696989214,1.332933171954837,1.4529503349183832,1.433636339558413,1.4680192983507747,1.378881574533168,1.4611893856863603
