Attacker,Fast Move,Charged Move,Level,"Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Tapu Bulu, Tier 5","Tapu Bulu, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Tapu Koko, Tier 5","Tapu Koko, Tier 5","Tapu Lele, Tier 5","Tapu Lele, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
(Boss weights),,,,6.25,0.0,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Venusaur,Vine Whip,Sludge Bomb,35,1.7183419045342465,1.7974156245989439,1.7142056601374123,1.7205569803555634,1.827176029252171,1.862853882040472,1.936870058755993,1.9908669755541097,2.134226325351215,2.164993402820946,1.527304891794924,1.5244844769054837,1.7877808745133748,1.806368136904336,1.9785090604828643,1.8340348260954151,1.8611110815244962,1.8790300371596043,1.7809589828729129,1.8048598827641955,1.6957681842376298,1.6414892606159772,2.028374449423635,2.0168348935927303,1.573560777541402,1.6411042695523712,2.0582073087111583,2.1869998766883842,1.975374839981847,2.0290446094290058,1.736645602483959,1.844804820811337,1.9869654279109823,2.1195531435942843,2.110567124118351,2.2211427338680805,1.8003331970206886,1.860821855925996,2.020415815891334,2.1195542584091687,1.977927445599758,1.9803425450927814,1.957043521683955,2.0626642725405344,2.0111295857296634,2.070711406516855,2.0588944049693247,2.2093721600151284,1.786730562537272,1.8493605864794604
Shadow Muk,Acid or Poison Jab,Gunk Shot,45,1.2692210557466772,1.299977192927659,1.2576241732026332,1.2362398652411206,1.261946273750284,1.2359625643471188,1.3096935844382824,1.3147848677285847,1.2959383835507663,1.2605635474776318,1.3251279874397797,1.3096629623161518,1.3110776996706701,1.2941468704457584,1.477147738336038,1.3288071460379656,1.3187073679073043,1.3330713142741093,1.2876224608119624,1.2771339346472588,1.2295197575193402,1.210590786239566,1.2668833616684105,1.3039130537421098,1.3069046587183877,1.3626956262015026,1.254377600090318,1.3153124349576508,1.455011987462537,1.4683748603373767,1.2472741581279907,1.30013098622012,1.2653730709581898,1.3299238251077707,1.4914063400068471,1.5345629557151215,1.2689808563806393,1.3033318590320961,1.2584096436809111,1.2942080034353964,1.5215364498512838,1.4730834892619906,1.2628423236741677,1.3121100116634636,1.2625105403036967,1.3230216140208455,1.2861152303742858,1.361902790641836,1.2517790535331732,1.2951949268198895
Shadow Venusaur,Vine Whip,Sludge Bomb,45,1.3591931654761218,1.4133172358589918,1.353356078803066,1.3470768024116049,1.426375273697927,1.422494206058788,1.4838198311424768,1.5227162912089525,1.6252138167788923,1.671798001997201,1.1933390271205602,1.1726648587039858,1.386009300796545,1.361285218556978,1.5648278031489309,1.4539635283370487,1.4254377665088278,1.4254448081231115,1.3911293294775917,1.418451102517978,1.5631621774621505,1.2952802488153916,1.5291948081046682,1.5525477428024392,1.2128698211856825,1.26571794028981,1.568838294399615,1.6768921729725392,1.579046193579977,1.6171124231897047,1.346418859423515,1.4283219020786875,1.548151734275601,1.6727576082263438,1.6151722436303098,1.6833064458487803,1.3578028736336076,1.412307858309707,1.5467020164806335,1.6247567734187864,1.556529966609251,1.5584947469245114,1.51207763249057,1.603516684743976,1.529235816596599,1.5890067310414684,1.5947582237875424,1.7190462253899081,1.3775897074663586,1.4196138760229426
Mega Venusaur,Vine Whip,Sludge Bomb,45,1.3466810541772463,1.3849631172331118,1.2986652399870888,1.3130615973000825,1.3692892918637511,1.3949599336600764,1.4654467994101312,1.537066467214403,1.5884275453280343,1.6630651015243696,1.130511692151577,1.1559509539362387,1.3277330801921763,1.3462109343121027,1.3762610052719906,1.4110412911330745,1.36744243953709,1.3856970849018675,1.3635660911937588,1.4262506994597264,1.1629601102458118,1.178732116796354,1.4808320995942665,1.5457948669819677,1.2052367573012552,1.2532162199359003,1.5864202366285007,1.682849316375194,1.52238292665202,1.5917045861070316,1.3409827692771294,1.434063586235835,1.579069144934188,1.685807870498146,1.5811653252297728,1.6765667004895228,1.3465252720987533,1.413042445731725,1.5617297824928233,1.6382467918103316,1.4956648495918101,1.5315009501216048,1.508353014430891,1.6046031535588727,1.5025570619617836,1.5900012046061367,1.5867882270905556,1.708038358495742,1.3491745448215258,1.3944085079685289
Shadow Weezing,Acid,Sludge Bomb,40,1.4426509116686304,1.4419670168299512,1.5496634849170368,1.3912038179965136,1.554649152748172,1.3941984178596543,1.4458519219477686,1.4361631781976651,1.411549996190079,1.4179373488564222,1.399912921758041,1.4036499973334602,1.43955466402107,1.4219547235078602,1.6414243226431577,1.5464026325293803,1.6267833184039275,1.5258814828858591,1.4172426209646518,1.4220764701555508,1.6103104340821468,1.367575043088257,1.4676246003799962,1.4372983495684595,1.443235202394147,1.501481810368683,1.4187394715350152,1.4828079911360532,1.671891484130627,1.658504058073169,1.4392574693332663,1.4526377886739448,1.4029320225666415,1.4560655978186485,1.6433577251719398,1.6952925633558453,1.4131909876033315,1.4138726434727644,1.4576818555832314,1.4868436372428933,1.6532412680792128,1.6724325576443841,1.4237212526781984,1.472119471467443,1.468483642051607,1.4490163601933987,1.4446799716102594,1.5232739578868928,1.3834070100607079,1.421426971661489
