Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier"
(Boss weights),,,,3.125,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,3.125,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Gallade,Low Kick or Confusion,Close Combat,40,1.5144112159428045,1.416315719147435,1.5512532261784548,1.4477080375612883,1.50811886529419,1.4452218954137817,1.5424978451427005,1.4786138632694863,1.5083286471088477,1.4464415886012054,1.532668822237839,1.4518303018649932,1.4567004110716169,1.412170110927522,1.603071658510432,1.4916334868594647,1.3876799274799112,1.3132228370793524,1.4782859392898753,1.439228621310188,1.4906035819738308,1.439809188341149,1.281594116026117,1.298153457161847,1.519564022767061,1.5319316074932292,1.4407590127788457,1.3747158666912618,1.488643974969473,1.4869267503863075,1.5583604381876468,1.5079083473532067,1.4533013593427466,1.384498910600359,1.5282310051831982,1.3379236179174123,1.4222434648480686,1.3885739484452853,1.496350815653025,1.4810448613282763,1.3602992003400773,1.3910843478640313,1.4920415326874343,1.487232771474957
Mienshao,Low Kick,Brick Break,30,1.6929982307087774,1.5455139276253036,1.781086857134499,1.583722865005224,1.776218128016722,1.5725917857924978,1.8321181292748734,1.6134011031649793,1.7944579709011024,1.5717692501581462,1.7737602267857318,1.580081321533668,1.6126070437341344,1.5693956157471647,1.8567263080435996,1.6231684862081208,1.7716883081126673,1.452926115812503,1.7935995589723215,1.554774236877157,1.7022705225269494,1.5924359860523036,1.6663273876498894,1.5120257622105928,1.666985066158355,1.6365924834959524,1.633979851545627,1.4915725993176114,1.7070039272932052,1.6748865676032973,1.7413244257053553,1.5694887874050152,1.614284169409154,1.5271648017166635,1.6895609128210842,1.50938546025225,1.579883473568464,1.5409707225551355,1.6482052502978068,1.619743935532024,1.812012493894517,1.6284536482988403,1.6633711341121686,1.6202399395488931
Pangoro,Low Kick,Rock Slide or Close Combat,50,1.4206650558048557,1.3840993131665,1.3855794527773453,1.3824471008408534,1.3833289564345754,1.3715335852053108,1.4156974454298117,1.4068856137899581,1.3795790710917666,1.375026817058539,1.394798547225383,1.3833204144103968,1.3612033342594192,1.3750134521854744,1.446533791724596,1.4227009740598064,1.440819854589273,1.2952713619035403,1.4291900679942076,1.4016972195635506,1.4552640476668446,1.4171669415902761,1.375471357409948,1.3604020502015823,1.4646936468044505,1.5024416910892149,1.4450597263941969,1.3463149257124616,1.4997425913212588,1.4818010362656016,1.6610944084007053,1.4058291006600903,1.4245987669833586,1.365990656176271,1.684391525500976,1.331764962059395,1.4212385988436231,1.3868981652276324,1.5109249394912487,1.463070384570392,1.44533459454666,1.4191868833814032,1.437918376474444,1.4453121732931724
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,35,1.1001418441378872,1.027336741030815,1.2141787833982718,1.0476578064822708,1.1386067396525663,1.0354386364728903,1.1630854161724447,1.0608014016800082,1.1436451906445029,1.0351110312909395,1.1564261251223336,1.0370362908188562,1.022592150988203,1.0316417236381075,1.116860773216777,1.05110537517108,1.0774430168621834,0.945835472015582,1.1586905294723726,1.0486963180826718,1.0467059757106891,1.0626029523038842,1.0603864535747303,1.015143448941248,1.0366827078423413,1.0454924239981964,1.018750490803148,0.9806200741292034,1.0589446915038412,1.0642013704933915,1.0859499780475985,1.0335172154485859,1.0596421942379997,1.0482490697718378,1.0854616333312004,0.9954834958482395,1.0525315092874896,1.048908437042116,1.0675528102587255,1.0646969949105098,1.0801251078576688,1.06742970072928,1.05109260854437,1.0618594124262222
Pheromosa,Low Kick or Bug Bite,Focus Blast or Close Combat,40,1.4686379114354196,1.1947110167437034,1.516273638797515,1.1674180815116986,1.3423605163969015,1.078112153060298,1.5692486561749692,1.1786547692665585,1.541682533148463,1.1479329415723756,1.4741976772564307,1.1814574448176742,1.2327007806003618,1.1234240564571605,1.6079477967899032,1.2287513031817918,1.4623887432394092,1.0449079799940442,1.6182234579283707,1.2159967342671576,1.4626381234729293,1.1559835008957584,1.2603027593780025,1.1432792211507667,1.1844484344500994,1.1295262661611878,1.1879605295576035,1.0536298203259318,1.2822167014528933,1.2295802483587828,1.4344146173892542,1.0487317479805267,1.4331449382883568,1.117924855236379,1.391821512735181,1.1181033978743318,1.328931283344552,1.146913161981343,1.1706051039893761,1.0950173988404068,1.3344242265567048,1.2797525994929813,1.3950749462939385,1.2116313483551533
