Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier","Mega Aggron, Mega Tier","Mega Aggron, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Mega Lucario, Mega Tier","Mega Lucario, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Steelix, Mega Tier","Mega Steelix, Mega Tier","Mega Tyranitar, Mega Tier","Mega Tyranitar, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Houndoom, Mega Tier","Mega Houndoom, Mega Tier","Mega Kangaskhan, Mega Tier","Mega Kangaskhan, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Chansey, Tier 3","Chansey, Tier 3","Absol, Tier 3","Absol, Tier 3","Aggron, Tier 3","Aggron, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Cinccino, Tier 3","Cinccino, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Delcatty, Tier 3","Delcatty, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Excadrill, Tier 3","Excadrill, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Herdier, Tier 3","Herdier, Tier 3","Kangaskhan, Tier 3","Kangaskhan, Tier 3","Lairon, Tier 3","Lairon, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lickitung, Tier 3","Lickitung, Tier 3","Lopunny, Tier 3","Lopunny, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Miltank, Tier 3","Miltank, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Porygon, Tier 3","Porygon, Tier 3","Porygon2, Tier 3","Porygon2, Tier 3","Raticate, Tier 3","Raticate, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slaking, Tier 3","Slaking, Tier 3","Snorlax, Tier 3","Snorlax, Tier 3","Spinda, Tier 3","Spinda, Tier 3","Stantler, Tier 3","Stantler, Tier 3","Stunfisk (Galarian), Tier 3","Stunfisk (Galarian), Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Tauros, Tier 3","Tauros, Tier 3","Tyranitar, Tier 3","Tyranitar, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Ursaring, Tier 3","Ursaring, Tier 3","Walrein, Tier 3","Walrein, Tier 3","Zangoose, Tier 3","Zangoose, Tier 3"
(Boss weights),,,,3.125,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,3.125,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Gallade,Confusion or Low Kick,Close Combat,40,1.5144112159428045,1.416315719147435,1.5512532261784548,1.4477080375612883,1.50811886529419,1.4452218954137817,1.5424978451427005,1.4786138632694863,1.5083286471088477,1.4464415886012054,1.532668822237839,1.4518303018649932,1.4567004110716169,1.412170110927522,1.603071658510432,1.4916334868594647,1.3876799274799112,1.3132228370793524,1.4782859392898753,1.439228621310188,1.4906035819738308,1.439809188341149,1.281594116026117,1.298153457161847,1.519564022767061,1.5319316074932292,1.4407590127788457,1.3747158666912618,1.488643974969473,1.4869267503863075,1.5583604381876468,1.5079083473532067,1.4533013593427466,1.384498910600359,1.5282310051831982,1.3379236179174123,1.4222434648480686,1.3885739484452853,1.496350815653025,1.4810448613282763,1.3602992003400773,1.3910843478640313,1.4920415326874343,1.487232771474957,1.5401305983163163,1.5223347887427114,1.478210586413993,1.4449396964547354,1.480734506052205,1.4647303516356673,1.5156605108220944,1.5010715932192256,1.533595327628841,1.521154347566323,1.4730723776296797,1.4177456621655997,1.5758107733896483,1.541932397222277,1.4961802921223233,1.4846598488870437,1.6238821487697308,1.5711531516020112,1.4793234960107662,1.4731663278657479,1.2652289103837835,1.210695848749684,1.5044395253779206,1.5588716468813422,1.501278429657376,1.4868504630650243,1.5044581170368552,1.5517273166103056,1.4898019428288822,1.5404335929319553,1.4560041353243476,1.451871319888883,1.4322619556988097,1.45484934297447,1.5284275297050334,1.537687030802588,1.4128262948026176,1.4497952300712629,1.5120866382910145,1.5149275399742834,1.4875147714056138,1.5320063335542176,1.4774422989552005,1.4449969830296407,1.4750038062946416,1.4270831256310692,1.5014958786012875,1.4895102508848068,1.5230572137527956,1.5409257646365992,1.4625060518497,1.498390760078347,1.501294630273849,1.5841879257259732,1.4731392720234318,1.5010644076091506,1.5047700844467538,1.5592939274298223,1.518414738450409,1.5588507391546813,1.4836665003780118,1.5195748409418284,1.5030085949763796,1.589279988392243,1.4709537305860214,1.5587388592569738,1.5130825778247685,1.53368936410659,1.5008121069485898,1.5107712193236271,1.4691690249541003,1.485790095315294,1.5044900870662805,1.5476979604370427,1.529226564648375,1.5475882840712487,1.3677487519400555,1.3316403401912416,1.4891051642413318,1.5147381161709224,1.4892213345790304,1.5740554125832575,1.44944897916421,1.5045510627432015,1.531397154134217,1.5773432889049284,1.5105341534349233,1.5664235684958339,1.4358242551352898,1.4766340907975342,1.550328040183497,1.536764187606251,1.5045865603637538,1.586095683857867,1.4464052682800141,1.425699828333897,1.4813912685358077,1.5029704452581305,1.5275475144907722,1.554432925414561
Conkeldurr,Counter,Dynamic Punch,35,1.1471077157858403,1.1361612885644243,1.1433541660311972,1.1477890744192343,1.1330405262248937,1.1441484276102492,1.1603565142629688,1.1743083307390707,1.1351303244586244,1.1480283849618205,1.155806454624783,1.1514024651994323,1.1555730572787992,1.1807392942680248,1.171796638252193,1.170880638054279,1.0579793264338642,1.0698020343590624,1.151199379554687,1.183802775311626,1.1780474746247849,1.172049937528536,1.0931475362997656,1.1184676902416424,1.1927853078065518,1.2122783539468553,1.1175325321721907,1.1158327024782204,1.1547012061310227,1.1930122221238069,1.1252185223440019,1.143628384012241,1.1501231023792418,1.145695900636554,1.1567719710470117,1.1246700251494908,1.1578457909628193,1.1513722618659559,1.214594183580833,1.2167935057510089,1.188436925961429,1.2071063177497479,1.16746970784387,1.1969520952427852,1.1552589424388588,1.180362963824687,1.122084506129992,1.1401601500854242,1.1518400373468567,1.1569832724225708,1.1291951965408713,1.1750955166698143,1.1497019594136824,1.1779920795405179,1.0852572884751401,1.1134114383813771,1.1609153539758794,1.1877457601849386,1.1685602017778642,1.1931158183631818,1.1615319432463478,1.1896763214589858,1.1689603696236235,1.181769256183952,1.0469063082949892,1.0597455366956199,1.217000882866297,1.2638074324319855,1.1448208085884168,1.176326767433642,1.1631912355161997,1.208048588774254,1.1839193857344728,1.2444526520746133,1.130823896870172,1.156475591769733,1.1501929652997038,1.1805125707514803,1.1769106381180825,1.2141443394795113,1.1621365869372635,1.2137145776158822,1.1652331503408535,1.215145627017492,1.1761259031079407,1.2444896968792596,1.141989487781072,1.1544556013761507,1.1532399759785943,1.145797212423175,1.1586272002973108,1.2090656334167482,1.1781189412427095,1.2091648141555214,1.169378574838235,1.2131841138308335,1.1796885434747695,1.2613179247958068,1.1372265511088813,1.1766501746152176,1.1810883376410855,1.2334537425064422,1.183833113923454,1.2190933890464988,1.1580391344816718,1.2204661132460626,1.1668658682494661,1.2406518878723458,1.1930645306811454,1.2649120686764883,1.1701489702502677,1.204244651031016,1.1714040324072659,1.200833195035726,1.1696039731850392,1.2014087706782477,1.1674498451979742,1.212673188704537,1.1510427762270194,1.2011173931365755,1.1069909820156532,1.1079419530136376,1.1565296133158884,1.1867004270525074,1.1886783416137083,1.236553118820568,1.1505272527596235,1.1947138319521005,1.1888913578788205,1.241352452941873,1.1793738115638144,1.2335741589943385,1.145077730019228,1.191646643829017,1.170747736561289,1.1965787682536124,1.206660703149823,1.2831164015648304,1.1391977178254487,1.1395833422519797,1.144163673304791,1.174518613735459,1.1706182050403107,1.2180765730762209
Chesnaught,Vine Whip or Low Kick,Superpower,50,1.3885247389186832,1.3879591009882988,1.3977105437639168,1.370989161610113,1.3987698985687098,1.3700951285561933,1.4293449129144589,1.404158577656297,1.3331537527656132,1.303540651904578,1.40059769991499,1.3776832043026959,1.4927301915173938,1.465545374646155,1.59939248131737,1.464243749480603,1.417531532689674,1.3306444676365752,1.442959248866804,1.424059814500908,1.448511459785594,1.4752611390157742,1.3666364028709184,1.3933216780380207,1.4571356666163893,1.5229836903850507,1.3558088868989322,1.3926273237443356,1.4324071060935026,1.4437078089188535,1.4029204074669375,1.3756183997816989,1.4909118031018398,1.4808347282054497,1.3457823388243593,1.3453348224458859,1.3735627303307218,1.385124374489086,1.467830021896836,1.4714678376833181,1.3830876923315136,1.3965570565307908,1.4852110743069071,1.4945429313458525,1.410327607803328,1.4175725499366656,1.4610488297990454,1.444399806192822,1.401681393629052,1.385476181996226,1.3298083566675154,1.3377438944993896,1.399666919827085,1.4292005955958993,1.4109986662107477,1.3943074045809787,1.4533271391345493,1.4585464294859005,1.3776331515299591,1.3873242939887318,1.5237420645023416,1.4750899081537092,1.468548710955239,1.478437383576784,1.3155734785485627,1.3013339583042274,1.5279694749650072,1.6199351183423043,1.4345515702241776,1.4788470187388105,1.4984602939737766,1.5648528857960753,1.4179293424268442,1.460835090655751,1.4056532560004318,1.465235139823066,1.4226373621348822,1.440723331718249,1.3793373573803107,1.4452810335258295,1.4663165986251272,1.5117726576261246,1.4502561269480574,1.5442260471193507,1.4136371449737182,1.4616626850134131,1.386205249924873,1.4522966637303074,1.5526531168876796,1.4814310865646727,1.4888048003182368,1.5299716702140471,1.5028073926785255,1.5611628414980037,1.464844911265019,1.546259744539745,1.4973141091422222,1.5972484577868213,1.3741476065197848,1.4202271123331625,1.5113138187385233,1.5995599275201113,1.4672760490603929,1.5277532747569116,1.4838129581555615,1.5422293652142407,1.460056718425634,1.552086276410066,1.4737285086622531,1.5508070233672264,1.4191386885806359,1.4476384290064641,1.4838763373712893,1.5557541247365871,1.467858912080893,1.5254046561936934,1.491351790783471,1.5628247170549985,1.378663194124066,1.4628041739486097,1.3436023782187776,1.3571674192015657,1.4247654348653571,1.483194723048042,1.511775286121065,1.5752426901296057,1.4465826354585183,1.5141149914726633,1.4879843416816343,1.5735971499612444,1.4242731385550889,1.4824025566723604,1.4434116733799984,1.5106971947019723,1.4829034529339529,1.5465943695621456,1.5674182237667165,1.6519638718247551,1.4169339763320534,1.431170169197422,1.366957933257001,1.4158002268068501,1.4983585168625744,1.5694402700487045
Zamazenta (Hero),Metal Claw or Snarl or Quick Attack,Close Combat,30,1.6956218393478883,1.7447280708591661,1.773285744023777,1.7446030576385578,1.7432977810458623,1.7265097630065112,1.5106367651670394,1.4808271284531587,1.4746932764199705,1.4518059338493292,1.7648714776762484,1.7834599396715858,1.514632581392151,1.5169636304336034,1.521783636758869,1.5039057794839537,1.4035691592134947,1.3612863372852766,1.568971889610323,1.5519212353655782,1.7351915780031302,1.759656917461379,1.7340546786683866,1.7070956700744466,1.7335741429876204,1.7512819393499175,1.8520955750111225,,1.9361996425738301,,1.7173626203533556,1.6964115204347123,1.5410863898531166,1.4954750973748465,1.8823722004906522,1.6724773514175189,1.5378757128938083,1.5064546284452496,1.799252105243213,1.7837296127934203,1.613481356986714,1.5796199750291022,1.9676827156497159,,1.8019531609266541,1.8245161321609986,1.4770575728478568,1.4464143251316801,,,1.7304849795124515,1.7548639305358906,1.6636143166584103,1.7109573511568315,1.7381920399880133,1.7462749890486366,1.8171209467933203,1.8279119788154177,1.783136117392686,1.7787354347574493,1.7820167706051444,1.8082179585145868,1.7157196484027513,1.7280471174043681,1.5710022853854895,1.5430826008088172,1.7745618301548984,1.8359962227235334,1.7428474057238785,1.7924997202357835,1.9710011950297803,,1.524657662287263,1.593011542522207,1.7380826176794277,1.7361969511938937,1.69141912930769,1.7597988113210399,1.753994695632635,1.8144216568754163,1.5110026731342268,1.5693781065247603,1.7259982499540953,1.8141101299194176,1.7637113778696403,1.83807612903869,1.74241931685642,1.7440221566937495,1.468904864334634,1.4646108831705313,1.4747560188693123,1.5437797019860744,1.7168672137118244,1.811350004603874,1.7348290957644694,1.8283870397833735,,,1.7280960863566661,1.8064495438149701,1.7533840507762768,1.8171836359969584,1.7059317282892883,1.7699343391072386,1.79826872911113,1.8947958254404365,1.7122486235231973,1.8096301161446549,1.5831675994361614,1.6835087764243692,1.530545667643763,1.5855268208178486,1.710495760572497,1.7703134483936003,1.740276318465273,1.796401747497463,1.679724362903602,1.7855967176374432,1.751061169529679,1.8051077112408795,1.6417004437588336,1.6164802316875533,1.6750748719666804,1.759390416701525,1.718585724376752,1.8300213801118437,1.7120578716704664,1.776231677319503,1.7387979952282704,1.805556762621475,1.5447058343066975,1.604126729639341,1.7088614767067487,1.7878240745510088,1.8094359624660645,1.8701675720638724,1.7703875807368836,1.8896375259603377,1.7056839602784903,1.7107704426074413,1.7382641019378566,1.8100037629096575,1.7344509596812465,1.7919689033336685
Primeape,Counter,Close Combat or Cross Chop,35,1.733445103232097,1.5783364091299883,1.8084887491123494,1.578300905211849,1.7977076029847185,1.5666774976364748,1.8571522900373079,1.6010239104631478,1.8229017457649497,1.5635762331290364,1.8103072053012452,1.5878402698441423,1.6895729526695589,1.6364842484005606,1.8802246806989515,1.6514059017696416,1.6571663114875674,1.4447934822177046,1.912817110663489,1.5926195340705598,1.7421729167708624,1.645018036171911,1.6923208344877685,1.5757029804815441,1.6097682864170608,1.6208333469860725,1.5923305981841311,1.4923822736316479,1.6679654583318304,1.6340058886549715,1.7087813612513332,1.5492248335012624,1.6692290283059272,1.5936556190059759,1.7081996178087675,1.5444033751785624,1.6529725170359366,1.6025320088313388,1.6645533226677562,1.6002017919487526,1.8239915994183782,1.6860190842971905,1.7013978107463787,1.633768377322116,1.6399382911987537,1.5808290166250951,1.6350973261029536,1.6122606189843887,1.9165481386505883,1.6889711883094227,1.7643812267660173,1.6590532910874178,1.6851212295478,1.5722779465038141,1.6674063523191354,1.5529719144392184,1.6859669308488927,1.6559947030620745,1.7566853613686504,1.6692353052478042,1.7291248762077525,1.639711294290613,1.7154413558764392,1.6192726689609744,1.6447943015066357,1.4073859446144408,1.6077568358657346,1.652807748027922,1.6617006676685733,1.5980497561322284,1.679068274474866,1.640884224241382,1.6557272278030162,1.6408412904182512,1.6546338113341899,1.6156661251266156,1.6666980240971165,1.588453298181784,1.6774468362963146,1.6617007199881697,1.6254810144487601,1.54016386756783,1.6872745941127432,1.6247266867533063,1.6773773862784676,1.6161266041919355,1.6511563599400252,1.5942046021286094,1.6361072276813928,1.6171904929012395,1.7194043322372718,1.6204949415221515,1.7039712563012155,1.6543855726022283,1.6464205156430758,1.6146408046709237,1.634175995942184,1.6382057004467898,1.6093564021080422,1.5957676444617215,1.5968427571421335,1.612572556063536,1.5895430258230816,1.5890114326421492,1.5904058340239875,1.626891533448855,1.6982150639735705,1.6319666355357296,1.5513256669687097,1.6229199258833926,1.6315041927559812,1.5875005341846522,1.6293656877870095,1.580475700316522,1.6723768086727928,1.582135995758285,1.6408054199693065,1.6036161545478993,1.7307255583108536,1.657746923281474,1.8198354961097156,1.513530895253397,1.6608099156544212,1.570026520688797,1.547546860656603,1.6142754343152568,1.6590147978357697,1.6041947675720447,1.5653521476453125,1.5927247504983473,1.61827664381916,1.6370203048753074,1.6579760986402248,1.5688138218481529,1.696710931374769,1.6081200005082779,1.6276646838909514,1.687875437822222,1.6583453913430626,1.598965401360486,1.7074767880339443,1.6027877097545187,1.6463957790264456,1.5910804691277478
