Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Arceus (Water),Arceus (Water),Articuno (Galarian),Articuno (Galarian),Keldeo,Keldeo,Manaphy,Manaphy,Moltres (Galarian),Moltres (Galarian),Phione,Phione,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Volcanion,Volcanion,Zapdos (Galarian),Zapdos (Galarian),Kyogre,Kyogre,Lugia,Lugia,Suicune,Suicune,Tapu Fini,Tapu Fini,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Celesteela,Celesteela,Mega Aerodactyl,Mega Aerodactyl,Mega Sharpedo,Mega Sharpedo,Mega Blastoise,Mega Blastoise,Mega Gyarados,Mega Gyarados,Mega Pidgeot,Mega Pidgeot,Mega Slowbro,Mega Slowbro,Cloyster,Cloyster,Lapras,Lapras,Aerodactyl,Aerodactyl,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Braviary (Hisuian),Braviary (Hisuian),Brionne,Brionne,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Feraligatr,Feraligatr,Floatzel,Floatzel,Golbat,Golbat,Lumineon,Lumineon,Mareanie,Mareanie,Noctowl,Noctowl,Octillery,Octillery,Pelipper,Pelipper,Politoed,Politoed,Poliwrath,Poliwrath,Sharpedo,Sharpedo,Skarmory,Skarmory,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Swellow,Swellow,Tentacruel,Tentacruel,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Vaporeon,Vaporeon,Walrein,Walrein,Xatu,Xatu
(Boss weights),,,,1.5625,0.0,1.5625,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,1.5625,0.0,1.5625,0.0,3.125,0.0,3.125,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Thundurus (Therian),Volt Switch,Thunderbolt,50,1.0215632056784958,1.016915202211376,1.0226633437038002,1.0191998638433695,1.0479578784735926,1.0587485005293873,1.0653668566082077,1.0963807416716609,1.0274899707426712,1.0669504249433663,1.0209456958675194,1.0468778159601828,1.0143560170182633,1.0483384645118512,1.0734822573410205,1.107327885942779,1.0118694714715886,0.9983633780004855,1.1016733607342228,1.1283465886871402,1.1064083301476804,1.05523764218656,1.0426485018228242,1.0664391307982477,1.032580424711849,1.0407124151457177,1.0556352452209057,1.0494044882165958,1.009466907644998,1.0272628461086295,1.0080062315030698,1.0325320071371002,1.0150478369390228,1.0329319452274397,0.9996218602599782,1.034309282513467,1.0609872968099094,1.0630150924924562,1.029496507131055,1.0560981248504473,1.0554341486923242,1.0583564656544109,1.037413738054653,1.0439206108716468,1.0179815022524041,1.0392915167757188,1.0544843990216402,1.061820378947779,1.0693263642892563,1.047984667451281,1.02232971239272,1.0386233078187104,1.033307263551001,1.056833498445616,1.0353340439907155,1.0484245792628126,1.0189803129372763,1.0476438853246188,1.0397170007798675,1.0590740187320966,1.0258015313138875,1.0485083446351062,1.0248829907372357,1.0735476547197713,1.0257117697290472,1.0468761403840974,1.0783718491756016,1.090347440148813,1.0477653303952212,1.0671682357290588,1.0347279148485906,1.0780833580383107,0.9940903624022998,1.0504228841733048,1.027915011271991,1.0345190992774769,1.0232150864150695,1.0535172712493244,1.0427572959228448,1.1164837991886019,1.044944690897632,1.0907124792029612,1.0628138831680907,1.1075086837538533,1.0115280366396449,1.0574010391188102,1.0221733087115208,1.0732482461137727,1.0163952296667835,1.0393231528199143,1.0141389826996168,1.0453909892647826,1.0768087262655626,1.1231526691849891,1.0191659742539538,1.0569664041689002,1.0168496422606672,1.0556618414536778,1.0241915567461621,1.053538856063749,1.032131140318545,1.0476754954909493,1.0658714671960146,1.0499165059533393,1.0364979791565183,1.0744861687210747,1.1116547220036093,1.1254870179407679,1.0147657495144995,1.021519350163523,1.0136876545686635,1.0900543744379219,1.0246573639109426,1.0814054978032999,1.021606157733756,1.0500707292510822,1.0143012534121716,1.0386164294282665,1.0588357880436765,1.090333066258753
Thundurus (Therian),Volt Switch,Thunder,50,1.1933636974430701,1.1782229367504344,1.1972716986796417,1.1801052452518648,1.207085824322373,1.2099459777078527,1.2354389301267028,1.2655403045615958,1.1927907513465688,1.2473035701201933,1.1858128245735284,1.2092080389473678,1.1568325770999293,1.2160561149104645,1.2401159977537353,1.2878128718883897,1.1780640260770678,1.1491262260098913,1.2641437900391583,1.3013389070051657,1.2300428359366924,1.1843351628835252,1.2108124930595798,1.2315277872594292,1.185811720228922,1.2070031887867607,1.2068769076896684,1.2057476473992386,1.1857309170735848,1.1928092335935097,1.1899923521554083,1.2152044301217955,1.2063140731468598,1.2004232038419616,1.1359422814188067,1.192149803993728,1.2246054519191585,1.2167553573487797,1.2022037057961514,1.2243962002711581,1.226214595020463,1.2136853317153087,1.21097879368931,1.219879827807173,1.1892440786238203,1.1980227046736414,1.2107956010223222,1.2121178441550073,1.2459791350543807,1.2130191709459424,1.174059927782233,1.2027693581404633,1.1848704537213035,1.2146261858469585,1.1763021557325644,1.1946832833340875,1.1622665373375483,1.2053237815050455,1.1888187674362438,1.2264141393077073,1.1930932324611296,1.1963641577579758,1.153689148341808,1.244319151374508,1.1671842198876552,1.2153613242381431,1.2241504335744144,1.2522479410717136,1.2010211737109198,1.2336051607817482,1.1560595263016562,1.2000334609668528,1.128791162886599,1.1988790462699621,1.156241319214561,1.1877748199326892,1.1402146908796353,1.1959036936452612,1.1910694698474904,1.2664964555586646,1.20211217910516,1.2335451542695361,1.2069484717935317,1.2745443767233613,1.14495227165458,1.2066281461402608,1.1807126559624725,1.238098639347878,1.136112871314808,1.1713392794567337,1.158249929798375,1.1950397859263386,1.2132806892392023,1.2700535126440133,1.175493980887241,1.1965984313148508,1.1539884930963065,1.2130818095271816,1.1860806902340042,1.2238011869506955,1.2008973924644843,1.209688819283814,1.214024459763081,1.1933924158880873,1.1762484691529949,1.2415634401943911,1.2590389720800743,1.2998839715371888,1.176240644605892,1.1804762305311627,1.1550778756271736,1.2379858010860223,1.1724467459881134,1.2405326798032208,1.152407699822705,1.1944500461394896,1.1740462260675728,1.203983413777144,1.1903942570796433,1.2521416132564271
Thundurus (Therian),Bite,Thunderbolt,50,1.227322271444251,1.2174472915867633,1.2282573331992772,1.221144600748826,1.0739966614579701,1.0814229772016852,1.4284314390390074,1.492579154227272,1.2488459852132552,1.3192606027627,1.4033168260250672,1.4532833408981265,1.230983497124253,1.2856799134526093,1.4668002422999857,1.529744659439904,1.2105743157925355,1.2310010009347465,1.4618738324569671,1.5073550399635924,1.358228575374504,1.234458669933108,1.0762573011439238,1.0854674773018178,1.2465586693006594,1.2709845605355166,1.4265206960212728,1.4328526030610258,1.2061371207215297,1.2386234978628707,1.2191820974609255,1.2495919789712304,1.354120282840708,1.4175097486778687,1.202235316515608,1.2593975387855794,1.282318857948369,1.2969293414940122,1.3631838903006808,1.4289602511594999,1.2577615745252342,1.2651291081344298,1.3922442544138447,1.4134860488794685,1.274098017468564,1.311810734425768,1.0792439838418304,1.0862338958734048,1.3245985085810703,1.3233137827964379,1.2724776439392678,1.3246176032089323,1.250176329373549,1.2846849392390645,1.2811897907790182,1.330698540108231,1.374158581370016,1.4879044318381214,1.3075733940337064,1.368663171131668,1.0845682162696721,1.1090878494239689,1.279034273246178,1.4058907232349747,1.3753530881946059,1.446475460542825,1.3106501446704795,1.3676251846815675,1.1239979728236396,1.1580509067229223,1.301482710192189,1.4100389466972256,1.264177472207982,1.341047291283039,1.2222256421034363,1.2628162904922544,1.2642739839495356,1.3201839825210582,1.3269534642091574,1.4155069754733267,1.322388634816243,1.39296329434892,1.3941078352946958,1.4701721253337203,1.2605264575643582,1.350597095787216,1.3128356300246555,1.3919232425567047,1.4179265874691485,1.480048633069167,1.2383835456400663,1.3187312952087205,1.4886173257910666,1.589615848521542,1.4067617443626235,1.491711209194682,1.27417788773463,1.3438010383841061,1.105460050692189,1.1376742394979422,1.1024540996643746,1.132450262346423,1.1227379711713064,1.1255899654739454,1.2944918833641859,1.3977332780727516,1.3902619120781015,1.45497464050692,1.4096260389083504,1.4846457484909112,1.4196324529739421,1.551044575721909,1.3374582333281042,1.390341001004023,1.244872121080222,1.3006496666250154,1.2472970312927998,1.305920828177688,1.1380353425161343,1.1853657222527874
