Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Arceus (Water),Arceus (Water),Articuno (Galarian),Articuno (Galarian),Keldeo,Keldeo,Manaphy,Manaphy,Moltres (Galarian),Moltres (Galarian),Phione,Phione,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Volcanion,Volcanion,Zapdos (Galarian),Zapdos (Galarian),Kyogre,Kyogre,Lugia,Lugia,Suicune,Suicune,Tapu Fini,Tapu Fini,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Celesteela,Celesteela,Mega Aerodactyl,Mega Aerodactyl,Mega Sharpedo,Mega Sharpedo,Mega Blastoise,Mega Blastoise,Mega Gyarados,Mega Gyarados,Mega Pidgeot,Mega Pidgeot,Mega Slowbro,Mega Slowbro,Cloyster,Cloyster,Lapras,Lapras,Aerodactyl,Aerodactyl,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Braviary (Hisuian),Braviary (Hisuian),Brionne,Brionne,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Feraligatr,Feraligatr,Floatzel,Floatzel,Golbat,Golbat,Lumineon,Lumineon,Mareanie,Mareanie,Noctowl,Noctowl,Octillery,Octillery,Pelipper,Pelipper,Politoed,Politoed,Poliwrath,Poliwrath,Sharpedo,Sharpedo,Skarmory,Skarmory,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Swellow,Swellow,Tentacruel,Tentacruel,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Vaporeon,Vaporeon,Walrein,Walrein,Xatu,Xatu
(Boss weights),,,,1.5625,0.0,1.5625,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,1.5625,0.0,1.5625,0.0,3.125,0.0,3.125,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Thundurus (Therian),Volt Switch,Thunderbolt,50,1.0221929587358174,1.0584553252700517,1.0213300697510719,1.058558904460229,1.0477971352932336,1.0946694257869851,1.0782568345517483,1.135524753951994,1.038175195500321,1.100398815138427,1.0214478814488115,1.07366440608166,1.025292783625051,1.0921649124847357,1.0810405236416074,1.1318860335950789,1.030004490655981,1.0563525510380323,1.0949354154781468,1.1485912314910212,1.081942834431822,1.0821018116782035,1.0608585541760385,1.107241019379489,1.0273557275952334,1.0784246637013561,1.06491742829788,1.0926594166696313,1.0270308196157338,1.0691896638744853,1.0148012070349732,1.060852043298227,1.0244647004939968,1.0723553996139628,1.0144049058162845,1.0784264969166502,1.0607506973165335,1.1106148408194672,1.0305598854109619,1.0887601634578927,1.0573223955936846,1.0954393110639793,1.0405577695424935,1.0809215817607705,1.022218278615794,1.0729263531499555,1.0585566680656313,1.1042228750724463,1.0656038580080882,1.1026840243277283,1.0163854826036673,1.0490416788056962,1.033200696344193,1.0848908614389838,1.0351236361140974,1.0557105931331061,1.0180742786801573,1.0476476416368932,1.0301609447786342,1.0631046865350746,1.0335274395623788,1.0829804129168874,1.0375690607734807,1.086878453038674,1.0378621539120656,1.0808011567503883,1.0578709195553797,1.092526690391459,1.0542796284757945,1.0922000202860331,1.0354603475841988,1.0788498784625185,1.0176475285474726,1.075312852922052,1.052404051574635,1.0883203056274662,1.0323831360375098,1.076153182280731,1.0630263866451264,1.138976844372644,1.037410283238798,1.0913596563687427,1.062823649917487,1.1075229044556991,1.020903274220941,1.0673012362257595,1.0149860981396197,1.0795680225006172,1.0209182892374498,1.0604166956618557,1.0330997426445017,1.0773892328023928,1.0837579589314659,1.1371398891346594,1.034466493716519,1.0921801826084028,1.0168520438181154,1.055662174656095,1.028048907568863,1.0912414463857723,1.027915675526597,1.0726204019719379,1.0515285326086956,1.0858695652173913,1.037216710436728,1.0752358719968875,1.107051436851002,1.1361989857522337,1.0298649072742798,1.0837414335447426,1.0278322226577812,1.1063809399364084,1.0246596633407807,1.0814032555751378,1.032659852626575,1.0814737342524365,1.0245574057843996,1.0638387379491674,1.0705838162695858,1.1132109894827218
Thundurus (Therian),Volt Switch,Thunder,50,1.1941747883508567,1.2246465047290043,1.1947110769821463,1.2223939335765022,1.2065486718843328,1.2508969067794977,1.2497270736704291,1.311962563000926,1.205361296360651,1.2859903541529913,1.1873152619378151,1.2420757749865494,1.1698668372390535,1.2686259231261268,1.2486035848270112,1.3168820341809087,1.1992244982555529,1.2153390445265813,1.257118346772477,1.3252641707040862,1.2023399463451794,1.215439009041831,1.231050900422564,1.2803397069342173,1.1799993779068532,1.2513387280814485,1.2162223194937891,1.2547712476934523,1.2064825984713543,1.2392418786453583,1.1982155498692906,1.246748084840479,1.217969951254621,1.2449577976248896,1.1527195452250156,1.2406351853835442,1.2252723141290758,1.2709645811291719,1.20307115473733,1.2586847537599528,1.228674266453575,1.2565921843987464,1.213885792755306,1.2609398396102234,1.1951375332741792,1.2359396628216504,1.2149534344585007,1.2619811339608689,1.2446569499205742,1.2798891202399865,1.172232963424001,1.2142737329060396,1.1845312111415072,1.2473743615250703,1.1769792071734109,1.2037651256948099,1.1617677965592819,1.2053322124478336,1.1777178015141465,1.2310788865762448,1.1935217046056115,1.2347692782777484,1.1680089247768806,1.2597641308967276,1.1785572752101965,1.2560059979649763,1.2027678924476077,1.2545494486182505,1.2048454638981063,1.2625302479243041,1.156880841273349,1.2008813092251498,1.1555423734614023,1.2272960609621153,1.1890651050175518,1.251740518259733,1.1473342521865701,1.2249172388030862,1.2150673128702207,1.2920193861066236,1.196202066927327,1.234236466765791,1.206951004381722,1.274554714619018,1.1556736048027174,1.2179292231130772,1.1750882955997122,1.2453919895226133,1.1459548231757386,1.195640979248723,1.1854263754608054,1.2316199485289003,1.2202799394628674,1.2857513858167589,1.1772009029345374,1.2309221387419562,1.1539867761185667,1.2130809962737792,1.1901073326617806,1.2675587898155545,1.198624469955528,1.2385286310200987,1.1998471467391305,1.2312754755434783,1.177062056220212,1.2424253477288203,1.2680270466070998,1.3122595186347903,1.1912098498726436,1.2525161111394936,1.171000479114944,1.2565355633956183,1.1724511178029726,1.2405323267787014,1.1718944616115998,1.2301782743047303,1.184829097283085,1.2341542506573182,1.2108606997209703,1.2783215282249412
Thundurus (Therian),Bite,Thunderbolt,50,1.2280450515462267,1.2921198195762056,1.2268813591860241,1.2935384270813335,1.0742322824784298,1.13001776472719,1.4452583322802968,1.5698266736546853,1.2624843480227486,1.3899121282827782,1.4041288334185758,1.5202124197115927,1.244614758388091,1.3579182415537594,1.4768473350382478,1.5888692360555636,1.2332446716639607,1.3133527928425852,1.4544119274882283,1.5600206057406572,1.3270741562613853,1.283439870168582,1.0939018569800694,1.146529011029093,1.238846115437569,1.3265792571225574,1.440297341650568,1.5209758572314622,1.2268705766257988,1.3164799051216647,1.2276973395398871,1.305598949579001,1.3673058363594726,1.4853825203650997,1.220157304402381,1.3224051659500238,1.2840092093873232,1.3676962104453207,1.3652441336310401,1.491346842482201,1.2603358100252933,1.3285623660803014,1.3971935668234703,1.48340371829121,1.2803052351375332,1.363201419698314,1.0837230449467394,1.1431715530507425,1.3237980115056738,1.4027049092140322,1.2687978388113463,1.33908061198365,1.2511143420121287,1.3273582920436937,1.2832765285815586,1.3408170734496878,1.3736752034106943,1.4879154532080343,1.2930170856110335,1.3738706799935958,1.0899395623786836,1.145546585494971,1.2949107522311942,1.423342541436464,1.3936378728645638,1.5000481979328442,1.2870084794165457,1.370493387812486,1.1256574848217002,1.1852114818947155,1.3024008527121707,1.4110306638416243,1.2941330808455298,1.372833985466741,1.2537428473286918,1.3368688265011184,1.2701170893820926,1.3561758530521815,1.3530102315562735,1.4440280021540117,1.320043321034565,1.393790039833324,1.3941131280942356,1.4701815284811928,1.2722856352936531,1.3632449938781153,1.303414812190697,1.4001266733223836,1.4339118453466202,1.5109045107235808,1.2719969395562358,1.359097864644919,1.5004074614702643,1.6094190763609661,1.4278663117819481,1.546258549240255,1.2741784103325582,1.343799904743227,1.1104762235576087,1.180025356907152,1.1008549660426794,1.160909435653463,1.1078974184782608,1.1654806385869565,1.2953871218753041,1.3987087831922966,1.3902921999517024,1.4688320051517347,1.4259325485158776,1.5752497865228403,1.440515701903393,1.5742845942767543,1.337464092921275,1.3903498424945533,1.2650534822914192,1.3395483717613503,1.259404031551271,1.3472743207712534,1.1513951491736425,1.2104314230521571
