Attacker,Fast Move,Charged Move,Level,IV,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Genesect (Chill), Tier 5","Genesect (Chill), Tier 5","Genesect (Shock), Tier 5","Genesect (Shock), Tier 5","Genesect, Tier 5","Genesect, Tier 5","Genesect (Burn), Tier 5","Genesect (Burn), Tier 5","Genesect (Douse), Tier 5","Genesect (Douse), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Zacian (Crowned Sword), Tier 5","Zacian (Crowned Sword), Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Regice, Tier 5","Regice, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Mega Abomasnow, Mega Tier","Mega Abomasnow, Mega Tier","Mega Aggron, Mega Tier","Mega Aggron, Mega Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Mega Lucario, Mega Tier","Mega Lucario, Mega Tier","Mega Mawile, Mega Tier","Mega Mawile, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Scizor, Mega Tier","Mega Scizor, Mega Tier","Mega Steelix, Mega Tier","Mega Steelix, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mawile, Tier 3","Mawile, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Durant, Tier 3","Durant, Tier 3","Excadrill, Tier 3","Excadrill, Tier 3","Galvantula, Tier 3","Galvantula, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Parasect, Tier 3","Parasect, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Pinsir, Tier 3","Pinsir, Tier 3","Skarmory, Tier 3","Skarmory, Tier 3","Stunfisk (Galarian), Tier 3","Stunfisk (Galarian), Tier 3","Tangela, Tier 3","Tangela, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,,1.5625,0.0,1.5625,0.0,1.5625,0.0,1.5625,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Charizard Y,Fire Spin,Blast Burn,40,15/15/15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mega Charizard Y,Wing Attack,Blast Burn,40,15/15/15,1.007420979507634,1.0051040528036275,1.0075747463730094,1.0054727822636926,1.1280623089593689,1.1404086216810236,1.181241103313088,1.1942735872046981,1.200949990976788,1.212737948771293,1.2074115851791845,1.217544652902286,1.2012265660857264,1.2222290069523258,1.2083418648555049,1.2185693157552016,1.2124857160040898,1.2164415264022121,1.0174543665114306,1.0204479780003533,1.1932759431860502,1.1998686266561265,1.1485464364986975,1.1514685825736122,1.1354584162517674,1.1268705630185887,1.1359259770956474,1.1344589142118426,1.2193258591056466,1.2306303720810328,1.119494798103267,1.1449989838318233,1.175076780726345,1.1915125692016344,1.0121922907659557,1.0214215186789826,1.1281033016131157,1.1244016512036044,1.1164315505730826,1.1133031186934899,1.2228016367689543,1.2385820900238236,1.2080226696182348,1.2226760791690343,1.2018305446924769,1.2283531232970444,1.1962682456772529,1.2028418381294876,1.0250952076002156,1.02363087080101,1.1935155195396283,1.219450040615124,1.0128565695983953,1.034774282858464,1.016484126260689,1.0389152587900397,1.0334928555962646,1.0446600979934864,1.1087514360588682,1.130815935463078,1.2279616825968787,1.2476514668759597,1.198731891038645,1.1975007298858837,1.1007177851280543,1.1091249676004238,1.132087431956806,1.1411283234641472,1.146733958514203,1.1496574651934293,1.046866083073323,1.0599759322454352,1.1257084479655506,1.14925547546827,1.0270460820364269,1.0284239970451927,1.189466523273194,1.1981103637578439,1.2039643223806644,1.2312386218056772,1.0273002381031178,1.0341220938971196,1.0962728973579305,1.1246754403446773,1.0277590949892605,1.0259055838004807,1.214557691956849,1.2275286768373688,1.2552170249717354,1.2739973374538562,1.0291988664874785,1.043519240512697,1.0232734022154228,1.0198801003920424,1.0283193672493107,1.03910037215251
Mega Charizard Y,Ember,Blast Burn,40,15/15/15,1.0513254882445104,1.057458116764028,1.050026343971105,1.0572967469461858,1.0450099934167116,1.0621947785787629,1.0474892453254938,1.0494941889674587,1.046627580675053,1.0497816182402016,1.0463643050132738,1.0494927751246526,1.0478831929822066,1.0477387962414422,1.0474718150739486,1.0510865187486662,1.0556687999300296,1.0523171013509194,1.052021565709743,1.0503766250238367,1.0561316773299516,1.058828653145745,1.0612194409475082,1.0632904231342173,1.0633433289362932,1.0634860455942707,1.0650824383936266,1.0680667028944424,1.0605948718588503,1.0608695124941727,1.050624100693745,1.0542740352152808,1.0284846115323654,1.0354835895012457,1.0529465672645375,1.0529629907997724,1.0437208327097558,1.0405724722841174,1.0483423841462582,1.0436751895658785,1.0494975278334326,1.055749785864101,1.0592583095925152,1.0603797702399336,1.0442137105041829,1.0523586761408052,1.048441796786173,1.0434679681562364,1.0457573182587763,1.0470309405998612,1.058143640939985,1.0595733889891423,1.0620284752130604,1.0642168657222995,1.0611910230002153,1.0610237654672963,1.0739228837442438,1.0715375070688224,1.0482414109335376,1.0625145858552598,1.0582512838338525,1.064045946361368,1.0508625117469965,1.0503165244251378,1.0529905324015922,1.0546503692453395,1.0482874357969199,1.062608746938612,1.0541646947400143,1.041974057482544,1.067640104801164,1.0677566078569807,1.0771584271221253,1.0732122734765464,1.0761076165152839,1.084066656107943,1.0415391292032479,1.0358364337257633,1.0328494474964929,1.0591268289393838,1.0625650342001076,1.085275858391765,1.047890507082864,1.051987991417728,1.0680013897162448,1.0519705153726795,1.0549197340889092,1.052648322214356,1.0786555213084403,1.0837838564134477,1.0817711631990508,1.0810181355621593,1.0472204260802658,1.0616301213622716,1.045915731941672,1.0434776781841553
Mega Charizard Y,Air Slash,Blast Burn,40,15/15/15,1.0536943310055153,1.0504640229900952,1.0511709218844032,1.0523323288876845,1.1915180983652365,1.2098209347383686,1.314752707162556,1.33362195098967,1.3268526404933532,1.3490336050910536,1.3079341380820733,1.3585855923444248,1.3168678763059507,1.3499710246358116,1.333283024766369,1.3511631764494398,1.3262584855648256,1.3503406595990757,1.0474830529788695,1.0533914413336407,1.3114394519872001,1.3416689358514886,1.205570460611779,1.2100178053490782,1.2097180351372303,1.2208808391655925,1.212613667212204,1.2211496680118863,1.3360908216268739,1.3516711444301026,1.2038653908085546,1.2338572897594844,1.3814501698059323,1.3517099112166855,1.042194173677967,1.0472700189211017,1.2036450682852913,1.2136544697211908,1.186215963006451,1.198513534163804,1.3328154168247643,1.3448928228999888,1.3027720586718896,1.3334290174451835,1.3148135412725814,1.3490074370698095,1.3322525016382327,1.346145782358672,1.0554902432268427,1.052649458859422,1.2934105874841157,1.3202068619894396,1.0486136766781606,1.0537796038529503,1.0502735932363976,1.0565741316023298,1.048101332724114,1.061352442200767,1.1808411239568235,1.1924110935862566,1.3124137629370156,1.3239867380406312,1.3393423404595801,1.3161118374709764,1.180390240905285,1.188814856452072,1.1928392206374494,1.2356262790132777,1.2273366386124525,1.2086696233777758,1.0536365017961902,1.0553929182418227,1.2104087179167227,1.225283695370748,1.0549109562348933,1.05290717793376,1.3090363589195368,1.3356066860048816,1.3281668374476931,1.354704841210977,1.0587077636944129,1.0520775244562277,1.182969310576106,1.209948896955413,1.0558777422727081,1.051242540697735,1.341414291107247,1.368801643369875,1.351184749573344,1.371077429529157,1.0533452217399693,1.0553690894129568,1.0530184161016345,1.0586153054711853,1.0498625154694237,1.0546818249073964
Mega Charizard Y,Fire Spin,Overheat,40,15/15/15,1.0942380183624845,1.0712320841343794,1.0890822596814962,1.0732486533373329,1.0935466249601657,1.0778301253092835,1.0873956703701353,1.0705908158041815,1.0687972472150866,1.0711179131597441,1.0849717568672888,1.0688744575068951,1.0755051992409645,1.0648323039788723,1.0656586610916532,1.0655491803455055,1.0758169451319823,1.0694076077566648,1.05995951207012,1.0676572327090081,1.0810417745739713,1.0772764173904854,1.059348988412389,1.0630959094602355,1.0713838671459515,1.0710527263573224,1.0550149265973696,1.0538717763940721,1.0609027764527337,1.0583614709340607,1.0647821755318896,1.0662053731149481,1.059112527466253,1.0807977026209195,1.0543877313317351,1.0687495087685688,1.0999643015468847,1.0809936673347567,1.0766227995110267,1.0673633150726003,1.0533401580760073,1.0602443131192492,1.0505114799634063,1.0690595996633045,1.0688082990181664,1.0714238080149256,1.0581099593885228,1.058322792639759,1.0596230406095657,1.0605983291563406,1.051442520190618,1.0513764392578282,1.0705419856165201,1.0741897184424023,1.0189963082016245,1.057423307397928,1.0587694337840532,1.0707423151064348,1.0609235319149586,1.0727070106970908,1.0871365296251732,1.0695346650068696,1.0776127972335794,1.0587598347667033,1.0523803207203848,1.057925183726287,1.0595000186145689,1.0738342444645317,1.0735674772014665,1.045924673377313,1.0555287264683346,1.0598201759382821,1.0677635858798806,1.0771720945723595,1.0604564677798,1.0631626832016483,1.0849424270924777,1.0707402408060689,1.0610590482971938,1.06864966961095,1.1220621436944476,1.1281510747308117,1.0626111497122184,1.0637520812476422,1.068575084587181,1.0735455259393873,1.0491596603276314,1.04871218462983,1.075911632412387,1.0642581644343239,1.0724430380027479,1.0731032401102434,1.0497586784306758,1.0537647581522473,1.0665945235343979,1.0684666624771062
