Attacker,Fast Move,Charged Move,Level,IV,"Arceus (Bug), Tier 5","Arceus (Grass), Tier 5","Arceus (Ice), Tier 5","Arceus (Steel), Tier 5","Genesect (Chill), Tier 5","Genesect (Shock), Tier 5","Genesect, Tier 5","Genesect (Burn), Tier 5","Genesect (Douse), Tier 5","Shaymin, Tier 5","Zacian (Crowned Sword), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Regice, Tier 5","Registeel, Tier 5","Mega Abomasnow, Mega Tier","Mega Aggron, Mega Tier","Mega Beedrill, Mega Tier","Mega Glalie, Mega Tier","Mega Lucario, Mega Tier","Mega Mawile, Mega Tier","Mega Metagross, Mega Tier","Mega Scizor, Mega Tier","Mega Steelix, Mega Tier","Mega Venusaur, Mega Tier","Mawile, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Cryogonal, Tier 3","Durant, Tier 3","Excadrill, Tier 3","Galvantula, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Gloom, Tier 3","Jynx, Tier 3","Meganium, Tier 3","Metagross, Tier 3","Metang, Tier 3","Parasect, Tier 3","Piloswine, Tier 3","Pinsir, Tier 3","Skarmory, Tier 3","Stunfisk (Galarian), Tier 3","Tangela, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,,1.5625,1.5625,1.5625,1.5625,1.25,1.25,1.25,1.25,1.25,6.25,6.25,6.25,6.25,6.25,6.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Charizard Y,Fire Spin,Blast Burn,40,15/15/15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0
Mega Charizard Y,Wing Attack,Blast Burn,40,15/15/15,1.007420979507634,1.0075747463730094,1.1280623089593689,1.181241103313088,1.200949990976788,1.2074115851791845,1.2012265660857264,1.2083418648555049,1.2124857160040898,1.0174543665114306,1.1932759431860502,1.1485464364986975,1.1354584162517674,1.1359259770956474,1.2193258591056466,1.119494798103267,1.175076780726345,1.0121922907659557,1.1281033016131157,1.1164315505730826,1.2228016367689543,1.2080226696182348,1.2018305446924769,1.1962682456772529,1.0250952076002156,1.1935155195396283,1.0128565695983953,1.016484126260689,1.0334928555962646,1.1087514360588682,1.2279616825968787,1.198731891038645,1.1007177851280543,1.132087431956806,1.146733958514203,1.046866083073323,1.1257084479655506,1.0270460820364269,1.189466523273194,1.2039643223806644,1.0273002381031178,1.0962728973579305,1.0277590949892605,1.214557691956849,1.2552170249717354,1.0291988664874785,1.0232734022154228,1.0283193672493107
Mega Charizard Y,Ember,Blast Burn,40,15/15/15,1.0513254882445104,1.050026343971105,1.0450099934167116,1.0474892453254938,1.046627580675053,1.0463643050132738,1.0478831929822066,1.0474718150739486,1.0556687999300296,1.052021565709743,1.0561316773299516,1.0612194409475082,1.0633433289362932,1.0650824383936266,1.0605948718588503,1.050624100693745,1.0284846115323654,1.0529465672645375,1.0437208327097558,1.0483423841462582,1.0494975278334326,1.0592583095925152,1.0442137105041829,1.048441796786173,1.0457573182587763,1.058143640939985,1.0620284752130604,1.0611910230002153,1.0739228837442438,1.0482414109335376,1.0582512838338525,1.0508625117469965,1.0529905324015922,1.0482874357969199,1.0541646947400143,1.067640104801164,1.0771584271221253,1.0761076165152839,1.0415391292032479,1.0328494474964929,1.0625650342001076,1.047890507082864,1.0680013897162448,1.0549197340889092,1.0786555213084403,1.0817711631990508,1.0472204260802658,1.045915731941672
Mega Charizard Y,Air Slash,Blast Burn,40,15/15/15,1.0536943310055153,1.0511709218844032,1.1915180983652365,1.314752707162556,1.3268526404933532,1.3079341380820733,1.3168678763059507,1.333283024766369,1.3262584855648256,1.0474830529788695,1.3114394519872001,1.205570460611779,1.2097180351372303,1.212613667212204,1.3360908216268739,1.2038653908085546,1.3814501698059323,1.042194173677967,1.2036450682852913,1.186215963006451,1.3328154168247643,1.3027720586718896,1.3148135412725814,1.3322525016382327,1.0554902432268427,1.2934105874841157,1.0486136766781606,1.0502735932363976,1.048101332724114,1.1808411239568235,1.3124137629370156,1.3393423404595801,1.180390240905285,1.1928392206374494,1.2273366386124525,1.0536365017961902,1.2104087179167227,1.0549109562348933,1.3090363589195368,1.3281668374476931,1.0587077636944129,1.182969310576106,1.0558777422727081,1.341414291107247,1.351184749573344,1.0533452217399693,1.0530184161016345,1.0498625154694237
Mega Charizard Y,Fire Spin,Overheat,40,15/15/15,1.0942380183624845,1.0890822596814962,1.0935466249601657,1.0873956703701353,1.0687972472150866,1.0849717568672888,1.0755051992409645,1.0656586610916532,1.0758169451319823,1.05995951207012,1.0810417745739713,1.059348988412389,1.0713838671459515,1.0550149265973696,1.0609027764527337,1.0647821755318896,1.059112527466253,1.0543877313317351,1.0999643015468847,1.0766227995110267,1.0533401580760073,1.0505114799634063,1.0688082990181664,1.0581099593885228,1.0596230406095657,1.051442520190618,1.0705419856165201,1.0189963082016245,1.0587694337840532,1.0609235319149586,1.0871365296251732,1.0776127972335794,1.0523803207203848,1.0595000186145689,1.0735674772014665,1.0555287264683346,1.0677635858798806,1.0604564677798,1.0849424270924777,1.0610590482971938,1.1220621436944476,1.0626111497122184,1.068575084587181,1.0491596603276314,1.075911632412387,1.0724430380027479,1.0497586784306758,1.0665945235343979
