Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Mega Beedrill, Mega Tier","Ariados, Tier 3","Pinsir, Tier 3"
(Boss weights),,,,50.0,35.0,7.5,7.5
(Weather),,,,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,No Dodging,No Dodging,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Reshiram,Fire Fang,Overheat,40,1.1905112459435843,1.2045829033172983,1.1729989923467656,1.2001544037056613
Mega Houndoom,Fire Fang,Flamethrower,40,1.1573321807420434,1.2624463413626044,1.1778692366888204,1.280720194643168
Shadow Lugia,Extrasensory,Aeroblast+,40,1.3713205513999376,1.236449803450274,1.2087056614900462,1.4133024954207163
Shadow Aerodactyl,Rock Throw,Rock Slide,40,1.3333814460890128,1.2907209019227714,1.2823280783634319,1.370456641429964
Entei,Fire Fang,Overheat,40,1.3308500245107393,1.3779674273641749,1.3443905742667952,1.3800452034256043
Emboar,Ember,Blast Burn,40,,,1.3649779063476801,1.402525079463302
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.170933683208235,1.1600390486496006,1.1645488367844452,1.1866192803683444
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.161799727680481,1.1379363696094518,1.13890288672682,1.1579477134978176
Rhyperior,Smack Down,Rock Wrecker,40,1.2662752052929318,1.3103014448697141,1.3378054992297843,1.3890059477409908
Shadow Houndoom,Fire Fang,Flamethrower,40,1.335095611710235,1.4037753573534208,1.301632912289834,1.4446880258689758
Shadow Arcanine,Fire Fang,Flamethrower,40,1.283266476099179,1.2906388709369128,1.2270147618427918,1.2982292688485102
Shadow Salamence,Fire Fang,Fire Blast,40,1.354207296914026,1.3862674428677146,1.2562493419105203,1.2980768649582026
Shadow Ho-Oh,Incinerate,Brave Bird,40,1.138170036624844,1.1127178591749678,1.108766353822155,1.1227081520245126
Victini,Quick Attack or Confusion,V-Create,40,1.3586747447190386,1.2982888146316676,1.3041225209255733,1.456143099464426
Blaziken,Fire Spin,Blast Burn,40,,,1.2895075837706105,1.3960374228659302
Mega Aerodactyl,Rock Throw,Rock Slide,40,1.1724641545926284,1.1911549218512336,1.1815042793253747,1.2129297180954588
Shadow Zapdos,Thunder Shock or Charge Beam,Drill Peck,40,1.2270670930064838,1.2688788850500428,1.2280501479948884,1.249415382130693
Shadow Honchkrow,Peck,Sky Attack,40,1.2590104104966435,1.236898519277361,1.1612470191293591,1.238862349600674
Shadow Tyranitar,Smack Down,Stone Edge,40,1.1813072030842393,1.2600526360213897,1.2449149151215058,1.3573200995984032
Rampardos,Smack Down,Rock Slide,40,1.2543325519967208,1.2428254163666386,1.2084964105339415,1.30402994224402
Shadow Typhlosion,Incinerate,Blast Burn,40,1.273311646244355,1.3099591476188766,1.17914351768247,1.2657302833489674
Terrakion,Smack Down,Rock Slide,40,1.3583015073732962,1.3483296955177668,1.3655576461541488,1.4030545642538774
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.1693153796091467,1.1582404638583037,1.1647385480964754,1.184187898644108
Mega Charizard X,Fire Spin,Blast Burn,40,1.184526164532737,1.1641520791133433,1.1328539575470893,1.1738049885756663
Shadow Staraptor,Wing Attack,Brave Bird,40,1.3093215655348769,1.236414251411036,1.1870054296323431,1.2546508227409607
Shadow Magmortar,Fire Spin,Fire Punch,40,1.287711073649691,1.307639159312251,1.2394352154262478,1.308316161343721
Darmanitan,Fire Fang,Overheat,40,1.3178035700920405,1.3174785226884564,1.2259425179024224,1.323007274665106
Shadow Lugia,Extrasensory,Aeroblast+,40,1.39730585090432,1.2813583634469927,1.2566592444683697,1.4254517190865243
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.161799727680481,1.1392023072560842,1.140150175302616,1.1579749475981027
Shadow Charizard,Fire Spin,Blast Burn,40,1.2408280515870518,1.2501140594933686,1.1501791723255195,1.1855304344438249
Mega Charizard Y,Fire Spin,Blast Burn,40,1.0,1.0,0.9999999999999999,1.0
Shadow Moltres,Fire Spin,Sky Attack,40,1.0649824558620817,1.0751398287832794,1.0330559659358551,1.059942945509729
Shadow Lugia,Extrasensory,Aeroblast+,40,1.3609825708568548,1.2169175606011826,1.2088917419635687,1.412959176515412
Heatran,Fire Spin,Flamethrower,40,1.322781902003635,1.3128326075385843,,
Chandelure,Fire Spin or Incinerate,Overheat,40,1.3245480135396432,1.2850993247963043,1.2325744833077932,1.2231666830900207
Ho-Oh,Incinerate,Sacred Fire++,40,1.2473577224690369,1.2714837647535024,1.2486512629298456,1.3150072533890047
Lugia,Extrasensory,Aeroblast++,40,1.4221948834265272,1.3129128173732127,1.2906277691115393,1.4892583493068152
Shadow Entei,Fire Fang,Overheat,40,1.1655064255807857,1.1538446006904224,1.1392797295445725,1.18079569026321
Moltres,Fire Spin,Sky Attack,40,1.2439077305731945,1.2365612895777733,1.2412609061311675,1.2661865451939447
Shadow Lugia,Extrasensory,Aeroblast+,40,1.3860112823751178,1.2599458215426989,1.25008575467265,1.4288803317054697
Rayquaza,Air Slash,Hurricane,40,1.4197029665181813,1.3683320329257809,1.3277924587866385,1.3516770973098062
Mega Pidgeot,Gust,Brave Bird,40,1.2134317860423112,1.162110806125466,1.1019973242631165,1.1655873708102875
