Attacker,Fast Move,Charged Move,Level,"Mega Gallade, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Tier","Gallade, Tier 3","Medicham, Tier 3"
(Boss weights),,,,11.666666666666666,11.666666666666666,11.666666666666666,7.5,7.5
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Chandelure,Hex,Shadow Ball,40,1.1915839911557469,1.302946875515419,1.2203026373822916,1.318313133917994,1.295770046333653
Tornadus (Therian),Gust,Hurricane,40,1.4530317150602563,1.605587223345013,1.4868922462052903,1.5897049753482728,1.5509528455817154
Shadow Zapdos,Thunder Shock,Drill Peck,40,1.155001536581446,1.3057522349478652,1.3380039577910527,1.3038540923993436,1.3011479584070058
Shadow Ho-Oh,Hidden Power Flying,Brave Bird,40,1.1229741165521285,1.2562419141599783,1.1151961806865065,1.2337730963676576,1.2335333069193508
Shadow Dragonite,Dragon Tail,Hurricane,40,1.3793088044531756,1.5258101318012636,1.5908493281084672,1.5072419108015496,1.5202506850733073
Zapdos,Thunder Shock,Drill Peck,40,1.3594028937685692,1.564994411352257,1.3717749929384366,1.507924165356839,1.5437454817496807
Ho-Oh,Hidden Power Flying,Brave Bird,40,1.3019530963677215,1.4640122605433148,1.3399652627256189,1.4658889415283356,1.477354062220677
Unfezant,Air Slash,Sky Attack,40,1.4500985208566317,1.6228864697466625,1.790887972151975,,
Rayquaza,Air Slash,Hurricane or Aerial Ace,40,1.2898543067174117,1.462739751084288,1.4241183314504031,1.4268891240809003,1.421483911511898
Tornadus,Air Slash,Hurricane,40,1.4698738293233156,1.5807940202350583,1.5978002366349033,1.5497779224714296,1.5219434476210512
Mismagius,Hex,Shadow Ball,40,1.558293836449518,1.6274015301845153,1.563322584652881,,
Darkrai,Snarl,Shadow Ball,40,1.572693127249214,1.5688536139557747,1.3878158627904371,1.546060909804123,1.506247704786579
Shadow Banette,Shadow Claw,Shadow Ball,40,1.4777842697289807,1.3485200748838604,1.5741691645767477,1.3932527120011584,1.3137885818945796
Giratina (Origin),Shadow Claw,Shadow Ball,40,1.2009068472355608,1.4029317359952562,1.1741609494940954,1.403893076058685,1.436150810823182
Mega Gengar,Lick or Shadow Claw,Shadow Ball,40,1.0772055563630467,1.0,1.0,1.0,1.0
Mega Pidgeot,Gust,Brave Bird,40,1.1184623599028234,1.238627114182515,1.1964150742345998,1.205887786961157,1.183650983521916
Shadow Mismagius,Hex,Shadow Ball,40,1.4015082034428072,1.4183709439113568,1.5288987175169233,1.4327102560183027,1.388949338695078
Braviary,Air Slash,Brave Bird,40,1.3920909141300266,1.5761426547554065,1.4639895720024827,1.4986097221946706,1.502628065297549
Gengar,Shadow Claw,Shadow Ball,40,1.4573505704564624,1.3182947668101384,1.3952918182473748,1.3685487991658591,1.3462583375694392
Shadow Lugia,Extrasensory,Aeroblast+,40,1.2088266541114339,1.357183025375373,1.2240998106754999,1.3553002866516086,1.3894669729680813
Trevenant,Shadow Claw,Shadow Ball,40,1.446253512786577,1.6258949117038786,1.6681762802013653,,
Hoopa,Astonish,Shadow Ball,40,1.2255812038863456,1.3278241322259037,1.244558313594571,1.379940296365272,1.3882426281786802
Yveltal,Gust,Hurricane,40,1.3119408277327447,1.4573293646683088,1.2680755993902053,1.4354262440315488,1.4637319010151746
Banette,Shadow Claw,Shadow Ball,40,1.557861729957267,1.5774877239081793,1.700657492113935,1.5901130607154528,1.5309454715032391
Lugia,Extrasensory,Aeroblast++,40,1.3147797808361252,1.4921068239465605,1.3442499993322943,1.4915661168956158,1.5284682052706604
Togekiss,Charm,Aerial Ace or Dazzling Gleam,40,1.5659394218976164,1.7173127217733448,1.5907077744981917,1.7570272689189868,1.5615081502254322
Moltres,Wing Attack,Sky Attack,40,1.1891679221739513,1.3633073032777308,1.161954598406329,1.3311156373256203,1.3376626648852976
Honchkrow,Peck,Sky Attack,40,1.3212429334785603,1.4650503789216698,1.671185698904143,1.4471308389755428,1.4293085814578461
Shadow Honchkrow,Peck,Sky Attack,40,1.158397530479695,1.2579958984381472,1.397381506872718,1.2418723267815373,1.2161224399381099
Staraptor,Wing Attack,Brave Bird,40,1.3910783746839779,1.5652450913437697,1.8729412215441095,1.5421353165698735,1.468021758570739
Shadow Staraptor,Wing Attack,Brave Bird,40,1.3302263871045898,1.2987683115387472,1.6681067927589757,1.3206741297992814,1.2767533435839744
Shadow Dusknoir,Hex,Shadow Ball,40,1.5353772540410557,1.6042038646745491,1.5822849202487697,,
Hoopa (Unbound),Astonish,Shadow Ball,40,1.269692475246821,1.4352039466832218,1.3387696550687567,1.4346749002022208,1.3876165873932234
Shadow Moltres,Wing Attack,Sky Attack,40,1.0,1.1405683645235418,1.0277504939410542,1.1310188053775732,1.141392285647276
