Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Virizion, Tier 5","Virizion, Tier 5","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Heracross, Mega Tier","Mega Heracross, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Breloom, Tier 3","Breloom, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Gallade, Tier 3","Gallade, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Heracross, Tier 3","Heracross, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Medicham, Tier 3","Medicham, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Parasect, Tier 3","Parasect, Tier 3","Pinsir, Tier 3","Pinsir, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,4.166666666666666,0.0,4.166666666666666,0.0,4.166666666666666,0.0,12.5,0.0,12.5,0.0,12.5,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Gliscor,Wing Attack,Earthquake or Aerial Ace,35,1.775919954723669,1.7537735750622012,1.7306838008925844,1.7144015172272595,1.7747558462628672,1.7554682402344388,1.786689253929215,1.717531213120995,1.8599034892171984,1.8076888426030149,1.6198502609337202,1.6796565232426959,1.7595503368857306,1.7686059862843213,1.8977008244393052,1.6404522696812187,1.841530563849018,1.8071618942466938,1.740859398265253,1.7002310340584321,1.7350312804848997,1.6955954773911355,1.7543334305828535,1.689531034240866,1.884462991449177,1.7258636204391256,1.9309410878631763,1.8350930012078774,1.8002510558925868,1.7592213241193304,1.768234427694581,1.7462679382445454,1.8367640536348073,1.7844965341836014,1.81760373748144,1.7376489490203941,1.72926512194205,1.7213624102180767,1.6887696755815316,1.6706696041085738,1.7527042285812546,1.6936644682477189,1.7635520477758437,1.7373246446995068,1.7433530067106395,1.6853043403860628,1.641918846277718,1.6745779703727832,1.7037184191227588,1.6745421744743312,1.6033328947828887,1.6489063142121234,1.6644593272600792,1.6729333060005427,1.7943601107614233,1.698788284316292,1.74841786711287,1.6711686418436567,1.7065421147549744,1.6734296699447466,1.7049656477118955,1.6810740339962675,1.804524616800272,1.7753352574376662,1.7188901394223577,1.687710305877535,1.7762835932712164,1.7326063296552356,1.7802060053639865,1.7649879214964985,1.767303494295669,1.7308029373096951,1.7582035684995145,1.7077345810542994,1.824218816906056,1.7708294355795324,1.7603020278081893,1.7358361321263733,1.7945447433878052,1.7610731770467958
Shadow Gliscor,Wing Attack,Aerial Ace,40,1.6494539659608374,1.6366736100637522,1.6101566156891935,1.5944674913493577,1.6508036979710576,1.636330933493463,1.723817958867238,1.6537884484832677,1.7276421906430588,1.683732329794013,1.5358273020321729,1.5911770919748969,1.6653268370080208,1.6726118550473918,1.742148401337358,1.6264620827239413,1.711775363032377,1.6872769123682885,1.6822559932788148,1.6590181032732925,1.6081752828906504,1.6457995940110526,1.688502367899077,1.6477291649202288,1.7996868826389674,1.6644239065868123,1.8127425255583305,1.7726848757786826,1.715540280724244,1.7032184592234128,1.6945956351183713,1.6709079120870103,1.7592604789651742,1.732400452052919,1.7346047139398513,1.689636968468084,1.6331592213559571,1.636795464039375,1.599246492441882,1.5915379225243782,1.6605373493630622,1.6324699528877984,1.678348907454858,1.6540114325490274,1.6568574521164776,1.6029640830581746,1.5707669857795596,1.6033875612434774,1.6574271049757205,1.635352087663277,1.5310513648885882,1.5722337278870508,1.6234824567084325,1.632569806421481,1.7295940796147362,1.64746018540281,1.677666392036285,1.6169111314482913,1.6305120834013571,1.6022820694176185,1.6553744020450223,1.6371457634356894,1.6785154718777648,1.6573403580614632,1.6527984756655194,1.6429976789757152,1.7170681147251696,1.6787800107478952,1.6873585357281595,1.6747198844124807,1.6587136374844627,1.6284679501285748,1.6751993015342317,1.6236518992800675,1.7706210909385802,1.7227790308826214,1.6876767597281617,1.6817047365363913,1.725633110302804,1.708965125287471
Shadow Staraptor,Wing Attack,Brave Bird,30,1.4182209306222142,1.2611574320433983,1.3674963088980883,1.2292974334879148,1.417200041026406,1.2586792241776446,1.3549773122358078,1.2532485102142412,1.334467981227832,1.2732426133612391,1.2055791051134992,1.2279635736247039,1.3038207975744904,1.281825156117127,1.5787260760863207,1.3583952883888637,1.4887427036397913,1.3384791301634544,1.4930807503993018,1.32486300776352,1.3451825840802218,1.228883475680407,1.271306439420566,1.238835117858707,1.8189170039161624,1.3911657341401649,1.4334597647658058,1.3502669631689312,1.2802819013282962,1.2326622259137199,1.2318000252037982,1.2004897860533936,1.282267237662077,1.2254796796643483,1.3837329290589881,1.3405825985125923,1.250202701145871,1.290750460444967,1.2462988074455397,1.1815181165295212,1.3084167538366747,1.2951304789905085,1.2637360341411836,1.2091430089233002,1.3115461537335626,1.2343293083178681,1.2509099781687805,1.2226126678970395,1.3045401323262527,1.2239200104749757,1.2521159468311482,1.218423811635338,1.2656268645998896,1.187462740828754,1.2549692481691812,1.1672619414191212,1.3244427055905683,1.253180559491225,1.286617399922609,1.1894915241959976,1.238121290030147,1.2018031604693458,1.2249621922233815,1.2033425414945125,1.2522772526230026,1.1933350211984055,1.228261476148188,1.2256469437579676,1.3290145589108953,1.244067492675768,1.2702109671013888,1.2101405310309536,1.2854399854794538,1.187870417161836,1.291609716231809,1.2231556891244095,1.27171598820669,1.2033411050152636,1.3218540399812073,1.2395332822274052
Scyther,Fury Cutter or Air Slash,Aerial Ace,45,1.6815704668749278,1.6673880400933756,1.6382255631163785,1.6240431213904796,1.6378883522303447,1.6195091163715976,1.548765407521499,1.5888034524316168,1.6744242094152266,1.6695403779098887,1.6210399197789318,1.6142854281270729,1.7575016332994386,1.7307207118430032,1.9453198032285652,1.75347915868946,1.6906473921681517,1.6752413412380291,1.6599366752115516,1.6518506267278592,1.6405663606140022,1.6400627672348105,1.632987482385503,1.6220479577873022,1.9085964703818148,1.7398898175247879,1.7207054564036017,1.7108498886392065,1.6959864331658312,1.6808532814522374,1.6817058578020208,1.6618107756161287,1.709183632084976,1.688756305264127,1.7871187917683888,1.7336874228621963,1.633083337274576,1.639890918447943,1.7473922056819156,1.6501051077462534,1.6456784214825113,1.6390117468755265,1.6757495671635283,1.6444941736650405,1.631401675944275,1.579972086382287,1.6397095714174326,1.6272030116162652,1.6844834011844374,1.6370830176188051,1.6332315512385653,1.6163239437762795,1.6078139175677513,1.6181379602705945,1.6147697023956396,1.5992927897600286,1.6750144039388224,1.6329942242445525,1.624394388646084,1.5968406254963816,1.6187202678131898,1.6249164592653351,1.658414139930815,1.6468686221921636,1.7052780912771655,1.626997616575556,1.6914459392483057,1.6761336535951263,1.6982247709920508,1.6899709116573318,1.6200455395454785,1.6180729718388536,1.681586901590075,1.6379272519092365,1.6715770577746738,1.6601323498987763,1.6635984723536918,1.6439615048873015,1.6831295303708034,1.6654806905671606
Shadow Ho-Oh,Extrasensory or Incinerate or Hidden Power Flying,Brave Bird,50,0.9528700297498259,1.0149567602792156,1.0005174830210675,1.0038055982756326,0.9551735230493807,1.0134167062664055,0.9943850144725119,1.0158177725238997,0.9519805045953074,1.0067422923388427,0.9862616967409077,1.009463903382044,0.9633157005976355,1.0099428817524536,1.0367577999089885,0.9966736405738015,1.0367015768620713,1.0584341502052181,1.0294157203160765,1.0162031675287744,0.9825114865573632,1.0180976597501763,1.0044474499265434,1.0151474381137302,0.994405386170611,1.0239701603854305,0.9809562182190725,1.0186054149090107,0.995572727493927,1.009081828162403,1.0032606546744376,1.0126531446082772,1.0272035035818077,1.0346615675344937,1.0193545301462499,1.0641750360543523,1.028099393291156,1.058417250055981,1.0374365628735396,1.008961519496228,0.999017438777996,1.0146133309559526,1.0064066846606654,0.9921839103587567,1.0164474137271176,0.9951691698026556,1.0208026612704477,1.0412984130268677,1.02433918557088,1.04860957519945,0.9595703741307805,0.9995272143199169,0.988862073450108,0.9857113192914437,1.0031744486114957,1.0108297026763107,1.0435188822543473,1.0197311761162913,1.0112205558652883,0.9752818929838876,1.0248173114634433,1.0396816491234857,0.9937333684271611,1.0030346234284158,1.0036291797608954,0.9941790376587185,0.956389426488819,0.9827094996813082,1.0036583627478872,1.0292768479549979,1.0112865690365238,1.0288625987772395,1.0212470190081346,1.0187408985775201,1.0081968952269298,0.996092867829646,0.9701695536119642,0.9935092091587939,0.978641769553066,1.0054440691705862
