Attacker,Fast Move,Charged Move,Level,IV,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Virizion, Tier 5","Virizion, Tier 5","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Heracross, Mega Tier","Mega Heracross, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Breloom, Tier 3","Breloom, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Gallade, Tier 3","Gallade, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Heracross, Tier 3","Heracross, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Medicham, Tier 3","Medicham, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Parasect, Tier 3","Parasect, Tier 3","Pinsir, Tier 3","Pinsir, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,,4.166666666666666,0.0,4.166666666666666,0.0,4.166666666666666,0.0,12.5,0.0,12.5,0.0,12.5,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Moltres,Fire Spin,Sky Attack,40,15/15/15,1.0,1.0,1.1455699217091824,1.158824579799198,1.0,1.0,1.4238816796627682,1.3560436444653141,1.0,1.0,1.1420560137224935,1.159366639139645,1.0,1.0,1.2551458248977565,1.2877596043499948,1.1367564691808068,1.150670426997576,1.1608550833870566,1.1663280620321896,1.15226324650008,1.155532451784063,1.122954985713347,1.1350315407404468,1.173628424625925,1.1542205886420704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3095999800101277,1.3425602117210809,1.145835591968596,1.1563009176697265,1.3073236053568376,1.3266822396634068,1.1453631192055829,1.1530173222472908,1.0,1.0,1.1617149694989468,1.1389941921593645,1.143455977551553,1.160801953175413,1.1562705351151366,1.162663360355787,1.1911738843653221,1.1596107633998367,1.1255602802798033,1.1342521662231724,1.1270720733922057,1.135229893687043,1.1608758939643602,1.1639749496435647,1.1380995578417763,1.1444002986438404,1.1469045597263294,1.1454618185220735,1.0,1.0,1.3254809530935636,1.3487261296249275,1.0,1.0,0.9999999999999999,1.0,1.2904175748207187,1.3013461976498077,1.1742094428395065,1.1570162789921368,1.0,1.0,1.0,1.0,1.0,1.0
Shadow Moltres,Wing Attack,Sky Attack,40,15/15/15,1.0248791762388625,1.025477334835839,1.0,1.0,1.025372034909742,1.0253101059371514,1.0285054601579269,0.9999999999999999,1.0340328286373297,1.0374259067375684,1.0,1.0,1.0235616378228183,1.0234405988474158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0288606289314126,1.0373905552558003,1.0253231211205347,1.0327902090699568,1.034184535735633,1.0383541579072644,1.0323469072902496,1.041431995971438,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.036387302990764,1.037083057172119,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.01177928774978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0259340622901625,1.0258917546862607,1.0,1.0,1.0424427960406029,1.0175521116430246,1.0291526560477362,1.04177672537208,1.0,1.0,1.0,1.0,1.041608947221794,1.0423244614516725,1.0089101009458652,1.0082852054647762,1.0379376610926074,1.043696754773558
Mega Pidgeot,Wing Attack,Brave Bird,40,15/15/15,1.1495381144046497,1.1264461853526573,1.1167637755165285,1.09952943132552,1.1463369013874383,1.1247777364313216,1.0655251992864987,1.0704616061687096,1.1231053908676707,1.0960929415186846,1.0565570406085756,1.0674128316234455,1.1177832228866218,1.1301906983025114,1.3175004771475394,1.1414737762822647,1.135187081072612,1.1476064613686006,1.1579326034543131,1.1378112025601692,1.1179004177168135,1.1276946643746855,1.1301406927912387,1.1231742255504193,1.1869857359637987,1.1182416189872577,1.172917256671705,1.1492421928649383,1.1568001271084838,1.1469336812404263,1.1414115745552629,1.1501334542287216,1.1232673924265348,1.1291179321286324,1.166314371195531,1.1375899647766692,1.1344191153910985,1.1482118455337955,1.0914904051621508,1.078262316194534,1.111183386590626,1.1018150004640972,1.1110942512048279,1.0976394943425538,1.1417611403888268,1.073884512113092,1.072962649972015,1.0956309133012208,1.111162219105951,1.0914335393715466,1.045157908430372,1.0624540439481145,1.0410856766395424,1.0492656302762402,1.1017356656636121,1.0845462368756045,1.1582306300643823,1.0739966093586355,1.1210477932670642,1.1058239170668331,1.0641964132635078,1.0911090627332614,1.114236715170363,1.1144563946869082,1.1157868072529555,1.1290233385235555,1.1559123392880575,1.1491883505647227,1.1398527475471298,1.1320651540271873,1.0736724347280717,1.0885700378849634,1.115254912345623,1.0771596094523777,1.1227324778446468,1.1389546469597354,1.0979836599856923,1.1042033068401873,1.1491800946249289,1.1347710434081826
Mega Pidgeot,Gust,Brave Bird,40,15/15/15,1.1393913386676993,1.119274661627961,1.1084242939412534,1.0906707705066156,1.1349250335670595,1.1187825582581248,1.0473092901461525,1.0728829131382023,1.0989063377390944,1.1151818275676806,1.0190994873363088,1.04258476842342,1.0808927127558936,1.113605749051983,1.3084886259778539,1.1034118475648356,1.1184623599028234,1.1280872236756836,1.1077452063626814,1.0917998538380183,1.048954679370542,1.077040985085284,1.0859735836176165,1.085059627376132,1.1641104346705564,1.1345967810050452,1.1501045705742405,1.1503422447515572,1.0850690996406152,1.0852958533429558,1.066735356651086,1.071737746969316,1.086927497231598,1.0894604372474896,1.1098280090126211,1.0920659736899474,1.0866555584255888,1.1068530491042903,1.045912247924034,1.0376511318963026,1.0661960537062778,1.0712225812430862,1.0751143435795742,1.073081328043321,1.1243116537466398,1.0604401630988558,1.0433241034145584,1.0635679013493335,1.0655515025696856,1.0677808257156072,1.007589787297128,1.0288256130609257,1.0434173289399016,1.0502848514641951,1.0563024630141362,1.0486683413550306,1.122683513966512,1.0722957426834616,1.07308861225938,1.056041603177256,1.0370238159185345,1.0609358737271157,1.0681859698508887,1.0731044096035889,1.068933267238656,1.0979162419543473,1.115998857131208,1.0909262180681758,1.0996699169027007,1.1020702425803088,1.0380330079975781,1.0535190073705958,1.0852008228200398,1.0525833037630565,1.089030386731641,1.0916859873657847,1.0675433567927664,1.0728629745042746,1.0951071172150233,1.0904027608045999
Mega Pidgeot,Air Slash,Brave Bird,40,15/15/15,1.2011538762273197,1.1584759243397371,1.172649716937196,1.13103895463789,1.1989692115470683,1.1598334357397686,1.1017056257846354,1.1217603399159097,1.1820866089261977,1.1647630188336793,1.0938176039522682,1.1160599194598406,1.1528080414524806,1.1924142587584354,1.429553258557909,1.1704669981212223,1.2113542561384725,1.2081353719127286,1.1818302921530117,1.1720585296832668,1.1132938106550343,1.1392176619630587,1.1744660720040887,1.155575373459446,1.2343444007801856,1.2042468016396282,1.2328448578342686,1.2075550500165546,1.179404931817487,1.1827942420774653,1.1617457214240379,1.1523529779901556,1.1736530219788244,1.1733995168510383,1.205527394909688,1.1609498718702633,1.1788201253193922,1.1824712767914565,1.1223043828562425,1.1205294715377274,1.141268502729735,1.131053455238048,1.1772662411864137,1.169865894336477,1.197547438417818,1.1325449538092867,1.1307565566812194,1.1316532270964816,1.1481782755933734,1.1272544447758615,1.0951304510380577,1.1087324429990018,1.1036809933366032,1.1054525202226162,1.130610432586573,1.1101257138780092,1.221459320728648,1.1466540890066117,1.1656570358205414,1.1099629799605428,1.1355919064434545,1.1383225500101133,1.172013200450496,1.1655298616154135,1.1493857144044828,1.1532749580829151,1.201120253495178,1.1812052225050147,1.197929355963956,1.1829316012224358,1.1155540416748433,1.130502266059533,1.1670393912369026,1.1406699264399567,1.1645434999253712,1.1475247268189976,1.143931238530872,1.1331035195813763,1.1894098133548314,1.1678645042216615
