Attacker,Fast Move,Charged Move,Level,"Marshadow, Tier 5","Marshadow, Tier 5","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
(Boss weights),,,,50.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Dragonite,Dragon Tail,Hurricane,35,1.6632054698385532,2.3828127,1.379515928607892,1.7670298,1.5501070102425056,1.3561703,1.4776835662956451,4.558491
Shadow Gardevoir,Charm or Confusion,Dazzling Gleam,50,1.3642778551984691,1.8076599,1.2183076362434655,1.3174536,1.2291074287271584,0.9798376,1.139688387107817,3.3266573
Shadow Granbull,Charm,Play Rough,30,1.5659890002862473,2.33499,1.5433122406976296,1.8920742,1.4282887446572743,1.3250861,1.5426047373884852,4.7906585
Moltres,Wing Attack,Sky Attack,40,1.4267299207696917,1.9663804,1.2044151393346423,1.4528013,1.3329015499865045,1.1136768,1.1505694921920682,3.6331093
Tornadus,Air Slash,Hurricane,45,1.6681930960337694,2.27584,1.4176454816593675,1.6293373,1.5431829763122293,1.2578136,1.6057697154355561,4.527578
Shadow Banette,Shadow Claw,Shadow Ball,30,1.3541097134835425,2.01696,1.5702516594836748,1.7186087,1.3756265415842313,1.2068963,1.7584964572136055,4.6198583
Ho-Oh,Extrasensory or Hidden Power Flying,Brave Bird,30,1.5739753341158613,2.3454483,1.2967647626993886,1.7782087,1.4524556277160183,1.3393575,1.2246108581066444,4.4800487
Lugia,Extrasensory,Aeroblast++,35,1.486423385788712,2.101258,1.3146872095446425,1.6857098,1.4705405544545183,1.3382562,1.2646063833952481,4.1938667
Togekiss,Charm,Dazzling Gleam,40,1.6923296652261448,2.3483894,1.3787812731571405,1.6925969,1.5273297543426807,1.3040482,1.3681799048773249,4.422317
Shadow Zapdos,Thunder Shock,Drill Peck,45,1.3843707615367764,1.8686097,1.1674914739717055,1.3579952,1.3182721290094517,1.0800728,1.2260683541331834,3.469352
Lugia,Extrasensory,Aeroblast++,50,1.391382997782016,1.858973,1.3548699434730918,1.5005472,1.4712587751303337,1.2026775,1.290411630737079,3.8490212
Rayquaza,Air Slash,Hurricane,30,1.5794142422418656,2.4049604,1.280965221647756,1.7346008,1.5176043421014733,1.3369945,1.3170589681372453,4.593947
Granbull,Charm,Play Rough,45,1.776331722231803,,1.5280617671653012,,1.6416409529862972,,1.5012095458337613,
Moltres,Wing Attack,Sky Attack,45,1.4469448885201635,1.9097878,1.2366919442944801,1.4114605,1.3474082501717424,1.0877014,1.1572094756817186,3.435157
Staraptor,Gust or Wing Attack,Brave Bird,40,1.543442814022339,2.1808298,1.3538813350149812,1.6263443,1.5399076215059042,1.2617284,1.7463339492660452,4.23059
Shadow Staraptor,Gust or Wing Attack,Brave Bird,30,1.376377301839096,2.0746012,1.3084207624039572,1.6365302,1.3298190366827554,1.2036769,1.5743084140681185,4.232446
Togekiss,Charm,Dazzling Gleam,45,1.703811334883844,2.2349448,1.3759290874003793,1.6269971,1.5292259088911277,1.2576282,1.3874366459965386,4.1923895
Gengar,Lick or Shadow Claw,Shadow Ball,40,1.3591292655581901,1.853112,1.470828649343458,1.4771723,1.3153944100316974,1.0905021,1.4706991699642384,3.9474523
Tapu Koko,Quick Attack or Volt Switch,Dazzling Gleam,35,1.8270799685708323,,1.5069838019486221,,1.6174577334462859,,1.467025007290116,
Shadow Ho-Oh,Extrasensory or Hidden Power Flying,Brave Bird,40,1.353255321500792,1.8409204,1.1113446885383347,1.3634944,1.231140385494223,1.0429252,1.0924105344035695,3.4576175
Shadow Dragonite,Dragon Breath or Dragon Tail,Hurricane,45,1.582989595422421,2.2101746,1.391467636576129,1.6062695,1.5311969359790842,1.2489511,1.544318437793121,3.994893
Braviary,Air Slash,Brave Bird,45,1.6156746040993755,2.1736152,1.380335983413731,1.6183983,1.5386424214014778,1.248617,1.4647814162227193,4.166149
Shadow Gardevoir,Charm or Confusion,Dazzling Gleam,45,1.3922977850072786,1.863989,1.1493251442843024,1.3571715,1.241723847167771,1.0177592,1.1404436648600869,3.4062688
Staraptor,Gust or Wing Attack,Brave Bird,45,1.5644281366375674,2.1097517,1.3802087615531728,1.5979985,1.5043521022600148,1.2245544,1.6371850727924695,4.099291
