Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Kubfu, Tier 5","Kubfu, Tier 5","Marshadow, Tier 5","Marshadow, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Virizion, Tier 5","Virizion, Tier 5","Zamazenta (Hero), Tier 5","Zamazenta (Hero), Tier 5","Buzzwole, Ultra Beast Tier","Buzzwole, Ultra Beast Tier","Pheromosa, Ultra Beast Tier","Pheromosa, Ultra Beast Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Heracross, Mega Tier","Mega Heracross, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Gliscor,Wing Attack,Aerial Ace or Earthquake,35,1.6451888010704738,3.484484000000001,2.0868556682700423,3.4844935,1.6469493624452791,3.4788992,2.3396781321535722,3.02517,2.0876415998769557,1.7114699,2.135669988522593,2.9585662,2.1925661553128344,2.8727582,1.791972797840008,3.0743835,2.134541921349243,2.7257943,1.4620134841154528,2.1134272,2.0576973900106683,3.4947371,1.6483215782738225,2.701384,1.6753124020915429,1.3275042000000001,1.970106349495107,1.3730416,2.1467311995699547,1.5008502,1.7108003419478528,2.1339326,1.6602973924380875,1.2502998,2.098614816148378,1.9455724,1.753835238310685,1.6452456,2.0821348762183214,2.249153,1.7281460035898635,5.4462447
Mega Latias,Zen Headbutt or Dragon Breath or Charm,Psychic or Outrage,40,1.7604900805660808,3.5878172,1.4009447541211217,2.2790663000000007,1.7650942599559427,3.5900097,1.3582879325086945,1.8461227,1.3920986618462379,1.125125,1.4255359064128885,1.8323593,1.3985914628114116,1.826453,1.762182667496483,3.1298718,1.3883978086776194,1.7100291,1.568071862258799,2.1288111,1.3563917912241545,2.242857,1.7807347263779525,2.810874,1.805560599388841,1.3835942,1.324468526423375,0.9085887,1.2559556166114625,0.9777505000000002,1.4336453235612134,1.7842714,1.8077379064355406,1.3316071,1.34949548730244,1.2310346000000003,1.4479293744984902,1.3900383,1.2754917956918472,1.3836114,1.3010016631262986,4.3774867
Hoopa,Astonish or Confusion,Shadow Ball or Psychic,40,1.842173387159499,3.7636085,1.4787358400629902,2.4476185000000004,1.845841568192866,3.7631812,1.4480913405095404,1.9875873,1.4207115564590065,1.1577414,1.4174940909888871,1.9108155,1.430831998005304,1.8963798,1.9632921370618825,3.4035687,1.4390570792724937,1.7916871,1.6986067201038637,2.3279774,1.4876038819223416,2.510192,1.8658096708661827,3.0095563,1.8952677565466363,1.4565337,1.4192268833042747,0.96305245,1.51249180571853,1.1136272000000003,1.7937820501810329,2.2229693,1.8877460491797402,1.408287,1.389622145977154,1.2973677000000001,1.7365254275193505,1.6560777,1.4258785980389164,1.5131292,1.6624192671363178,5.4122963
Hoopa (Unbound),Astonish or Confusion,Psychic,35,1.5361572145615443,3.3756204000000007,1.2392411093723719,2.1427543,1.5333360285454944,3.376793,1.3204262807634661,1.8939023,1.3175625687918722,1.0996516,1.2760083673120675,1.801505,1.303644951633991,1.7886463,1.7033745921272039,3.0647159,1.3236757716307677,1.7008071,1.4187562728087288,2.0868287,1.3632875152399027,2.2079787,1.7552220346496088,2.953741,2.290627750018411,1.4818667000000003,1.379161360742223,0.9784314,1.358587957571215,1.0257951,1.5917188044558082,2.082966,1.9216446173034527,1.4395299,1.2764892490553255,1.2094396,1.5793737425523173,1.5714211,1.2685366640860505,1.3777493,1.459864404433951,5.0036883
Shadow Latios,Zen Headbutt or Dragon Breath,Psychic,40,1.567657985545673,3.259871,1.2874259703790765,2.1346035000000003,1.569122465545844,3.2513678,1.2631699718044722,1.7209115,1.2727117477840653,1.0129063,1.2877752009055903,1.7353817,1.2802669270853524,1.6815268,1.5952260241133518,2.7533636,1.2691897143141289,1.5635436,1.447595307186567,1.9458587,1.341195365820882,2.148719,1.6631250947227239,2.6152697,2.1145469221345947,1.3130863,1.2721493867612577,0.8490331,1.1751237389245501,0.9348360300000003,1.5452640866295762,1.9180133,1.8110217858985793,1.2547337,1.2563731415264627,1.1271201000000002,1.536845531504645,1.4607319,1.1714044315153853,1.2796682,1.6354229068970898,4.784675
