Attacker,Fast Move,Charged Move,Level,IV,Terrakion,Terrakion,Arceus,Arceus,Arceus (Dark),Arceus (Dark),Arceus (Ice),Arceus (Ice),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Glastrier,Glastrier,Kyurem,Kyurem,Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Melmetal,Melmetal,Meloetta (Pirouette),Meloetta (Pirouette),Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Darkrai,Darkrai,Dialga,Dialga,Regice,Regice,Regigigas,Regigigas,Regirock,Regirock,Registeel,Registeel,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Glalie,Mega Glalie,Mega Lucario,Mega Lucario,Mega Sharpedo,Mega Sharpedo,Mega Tyranitar,Mega Tyranitar,Mega Absol,Mega Absol,Mega Gyarados,Mega Gyarados,Mega Houndoom,Mega Houndoom,Mega Kangaskhan,Mega Kangaskhan,Mega Lopunny,Mega Lopunny,Mega Steelix,Mega Steelix,Absol,Absol,Aggron,Aggron,Boldore,Boldore,Chansey,Chansey,Cinccino,Cinccino,Cloyster,Cloyster,Crawdaunt,Crawdaunt,Cryogonal,Cryogonal,Delcatty,Delcatty,Dewgong,Dewgong,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Herdier,Herdier,Kangaskhan,Kangaskhan,Lairon,Lairon,Lapras,Lapras,Lickitung,Lickitung,Lopunny,Lopunny,Mightyena,Mightyena,Miltank,Miltank,Nosepass,Nosepass,Piloswine,Piloswine,Porygon,Porygon,Porygon2,Porygon2,Raticate,Raticate,Sharpedo,Sharpedo,Slaking,Slaking,Snorlax,Snorlax,Spinda,Spinda,Stantler,Stantler,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Tauros,Tauros,Tyranitar,Tyranitar,Umbreon,Umbreon,Ursaring,Ursaring,Walrein,Walrein,Zangoose,Zangoose
(Boss weights),,,,,3.125,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,3.125,0.0,3.125,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Breloom,Counter,Dynamic Punch,30,15/15/15,1.2727493867117443,1.2392463254241481,1.340666772956508,1.2316671002173347,1.3379808911954008,1.2226778871112172,1.3437812800204223,1.2277974834908671,1.3463787666756826,1.2267506421639203,1.3009230810558516,1.2281242549705012,1.1682157289400064,1.2032673643491176,1.4621907167203774,1.2405041118612137,1.333901365763917,1.2465042274721276,1.296489974839061,1.256845068392392,1.3611315573571687,1.2132436838675253,1.2099937060112718,1.199511242047945,1.3035168116560263,1.2795060767142465,1.176399665297429,1.2141107561235358,1.2462013848898128,1.241291065634788,1.2782852236251419,1.1886181016979107,1.2045964865935808,1.2300159429699316,1.2184404301879932,1.1730211576288805,1.146356579264233,1.1532287195614297,1.1390503359107784,1.1445792653293454,1.1576584472034137,1.1888713937049742,1.1764941748770645,1.21370093589721,1.1656808503641836,1.192686325446803,1.3352071409103297,1.2505943187668453,1.5028064811100148,1.2889103335610324,1.197627045363842,1.1914369096714115,1.1822745074251138,1.2125095254523879,1.2310271830647102,1.235621842675006,1.235996414177868,1.1759236189062217,1.3042830626143593,1.2398323502018007,1.1536455117915794,1.1616681071737252,1.1928183210217234,1.1238957411364823,1.1282365605481381,1.166616868179995,1.1609991818367764,1.1701268152996522,1.171966873706004,1.2020703933747412,1.1030984996738422,1.1553924766253534,1.2034099256414552,1.2413108754204416,1.1578749456515351,1.1712946098074006,1.2488223484798784,1.2086706643397935,1.1465217778569519,1.1959227754520352,1.1871178652109886,1.1994849613335492,1.2145731971368163,1.2565784446086048,1.2056717883174497,1.2082187213470035,1.1290664210889836,1.1543110394842868,1.371655087995201,1.3002050924537325,1.2696569543593041,1.2469132019976101,1.1582934207209479,1.2146332240988154,1.1324549703000701,1.1732383959158998,1.1461722488038277,1.2141414141414142,1.172236081032923,1.1764302749527127,1.1404145808362123,1.1918611483231099,1.218448005988839,1.210774806043283,1.1779075485615933,1.2476272436685516,1.1460158104116511,1.1988765387833153,1.1562933550208105,1.2121306351560384,1.2297967931599638,1.2032183012229085,1.1776811695824423,1.1793640220173194,1.1642338384291222,1.1709674527033085,1.1690424749983295,1.1496313784885404,1.1371368933727604,1.1780831448947642,1.3196834615134843,1.1690957501090071,1.1641575039939855,1.1733389719011371,1.1250872295882763,1.1627972515969724,1.159053384700055,1.1917278839941614,1.1341666666666665,1.17227969348659,1.1242984997982612,1.165581557422147,1.1347287119045957,1.182047213892182,1.177563687122987,1.1999351911860012,1.172624968029782,1.2222711642842934,1.2782515425379397,1.1825026815203425,1.1635387275871483,1.1666788022208063,1.1419239979438571,1.190707237873146
Sneasler,Rock Smash,Close Combat,35,15/15/15,1.6864416912325548,1.587981611659692,1.777664029000344,1.6149835110891073,1.7292325733380598,1.6126779375124953,1.7397502300865932,1.6154631626325937,1.7316048806137894,1.6152341945357689,1.7118083188105049,1.6168709936301027,1.4686750941180535,1.5116930887990883,1.5370085383008119,1.5973486046840006,1.5613056910973346,1.5707008269618024,1.6249790678794225,1.5771563263757438,1.6099256975216338,1.5600272491632272,1.4986192177822608,1.5505518003472971,1.6433427415931368,1.562863810780085,1.5263958618591207,1.6114407424311579,1.5384777448487998,1.5802491678020143,1.5027286819918515,1.518862578542052,1.6611867745902174,1.5538628681347098,1.5588135707105375,1.5610071974672506,1.597258226736362,1.5252716274984772,1.5319954851905557,1.5513546403891059,1.5723085443434175,1.6024580324251712,1.5344087632409187,1.583732837478189,1.4770987816708046,1.5240603574423308,1.5877547621210744,1.5947351685291178,1.4710478854709936,1.5271558220477734,1.4776298722894772,1.5036084874284954,1.5024093233801044,1.5119707924039019,1.5283617993745489,1.5829492422420015,1.5264146145369641,1.5562416679723923,1.5488020767965545,1.5344051999180908,1.5793616495863687,1.567286084701815,1.5320073813570256,1.4161155889100159,1.5263918335939228,1.521950900056484,1.4828441399059114,1.537073021067703,1.50083850931677,1.5413975155279502,1.467873450750163,1.5170906718851924,1.5847133265461295,1.6380916788020157,1.4836954605812054,1.5280203057615247,1.4981629948432642,1.5586529503614965,1.5035962412042396,1.5679166295537543,1.5249693521152823,1.593173424621624,1.5473418753343353,1.6356700715795909,1.507691737749252,1.5560371574375074,1.4963854034764592,1.549061816507425,1.5528741315996402,1.6116294717045372,1.5498432345762225,1.6100472849454128,1.5165364255104614,1.5877867406100328,1.5056089205346948,1.5462388085482062,1.519457735247209,1.5919324827219563,1.4875956029496424,1.5205460676005373,1.4968036851629885,1.555865002702766,1.5235980672383285,1.5586123587858989,1.5207769854929922,1.588320629456602,1.5118834195564206,1.6005736823234133,1.543933087754549,1.6237222727200245,1.5339537655728874,1.585895863657723,1.523355420771541,1.540803328308149,1.492746346274545,1.5152963328252487,1.5049780608949372,1.5355368955609505,1.488867629152896,1.5420420942772655,1.5796773385533114,1.5047545713464017,1.4898505779531999,1.5307865802086271,1.4791185785603091,1.5680793386655214,1.5139144791940848,1.5552391663276781,1.49455938697318,1.549463601532567,1.47814803946741,1.5283075963760406,1.5076016458609385,1.5316967710440057,1.5117154394536119,1.5515977865297372,1.503005200488789,1.5725084543465289,1.48712339241528,1.527107250193813,1.5177755529261854,1.5446891781195957,1.4986396860621105,1.5534534421584483
Sneasler,Poison Jab,Close Combat,35,15/15/15,2.51036920983735,2.252153208682925,2.1579360750518166,1.9141804633677657,2.1014964139490577,1.911987608005739,2.1155639304836185,1.9144581712650397,2.5599786981333987,2.2317065180687874,3.237036066982979,2.6713223664991084,2.4460608572514078,2.5660777812316513,1.7799524200193393,1.833629144257425,1.8524622397805013,1.8149833997418994,2.0268906209261854,1.891189008040054,1.9690747306192438,1.8659096517295417,2.4488249512574654,2.470031797969112,1.9618893000544617,1.8347079884615942,2.567400730260155,2.727723261828693,2.36027641614113,2.4562032108094445,1.6916944721378613,1.7311561505318096,2.8054492587542157,2.4270241711795006,1.775860092725196,1.7555706920925356,1.9164329324437266,1.8151109175130677,2.0688956233479394,2.0816353408957706,2.4257913706682848,2.47284277754129,2.896278002009271,3.01305365105663,2.515192121142369,2.6344087568438534,1.8125018927349261,1.8596120650495138,2.418131349821636,2.5478149927172447,1.8007973593188773,1.8004938805374484,2.5641077162798984,2.5807170722645365,1.76277604041376,1.81428433966803,1.7901395028653186,1.7949634097161398,1.8446597131854123,1.8047322425307326,1.8926657612050872,1.8518181256945303,1.8524121220279661,1.6720091762158766,2.7312211953274015,2.676599759330054,1.7380471466557579,1.812487216199632,2.9172256728778465,2.9873706004140783,2.120363122417917,2.1798651880843662,1.881670683144967,1.9378068739770868,1.7262012479582602,1.805003584060917,1.74455787222317,1.8127370064688826,1.8126725750423087,1.876057718001247,1.7769759211713274,1.8379247334212292,1.7725501184502126,1.8732710089920268,1.8497402128309854,1.8948811276893296,2.7717969379532637,2.836675492114654,1.8565730915458134,1.9004369360970825,1.8534064564886585,1.9294402402034374,1.7553062767834637,1.8441139400050417,1.7369804911284055,1.8150159775067414,2.970414673046252,3.1565124933545987,1.7061962590348787,1.7436059102497328,1.7640837622505816,1.8401607558344495,1.7600806451612903,1.8018919286783721,1.809786083107942,1.8981313007130562,1.7255971589065888,1.8254025166897163,2.195067693632493,2.3256310896362566,2.1044114107574696,2.178336064916161,1.7706178639460552,1.8064018511376783,1.7977225858513404,1.8303057473325561,1.7233111343742342,1.7670779784840858,1.734632109932162,1.8345625326143675,1.845098384837324,1.7446076203022516,1.7432290198289635,1.7843999624095481,1.724220301680176,1.8263996993934188,1.7945012083941518,1.8481012658227847,2.640373563218391,2.754204980842912,2.119731871034002,2.1862139162968126,1.7787153915893714,1.8045540135295346,2.460703424896555,2.55684480781694,1.8050740288158231,1.8767867799596465,1.749561929845056,1.7875492497052985,1.831519067989442,1.838918722126149,1.7367259688318852,1.8250147315103873
