Attacker,Fast Move,Charged Move,Level,Arceus,Arceus,Arceus (Dark),Arceus (Dark),Arceus (Ice),Arceus (Ice),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Melmetal,Melmetal,Meloetta (Pirouette),Meloetta (Pirouette),Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Darkrai,Darkrai,Dialga,Dialga,Regice,Regice,Regigigas,Regigigas,Regirock,Regirock,Registeel,Registeel,Terrakion,Terrakion,Stakataka,Stakataka,Mega Houndoom,Mega Houndoom,Mega Glalie,Mega Glalie,Mega Lucario,Mega Lucario,Mega Sharpedo,Mega Sharpedo,Mega Tyranitar,Mega Tyranitar,Mega Absol,Mega Absol,Mega Aggron,Mega Aggron,Mega Gyarados,Mega Gyarados,Mega Kangaskhan,Mega Kangaskhan,Mega Lopunny,Mega Lopunny,Mega Steelix,Mega Steelix,Absol,Absol,Aggron,Aggron,Boldore,Boldore,Chansey,Chansey,Cinccino,Cinccino,Cloyster,Cloyster,Crawdaunt,Crawdaunt,Cryogonal,Cryogonal,Delcatty,Delcatty,Dewgong,Dewgong,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Herdier,Herdier,Kangaskhan,Kangaskhan,Lairon,Lairon,Lapras,Lapras,Lickitung,Lickitung,Lopunny,Lopunny,Mightyena,Mightyena,Miltank,Miltank,Nosepass,Nosepass,Piloswine,Piloswine,Porygon,Porygon,Porygon2,Porygon2,Raticate,Raticate,Sharpedo,Sharpedo,Slaking,Slaking,Snorlax,Snorlax,Spinda,Spinda,Stantler,Stantler,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Tauros,Tauros,Tyranitar,Tyranitar,Umbreon,Umbreon,Ursaring,Ursaring,Walrein,Walrein,Zangoose,Zangoose
(Boss weights),,,,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,3.125,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Sawk,Low Kick,Focus Blast,40,1.886188425479495,1.5612644496389378,1.7508611624175914,1.5462769471370985,1.7542613612417162,1.560282815136746,1.7666309853931543,1.5607140749981037,1.768950488908963,1.5439276529336223,1.610008452360317,1.5865759363267435,1.826278196920395,1.630906490528035,1.8308880711290696,1.5495205682629016,1.7629532301944653,1.583431896460095,1.5711732821352702,1.5744651703909986,1.8124037904493917,1.6018745344699163,1.4792052588711015,1.5530716391445685,1.6426886579366922,1.5166025656172815,1.512783437846633,1.5138584806176114,1.5674127657279762,1.5192475839409592,1.8868181496372531,1.6116559662256074,1.5799023215531611,1.5207671928989885,1.9277425853819183,1.5657246610347093,1.5618361094861295,1.5210982480987716,1.4607762628259018,1.4464374196206373,1.597695005571294,1.6190756174679597,1.5760546731011222,1.578226090051309,1.7034919735350713,1.5905382608008014,1.6840958523253835,1.6321298205133055,1.5637577835935386,1.5762043136901003,1.6525755076432143,1.5696448678901904,1.6315749525616698,1.562888045540797,1.6176733200841038,1.6406914561671322,1.5350132113695854,1.565232935143065,1.652525164248774,1.5937785957372432,1.5795557261549509,1.6124738425725287,1.9473588235129093,1.491195143231468,1.5300743715298408,1.5551107377737714,1.5164275092464319,1.5462702881327928,1.4789867126280138,1.5047898671262803,1.5036906202640674,1.538503472562937,1.483684079039722,1.5186476165550387,1.5584824153636663,1.5556651171526508,1.512786809933386,1.552646690998188,1.5501351159152326,1.5948710655011324,1.4884497242885164,1.5383590540690575,1.5619788704270692,1.5871262086575582,1.5225298540468817,1.5362494471472798,1.527963052098375,1.5263586146828945,1.5685045005795906,1.5888718599024418,1.539979786593069,1.5525354220520493,1.5385558698898751,1.5682422505797649,1.4987161686669077,1.5436027160165091,1.5037578582128728,1.5777114835537687,1.4745991622788206,1.4999041822180448,1.4382398409893993,1.476512809187279,1.4846570470398128,1.4800042224586076,1.4723823246878003,1.5201500388820275,1.4611427356299276,1.5103215886413452,1.4554759238521837,1.5344008958566628,1.492211421763481,1.521628753716137,1.4659099804305284,1.4904892367906066,1.521172212289041,1.5388687802538048,1.5322500359501345,1.5629569815161002,1.5594472283390841,1.610146862483311,1.5168355005236476,1.485379574965013,1.4997995543580611,1.526566039846729,1.4662175143775698,1.5357293814763107,1.530878305891133,1.555926115956901,1.4581381005422025,1.4833518977087572,1.4232406268527287,1.4542204603173199,1.5109725448876836,1.5554240903712786,1.4997346039426744,1.5127451827529594,1.39633515590365,1.452026545938176,1.5357192118749272,1.5398571868136532,1.4494349025540625,1.4708463112930497,1.4676273967235596,1.4999142934103877
Shadow Conkeldurr,Counter,Dynamic Punch,30,1.2460944533917628,1.152822444250352,1.1965657988756015,1.1551693338546372,1.2036636495897528,1.1550105448776844,1.2027409960975364,1.155117453199936,1.1951776487203427,1.1568384898257724,1.0814589524434113,1.1433684710877454,1.1468609438536956,1.1459215754308612,1.1267768237246554,1.0935713655787254,1.163819831881082,1.140648639602702,1.0661097037096106,1.1354683580020488,1.1248303401473143,1.1458702309029214,1.054851986132034,1.1086083741179353,1.1351862637034238,1.1531350208565865,1.069995710083696,1.115463695515072,1.0647550044873795,1.0948840022032456,1.126007474782855,1.1271979997689747,1.038542042675966,1.0754463323388617,1.073830065635726,1.0722750254917397,1.0393998173178567,1.0744339932469185,1.045924105179354,1.0844157290234222,1.1028983064088382,1.1488871802673397,1.0462713063668063,1.112426436630639,1.0869830244879668,1.1150723568020666,1.096192763792484,1.1426777372193748,1.085966970490028,1.1366952441115423,1.08864798833262,1.118855200668132,1.1198785578747628,1.1264895635673624,1.066793398427374,1.1276390449033669,1.0762211784623856,1.1296809957633211,1.0717553798542068,1.1103808309599943,1.0498322209977589,1.1152722229789132,1.1247127936238082,1.0492129352982598,1.0638878075764715,1.1135671699891414,1.0713023805589803,1.1154691849159242,1.047107040503437,1.0936228630979818,1.0719698208659056,1.1253829631810204,1.058613592833605,1.118107519718293,1.0810794947645208,1.1167770108465982,1.0493989433654067,1.108081723284245,1.0760150104482347,1.1354331914707394,1.054535361385589,1.107531179453018,1.0637638715767308,1.1273946244236563,1.054515701017249,1.1014506855373727,1.069105411538197,1.0921405487175961,1.0659410762492316,1.1180575545165279,1.061291325727391,1.119006433305475,1.0535083352557644,1.1191097728293733,1.065503927572893,1.1210225003328451,1.0593191042597596,1.1195088536932,1.0836899884106113,1.1270908808848088,1.0387036219081272,1.0825971731448762,1.0526020901170108,1.082346062963354,1.0507296098074197,1.1000182974246375,1.04468053783492,1.1046471685150652,1.0524449421425905,1.1180440462859276,1.0484461814254378,1.1002883833828818,1.056483086385239,1.08937098126922,1.0622999433081854,1.0919628450569099,1.0572547371215557,1.105217747198655,1.074055450557453,1.1262635895479687,1.126203694263974,1.1185667812821487,1.0690372083049757,1.1145709997109854,1.0464949470367477,1.0850101827776568,1.0538854424180233,1.1108843696067914,1.0538060038110668,1.1004133258462134,1.0524471502269732,1.0952225044023043,1.0400038000155454,1.0922281045695186,1.0620533014035132,1.123686906716372,1.0347945242285423,1.0861130889208324,1.0858470646903415,1.0981973283536166,1.053030168194358,1.0993770579336122,1.065418615471264,1.1180179738962217
Shadow Conkeldurr,Counter,Aura Sphere,30,1.105000008414406,1.0148749871680307,1.0496491310854354,1.0147830072937591,1.0555700724401909,1.0134563091410855,1.0574698886575693,1.0149996207108722,1.0459651949400197,1.0095034734276882,0.9506457210149265,1.0081592975070004,1.0104663414138764,0.9943024343182597,1.0021365979588073,0.9566487080196583,1.030003143466452,1.002351946122342,0.9396562123656409,1.0046270454178348,1.0014276255896715,1.009637507241579,0.9322639238270973,0.985483324563743,1.0080132103297441,1.0154342909803082,0.9352308094610601,0.9799570324717609,0.9287585173544105,0.9637485218610491,1.000968815325168,0.982535240657453,0.9143572520953417,0.9468112923325352,0.9823450991580241,0.9337355656876782,0.9151567166476801,0.9482152570378809,0.9257044155063274,0.9637645657148266,0.9593645024279328,1.0091854398032982,0.9171260184475111,0.979741209468649,0.9625464586024198,0.975848116614387,0.9715053051652072,1.007383730826698,0.9409908852991608,0.985524772132479,0.9649479995512547,0.9691570650389952,1.0055749525616697,0.9846679316888045,0.9463022168457232,0.9888245629194389,0.9385599401687275,0.9907931341971062,0.9532674967355877,0.975308705442058,0.9307524671561769,0.9801420239967311,1.0027016336046188,0.9281387904648887,0.9287590403409208,0.9843225634616567,0.9442417926003127,0.9830323212038791,0.92810188989318,0.9703589394151954,0.9437412095639944,0.9947230126800336,0.9403395234299718,0.9892218560772791,0.9487956050147909,0.9840000939099404,0.9227750695490161,0.9818279268012557,0.9439733925582311,1.005995426845946,0.930602124273713,0.981858554457644,0.9407258601285201,0.9958612176733266,0.938407784166298,0.9744007076514816,0.941816223154324,0.9629260354351463,0.9511198935731567,0.9812041481573684,0.931284134419156,0.9997862043497696,0.9354427459598597,0.9894488896443706,0.9435494607908401,0.9957490918082051,0.9371342970180403,1.0020741840902399,0.9652227079017731,0.9972806000930802,0.9223498233215547,0.9596510600706714,0.9305243156775016,0.9587173469967762,0.9350898860985317,0.9794954485156214,0.9224735826217816,0.9792913926783786,0.9361702127659575,1.0005300485255693,0.9269243188473572,0.9753036933115097,0.9380039138943248,0.9720324294101202,0.9371505821813266,0.9772796650822031,0.9393161731358474,0.9819917480614582,0.9437345031470532,0.9970176685797513,0.9957366747916995,0.9857178605521932,0.9446210645062044,0.989614118831635,0.9320891985705686,0.9651864280865344,0.9285064601893744,0.9890153458650124,0.9379182737892499,0.9779620918522337,0.9332177083241159,0.9723915794317267,0.9180492102013144,0.9669398647539921,0.9456987322709262,0.9927787584402118,0.9136719642113466,0.9640971559842552,0.9537395622234719,0.9736548928901103,0.9285040491234314,0.9760167304440687,0.9367485368660774,0.9950902367950634
