Attacker,Fast Move,Charged Move,Level,Arceus (Bug),Arceus (Bug),Arceus (Grass),Arceus (Grass),Arceus (Ice),Arceus (Ice),Arceus (Steel),Arceus (Steel),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Jirachi,Jirachi,Magearna,Magearna,Magearna (Original Color),Magearna (Original Color),Melmetal,Melmetal,Meltan,Meltan,Necrozma (Dusk Mane),Necrozma (Dusk Mane),Shaymin,Shaymin,Solgaleo,Solgaleo,Zacian (Crowned Sword),Zacian (Crowned Sword),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Genesect,Genesect,Genesect (Burn),Genesect (Burn),Genesect (Chill),Genesect (Chill),Genesect (Douse),Genesect (Douse),Genesect (Shock),Genesect (Shock),Regice,Regice,Registeel,Registeel,Celesteela,Celesteela,Kartana,Kartana,Mega Glalie,Mega Glalie,Mega Lucario,Mega Lucario,Mega Mawile,Mega Mawile,Mega Metagross,Mega Metagross,Mega Abomasnow,Mega Abomasnow,Mega Aggron,Mega Aggron,Mega Beedrill,Mega Beedrill,Mega Scizor,Mega Scizor,Mega Steelix,Mega Steelix,Mega Venusaur,Mega Venusaur,Amoonguss,Amoonguss,Ariados,Ariados,Bellossom,Bellossom,Cryogonal,Cryogonal,Durant,Durant,Excadrill,Excadrill,Forretress,Forretress,Galvantula,Galvantula,Glaceon,Glaceon,Glalie,Glalie,Gloom,Gloom,Grotle,Grotle,Jynx,Jynx,Mawile,Mawile,Meganium,Meganium,Metagross,Metagross,Metang,Metang,Parasect,Parasect,Piloswine,Piloswine,Pinsir,Pinsir,Skarmory,Skarmory,Stunfisk (Galarian),Stunfisk (Galarian),Tangela,Tangela,Venomoth,Venomoth,Venusaur,Venusaur,Vileplume,Vileplume
(Boss weights),,,,0.6944444444444445,0.0,0.6944444444444445,0.0,0.6944444444444445,0.0,0.6944444444444445,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,1.388888888888889,0.0,1.388888888888889,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,0.5555555555555557,0.0,0.5555555555555557,0.0,0.5555555555555557,0.0,0.5555555555555557,0.0,0.5555555555555557,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Charizard,Fire Spin,Blast Burn,30,1.5994015937617432,1.539631800477572,1.59935627377245,1.5388434949959666,1.595807093681751,1.5417366726230448,1.6071910503396234,1.5419790366655408,1.637459782663395,1.5456535581348145,1.6322267493125042,1.5695216427128469,1.5910745788747942,1.5748351148101827,1.5906496123994538,1.6075369079491986,1.5906496123994538,1.6075369079491986,1.7705159850605523,1.5990338199197014,1.6303649025253593,1.601270863837399,1.664451703916896,1.6590411035607155,1.5612989625697062,1.5403698040675158,1.5441912073249586,1.5708994582630529,1.8490762789608262,1.6334335291706517,1.5769598391944526,1.581264435501209,1.9162166282537476,1.6325829625251436,1.5309751461872592,1.5371285786356663,1.5466328725526048,1.564505558428967,1.5611475007819637,1.550516310725182,1.536425096011894,1.5330803340968089,1.7702941206736116,1.5623408130594423,1.5208583437961922,1.4878864250291564,1.5893467294551016,1.5543181554617531,1.584302979689997,1.6033422647146522,1.6052646104632406,1.6123934450920774,1.639572888460077,1.565095224364872,1.5734526545384042,1.5405854506115537,1.5545763647134243,1.554919241197817,1.602894510149269,1.546543706739751,1.5872641883583367,1.5597853389617493,1.6825608578875928,1.512147359573078,1.6383453644274284,1.6138542787814054,1.5853902273883658,1.6096470786197243,1.56208267991744,1.5870157493802943,1.5462691242565196,1.521171768959746,1.5579981956145739,1.5774387842574935,1.489288449802132,1.5461538433907316,1.5566278277258592,1.6011740952122158,1.5582409401805226,1.553799884041992,1.6377063170836617,1.613312645433565,1.888224520016912,1.6154225738997476,1.5456873396652704,1.5467004707438612,1.5409752779308277,1.571753276505713,1.6502934553634399,1.5585087074365842,1.597315553500416,1.5769784269602873,1.5236048242448537,1.5488034891201705,1.4949854174612074,1.5427367455461982,1.603372154184924,1.5565423905583453,1.5179469968956345,1.5684271038256434,1.5321785017961147,1.5580349474330926,1.5667976651106466,1.533017163820166,1.5449455860546468,1.5893478514666486,1.5853052450387664,1.6188011941891256,1.614002129296805,1.5866154932695244,1.53111744183431,1.5750388838435991,1.5601945601405538,1.5642920138391168,1.577451430993244,1.5585611174468994,1.5396559038016653,1.581176098132503,1.527888284964569,1.5574470148625705,1.5606662003546004,1.558984462108376,1.555164406995008,1.569078466430848
Victini,Quick Attack or Confusion,V-Create,40,1.3625572857537662,1.3834453864216112,1.3660573299534264,1.3887333647706157,1.3629880726800387,1.3855662890980192,1.3949541596699822,1.4216647983109645,1.3487688303150414,1.3921678381526814,1.3688567159107057,1.4381267064659085,1.4340257088542032,1.4898190284571544,1.4477039445263862,1.505495103620258,1.4477039445263862,1.505495103620258,1.3501757477454863,1.4135882855653557,1.4760304084651612,1.5776905529223524,1.4597356575735483,1.5346249519410382,1.439782679203715,1.4768411062136708,1.43218174191029,1.4781814592232811,1.3703399176312143,1.4415448539027582,1.446466534676718,1.4926903154893627,1.3792715029337463,1.464574234870405,1.5294469014593859,1.5788557179657576,1.537130249595468,1.629285796359416,1.5082165724730865,1.5865794746376318,1.4782572087071428,1.5698377771114922,1.50268669383627,1.5879836002354026,1.3867322998291491,1.4144226611764432,1.4581132347154824,1.5306637236391443,1.4730398887429854,1.522992240660442,1.4847758378268747,1.583463375748484,1.3890923237568933,1.3970865659577951,1.4119999129667251,1.4538603365135667,1.4859191372691878,1.583178149215896,1.3729283776257923,1.4098671774908162,1.4397111341249365,1.4849853812766034,1.2816283166685105,1.3303119544177067,1.303395867499797,1.3790891583597555,1.4946791362794418,1.5733576208555742,1.453169223456423,1.5229113935540046,1.2762528308885068,1.3151649713777809,1.3006765796910238,1.3801162259381052,1.309574954030752,1.3927231551505375,1.4604947326503646,1.5529502671183528,1.3836177542836825,1.480316650649249,1.4657265828972772,1.6095216131812706,1.476428241351006,1.5184021002158872,1.5230229406222184,1.6459209612922578,1.3945005439395348,1.53027323007292,1.3395779267174024,1.4466804914700309,1.443505856570352,1.5314398854748628,1.3210966980468826,1.3925474758753877,1.4194982686208255,1.5347762132319902,1.3933042234254527,1.4793954235106483,1.510623810337744,1.6206790945194591,1.4426789531756432,1.5119878409639465,1.4338787098630505,1.5165721262652507,1.490441008021353,1.5699440408792653,1.554477218733233,1.6187440358934533,1.3717932263063024,1.4498523195631778,1.4550225602880695,1.5575159699405916,1.4923067975922648,1.568016665847877,1.4715495548124429,1.5690093511938128,1.4370606613101116,1.5135464382814943,1.2979788671412171,1.3927037092402783,1.318458814043563,1.3815670575921617,1.3198381064792393,1.3814371180301728
Shadow Typhlosion,Shadow Claw or Incinerate or Ember,Blast Burn,30,1.5085758140293184,1.3498953199154606,1.5068148687174308,1.3523401226692329,1.5125630960758343,1.3507661399176687,1.518013981964279,1.3558863762829039,1.4235044394202074,1.3352557764321213,1.359280569927908,1.3983910844170666,1.406666619906499,1.3779976189950751,1.4203867641378563,1.4201474386953519,1.4203867641378563,1.4201474386953519,1.3679460152501384,1.3603454203198018,1.34126560896178,1.364519848712414,1.4934392716074907,1.4634210658752353,1.415442331520334,1.4259519293572893,1.3841908645212744,1.3901480867805007,1.5070451662014719,1.4364672183943943,1.3929890629087809,1.4018021981247986,1.3693109005057398,1.3968496210186614,1.5554448457552565,1.4174769832566327,1.3770945747029912,1.4461760450524297,1.353749383508125,1.4129499804948416,1.3546289627347454,1.4139518381382992,1.4278597052766102,1.4194473532177458,1.6082823440962668,1.3928524760332748,1.3704977135565104,1.3638853340217003,1.437340040114493,1.4205610161225204,1.4767318568901586,1.4641782531712948,1.3633919176758469,1.3400650796101248,1.687540085107735,1.5459309520922844,1.3807759215648776,1.403735251642693,1.571997536411995,1.4182094955131421,1.3739366304456697,1.3687877662761034,1.3840102657365565,1.2912641082754837,1.4846839413012105,1.4663132452832088,1.431754777933433,1.446857334399919,1.433272142212996,1.4048391603944,1.4210295654242213,1.4042576957376556,1.3556592166961416,1.3883067697307645,1.286553056540409,1.366335962673342,1.3260728302255864,1.3852652467578221,1.3232388771672583,1.3414297684482948,1.338470550263634,1.3823625373331374,1.5895047220423744,1.4835362816430164,1.3815171833984026,1.3810670365810092,1.3477493737135824,1.368980835277843,1.3178288538127878,1.309111794796742,1.3489477076149707,1.3771258351758724,1.3401273929918665,1.3718138632226595,1.3053878339992342,1.372803378159431,1.3879052085619517,1.3808535583531962,1.2960917658766578,1.3748409293320707,1.418440421036794,1.3698345255186166,1.4614251542779109,1.407988713126828,1.338734086674566,1.3758156545019542,1.3891680208279797,1.4478137598255232,1.3381782073850759,1.3443576796989467,1.411967302382378,1.423406297147221,1.3463679048786186,1.3586297576449726,1.4577793635145941,1.3880697108518092,1.366906521220752,1.3920790871374493,1.340154541900946,1.368759750768603,1.3612898722622802,1.3765918060482607,1.3977511310634112,1.394460597378253
