Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Arceus (Water),Arceus (Water),Keldeo,Keldeo,Manaphy,Manaphy,Phione,Phione,Terrakion,Terrakion,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Groudon,Groudon,Kyogre,Kyogre,Regirock,Regirock,Suicune,Suicune,Tapu Fini,Tapu Fini,Mega Sharpedo,Mega Sharpedo,Mega Swampert,Mega Swampert,Mega Blastoise,Mega Blastoise,Mega Gyarados,Mega Gyarados,Mega Slowbro,Mega Slowbro,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Boldore,Boldore,Brionne,Brionne,Claydol,Claydol,Cloyster,Cloyster,Corsola,Corsola,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Donphan,Donphan,Feraligatr,Feraligatr,Floatzel,Floatzel,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Kabutops,Kabutops,Lapras,Lapras,Lumineon,Lumineon,Marowak,Marowak,Nosepass,Nosepass,Octillery,Octillery,Omastar,Omastar,Onix,Onix,Piloswine,Piloswine,Politoed,Politoed,Poliwrath,Poliwrath,Quagsire,Quagsire,Rhydon,Rhydon,Sharpedo,Sharpedo,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Stunfisk,Stunfisk,Sudowoodo,Sudowoodo,Vaporeon,Vaporeon,Walrein,Walrein,Whiscash,Whiscash
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Roserade,Razor Leaf or Poison Jab,Grass Knot,50,1.2822848815074674,1.2589016373795423,1.2856325279689238,1.258158665745991,1.2876566887997098,1.264407075422191,1.0941911215590692,1.117162257629454,1.2678238382911198,1.2508209275918916,1.1776875819820536,1.208818044241376,1.0671241407092902,1.0638771835008207,1.0669905438622829,1.088738905506138,1.163441897708104,1.0285540261805994,1.280846719718652,1.2123312031949491,1.1396725690872007,1.1468849706219337,1.1958429285557188,1.2007117910424059,1.2057885072526775,1.1751828452579594,1.209087836009465,1.206401524283305,1.1368656162668458,1.1247563979666193,1.237365474569689,1.2321428654018793,1.2050117561727995,1.1973220808984693,1.2742173409948796,1.2647213052852553,1.2549388911731858,1.2292191562880679,1.165779736299621,1.2082223164848682,1.210387518042068,1.2259875262224618,1.2128560480106008,1.2346035577155154,1.1947804030845617,1.2685650337789562,1.2085382165939202,1.2142386830453376,1.2319301351362126,1.2092629314569385,1.214720459426357,1.28989168425993,1.2010161232960315,1.2335780413500508,1.2233797046870514,1.2332817269072143,1.1678174962776546,1.196906617649303,1.190926465530965,1.194886909175237,1.1960634294127959,1.256552181936158,1.244844642851161,1.225331126592259,1.1877908708614526,1.2051701750366086,1.1948921722284676,1.2170015454700691,1.208891417916164,1.2285226857394231,1.2144602596754026,1.2283651576812988,1.2178774570003943,1.2433076004861214,1.2049474057186456,1.238862495931272,1.1813008045028628,1.229256314361656,1.1887628014672986,1.245959069331643,1.227043267013497,1.2668003365020413,1.2004265810744064,1.2485372819345986,1.2046956843343373,1.2550513694964422,1.221547605759299,1.2181100416315511,1.1831013299004858,1.2181841151859867,1.1513073983368187,1.195232906327051,1.190659760788284,1.2337029438126283,1.1512403683823096,1.1489166616964475,1.1964355148904822,1.219100987912663,1.2479153162505006,1.240905570165401,1.2234006287225285,1.1794462707478064,1.2315758052779304,1.2126547514739296,1.219903011016408,1.3025356994456323,1.1828702472474317,1.2215993306938762,1.1956426561125768,1.2430812664907651,1.2043433917185884,1.2099369168870826,1.2296293343495623,1.2269381231746967
Trevenant,Shadow Claw,Seed Bomb,40,1.8606347440226327,1.8653175553748385,1.8614886788266904,1.866396633940352,1.8617250442508584,1.8710014273798545,1.7000542980084892,1.7394422750600171,1.9203312719939643,1.9858548027619711,1.87615624215396,1.9488197898773552,1.6250457191517877,1.6423851437186774,1.6638008574441379,1.7072091334857165,1.7545576081925505,1.5984781240222687,1.9450820736733023,1.8663667015027097,1.8241806765828477,1.871613998460549,1.8477283085409633,1.8743099260439964,1.9496386234273944,1.9395236557205013,2.020458496987829,2.108617785457221,1.9536028092804594,1.993561899557214,1.834561721555504,1.8457042436243267,1.9873915267318372,2.053814711892882,1.6153536764067844,1.6227267945794335,1.919607022897136,1.979415044532576,1.9465129951345168,2.0421263068434805,1.916412692266816,1.9719890693622428,1.9342402472457467,1.999052634919231,1.9340979938629401,2.0906756011687793,1.5972165534550724,1.6254541744079682,1.8686703041688042,1.886327963773787,2.1955173147515876,2.400252967689436,2.079001073497386,2.1871433230420734,1.9247983736878362,1.9693232306590338,1.8523020401229413,1.9004776498107692,1.8829593738483719,1.8942153916335454,1.9088612980588777,2.013634679523229,2.149219653998185,2.240432232023958,1.5805682970156396,1.6308079642931828,2.0680375306496215,2.197409211551496,1.8280519219026647,1.9062394264166138,2.1478806267754496,2.211919918258771,1.940706500897922,2.005284497110317,1.9516363577852576,2.053505743485258,1.847033437233027,1.9469385920427025,1.925888788607543,2.0427211690261213,1.8931927366815988,1.9903679167004713,2.1519980033730617,2.3300850227271024,2.196356232793497,2.319940694333809,1.864951166643676,1.9120560702564717,1.8931816591085084,1.9969016126311108,1.7977106095882784,1.8892117654303733,2.1656325798843157,2.3106186957933486,1.9980355674414512,2.055158350702657,2.076264438830097,2.149781503794503,1.6303897888023218,1.6566851703907344,1.553882024507287,1.5566784542879604,1.5712639410725158,1.573091465316245,1.969414350045437,2.109561235486279,1.8835647197736467,1.9759387578967378,1.8598283201407213,1.9713218997361477,1.9165914398755268,1.9471197246225656,2.1971298903225738,2.283062852017998
Cacturne,Sucker Punch,Grass Knot,40,1.742128364673373,1.5631440171129205,1.7589806503159815,1.5620465833145305,1.751993992989454,1.5674893703967638,1.931531166685332,1.763791455308705,1.5769895641311795,1.630395807467367,1.5380393966838992,1.5702867068991566,1.7575791584485205,1.5865743242838994,2.176091526742716,1.7323604099243917,1.5873844272051267,1.3467800428858234,1.6619674059826428,1.5951725073270064,1.6634163768356043,1.509815725169203,1.5833566987526093,1.5867364308515939,1.9089306449792294,1.7641998138075246,1.7099145734631136,1.729665312630837,1.7774912331414592,1.614610430410192,1.9841507162741565,1.6119037594430081,1.7114680186216364,1.7156372392729704,1.397136820650199,1.4061907887323983,1.6077075203739017,1.6093377058666387,1.7557801841935594,1.7609165867169714,1.5980994585946395,1.6124682045071985,1.5979067962770823,1.6140411582624719,1.661805922290034,1.6620919077184717,1.3562678191485376,1.3773177070193516,1.6849731850319731,1.6304789634448074,1.7307467534091574,1.8264323709375085,1.684530091446467,1.736050056288921,1.7235066765913476,1.63604614498083,1.5944985890410848,1.6157515229400772,1.5647308608705366,1.581274144800936,1.5986725463748777,1.609926021843997,1.7453770292449926,1.717739652415647,1.3890613802513399,1.4062647749713932,1.7204008653122902,1.7543069448845237,1.5621738740296376,1.5596806422172953,1.7636936144195732,1.75843848208751,1.681056027955088,1.6328660337392042,1.6613492455379755,1.6537206527798587,1.5573665941544377,1.5721944913970385,1.5632015431379995,1.649401458288276,1.7246212616366847,1.650076954708103,1.789996070903917,1.7603683658395695,1.6970368982451534,1.7696003004428962,1.6071694590822923,1.588137761878835,1.6520067541733876,1.6185787064510484,1.6796979178262588,1.7295370947151014,1.7471729451477442,1.7653973969815027,1.681515181477427,1.6816116770509992,1.7235369824612796,1.7263404589829658,1.38784404703793,1.4244238237358429,1.4910561516046652,1.34392026203934,1.432664062848063,1.419694373078694,1.5629397357548485,1.681408316526639,1.629918655728699,1.5988219146208158,1.5612073175021988,1.5920224450307827,1.6304235147262365,1.6056184147604122,1.7056102628248055,1.8178786459144485
