Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Arceus (Water),Arceus (Water),Keldeo,Keldeo,Manaphy,Manaphy,Phione,Phione,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Groudon,Groudon,Kyogre,Kyogre,Regirock,Regirock,Suicune,Suicune,Tapu Fini,Tapu Fini,Terrakion,Terrakion,Mega Sharpedo,Mega Sharpedo,Mega Swampert,Mega Swampert,Mega Blastoise,Mega Blastoise,Mega Gyarados,Mega Gyarados,Mega Slowbro,Mega Slowbro,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Boldore,Boldore,Brionne,Brionne,Claydol,Claydol,Cloyster,Cloyster,Corsola,Corsola,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Donphan,Donphan,Feraligatr,Feraligatr,Floatzel,Floatzel,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Kabutops,Kabutops,Lapras,Lapras,Lumineon,Lumineon,Marowak,Marowak,Nosepass,Nosepass,Octillery,Octillery,Omastar,Omastar,Onix,Onix,Piloswine,Piloswine,Politoed,Politoed,Poliwrath,Poliwrath,Quagsire,Quagsire,Rhydon,Rhydon,Sharpedo,Sharpedo,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Stunfisk,Stunfisk,Sudowoodo,Sudowoodo,Vaporeon,Vaporeon,Walrein,Walrein,Whiscash,Whiscash
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shiftry,Razor Leaf or Snarl,Leaf Blade,30,1.7339197602145662,1.732183406187152,1.7359915611814347,1.7367021097046413,1.7395726540477272,1.7350985435917532,1.6374836683488347,1.6521882994473238,1.6172979730605337,1.7206440621117065,1.6489472662882647,1.7499733178091497,1.6764227345761935,1.6658136439065605,1.5616514156630767,1.5318934876826074,1.6877697284586843,1.7270224794249547,1.7011437489144494,1.6643905752186006,1.6689543830488731,1.7620973647550895,1.7234230979503231,1.737054041006327,1.6246920318978313,1.6046885923754761,1.6059816125335689,1.7238905849523694,1.6623235613463627,1.6624014440367059,1.7131823135736604,1.7679764522899646,1.6001729766668358,1.697672556237437,1.5682229012751583,1.6784202993849844,1.6486583871820126,1.7060462658243052,1.6695847077729848,1.7277340776452677,1.6353781525826399,1.6880614861781966,1.6264416284240386,1.6961326571963682,1.6671050468518824,1.7615211792426984,1.567340513077391,1.6367741242978282,1.6556197257046266,1.7243536387035636,1.6677696669382596,1.7724604665857429,1.640208007383812,1.7425120718570963,1.682196732328874,1.7143466928225666,1.6243136983217,1.717356287995566,1.6172117245987014,1.7146626008599868,1.6829742140586366,1.7542727495041164,1.6356578038898948,1.7166212889022054,1.5934877198770956,1.7026684263708163,1.6199379351870435,1.70580969878495,1.6276382251398833,1.7091106991615503,1.6481360909859115,1.7288154376826852,1.6754272650390787,1.7245151157495608,1.6545133144904383,1.7422462117273387,1.6297798276912365,1.7139065355495604,1.6768799033476578,1.7693954640688798,1.7286891520691674,1.7548295582473994,1.6598185286384493,1.7473965046141156,1.6679304499221113,1.757090167689911,1.6389821503261324,1.7256644170877562,1.6793728010339628,1.7508616356717168,1.6293345137966653,1.726531781371247,1.6360251704247508,1.718965215871351,1.5930560987268065,1.6577441735830472,1.6233759420847393,1.7126444821375486,1.5843672234455843,1.672234455842598,1.5980771222425518,1.6066990023129768,1.5772391089843785,1.6606910522960856,1.6582552682083342,1.772939745757881,1.6071844730900882,1.696207486708907,1.6400609110955098,1.7162887739664394,1.6506912693228828,1.6995155671674287,1.6512962631861254,1.7616306096906846
Torterra,Razor Leaf,Frenzy Plant,35,1.4699400030681207,1.5152824441121584,1.4753400843881856,1.5233687763713082,1.4756170269544466,1.5195524876155475,1.3873650216211209,1.4298547310264502,1.4699275058506056,1.5608177126609393,1.4720467666035997,1.5569931596565276,1.3596878868741882,1.4185099860396038,1.4057154714501527,1.3799126912139443,1.57890151435149,1.5687706366471652,1.4491884619273154,1.5057900344524549,1.4762429452617023,1.5362486673910156,1.5223990587663574,1.5531346213484836,1.3438101682748926,1.4020539930237514,1.444697639021318,1.5213091666156389,1.4244560810346487,1.469522670734892,1.515393256234652,1.5413185937155933,1.4778480421336992,1.5410539297469148,1.467409327092923,1.540161683363633,1.4819596915611712,1.5424703932354848,1.4939418929205786,1.563319377484564,1.494375304834878,1.5368083198288205,1.4697107433490684,1.5346264635335092,1.4804208449778071,1.5707271631322264,1.478414254535046,1.532648753085978,1.4621595318282516,1.504078574995838,1.5044979131678278,1.596202131728163,1.495255675742602,1.5778283038618688,1.5639321036427538,1.556711985396289,1.4341756585898122,1.5005975371079203,1.4811813680982646,1.5468795504771042,1.5153655951960439,1.56306551096378,1.4637129867253753,1.522595521279783,1.4849359701400202,1.544748726620337,1.459789103148014,1.5218230380880333,1.4824061633701253,1.5544482049014439,1.4786180337179824,1.5439206505326444,1.5551425146139046,1.5648355529120934,1.4684318489039294,1.5298288069422519,1.44985640936385,1.504925593943086,1.4625930966982212,1.5419642447506459,1.4897554825055161,1.5469671725131715,1.5061349693251533,1.573645409083879,1.4857967561623753,1.5651516539906534,1.4545732017499235,1.5271701653836154,1.4893372585625044,1.5374452502333595,1.4427345085887389,1.4958900780320983,1.4646740080405523,1.5234923964341898,1.418748823128956,1.4661133562189488,1.4826796299858358,1.5380768356444645,1.4719283169522175,1.5426267074851856,1.4366002692719302,1.4714502709980322,1.4547550230962008,1.5060993180290079,1.4718775533471413,1.556434909837156,1.4785976986381182,1.5354034666084044,1.4660786504632606,1.5222236505127014,1.5231783874011178,1.533447637709558,1.500464866797783,1.5602896477740031
Shadow Cacturne,Poison Jab or Sucker Punch,Grass Knot,40,1.4133281186519824,1.3379332666888066,1.4232793248945148,1.3375493670886076,1.4254576716046838,1.3386744539946933,1.7493216810586882,1.4419084822483696,1.297410868786352,1.391620865508488,1.2941590258574687,1.3795541648474265,1.5699407746905514,1.4195392866622496,1.4215816503781442,1.2180550293727885,1.3831745763547143,1.388931716898642,1.3483716095181062,1.2867603026838694,1.326997551064895,1.3606354969567127,1.3227018265175954,1.2916353614829545,1.514210461382015,1.420960150142628,1.4816781406090083,1.5148228172537768,1.5849081671454162,1.434786990841912,1.5967092298215246,1.381685857715861,1.6280574560150767,1.459992472311721,1.3019095140473704,1.2259389625962172,1.3949530375459416,1.3901246727041245,1.2435295610251205,1.2948067326397699,1.3229440362497837,1.3633081074277444,1.2847442033668115,1.3523980592094453,1.2888377445339472,1.3573456079785193,1.148477584171169,1.1960213245554403,1.4397177651714026,1.3587673355444287,1.46139776185171,1.571941668468049,1.4107808155960515,1.4769649831725629,1.3689525833492266,1.3760909644079957,1.3817569322964476,1.3588686630756706,1.3314374796566906,1.3643379644698748,1.3218080047822187,1.3962856288889491,1.4382059064914086,1.4860153980433282,1.2444167199389602,1.2289711917183923,1.377159531271711,1.440335952818391,1.3183047330736917,1.3492321297981258,1.4725089004945489,1.4969869921176944,1.3527968551062701,1.3680473592743696,1.4060895951298362,1.4036696380462628,1.2879993038029762,1.3444086676529459,1.2961736683540044,1.3663001422257566,1.387163957310758,1.3845634259467734,1.432798886425736,1.507114502242615,1.4018830752313753,1.479336571062036,1.3569482596850588,1.3644883055809904,1.360908666618798,1.3758347095569756,1.4598425470232361,1.4599814250622782,1.460041950707918,1.5140534871525957,1.4789177131766102,1.4665189240863858,1.3965061989613023,1.4761571685872663,1.1631845605743238,1.218208997976977,1.228302896399351,1.1660251320468118,1.186795434898403,1.2057351926720865,1.3100214718680525,1.3946548349706425,1.2889902410603744,1.3594603452042824,1.2980589532388684,1.3614717544570902,1.3348755352347776,1.3558313375426374,1.5940282495977114,1.5291614518147685
