Attacker,Fast Move,Charged Move,Level,Terrakion,Terrakion,Terrakion,Arceus (Rock),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Cobalion,Melmetal,Melmetal,Melmetal,Meltan,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Dialga,Dialga,Dialga,Regirock,Regirock,Regirock,Registeel,Registeel,Registeel,Stakataka,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Aggron,Mega Lucario,Mega Lucario,Mega Lucario,Mega Houndoom,Mega Houndoom,Mega Houndoom,Mega Steelix,Mega Steelix,Mega Steelix,Aggron,Aggron,Aggron,Boldore,Boldore,Boldore,Excadrill,Excadrill,Excadrill,Lairon,Lairon,Lairon,Nosepass,Nosepass,Nosepass,Stunfisk (Galarian),Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Sudowoodo
(Boss weights),,,,5.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,8.75,0.0,0.0,8.75,0.0,0.0,8.75,0.0,0.0,8.75,0.0,0.0,2.142857142857143,0.0,0.0,2.142857142857143,0.0,0.0,2.142857142857143,0.0,0.0,2.142857142857143,0.0,0.0,2.142857142857143,0.0,0.0,2.142857142857143,0.0,0.0,2.142857142857143,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Ursaluna,Rock Smash,High Horsepower,40,1.3100764806530747,1.3292997175781815,1.2004679544002144,1.261176340144443,1.2896684267025953,1.1555909840017606,1.2504037850016958,1.2835762759102372,1.144563425305651,1.256726418678548,1.2899544088695474,1.144478983179636,1.2447951583440455,1.324458194178778,1.1332993006906986,1.2807507987220448,1.363635326335007,1.1694013388102846,1.2882214138236163,1.298049075101479,1.182016096183828,1.2331412859670239,1.2614461036460474,1.1262415332039788,1.2794137596324935,1.2826576265114669,1.17459721656993,1.3102308529614075,1.340081335420972,1.1954819219433304,1.264014223522569,1.3424242557766537,1.1491773445899502,1.2373542855263808,1.2983447329047535,1.1234627020272605,1.2276629042109868,1.2825094603532587,1.1156349731278983,1.229973511596108,1.2761333535904669,1.1347704888794943,1.2509720937466746,1.30242757389959,1.1442587120064835,1.2601449275362318,1.3124430641821945,1.1392132505175983,1.2177212437486409,1.277788649706458,1.1241465535986084,1.210222171060205,1.2614251179924025,1.1071255899620123,1.2506911217437533,1.346757044125465,1.1334130781499203,1.2864341641550656,1.3712545248688388,1.182254540815513,1.263735632183908,1.3181896551724137,1.1566666666666667,1.2269467776840406,1.2766386677915122,1.1332942082676154
Shadow Hippowdon,Thunder Fang or Fire Fang,Earth Power,35,1.5649673256509102,1.619678822486549,1.3395823455441258,1.5430581618236279,1.6064177752989066,1.3152340265399756,1.4063118059682949,1.439741174653383,1.1775680222425935,1.3889855973474252,1.4289382792802128,1.1672883639001141,1.4055850436786417,1.4675470050249402,1.1666656415870693,1.4395329377757493,1.494952837364978,1.2059523809523809,1.442442799556161,1.4731393176678793,1.1901695296150119,1.5910990975572095,1.627885128762271,1.3437821487105168,1.4825551608828902,1.5378734299249683,1.2780387709919543,1.463561819780621,1.519266714487927,1.2087707333886175,1.614953645769075,1.7006847383541606,1.3647002837654443,1.394419690567403,1.441872461814176,1.1504990052777824,1.4436517144292524,1.4784318402781542,1.2051857554367666,1.5389630549518782,1.6182367046047548,1.385842245371135,1.384981867893483,1.4324098101654403,1.1350084725644447,1.6322567287784677,1.7088923395445133,1.3806832298136644,1.4817786475320722,1.5642857142857143,1.2485105457708197,1.3444227005870841,1.3908599056060782,1.1550362610797744,1.596451355661882,1.7149388623072832,1.4065656565656566,1.571720167759014,1.6460795101181651,1.3263726099921862,1.4510919540229885,1.4876628352490422,1.2091283524904215,1.5197061952096247,1.581520742398122,1.3099988996075267
Virizion,Double Kick,Sacred Sword,30,1.486631346760395,1.5560287781648767,1.4914283947308749,1.4192654215938434,1.4884813684265346,1.4193695789857421,1.4168102160123839,1.4836101904925003,1.4166977270514125,1.4259869443580977,1.4944565330017616,1.4271249956826582,1.4707821562344316,1.5530488942466383,1.468703294810842,1.5182488970028907,1.609447740757645,1.5182945382625894,1.4604000168546427,1.5349691700493,1.4598269590010815,1.4390046526683546,1.520563082629976,1.4389097761845142,1.4299881861608184,1.493203420613503,1.430549244744027,1.511130226522535,1.5830285587192543,1.5139744622685836,1.4712555299011227,1.5651845356645577,1.4740733560110688,1.4506954834678814,1.5250776869831144,1.4529685470478948,1.4337739129177645,1.5050437146027376,1.4350425218934442,1.4775443069748393,1.5123194197652374,1.4752026263813933,1.4506790330634667,1.535365793760591,1.4522528016765037,1.4857453416149067,1.544047619047619,1.4861387163561075,1.4557512502717982,1.5171124157425526,1.4522504892367907,1.401484977552665,1.4732128467825487,1.403706688154714,1.5046119085592768,1.5940457203615097,1.5067650186071238,1.559114321708208,1.65002631201263,1.559114321708208,1.5173850574712644,1.5869252873563218,1.5191666666666666,1.4673733631661958,1.5298022961522943,1.469399919304552
