Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
(Boss weights),,,,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,17.5,0.0,0.0,17.5,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Aurorus,Rock Throw,Meteor Beam,30,1.4665835048105393,1.4221058615130602,1.4655524389861654,1.7044237791788304,1.4794374270000263,1.724152719407721,1.5655791880089263,1.3936368127760377,1.5834251884002724,1.511795020351564,1.4881632002982261,1.5594781274425986,1.4994500747262522,1.4622187868329604,1.663071039122308,1.636243912107862,1.4449302873584382,1.734856672709363,1.5107605923859704,1.469896187379638,1.694475997800457,1.47973777979428,1.457470185329528,1.5257904553925234,1.468618227550264,1.496418032489621,1.48942519578222,1.584321970935457,1.5162012380200138,1.650585515600252,1.4858093188611865,1.5098349490509966,1.4855790306504468,1.4660198790901047,1.5030279534238875,1.4943911369251501,1.4545727232843257,1.5139748949408094,1.4690039802487485,1.4343283753207092,1.4762012391346422,1.4559181003902697,1.4569322990721334,1.5235580421455868,1.4697450884902465,1.514178411574595,1.4706122701694864,1.5558820255756476
Shadow Golurk,Mud-Slap,Earth Power,35,1.2053710981346613,1.199607219070355,1.005364490367485,1.3192772637109147,1.2161810068494943,1.1752468245492276,1.405506507209387,1.1704972606868427,1.1774005998280404,1.365835340309831,1.2097776374873874,1.16523819567451,1.4021851260561125,1.1846384785788244,1.185620216223176,1.8131987902205597,1.2933436113220935,1.44060873076852,1.4345136792225224,1.244717681555834,1.2099842710081252,1.634010791712695,1.3955787161590183,1.3343410951261803,1.2083842701088356,1.183678811664243,1.0447562504457757,1.358399716797132,1.230678431112499,1.147043537837891,1.2587939855547818,1.1872418606890824,1.0561637251752047,1.2062755027887393,1.1814138721859102,1.042515304350399,1.1811721226631806,1.1924672444983102,0.9930410628489525,1.2273967936019443,1.177960933710364,1.05702731342758,1.245951604731994,1.217472374312688,1.0426212270973234,1.3212355592240765,1.214520627498456,1.123354951376254
Tyranitar,Smack Down,Stone Edge,50,1.1261456639916505,1.1331254145738543,1.1254022901843315,1.1370880839420832,1.1332104772947962,1.1398477041652497,1.0988083691786894,1.0896023005800686,1.1119569936986646,1.121372070792916,1.1469186430828773,1.1312573305014935,1.1101383214139673,1.102929185992482,1.1078370805702267,1.0612911176634057,1.0793339903503711,1.0987820633594518,1.1464779686620898,1.1658354416531158,1.1423292221163928,1.121502854699275,1.1367978193995218,1.1186818218275683,1.1423340804850688,1.2027195179047288,1.147035016586793,1.1397304365550345,1.1672214544872364,1.142045240248467,1.152230163711984,1.1981985702559454,1.1554654285535568,1.1521981159613262,1.2093637045663246,1.1512679980218377,1.1414720304062065,1.197310482469431,1.1447704085220733,1.165610260299075,1.2099827399031982,1.1631474958938002,1.1534494270054096,1.1934646440678336,1.1598830120469363,1.1486522191007447,1.1759304614284143,1.16362361402014
