Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Victini,Victini,Entei,Entei,Groudon,Groudon,Regirock,Regirock,Terrakion,Terrakion,Blacephalon,Blacephalon,Mega Houndoom,Mega Houndoom,Mega Blaziken,Mega Blaziken,Mega Camerupt,Mega Camerupt,Mega Aerodactyl,Mega Aerodactyl,Mega Steelix,Mega Steelix,Aerodactyl,Aerodactyl,Arcanine,Arcanine,Blaziken,Blaziken,Boldore,Boldore,Camerupt,Camerupt,Claydol,Claydol,Combusken,Combusken,Donphan,Donphan,Excadrill,Excadrill,Flareon,Flareon,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Lampent,Lampent,Magcargo,Magcargo,Magmar,Magmar,Marowak,Marowak,Marowak (Alola),Marowak (Alola),Monferno,Monferno,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Ninetales,Ninetales,Nosepass,Nosepass,Onix,Onix,Piloswine,Piloswine,Rhydon,Rhydon,Shuckle,Shuckle,Stunfisk,Stunfisk,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Feraligatr,Waterfall or Water Gun,Hydro Cannon,30,1.3581634415756827,1.3613584089622235,1.350818994302712,1.3541634234731144,1.3584974618045325,1.3597840408348882,1.407050734540485,1.4191909606440813,1.3760111986997283,1.4018491288715915,1.3939214880633741,1.2980425529788049,1.3477267482665392,1.354009165018395,1.3823890445070992,1.4074979299429815,1.4271692743359867,1.414667668098837,1.389867380292798,1.4348001104702706,1.517992323299873,1.466831561317665,1.431202533998728,1.326214569699365,1.4185224083204904,1.4239893672974269,1.3226598866433614,1.381951341546383,1.388573724739394,1.4268534517203701,1.4371199685664788,1.4757155591058981,1.4207465839144975,1.4237073469149988,1.4320200031411312,1.4596952916088288,1.4608959306122842,1.4282550363767879,1.3220307576650963,1.396838822106594,1.3636022332009536,1.448188850791295,1.3830435945753772,1.4287846049688946,1.4126879021712542,1.433607305151558,1.377167251334993,1.4274321327784114,1.4085997550005644,1.4082944444662542,1.378129218431617,1.410141199370183,1.3626688407609262,1.3968890574076307,1.3848638005411527,1.4458433785630043,1.3805111243023656,1.4340888167782901,1.3676361244335964,1.4353353868640044,1.3386705124349796,1.4253228566768898,1.3579964331407517,1.4412271632848783,1.373701771055395,1.4490143126201933,1.3826265034225638,1.4642983167775308,1.369418527966704,1.4090425018915236,1.366886057664653,1.4080240383713287,1.3624881145236785,1.4312697540353134,1.3794427227828792,1.4770947541776138,1.4049596616723974,1.4855564974711153,1.357067520063411,1.4288912092360209,1.3654996314384182,1.3885790880150977,1.3474332648285967,1.3983360972744008,1.3731144475388053,1.4265206350130268,1.336201369893703,1.394777076944276,1.3810517204688317,1.442196811866219,1.3900870599062876,1.4730740445049328,1.4140606920358385,1.3765965946560956
Slowbro,Confusion,Water Pulse,30,2.5393326210302165,2.569228292082666,2.5311698894285617,2.560347537188755,2.536576311042856,2.567060584468893,2.8364853152766405,2.92169381716787,2.5224076329859257,2.5668594112908805,2.629759078670841,2.414536550282598,2.4520700062707874,2.481897704374682,2.156735906580161,2.1754132580601206,3.504904805085021,2.7399262511785545,3.4176377121577484,3.551234095437896,2.194184260592031,2.21922651365629,3.2360803804294282,2.835329525228881,2.649370686934699,2.6462040851083724,2.8518288543577985,2.9633316245150203,2.559927393701141,2.615662062403005,2.6259698361592654,2.686979605554771,2.1010939730231266,2.132422470661227,2.5746041978733314,2.6465459976816885,3.0395041434247534,2.9379669412378604,2.8253671339670245,2.939358987047691,2.0716237943027123,2.184876923807789,2.5733360163893266,2.6237627044265732,2.9408185511980824,2.9628198703302835,2.5656384398164653,2.637222893753589,2.9138203731180625,2.9430698050399156,2.5816013953960386,2.61227336906957,2.8350359576021247,2.9297406780055706,2.558146134097838,2.6306431182679235,2.5600625277115467,2.6337981760898974,2.8435111501148387,2.9486007574152975,2.4939884351695807,2.602446567882306,2.509445370696071,2.6123078060471143,2.539825268017169,2.6114916885100015,2.079019362563908,2.183700499867131,2.1334770483808967,2.1616559967073226,2.1076691288043654,2.142294036024336,2.5187909811798446,2.582142294589651,2.4271502327752805,2.5493532346689802,2.858214064598474,2.9979902273614827,2.445934831772614,2.553385110361608,2.877151179269649,2.899565567424539,2.410121612220575,2.505100127938308,2.4784856464854137,2.592514726701115,2.806337331183879,2.8956078270345786,2.476206792207767,2.554544050227516,2.5720936805115677,2.6738744484003223,2.5462290774385394,2.5120198288752484
Shadow Wailord,Water Gun,Surf,45,1.449301452437239,1.4180349799833583,1.4436433236597406,1.41135079286422,1.4520360060988973,1.4168070313037968,1.3792195096517232,1.3906264835461795,1.3528760741485688,1.3905259869995918,1.451693367338673,1.2328593801758152,1.4641606659458026,1.4020438943865634,1.3737109637032534,1.3381795704588015,1.4031500277153985,1.3795206670980578,1.433529074689644,1.4644063829072365,1.5465464080891678,1.3919184008129397,1.4398222091268527,1.2649297480065946,1.4212583088860207,1.3901111524827727,1.35307864595427,1.4159160944071276,1.3576258774436294,1.3984529190592876,1.4037564356725003,1.4559472839067191,1.452333516063688,1.409652088119491,1.4300025453993355,1.4556022035725604,1.4733454840892817,1.415680804576231,1.2814351989606778,1.3511325899491866,1.3544617751097205,1.470194305234,1.349758348958419,1.3847945232803998,1.4171613245941241,1.4025039738283214,1.3619881556082263,1.399667482334054,1.3744798626473835,1.362884889693075,1.3592419244238612,1.37512407600131,1.3465238622200668,1.4120409875153264,1.42511686906172,1.4886372326876385,1.3921766033753018,1.4401030611379255,1.356726548811343,1.4445065731152376,1.3150436554112683,1.4197572046223537,1.3190079449017353,1.3985244972937576,1.3351542848576636,1.4168659205027532,1.340823729670045,1.4565376699091366,1.3655373727041928,1.3941977766276952,1.3510158663463108,1.4063823739937231,1.4505680596579054,1.4935828488121423,1.3327421742250036,1.450286352264974,1.41581243392039,1.5181104898701743,1.3814375948141222,1.4752971275510476,1.384780014494919,1.3742730789287254,1.4468767015108082,1.5255589390708846,1.3469915907147003,1.4436436371234902,1.349975341422329,1.4248590072551768,1.3585368404181293,1.4115759354745392,1.3566637869029574,1.4674955632965654,1.3993423690777282,1.3682495525005616
