Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Victini,Victini,Entei,Entei,Groudon,Groudon,Regirock,Regirock,Terrakion,Terrakion,Blacephalon,Blacephalon,Mega Houndoom,Mega Houndoom,Mega Blaziken,Mega Blaziken,Mega Camerupt,Mega Camerupt,Mega Aerodactyl,Mega Aerodactyl,Mega Steelix,Mega Steelix,Aerodactyl,Aerodactyl,Arcanine,Arcanine,Blaziken,Blaziken,Boldore,Boldore,Camerupt,Camerupt,Claydol,Claydol,Combusken,Combusken,Donphan,Donphan,Excadrill,Excadrill,Flareon,Flareon,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Lampent,Lampent,Magcargo,Magcargo,Magmar,Magmar,Marowak,Marowak,Marowak (Alola),Marowak (Alola),Monferno,Monferno,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Ninetales,Ninetales,Nosepass,Nosepass,Onix,Onix,Piloswine,Piloswine,Rhydon,Rhydon,Shuckle,Shuckle,Stunfisk,Stunfisk,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Feraligatr,Waterfall or Water Gun,Hydro Cannon,30,1.3175933741213022,1.3875493863796162,1.3123653563957662,1.3821552343188983,1.3168819296496257,1.3863040459839926,1.3727661383828476,1.4395564345397927,1.3599940628280023,1.4368337909903415,1.37981713468843,1.3670336412715178,1.3239056362983062,1.392823600837577,1.3572878217833535,1.4479093725150434,1.3938881965549683,1.4664732510085363,1.3570322605934695,1.4570283407157696,1.4656062035617408,1.5004754393206747,1.3933307322412125,1.3846508540533966,1.379162634400622,1.4520521513005171,1.3109241843515027,1.4129898052712544,1.3366974040482458,1.4322515289796074,1.4171763859289808,1.4837397248899837,1.377726919604426,1.4357717261217375,1.3922435056415638,1.4602361584885857,1.4132095975712833,1.4466562020250808,1.3081413007593266,1.3968438428524266,1.3611100570460037,1.4481842674458316,1.3385749263805713,1.43433808688747,1.3718253558013715,1.467234110984757,1.3723014706507055,1.4274402521600977,1.3558732612055642,1.417093315301391,1.348178335006971,1.443234442483743,1.3445153735201292,1.4025820087685474,1.3571376182676087,1.4493720916966155,1.3574964014242785,1.4388368393141242,1.3676999617298125,1.435501977293022,1.3386780326094312,1.4253336812703568,1.3566825441300085,1.4412259159758047,1.3611833576907515,1.449018685029683,1.3826314563319675,1.4643077386907126,1.3497791010372648,1.4186707645024972,1.3510335705084424,1.4088374385088227,1.3455017343003373,1.4332597569553933,1.3794408873529265,1.4770955969341297,1.4049637192576896,1.485562619062908,1.3527384877166861,1.428905668403701,1.347612201172756,1.4302407532701849,1.3474367844131538,1.39833717912316,1.340343820166275,1.4295238012674358,1.336201099981035,1.3947776762469613,1.3635380919698008,1.4422614962251201,1.3900779155845058,1.4730628741267482,1.3934337721102428,1.3896373234608528
Slowbro,Confusion,Water Pulse,30,2.483735184086115,2.59281977240376,2.4757220019357455,2.5830825189671858,2.4823482266828,2.5938252839952978,2.842022235442717,3.009972540675353,2.4930121606005025,2.617936620688924,2.612706324381936,2.5372973126832368,2.4507328798523087,2.5468349254729956,2.162997337511028,2.247656970142936,3.2403099247846243,2.794061581049863,3.2542759332575493,3.517812577580913,2.1963085269489326,2.2664745252977947,3.1716315434779303,2.9564435301211534,2.5838523329751295,2.685518871005088,2.822802657889934,2.989311880880321,2.487162251718327,2.6255562077518793,2.580821639773786,2.6901552683291357,2.124603691183572,2.160213744304701,2.548171083705064,2.6476410390973495,2.985182757490556,2.975833577699964,2.8163684384285244,2.939372730274018,2.0716173996635425,2.1848745873335105,2.523376236640969,2.633755748932932,2.8590004250089023,3.029566835521555,2.5656525322209287,2.6372394926212586,2.8197449768160743,2.964729037867079,2.5340983318871806,2.6715348392820584,2.827613784042386,2.9423046713222796,2.5314606100612016,2.6370763350691475,2.515631707871411,2.642516225157201,2.843857634902411,2.9489603265722666,2.49400291880503,2.602462620932278,2.5094440690257613,2.612306956966031,2.4972546299736607,2.6115033068291593,2.0790313960340407,2.1837168190102916,2.1212543219362274,2.176431041106416,2.0900429681758843,2.1435413730796165,2.492137029939926,2.5857488215651556,2.4271497300514087,2.5493543460647734,2.8582268456088533,2.9979986729168004,2.445953419121557,2.5534084866531956,2.8925208615245825,2.9896397158322054,2.4101264911600158,2.50510483609737,2.4230045686643376,2.597983545873031,2.806348166410924,2.8956224892674265,2.4741678105696634,2.5546671242278656,2.504423549672921,2.6735739781391925,2.516711229946524,2.5377845194021664
Shadow Wailord,Water Gun,Surf,45,1.3917821690701502,1.4294935537366091,1.3887414530581659,1.4241437447313372,1.3930491788908177,1.4300354866936638,1.3320184300841287,1.412238247605572,1.335236055597375,1.4316387654923082,1.4151472695128546,1.2954894066523504,1.4269090188207014,1.4337335365324808,1.3347595254202422,1.375699744037093,1.3647280769590726,1.4318554603801654,1.3777324814132466,1.4820730926528425,1.4688531961316194,1.4199492864724614,1.388628498173324,1.316615404883635,1.3648424002422328,1.422155990809402,1.3335018080952123,1.4337041783746598,1.298174691837237,1.4037452899854204,1.3654664046571274,1.467493288311976,1.3831440149495033,1.4258298864089696,1.357218577801102,1.4562057202833902,1.422852017318407,1.4339261380297725,1.2521030042918455,1.3511389897655992,1.3478161879102948,1.4701931468902971,1.2940806670416571,1.3901747013863615,1.355422309521348,1.4317975579218214,1.3417160140353261,1.39967545432147,1.2962471020092736,1.3707496136012365,1.313499917130573,1.408682766083981,1.312768661725433,1.4180911986061722,1.3872413596394721,1.492270330619596,1.3614358948458296,1.444872345261244,1.356423013139431,1.444674065569588,1.3134042738264375,1.4197666888959766,1.3065696438283916,1.3985215829116742,1.3177610991388207,1.4168668929016701,1.3408340299571062,1.4565375286072548,1.3308874375720323,1.4037264694583174,1.3240077117933378,1.4071947919458445,1.4294354023657636,1.4956622278280416,1.3327430075069369,1.4502799865204954,1.4158158350992103,1.5181082643036026,1.3639583111772837,1.4753057534829308,1.358437640956247,1.412212449255751,1.4468781117905118,1.5255601722807202,1.3143102357153382,1.4466888020043172,1.3434164928190895,1.4248633644247515,1.3201183939601921,1.4116420727522305,1.355439507784614,1.4674935070346244,1.3705522418757712,1.382224393253805
