Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Genesect (Chill), Tier 5","Genesect (Chill), Tier 5","Genesect, Tier 5","Genesect, Tier 5","Genesect (Burn), Tier 5","Genesect (Burn), Tier 5","Genesect (Douse), Tier 5","Genesect (Douse), Tier 5","Genesect (Shock), Tier 5","Genesect (Shock), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Jirachi, Tier 5","Jirachi, Tier 5","Magearna, Tier 5","Magearna, Tier 5","Magearna (Original Color), Tier 5","Magearna (Original Color), Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meltan, Tier 5","Meltan, Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Dusk Mane), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Solgaleo, Tier 5","Solgaleo, Tier 5","Zacian (Crowned Sword), Tier 5","Zacian (Crowned Sword), Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Regice, Tier 5","Regice, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Celesteela, Ultra Beast Tier","Celesteela, Ultra Beast Tier","Kartana, Ultra Beast Tier","Kartana, Ultra Beast Tier","Mega Abomasnow, Mega Tier","Mega Abomasnow, Mega Tier","Mega Aggron, Mega Tier","Mega Aggron, Mega Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Mega Lucario, Mega Tier","Mega Lucario, Mega Tier","Mega Mawile, Mega Tier","Mega Mawile, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Scizor, Mega Tier","Mega Scizor, Mega Tier","Mega Steelix, Mega Tier","Mega Steelix, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Metagross, Tier 3","Metagross, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Durant, Tier 3","Durant, Tier 3","Excadrill, Tier 3","Excadrill, Tier 3","Forretress, Tier 3","Forretress, Tier 3","Galvantula, Tier 3","Galvantula, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Mawile, Tier 3","Mawile, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Metang, Tier 3","Metang, Tier 3","Parasect, Tier 3","Parasect, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Pinsir, Tier 3","Pinsir, Tier 3","Skarmory, Tier 3","Skarmory, Tier 3","Stunfisk (Galarian), Tier 3","Stunfisk (Galarian), Tier 3","Tangela, Tier 3","Tangela, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,2.7777777777777777,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Chandelure,Fire Spin,Overheat,40,1.101158553806393,1.0883168319296275,1.1005507306391575,1.0887471698808935,1.1024589010162367,1.0966094174240095,1.1134057159758448,1.0891723886105864,1.170132553071451,1.100791399495533,1.1138554078070013,1.0772781429250937,1.0667792167281305,1.042901303444142,1.1207998827526613,1.104974732654952,1.1123939234960605,1.0640157188771204,1.1294111337293702,1.0867218070981928,1.0501855505299362,1.062813196910079,1.1148305616870198,1.0964191737463336,0.9849619557436625,1.0191729873568274,1.0212860175258696,1.069888431078611,1.0592095896869662,1.0443102723074071,1.068731528200827,1.075499303608388,0.9846681877979934,1.0436507105833337,1.1617819236721987,1.1116055154316467,1.0137193364588566,1.026978730123181,1.171337437004247,1.1210965268066124,1.141185978356518,1.0930217926015742,1.0517417190789635,1.0773775518666098,1.2133036891072375,1.0409666876777868,1.0453732235626605,1.0649748954402165,1.2976697766266585,1.1742746450224542,1.1592705788274729,1.1124276318119044,1.0963541026693473,1.0799888454033912,1.1158674399214308,1.0268786756200827,1.0714810857324688,1.081526631695464,1.2684807891227503,1.0914343927932186,1.2660073765435926,1.1047897242423248,1.0694169240210345,1.0954840435556135,1.2033221156583176,1.1100938860325837,1.160736467168645,1.10960232431603,1.2510444596534658,1.135083090269244,1.1126061785006203,1.0729252122019868,1.1110600445753809,1.107599764982619,1.086660585866935,1.0894672555349885,1.1012525523508123,1.1258093195327807,1.0890186256938659,1.1340351771007031,1.0365505340042291,1.0663637169960607,1.073531343698746,1.0738415770676784,1.0465093591005095,1.0430751807228138,1.2985608980979955,1.1920227571374362,1.1183873754999745,1.106410134573334,1.0506468981542072,1.088847089556212,1.0541891023083605,1.0598808079307298,1.0899547903819498,1.1179126386126652,1.0281166316112291,1.0567286810749594,1.056511242986814,1.0750619177896863,1.1164436011226846,1.0921743745131989,1.0605445684727635,1.085258598661599,1.1074757190052753,1.0642385769910345,1.0841229631123313,1.0973105772131988,1.106283062784179,1.1207583081217414,1.0807667931408673,1.076626684643933,1.0232559695333945,1.0603491159010698,1.116477795631534,1.0934689458128704,1.141772100969566,1.0807465575678374,1.0613879149538146,1.0768236374336357,1.083256341599598,1.084346320900518
Ho-Oh,Steel Wing or Incinerate or Hidden Power Fire,Sacred Fire++,30,1.405955897125168,1.43077744206479,1.407378315624557,1.4267508363086765,1.4145521892736987,1.434117647732244,1.4078312499766332,1.4402651590838187,1.3958204234637344,1.4550423245287327,1.3837151635892402,1.463243173776159,1.4228812517103429,1.440820915701273,1.415973507286458,1.4910656399022297,1.3735725470116271,1.450508692484469,1.4457954838774607,1.4876894457871332,1.4071727157740603,1.4501304351587352,1.4000722884840093,1.4461683606802052,1.4093470122244847,1.444512217477919,1.3560432883537945,1.558113606003905,1.4105197497662443,1.44020717376189,1.3998172613657114,1.5001594996557706,1.3993609224137913,1.5146437260923864,1.3614054162468923,1.4600860666900703,1.4121652953276036,1.4431126671562067,1.399657864288479,1.466613729230315,1.3763711576172089,1.420027454700278,1.3972630505163293,1.4370461402943853,1.3334128554688152,1.4036533434484812,1.4014300899810466,1.4603717120290522,1.364484026318129,1.4351541613611023,1.3891904353009217,1.4554877365060253,1.4123706219297627,1.4531406028188014,1.312959604940638,1.3291859745026744,1.393531383813402,1.4828176541126168,1.4032835628890254,1.4666178166232828,1.393041914012478,1.4469306136988083,1.3908324439127147,1.471905285609308,1.3751467627758527,1.4194896394784065,1.404217255804193,1.4567698748134823,1.3991860076227067,1.4345678949320977,1.369758850770431,1.4162052544072787,1.3815819703125323,1.426376700579995,1.3806960183592643,1.459456263453466,1.4039478088672226,1.5020744929277217,1.423456339247304,1.528769555288977,1.372766857808175,1.4498931076427506,1.3947312164802084,1.4960363717141623,1.3943542747287863,1.4619548307352903,1.4078431747090936,1.4897207727752944,1.418899140982751,1.4922107682962809,1.3804148133085323,1.490583360284168,1.4157280917926898,1.4513791251238526,1.3676323556318157,1.4754383937433235,1.3862964646198725,1.436379923349138,1.4080947068398764,1.508227845828261,1.3969171262357123,1.4829708519536828,1.4038011137226374,1.5061972978759162,1.3863114473737237,1.4349549139317628,1.4225654358127628,1.5209149424654456,1.480223188422759,1.5650204155377532,1.3947926957469614,1.4500158557346692,1.373722866004671,1.4611616564090304,1.4075348097220008,1.480412857271748,1.4208693980614644,1.4697354313648208,1.4020999455293424,1.4733760295527,1.386600045038236,1.4719079207141954
Cinderace,Ember,Blast Burn,40,1.3926391974363332,1.3599529554676277,1.3874554889680382,1.3539191407562114,1.4043702058600889,1.369939066188044,1.397545978756699,1.3649668314880075,1.4295983683757831,1.403514205451686,1.3986645797204742,1.4142916901550513,1.4020871476693728,1.4207324298922321,1.426373877259515,1.4430978260528688,1.4131706875381884,1.4078982489081107,1.4267350448478295,1.4205860230443617,1.4399752971130564,1.4168492083511286,1.3906760407787384,1.409517728699897,1.4077261410688702,1.4650801446944095,1.3595192560001037,1.488812453529493,1.4152653146091456,1.3700072391912073,1.4049064421123887,1.4429106027295064,1.4006872349876462,1.4867153086708857,1.4329996494439623,1.4319517279215574,1.4023600971548225,1.4587797245958736,1.4458679027435706,1.414650517078033,1.3822069476903271,1.382291638340177,1.4126690901546977,1.4030096404234917,1.4066600254250645,1.393698679534517,1.4207471812162131,1.4192500982159666,1.4905610431462568,1.4215205738098762,1.4617980802143453,1.477866399915017,1.4231787288814293,1.4179545432759133,1.2541137992087745,1.2499626180327417,1.4456764059815987,1.446000338707151,1.4084157056058433,1.3963345258833126,1.5136917052529801,1.4749411543992916,1.411155480940182,1.403209403729102,1.5043513640679012,1.3779467647473331,1.4415446498020927,1.4695845252983268,,,1.4213749892996907,1.4172013950619602,1.4834057761539454,1.3914978392385104,1.443799634614506,1.4400128933067595,1.4172015033889434,1.4471255844152593,1.4072738851681978,1.4841761792308763,1.3826227238298507,1.429476297842865,1.3773319302843607,1.4308663005772488,1.365987361836454,1.4155907746535406,,,1.4397865421900173,1.4763072144917742,1.3763539564606708,1.4088228320021363,1.32722194249322,1.3707084908910758,1.3743327433438863,1.4374340077740642,1.3789775451217516,1.4118183703424532,1.418743371065366,1.4620747088519404,1.4200706785461978,1.4144676844173718,1.4277763070356977,1.4745112212505096,1.411769859792102,1.4372969154497515,1.389411588313839,1.4453707276003278,1.475798261424216,1.5390322991216419,,,1.3936008249363576,1.4158919747368903,1.415321936028502,1.429852367280938,,,1.372146495902371,1.4110845835384427,1.411579106885606,1.417918778476659
Mega Mewtwo Y,Psycho Cut,Flamethrower,40,1.0591055149803925,1.0711593410280533,1.057480147605879,1.0682308455353386,1.0641404904314031,1.0749524862803044,1.1781345791240057,1.2025823625518384,1.1818031340467359,1.2189709460646732,1.3081254195268734,1.3708551512907987,1.293106951810683,1.3497825217620767,1.3322328154142618,1.4025171381195811,1.2842328541744978,1.3467658958529523,1.3035422516298232,1.3620225379053152,1.1001324612917531,1.1371718233649106,1.2641917553949928,1.3240414080199572,1.2375474820357448,1.2934149149317193,1.2714907592663374,1.380655446830967,1.1637375972815993,1.2132825964692966,1.2469641401095746,1.3263982663162048,1.3021274828895728,1.391678223906268,1.1851905622371846,1.1865262219537998,1.3095682569443137,1.36721946346834,1.1796573422552084,1.2270791198519058,1.1379396071242522,1.1555417544454594,1.0851048121131133,1.1165332195087179,1.1117889829745564,1.148538499172555,1.2291674734922862,1.296297580794795,1.1898231794768757,1.2262505176927534,1.2909355340344415,1.3674714215738346,1.2085754447241808,1.2540735453926724,1.0521093498846592,1.0740915440307088,1.0292292672527141,1.0492483373075847,1.1020388073842347,1.1242563510521841,1.1043729121008432,1.1240109054835303,1.2206490434698598,1.2866093290167555,1.259826168300269,1.28090293509837,1.3212552356519853,1.3854824911867076,1.2208871376347847,1.262160464549699,0.9887296679054626,0.9921045066688116,1.2494307368365396,1.3245490543124614,1.0169018316696963,1.0668410800242434,1.0268335349828288,1.0882902374127492,1.0369597398563335,1.0803197209330133,1.135053759429194,1.2269196980405297,1.1144353751191554,1.1910487059069228,1.285817785551885,1.384302693098034,1.198845068986128,1.2848270786694382,1.3353030428652837,1.439904912289181,1.1245700635775302,1.1664938087592795,1.087683730747231,1.163548070435457,1.1367273683807813,1.21011341950787,1.0097374213792905,1.0411026159023287,1.17533877887722,1.2586506588327402,1.1997103136784917,1.292125803781569,1.27785271144731,1.3690814205373403,1.160045206569452,1.2200561829565044,1.3357088884366501,1.4290555359406338,1.2990466653402541,1.369655605751169,1.1188276256405294,1.1600750370970672,1.1378644835954363,1.1988560988226014,1.2641342104092503,1.3163788962650698,1.2091959748075287,1.2949280145915465,1.1184370627785434,1.193604321886428,1.001267085995268,1.0456699283398474
Shadow Houndoom,Snarl or Fire Fang,Fire Blast or Flamethrower,30,1.528989307994822,1.4052597919639707,1.524336667934107,1.4027189444565917,1.538509360500692,1.4098096375823155,1.5309083631840943,1.4064367143794194,1.396407658043416,1.382470624018974,1.481192344655375,1.4714743230353087,1.57217524661515,1.4677870158915285,1.511883523717393,1.5067564615137912,1.6591719379951606,1.4777147906905543,1.6180202090757692,1.4728769704345401,1.6192194880303348,1.46737959989109,1.4459621466320556,1.4245224007929618,1.4918117064556464,1.48479393721661,1.5535923548447332,1.5447034745195942,1.5333826543637508,1.4096544168445202,1.4607445743829301,1.4636141371385942,1.4625851380761377,1.5353699838723889,1.5617521257845517,1.480570990470046,1.4629353295458412,1.4601494450726102,1.8439442203371927,1.5466097201779319,1.6501495016581773,1.4771312139875896,1.6304355483370483,1.4956842886807464,1.6410375038755396,1.4714684909840614,1.6028196411894737,1.4977579399829637,1.5607324575948773,1.510763232335251,1.5890620020537514,1.5572952445026733,1.4760273601339946,1.4366891240068707,1.365005515302075,1.2988681578948118,1.6167775059237506,1.5558418388111586,1.4575310587175874,1.4089496544705822,1.846922873067435,1.6225336731949467,1.4813392162794572,1.4809782385321064,1.4904919293241474,1.4017340311706743,1.5043861565863974,1.502701616669643,1.4939211195427962,1.449530047732429,1.556424689544631,1.465072382316837,1.4621383033456585,1.3779873871222583,1.5015920962434375,1.4464637774111728,1.4732404216952806,1.4758664280782074,1.4968915587175293,1.485527065156787,1.4681066924400317,1.4328920489262191,1.4516002631015599,1.4303960282002086,1.5318287808369702,1.471019265863017,1.7352555244154015,1.550291972287982,1.5376234438897107,1.4830848739771572,1.4857875899247504,1.4453048280632883,1.4629316883433714,1.4052006054375037,1.4328261432788283,1.4443082405119172,1.4384693936933466,1.421462818604969,1.4474913367828153,1.4486081322750648,1.4907006622888452,1.4275473516526143,1.4747516914173375,1.4648058582086978,1.4785757004631102,1.411009706127908,1.375199461430884,1.4389148554074371,1.5494085638462844,1.523405269271507,1.4736636470152193,1.4432340168173372,1.5983024234399215,1.5456397253919334,1.465204368539791,1.4508137213538752,1.5442046214013816,1.4359244926226413,1.4941204448524088,1.4603730680739535,1.5130414228380875,1.4400235679537527
