Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
(Boss weights),,,,6.25,0.0,6.25,0.0,12.5,0.0,12.5,0.0,12.5,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shaymin (Sky),Hidden Power Grass,Grass Knot,35,1.2536466311861425,1.258432746947311,1.2565138090195138,1.2617395692566333,1.2078646834461415,1.1136602390873367,1.189092252267712,1.2001470770626363,1.2105619242646721,1.240384137263499,1.212222230807269,1.2521255717641242,1.214285859606985,1.2671014094143378,1.1882534485366574,1.240582605435956,1.2309272788991847,1.2516488582948857,1.1770842269041046,1.2460184296189094,1.2216340509813417,1.2511983914543165,1.2028969728217611,1.2496770794422902,1.184804347453364,1.229005925408128,1.1768960655568048,1.2497861627456408,1.1318202981850167,1.184786174667597,1.2341916988421875,1.2751605463643076,1.1730207133052983,1.2236024457858274,1.1726594338953849,1.2503623884382358,1.2177305183132046,1.2364079776438426
Shadow Tangela,Vine Whip,Power Whip,40,,1.3327651276549308,,1.3332659066441521,,1.2184385955791277,,1.2916554815549621,,1.3540814697773225,1.3156942105019163,1.3172903209605635,1.3205080640006939,1.3343993334012778,1.329582296948482,1.2974264313964081,1.341389062512529,1.316816957011149,1.3629523223574067,1.34156345041997,1.2880599396172363,1.3137072015628224,1.3593782247899868,1.3450421003026651,1.2271478116054413,1.2756535199265537,1.2591145377807085,1.3407737515252474,1.2111914172837666,1.270015457943363,1.3372704860864986,1.3322331276646593,1.328978886733514,1.3114014418678033,1.2738792273186177,1.3551775765606278,1.2917002899518133,1.2918319952205208
Shadow Gyarados,Waterfall,Aqua Tail or Hydro Pump,30,1.3098667665186838,1.2895616100965122,1.306265977571658,1.2964157343584108,1.2392157657597065,1.1394823676634032,1.3216500228062997,1.2174903160015444,1.265812648620347,1.307120391875228,1.25581016658425,1.2839963221659043,1.2039328377731768,1.2347031837267304,1.1998556823102087,1.2418185435995883,1.290451986392618,1.2636924268879117,1.1932427734873108,1.2514316134860397,1.2348465862827218,1.2590476902482324,1.2453479221924173,1.2772577193909416,1.1604116360832881,1.2118994929601348,1.1911163261095612,1.2348505174434559,1.1256950940967083,1.1932867541613958,1.2115330130270126,1.2383303158492693,1.1877877487821646,1.2236237564591546,1.2250958911933176,1.2676389905554044,1.2362765561547422,1.2491459613314024
Shadow Tangela,Vine Whip,Power Whip,30,1.6507600568208873,,1.657302461500967,,1.4774859909479694,,1.3656448036315845,,1.5305622353272141,,1.4652498763753243,1.4413413663617258,1.5034316795489402,1.4852953473402748,1.479689151075202,1.433992734867634,1.4782127361423079,1.446855604523538,1.5255609018384955,1.4792657738451374,1.4198880107221932,1.4169609689846259,1.4725718576218345,1.443888785754066,1.3450906069157282,1.400858231444146,1.3393638662594995,1.4157658401254756,1.3325866530663506,1.384941432206866,1.4951196844224584,1.4789747500729202,1.4625499661937569,1.4436828137913003,1.33472405932163,1.4244317794114887,1.456843152094597,1.4178376451148405
Palkia,Dragon Breath or Dragon Tail,Aqua Tail or Hydro Pump,40,1.4002424013860222,,1.4025888875349202,,1.2583733466446445,,1.293408690716685,,1.379000531076851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celebi,Confusion or Magical Leaf,Psychic or Leaf Storm,30,1.5022918694730927,,1.51541483934824,,1.3728197941279234,,1.3722800080072368,,1.4172892647775712,,1.4024306349672395,1.4700420710223758,1.4663302451832145,1.5233441667141703,1.4140438731282938,1.4822456052770474,1.415077064659165,1.4730708941225599,1.4454562953314107,1.5198472429229013,1.41152186125833,1.485341496328873,1.4402258377032016,1.5099225637028726,1.390263495855278,1.4479658244709646,1.4065113314257294,1.482614807080899,1.3553779364481302,1.422058489954247,1.4445663872358903,1.4930711135398087,1.3934213848488837,1.4487883672549668,1.426562844239962,1.510149781687011,1.3756329329702321,1.433444262256185
Shadow Gallade,Confusion or Charm or Low Kick,Leaf Blade,45,1.3672837065419168,1.3613240929933932,1.240073302306506,1.2161008603520853,1.3280639041091162,1.251915349078346,1.1286418912514071,1.1217728501326099,1.1129441411143168,1.1318529972919396,1.1661778340956854,1.220373018141921,1.4469930474556845,1.5019345962702282,1.3325407790004606,1.3507863524652155,1.3044058227547495,1.3616460599303049,1.3525888016606968,1.3492849877431952,1.292059932032823,1.3796374217112493,1.2947675971598924,1.34685666355759,1.2646132055111021,1.3243397102840775,1.159383345795146,1.2300384974898348,1.2520859627834613,1.335486366495087,1.1727840719062192,1.193148239047363,1.3511472889246012,1.3670651779737206,1.2731126954577383,1.3555729954328515,1.1505246651380931,1.1949264620620954
Tangrowth,Vine Whip,Power Whip,50,1.2360991226293678,,1.2368852571831843,,1.1396392457780158,,1.1889708574152777,,1.2238816450167895,,1.2182327079985165,,1.2294233036878854,,1.1999329188864536,,1.2167332688309616,,1.2278227045555876,,1.2257220225896328,,1.2459577621564013,,1.2524370708793293,,1.2491413188167073,,1.2003204478935507,,1.237683015635401,,1.1952201034803058,,1.2551877040121142,,1.205637912514058,
