Attacker,Fast Move,Charged Move,Level,"Arceus (Fire), Tier 5","Arceus (Fire), Tier 5","Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Entei (Apex), Tier 5","Entei (Apex), Tier 5","Entei, Tier 5","Entei, Tier 5","Victini, Tier 5","Victini, Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Blacephalon, Ultra Beast Tier","Blacephalon, Ultra Beast Tier","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Camerupt, Mega Tier","Mega Camerupt, Mega Tier","Mega Houndoom, Mega Tier","Mega Houndoom, Mega Tier","Mega Steelix, Mega Tier","Mega Steelix, Mega Tier","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Arcanine, Tier 3","Arcanine, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Camerupt, Tier 3","Camerupt, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Excadrill, Tier 3","Excadrill, Tier 3","Flareon, Tier 3","Flareon, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Magcargo, Tier 3","Magcargo, Tier 3","Magmar, Tier 3","Magmar, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Ninetales, Tier 3","Ninetales, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Stunfisk (Galarian), Tier 3","Stunfisk (Galarian), Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Torracat, Tier 3","Torracat, Tier 3","Typhlosion, Tier 3","Typhlosion, Tier 3"
(Boss weights),,,,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Politoed,Bubble,Weather Ball Water,30,1.6229952769954965,1.5843715711843729,1.6202687765520658,1.5802273247928718,1.6204422183726028,1.5824428670307806,1.4854061763531214,1.5071270480263332,1.5232616977979974,1.563337220532925,1.53985014910046,1.5232267841038503,1.6273857107487506,1.4249584536580597,1.53869009618989,1.4924534206635673,1.5994163263332153,1.5524798836762326,1.542678186894582,1.513050010542212,1.6127262493326635,1.5325636099298652,1.7388587794781347,1.5669261247570685,1.6672166208371524,1.473172839282095,1.5937290864528533,1.5514004247796322,1.5095083367106437,1.5152419250456381,1.5396439501059973,1.5232533666385348,1.5553304506806465,1.541276230600614,1.5807543983870713,1.5194912039391062,1.5409372682037334,1.5329752596118185,1.5747394825576135,1.502518851656789,1.526368146981333,1.5493271346408244,1.4505482867616177,1.5193632238812265,1.5550888732988262,1.5333217707884537,1.5620169804594828,1.5127343071430561,1.4811951632014542,1.4837221337600597,1.6001588458107456,1.5399257130925632,1.587965296552567,1.5580610344941663,1.533998675978159,1.5303572908692873,1.5397152827518406,1.541049354647418,1.4709328456826247,1.4861530407834183,1.448728165244375,1.4926022039073625,1.4827345115074553,1.5468950952839369,1.4963650525018026,1.5390444632639648,1.4899924343545545,1.527618532472591,1.4305059855830207,1.5215670072553988,1.4985461613980928,1.4736168264964151,1.5244796466958068,1.5409770409949866,1.5040560614388212,1.521660006833138,1.4821887421213567,1.5571405254818904,1.420281757668921,1.4847103891992097,1.4851665288834546,1.5181095443536607,1.5551906546005703,1.5245843582231533,1.4309890429296972,1.4902832925986367,1.5174675294812603,1.5660242597289529,1.4780884668433145,1.5174722807281282,1.4957345166102116,1.5001917483038847,1.4449204467321721,1.5054623019485467,1.5596544044849676,1.50573063192257
Blastoise,Water Gun,Hydro Cannon,40,1.4680394058646213,1.4783619531225098,1.4639957019384675,1.472064254542844,1.462895778719993,1.4756576464047548,1.4751807524054745,1.5153191533596648,1.5091596357138668,1.5485984284088379,1.469510858331523,1.516853473415355,1.4506753757349005,1.3879275383078906,1.3926782532852071,1.4183322159793486,1.5277974115509558,1.5827580757625743,1.481471678599461,1.516904333952695,1.4637095751087459,1.5179449467364843,1.4993903551721683,1.5540024445588385,1.5276460872485051,1.4657662604023924,1.5450258682839697,1.6030011426100832,1.3924034330918882,1.430641009953694,1.521679702805168,1.6056469167839216,1.5114838824562282,1.5938816714632507,1.4961529974473606,1.5505129481314266,1.489150717795772,1.5767871492149832,1.524480973261179,1.5867327117968348,1.473782904882814,1.5664780789580912,1.500053414610447,1.5976009513024243,1.4518376416813223,1.5323378838676958,1.475290605387949,1.5302218813791366,1.4377239513302331,1.5126490491697708,1.4843523308175233,1.5736725764846677,1.4801285424402952,1.5459477438727016,1.4637449881926936,1.569065291504211,1.5667651499835025,1.650906680355622,1.4856762504259537,1.5679278442997049,1.4923904633544116,1.5754908588113063,1.465999527564709,1.561586964434686,1.44782193218681,1.5387507402839289,1.433695007108952,1.537633014968911,1.458871925685122,1.5877035489219804,1.4978083250418803,1.5767001508554361,1.4970156177261813,1.5688315172388225,1.522877345177439,1.612765192590502,1.4788033680282078,1.593708551614584,1.445003197124832,1.5579804867938927,1.4761141944070932,1.582320615115897,1.5162327877063155,1.5646370995658851,1.4265713883467817,1.4985333237277185,1.5035370539376445,1.6239235639730356,1.4899269606253354,1.575032411863123,1.4414813736919434,1.5286410322766983,1.4724099285568493,1.5906022246611367,1.520656873370845,1.52756907471836
Floatzel,Water Gun or Waterfall,Hydro Pump,50,1.4502457129843453,1.4399124604288036,1.4504023581982344,1.4329389175458827,1.453033642321172,1.4372293251235824,1.348799902857493,1.363597261750394,1.3772417568273807,1.3985781490598324,1.3908787645397633,1.38729524524228,1.5455995870633545,1.303348011647155,1.39660783608523,1.3529961689363217,1.4386885512409695,1.4147077294954726,1.3893653115808502,1.3848751469848068,1.454187870551974,1.3973575455338028,1.6246093420074916,1.4479124990163144,1.5329514207149404,1.354392373242824,1.4504845908865374,1.4315952246778592,1.3365439589055015,1.3757515841530237,1.388108739356055,1.365454706844649,1.399938283175813,1.39748751873109,1.3853690125457148,1.354649878517383,1.3901905751638026,1.3986931519656323,1.4607407702232402,1.3517272900385555,1.4038114076850148,1.4186082205354655,1.304684010628745,1.3686589045137219,1.4084137090793354,1.397406594596529,1.4192499432504564,1.396177695167595,1.329675730887903,1.3403128466081804,1.4412528953695694,1.39675473066092,1.4336865702294326,1.4261568678465022,1.3501009539566529,1.3856045671169097,1.3757994097013706,1.384981882927863,1.3102253643503328,1.3400705062560017,1.2870800754373422,1.3281267960136187,1.3510521865128406,1.3958832416387563,1.3435841689008545,1.369274819127399,1.3213725376010885,1.358281276731061,1.2890949742181803,1.353800412431265,1.3497038128968089,1.336820817806613,1.371043063068259,1.369498296510215,1.350184494719173,1.35201429017068,1.281473437184284,1.3563882408199497,1.2538525521365342,1.3110446694927436,1.318958794072619,1.35177020314648,1.4038899185330023,1.3756644464616947,1.2523539925145095,1.30633530128737,1.3530185533250996,1.406450489297027,1.3109264838759358,1.3617925764283954,1.3445613362424946,1.3593386863101014,1.2703131494622186,1.3237498990691,1.4155548865070835,1.3497144102638647
Golisopod,Waterfall,Aerial Ace or Return or Aqua Jet,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6915833343157536,,1.6773963778661134,,1.6028600920711376,,1.6886788771788848,,1.642178603982206,,1.7186856402139086,,1.6004798624376164,,1.6645199486782067,,1.6458034386696168,,1.6146935660935722,,1.6742227493676043,,1.6926752135285765,,1.6892977429328166,,1.7121641051233623,,1.6168832671778177,,1.6461574534396484,,1.665220852187447,,1.645333353960432,,1.6637388351757325,,1.5912435681437544,,1.5894955833334927,,1.6285401895879081,,1.6097352901855349,,1.700378563305764,,1.5910296365592536,,1.6103364935021698,,1.6388965601021472,,1.5991030866930451,,1.6725227133003155,,1.6492129035615335,,1.6732107557831328,,1.6380300148904996,,1.5932621680630719
Tapu Fini,Water Gun or Hidden Power Water,Surf or Hydro Pump,35,1.7156047427444967,,1.7094718727638738,,1.7165801125699607,,1.6547053929006121,,1.7759545825619913,,1.7497866513945666,,1.7059778741870244,,1.6281182708900186,,1.6743196755685803,,1.7709909239614197,,1.7658613807451145,,1.7888908713868843,,1.8007824292970087,,1.700213248419383,,1.62634777077482,,1.6806439175127617,,1.788358429621913,,1.7249324886131312,,1.725295617505254,,1.7268441436978,,1.708688450763842,,1.669240922682733,,1.7016433649269165,,1.7551378567803362,,1.6970483593994412,,1.6858891027642195,,1.7289681401255064,,1.7235175316419007,,1.7203895038981203,,1.6659484087343717,,1.6651330600902938,,1.7113007703745562,,1.6891979651164297,,1.6710632969782846,,1.6922208355188926,,1.689812969531238,,1.7645379155217378,,1.6638743891026309,,1.71517444387083,,1.6533178228606602,,1.6339259787004425,,1.705775784434818,,1.6207404917786612,,1.765557467227318,,1.7264496243561651,,1.6971855605683823,,1.651042605454652,,1.7833927365374254,
