Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Melmetal,Melmetal,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Regice,Regice,Registeel,Registeel,Mega Lucario,Mega Lucario,Mega Aggron,Mega Aggron,Mega Glalie,Mega Glalie,Mega Steelix,Mega Steelix,Cryogonal,Cryogonal,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Piloswine,Piloswine,Stunfisk (Galarian),Stunfisk (Galarian)
(Boss weights),,,,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Keldeo,Low Kick,Sacred Sword,35,1.2396438455719472,1.26437783404922,1.2384966554950438,1.253762858985601,1.200883458209023,1.243163806018231,1.2163925828002051,1.2418163469583263,1.316037504375279,1.3811432967566275,1.2771595507201072,1.3014675126255402,1.265750506215067,1.3013945061634364,1.2252433501081326,1.2382565265356202,1.2893568082145836,1.3341581339860065,1.2480793726744577,1.2603149737048518,1.2481108662731697,1.2898169827605286,1.207997195284866,1.2530042552112308,1.2436832961829238,1.2883349854137562,1.2574733376851073,1.3400334861122927,1.2345567838109441,1.2687367891315893,1.289244754040473,1.3825177603862613,1.3057070547873602,1.4102082613709221,1.2647306521903388,1.3543833502195355,1.3262118072626996,1.412940153453072
Heatran,Fire Spin,Flamethrower,30,1.4775603677555493,1.4677962094813886,1.4609569293168378,1.4544953858115601,1.4968617953835506,1.5247529946721672,1.509074214968366,1.527281476463585,1.5781742291600689,1.6191693731928263,1.5503333935073687,1.5837292344541851,1.5664510515532508,1.5759297547386029,1.68705650541241,1.5286411752426075,1.527308407809332,1.551731336320497,1.6568534528904997,1.6015821879048873,1.4989862444634836,1.5158727699812526,1.4784024723949012,1.5160200331427907,1.550281452872052,1.5154321431506288,1.5542420932381267,1.6128401077622845,1.6756602390805606,1.625327989160359,1.531163247040199,1.6112344070799816,1.5535187681280682,1.6233911059825954,1.577447575081003,1.5958903564837053,1.62776209672086,1.6166514118052977
Mega Charizard Y,Fire Spin,Blast Burn,35,1.0923392687817237,1.0573229454024005,1.0752196902530846,1.0529841406940437,1.0391072232479615,1.041465002619269,1.0943523599606695,1.072585694389327,1.0932244969379812,1.1104458497616911,1.0768966048635298,1.0744735579145737,1.0828113332266234,1.0809919054060921,1.0746198028445373,1.0497619925788222,1.063773411923355,1.0837304961082157,1.0508453338402275,1.029525365477431,1.2994395353910262,1.1800419210329143,1.0805042123561979,1.073628116470821,1.0578299624044702,1.0648888184115375,1.0961010000984883,1.1138836842590687,1.057279131256197,1.0787439123625921,1.1511279672069763,1.1295089025096394,1.1016581928236202,1.1297655479550883,1.0706829389856527,1.106561802836617,1.1134967354470702,1.1274509655722595
