Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Regice,Regice,Mega Glalie,Mega Glalie,Cryogonal,Cryogonal,Glaceon,Glaceon,Glalie,Glalie,Jynx,Jynx,Piloswine,Piloswine
(Boss weights),,,,12.5,0.0,12.5,0.0,12.5,0.0,12.5,0.0,35.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Aggron,Iron Tail,Heavy Slam,35,1.5076989062213595,1.4961046187227323,1.4487201341988911,1.4685959877524803,1.4927574176465839,1.5045596485665498,1.5049381279719984,1.4874057809935664,1.4814428315036385,1.501229176269912,1.5565438350851433,1.6262543695919756,1.55495572641619,1.6397113784176847,1.548159994848518,1.629796333623634,1.4701053593028934,1.520585914626617,1.5096444220964313,1.5748843777519248
Ho-Oh,Hidden Power Fire or Incinerate or Steel Wing,Sacred Fire++,35,1.3692865748889935,1.4184548119108322,1.3877667982464346,1.4366172400675983,1.3481057268818761,1.4063013177005648,1.3066871462790557,1.3687844335142831,1.3966917793245248,1.4368204101731505,1.3806442999779927,1.492716390628001,1.4235911963149717,1.5041627201335988,1.4002522477115456,1.5067507267126985,1.3164183777265672,1.4123424528923914,1.3525732937019403,1.4230033373262243
Entei,Fire Fang or Fire Spin,Overheat,35,1.444962634913666,1.4105524762552673,1.4491790046084099,1.4498428151834322,1.4658070348988508,1.451966823538644,1.4571461222819337,1.4071916692039272,1.4468388601453595,1.4338947616590934,1.4633567555333513,1.5249409254855777,1.4679196036904,1.513199492210551,1.4990590198431422,1.553998261374897,1.3937917841535183,1.4263240238704877,1.4939785188068697,1.4847032881478306
