Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Swampert, Mega Tier","Mega Swampert, Mega Tier","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Blastoise, Tier 3","Blastoise, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Brionne, Tier 3","Brionne, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Corsola, Tier 3","Corsola, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Feraligatr, Tier 3","Feraligatr, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Kabutops, Tier 3","Kabutops, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Omastar, Tier 3","Omastar, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Politoed, Tier 3","Politoed, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Quagsire, Tier 3","Quagsire, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3","Whiscash, Tier 3","Whiscash, Tier 3"
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Breloom,Bullet Seed or Counter,Grass Knot,35,,1.5578470770648554,1.654513143772695,1.3769205238742512,,,,,,,,,,,1.4733380690838438,1.2794422537061108,,,1.2561016920085808,1.2292489454828532,,,,,1.2391858983410815,1.18168744122324,1.3433008491138378,1.3382222323468969,1.4779456862731475,1.385812477855994,,,1.3420819792656196,1.3326864303864012,,,,,,,,,1.2689185094599318,1.2867738597241856,,,1.4785823173635115,1.4803566165924977,1.3707318172597984,1.3280164818910536,1.400711175036957,1.4983811667354756,1.3158473718691208,1.3164389347548922,1.3876457480569446,1.3119182601872512,1.4891123135338475,1.4897083978788936,,,,,1.4620057850631551,1.4294728681072189,1.4353155437753462,1.3954681835260083,1.4002426130049241,1.4498377853716466,1.4540215811927435,1.443802266289531,1.472939338687473,1.437445386467909,1.3738243980715255,1.320637012474093,,,1.3714120609237628,1.4194030998094098,1.2528617162336142,1.3164837061221328,,,1.448324044061247,1.4560518512226428,1.416818938272324,1.4705240465878011,1.341405567313227,1.3217712797965557,,,,,1.4587677752889519,1.4602440776279237,1.396247411921235,1.3471559603051542,1.3288522829842293,1.3160805704561878,,,,,,,1.385499562091095,1.4579759327290922,1.257053730073365,1.2763578074476567,,,1.3527466126800514,1.2962697881831833,1.4152050600151012,1.4802727944607452
Torterra,Razor Leaf,Frenzy Plant,40,1.4189226938656934,1.4316738946276357,1.4246088234220018,1.4366420198774983,,,,,,,,,,,1.2043559543201194,1.1875685965738922,,,1.2835153050675758,1.3039738664932288,,,,,1.220002339859395,1.2121213087547114,,,1.2923734553780286,1.2992036097335375,,,,,,,,,,,,,1.3924253468139687,1.4449777490994626,,,1.369059642322289,1.414409401104485,,,1.4670701097837617,1.5320340997036028,,,,,1.3482134690027623,1.4077280765132916,,,,,1.3597811384090066,1.422465557186522,1.3008667799095306,1.365949694843872,1.3669955957453392,1.4365038281013378,1.349657492491381,1.41294677360453,1.3685965768168722,1.434570871704926,,,,,1.3775304904718104,1.4443604243199735,1.4308808593737765,1.5142127559760998,,,1.4203061522670983,1.4902850997449468,1.4574533742232598,1.5152721269963314,1.3769156584271014,1.4421061610046044,,,,,1.4135638226512748,1.4641331222611735,1.2660991832986817,1.3190007385244022,,,,,,,,,1.4294399659797936,1.5140039723990826,1.3709598202856281,1.4288327801668481,,,,,1.4342342880333208,1.4855400143439825
Trevenant,Shadow Claw,Seed Bomb,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.591105727893032,1.6209404206676372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceptile,Fury Cutter,Frenzy Plant,30,1.6347080568517531,1.522296124248583,1.6413183811510539,1.522235847429613,,,,,,,,,,,1.4767496678613268,1.2709635296653046,,,1.4143327978996902,1.3642902471296101,,,,,1.4505626474931068,1.3732800713039264,1.4948968042530029,1.4424785923078582,1.6789423030163486,1.463928840452993,1.522901689131385,,1.4354806054505613,1.3859782260248843,1.4479026712243512,1.4032491850056874,1.5323295543085187,,,,,,1.5401969355582712,1.5371131544069239,1.4799263833892002,,1.4133502740547261,1.4150328270876997,,,1.6203913682350695,1.686191573330492,,,,,1.5629340415044464,1.5255447102143511,,,1.5563167347613154,1.5474442669471926,1.645855379124843,1.6161077774417667,1.5307723529209778,1.478230788157911,1.6103967074673287,1.6395105915278343,1.5462831587175108,1.5384059167728583,1.6444651047933998,1.6505684973886445,,,,,1.4771634498321116,1.549983167616084,1.5001110027911257,1.5819198283396514,,,1.6275283213712899,1.6560346254784442,1.5357433643292877,1.6201771466957005,1.5212543738309694,1.4932883030677666,1.511929060387343,,,,1.6158480527174615,1.6270430499001847,1.5291500915107172,1.4916891739626184,,,,,,,,,1.5235553815545004,1.6312894096920463,1.5659718627628165,1.5668058635275246,,,,,1.5495299292541704,1.587105166468618
Sceptile,Bullet Seed,Frenzy Plant,30,1.6363007081754082,1.528254765122991,1.6368143577781997,1.5315174824873405,,,,,,,,,,,1.484873335618983,1.288219156688617,,,1.457914063524205,1.424619320441972,,,,,1.4238125637095977,1.388685524192781,1.5503503403888992,1.5290493569899022,1.5832800719326643,1.4229500232729164,1.5278428592205608,,1.5210311606989144,1.4832322359026504,1.5752964089886445,1.5489731179585104,1.4941993072144417,,,,,,1.5131860169291789,1.5138689666928202,1.455049882889748,,1.488085704540949,1.491064157031843,,,1.5003262881723864,1.5366141202131454,,,,,1.4966297311139658,1.457268314613732,,,1.4883795090402017,1.4850228167443298,1.5491063010617085,1.5163044945767494,1.4727574112736137,1.4256309214451377,1.4498333107084298,1.4769659971959497,1.5175245890939322,1.498063872141822,1.5193127035584417,1.5206983432886674,,,,,1.4194676725451891,1.468555084686393,1.4754528855319229,1.5415736979138368,,,1.5217013144410054,1.5290955266912636,1.4709310861113594,1.5176630515013936,1.5158599741693404,1.527314546346359,1.4544285735198992,,,,1.4984364191379904,1.507330995009087,1.4130041317965747,1.4141037499453433,,,,,,,,,1.4571196900381207,1.5249943890284834,1.5221265264850752,1.4941427413587909,,,,,1.4898812449719536,1.5065138667948401
