Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Phione, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Blastoise, Tier 3","Blastoise, Tier 3","Blastoise, Tier 3","Brionne, Tier 3","Brionne, Tier 3","Brionne, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Feraligatr, Tier 3","Feraligatr, Tier 3","Feraligatr, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Politoed, Tier 3","Politoed, Tier 3","Politoed, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
(Boss weights),,,,6.25,0.0,0.0,6.25,0.0,0.0,6.25,0.0,0.0,6.25,0.0,0.0,6.25,0.0,0.0,6.25,0.0,0.0,6.25,0.0,0.0,6.25,0.0,0.0,8.75,0.0,0.0,8.75,0.0,0.0,8.75,0.0,0.0,8.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Thundurus (Therian),Volt Switch,Thunderbolt,45,1.1480449656988827,1.144137342471199,1.1497515622673398,1.0457234685834516,1.0778043889116964,1.0466462465465174,1.1347050522818924,1.1608511639975052,1.1351077428498624,1.122836954226154,1.147086560480804,1.1217020979966954,1.020306306138086,1.051332579050781,1.0204131799075227,1.2107924353122221,1.1793485220064965,1.2287682011419694,1.1332893524941423,1.1367625381520532,1.1337956861203602,1.1503824353896903,1.146319554030561,1.149853880471055,1.1386334806473504,1.1554145694601976,1.1373854199888256,1.12331136224801,1.1251290072337783,1.1222471894228396,1.1153289523180143,1.1242069837425095,1.1154871418938432,1.1331260742779807,1.1418747711144863,1.1334312069974033,1.1220310374074949,1.135462714401621,1.1220310374074949,1.1191733557859,1.1624720471564094,1.1191733557859,1.1058555870814115,1.1238079161286676,1.1058555870814115,1.0896526508369135,1.163599106596042,1.0896526508369135,1.127205061025874,1.115080675533675,1.127205061025874,1.1126304055712648,1.1495123281125903,1.1126304055712648,1.1172464359334557,1.1412310001272723,1.1172464359334557,1.1257932392111274,1.1270747386475404,1.1234864816025543,1.1137080610636862,1.1587919972002971,1.1137080610636862,1.1268279051626031,1.145256166858742,1.1268279051626031,1.0986876128279313,1.1340554656200963,1.0986876128279313,1.1203552861680488,1.150425098244487,1.1202429246124748,1.1110688022122952,1.1383735579106722,1.1110688022122952,1.0573385452146742,1.0870275459419898,1.0573385452146742,1.0835017044092856,1.1150173461469244,1.0835017044092856,1.130607147694958,1.141233244001338,1.130607147694958,1.08366097067358,1.0794232493007514,1.0929681675096032,1.1279895644241789,1.1042420672003503,1.1285134318709757,1.1398225653025775,1.1494292998509916,1.1398225653025775,1.1096436987497666,1.1260621635726933,1.1126932211962866
Shadow Raikou,Volt Switch or Thunder Shock,Wild Charge,35,1.1256720159392926,1.097222310422101,1.1240794420678921,1.0510070604534327,1.0767650535293891,1.0510809218511603,1.133902808292083,1.1744404156156099,1.133435427607351,1.1096260903053752,1.136451571047397,1.110632642835353,1.0510200762056947,1.052750932564971,1.0512966838455282,1.1025394066620746,1.106770763654822,1.1024271247183872,1.087369598979529,1.0985037843753853,1.0875583842027376,1.118346228619755,1.128134839202081,1.1193188427955767,1.1268456416072974,1.1335676449500387,1.1292947870980738,1.0611252849722064,1.0837089361706052,1.0608547664163313,1.1238105905236724,1.1307023903981943,1.1247892919997922,1.1069162457091835,1.1268641263642296,1.1074749242204582,1.0899812088677645,1.1339791208940364,1.0899812088677645,1.106874104606087,1.1512152338859194,1.106874104606087,1.1056839281063495,1.1282378118269272,1.1056839281063495,1.0899292585510743,1.1660793622594876,1.0899292585510743,1.0648467077211392,1.0896967166983345,1.0648467077211392,1.1255664419867362,1.1501780850569494,1.1255664419867362,1.0580893427086984,1.1191720887542926,1.0580893427086984,1.0951201163901638,1.095337754389143,1.0951201163901638,1.1194016364695019,1.1507415015585378,1.1194016364695019,1.1127759813670655,1.1256983587546718,1.1127759813670655,1.085007532618577,1.130561225764154,1.085007532618577,1.1133301213036875,1.1538976591838273,1.1147095095904862,1.1163051384113603,1.1385250207405846,1.1163051384113603,1.0647514723537208,1.0977316253834157,1.064711284277068,1.082770065671489,1.1163331165403425,1.082770065671489,1.1108019427951294,1.1296315941847386,1.1108019427951294,1.0629793921928765,1.074891490387104,1.06700029044478,1.096780974153478,1.101142413213577,1.096780974153478,1.1443869706297338,1.1561004146661575,1.1443869706297338,1.0900171867836046,1.0913229060221878,1.1058759810401244
Shadow Manectric,Thunder Fang,Wild Charge,45,1.3179764127511684,1.1900275919761762,1.323884740967066,1.2494365756855241,1.1945419472910273,1.249424773091042,1.2578885026893725,1.2285790658995948,1.2511115638938497,1.1844864332123684,1.1994120391522982,1.183517150180895,1.2167887731859686,1.1965355849929744,1.2167887731859686,1.3448215758689572,1.2907134327810525,1.3486805390450665,1.1793551146873842,1.1859830705080774,1.180117914893945,1.2439429875891255,1.1970602019771805,1.2469929911406186,1.304140419113574,1.2612689228172067,1.3016053071413327,1.3186299852417185,1.195274599383224,1.319855501141963,1.2686305364421055,1.2172572398573898,1.2694435470235983,1.2242026150327328,1.1960350733548843,1.2360025671151684,1.174466072057821,1.1607894443058473,1.173494055261859,1.1827608079312337,1.168776410358278,1.191932670139892,1.1500832457147265,1.1438866557436236,1.1427741865249703,1.1811838966001404,1.172557242213298,1.1823388312038434,1.1504523493848198,1.126448450592707,1.1491052801260575,1.1921427738618404,1.2248243391436107,1.1863373060861688,1.1584610451536834,1.1441843898990596,1.1539555368372494,1.1821343238280486,1.1553426757925136,1.1840796851122564,1.2880668209256945,1.2351320261863918,1.2756757058894748,1.1983072182989138,1.1780722386156972,1.1980301653025072,1.1614188110783725,1.1514347178365067,1.1709362122067817,1.176768499902846,1.1611859923783692,1.1801051642298863,1.1894726171997514,1.1745971928424117,1.1893286007641963,1.1601935150451008,1.1497414237093044,1.1648729733204655,1.2171949875149983,1.203994261935393,1.2064132216407182,1.1824736593521505,1.17080740489486,1.1895354856026958,1.1265598233463412,1.1116764669699375,1.153198708390477,1.187636994892496,1.1588835231504158,1.178957282324114,1.2070515229603425,1.1966566430911278,1.2100264127868912,1.2125164640302242,1.1538047583275146,1.2290239462034904
Tapu Bulu,Bullet Seed,Solar Beam or Grass Knot,40,1.3412765670277638,1.3304432734238685,1.1120948320041901,1.23234663643462,1.2581594544655905,1.0311157182928465,1.3125326121214675,1.3485912401901305,1.0972387110202155,1.2642127922722384,1.3184733171095984,1.0443808639069754,1.2053117017267334,1.2264011496207838,1.0108183161576614,1.284099022927304,1.3006490947495242,1.0745723634670676,1.3034771839160193,1.3243944324978418,1.08353469139228,1.2944971654269435,1.2923689002994445,1.104822018026603,1.274436541869393,1.302755843202893,1.0733638192617674,1.3289033903020364,1.3239038293856908,1.1058808552074206,1.2414659077195118,1.2689672868222643,1.0290512104002991,1.324907132738129,1.3109754246208505,1.1244889692471403,1.293802251295277,1.3024486342574788,1.0798801466884667,1.3009842184941733,1.348201386882404,1.0860637204444765,1.3056243566405716,1.3283428163536972,1.089301347833696,1.2900991580217016,1.3614021011277802,1.071878657260446,1.298191397288201,1.2867151772742926,1.1019999928138884,1.2660224203975596,1.337488046083531,1.05044512185558,1.3311700734213874,1.3511906345319933,1.1168165131140795,1.2797090890757887,1.307957915112973,1.0766695435918652,1.2862319080857714,1.3431388617358724,1.066814341390563,1.3130070606466948,1.3383600111776668,1.093285088743998,1.3055349785236137,1.3627785715231648,1.0933872040867747,1.394662875678591,1.372555090273895,1.1639168123976413,1.290966972294153,1.3349943334523278,1.095565662654,1.2082035063919578,1.2525428931626872,1.0240338586909803,1.2820815568853559,1.2994147070608029,1.0795922402429767,1.302682037831915,1.3360567170937006,1.1012886711895644,1.263502905360959,1.2731487199127605,1.0754842210880873,1.2655097686502699,1.2636093141306377,1.0664595292955075,1.2933729211515266,1.3597298119097945,1.094673547345083,1.275969558085004,1.316077047639581,1.0651533191374527
Torterra,Razor Leaf,Frenzy Plant,50,1.3221989490386787,1.310848998974554,1.0925473798427776,1.237393469347085,1.2619150726637336,1.0342631493412195,1.29180267502287,1.3319605794871425,1.1065862165374007,1.337599540618922,1.3660822027101827,1.1028765841262305,1.2275358788233541,1.2516717220530458,1.0287751390388309,1.383473703282111,1.2869218387711556,1.1883608919410042,1.3536091746053767,1.352860825934147,1.120536354282279,1.3491848085985993,1.3373157320175733,1.1076459566685737,1.2983918153195386,1.3147312018761554,1.087725557103565,1.3179060926448838,1.3190783653303542,1.0765811832639902,1.2560259675064933,1.2723446452975669,1.068676706323884,1.3238009996496118,1.3379189099545503,1.1184326495607195,1.3326500736377953,1.3519202697909534,1.1290727403792382,1.3749130941201966,1.3976720886906482,1.1448947310206588,1.292165725254691,1.3226060552610437,1.1098781423844846,1.330508428353927,1.4096836854432657,1.1091352424719847,1.3131256612447455,1.3238267611444339,1.095628633953963,1.3229618693147667,1.3780757310210592,1.09175272675238,1.3369154925292348,1.357917994810661,1.1192630431558723,1.2940342126934394,1.3203418396815478,1.0943213776060319,1.3182562565570666,1.3740507707614469,1.1124958149407043,1.3476383579824445,1.3751198425179332,1.1265576909610766,1.335103041897184,1.3942118443575098,1.0996838596778853,1.350714379186048,1.4134749798752464,1.1246549050865067,1.3049993697498563,1.356341133964817,1.0955225210969026,1.2673061751964332,1.31425486149401,1.0610706139080353,1.2917969876544726,1.3460778790461183,1.0731722374282178,1.3429547897193157,1.37962889906974,1.0985339668077447,1.286136700301196,1.3087939978857202,1.050852776232641,1.2781107175665651,1.312976395894177,1.0756715231862637,1.3164726346539493,1.3844912324636525,1.082634089430647,1.35705546881814,1.3433908954681746,1.1472544755901775
