Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
(Boss weights),,,,6.25,0.0,0.0,6.25,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0,1.0714285714285714,0.0,0.0
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kartana,Razor Leaf,Leaf Blade,45,0.9714931605667905,0.9782419720203198,0.8029053505471112,0.9699190692995502,0.9776713381144662,0.801867638107271,0.9905175985723049,0.8683024197536697,0.8485652535533272,0.9545009993877924,0.9395077402326917,0.7957340557795334,1.064120968821673,0.9846467347956607,0.9338205455355075,0.9613835455016,0.9863741207026597,0.8179193386271001,0.9549922541064391,0.9818176218574346,0.8065193975484173,0.9530579874968937,0.9653403024639213,0.8033941552182007,0.9612027039331861,0.9796094144199434,0.8166964916004954,0.9775322055654653,0.9684921878687505,0.8150759127771017,0.9510281266547492,0.976879792539518,0.8013490516571296,0.9723283311890566,0.9837182445170544,0.8175258302483345,0.955556371824142,0.9832332794217385,0.8115503856301048,0.9612153170070032,1.0047000033473792,0.8069136204360401,0.9782864063663507,1.0106025345591623,0.8170967188216176,0.9598976767045277,0.9748229143752871,0.8081349401146004,0.9604609389251946,0.9251155167841837,0.8354332732477422,0.964531234970612,1.0264337677547168,0.8159646061604248,0.9532728915137025,0.9918660838891451,0.7963715926106294
Shadow Tangela,Vine Whip,Power Whip or Solar Beam,50,1.3175789730253975,1.2903469459142467,1.1281151110310637,1.3212255032241598,1.2940622478775474,1.125921673125154,1.2247741256653053,1.1224391068370765,1.0147900347409426,1.2336443906519012,1.2111537175403977,1.0430187946799576,1.2303543327591533,1.2181646292230792,1.056306576655753,1.3018773569440762,1.2958892048566155,1.0951057392713173,1.2580138808384473,1.2857890769145084,1.0304479606986685,1.2499202863100949,1.2352487455972303,1.0458369456010077,1.3022029272608782,1.2854469902513739,1.0958423907194363,1.2466782231454407,1.2474820792583952,1.0234075473997815,1.2507771627422073,1.2832847823389033,1.068615267486202,1.287855537804614,1.2947506031645348,1.0704014900861696,1.2047035247276998,1.256855438033917,1.036532369867117,1.2803245775541001,1.3571204511427977,1.0511196247296735,1.2790163286175256,1.3379245789767649,1.0606001012813702,1.2417581087756904,1.2604340034848163,1.0538965668879208,1.2007503043285148,1.213689813903786,1.0262121956369257,1.2663546572751097,1.3736797341833884,1.0604902217219692,1.2817667531921457,1.288522296567954,1.0714354419060341
Kartana,Razor Leaf,Leaf Blade,30,1.1241344770045165,1.1257502335617153,0.9289834606299132,1.127620374239065,1.124081014917905,0.9329363808178786,1.1279044998360988,0.9780550541927633,0.9362098325371948,1.1385335702205008,1.048656553337352,0.973017117891892,1.2821547100981958,1.1416084874288943,1.0684571774177933,1.1140952924872491,1.1103533025098644,0.9393814181651423,1.0952880473279911,1.0958556039858731,0.9383111773531648,1.1138301122583545,1.0836926566008303,0.9422877329056258,1.1472167229007169,1.1140665143517636,0.9538500691451235,1.113229612726295,1.1014092943597409,0.9415372756857872,1.100555090058797,1.1138585064048603,0.906631812095198,1.1009876814695503,1.111778073415889,0.9397326816250594,1.0992313905593993,1.0906151791370837,0.9459984102958902,1.0724141572287058,1.1298997395989732,0.8868192063726689,1.0746683360920661,1.1302853084388313,0.9148979927188998,1.1132643383679763,1.1071259946336094,0.9331006609127704,1.1231103851193263,1.0920459582743136,0.9269944546414094,1.1023247140935792,1.1461966725673274,0.9226382872446164,1.080494919572459,1.0916573922816806,0.9150845445863566
Primarina,Waterfall,Hydro Pump,30,1.58253123136312,1.5726163400590396,1.5886618831257746,1.5865697411232176,1.571999789882661,1.593927258381283,1.6487146758579876,1.3962577057110763,1.8543605894220294,1.5351708168567721,1.5244711049270367,1.5345152900574168,1.5544094376753863,1.5509109119372262,1.560663700055,1.5667025282203242,1.5652400276253315,1.6179945065129944,1.5294959787654738,1.5738224624713868,1.5401309438557351,1.5401507023877814,1.5315655472432763,1.5552126457575466,1.6150736391773672,1.5893267877594517,1.6426800834997048,1.5017532978637473,1.5086941407454422,1.5147217838575626,1.5608277630964495,1.606413798955646,1.5904095998885541,1.542887068237063,1.573497440228559,1.5429520463204665,1.5424096930295754,1.592252332014134,1.5705120869391682,1.537134131000943,1.6148181086284674,1.537134131000943,1.5477646321952991,1.6104444427702227,1.5466968406687664,1.5015948490143887,1.5629219757546255,1.5200710704226066,1.502460553703524,1.5039704946004695,1.5287215447321079,1.608005548533638,1.6409805109443476,1.6134987318360619,1.5567357078630142,1.5974253871274782,1.5573725658029378
Shadow Poliwrath,Bubble,Hydro Pump,45,1.502482344855459,1.5102522845299666,1.5022380827655981,1.5023328187605798,1.5144733001064372,1.510561783000039,1.4584784510583961,1.3350560211663338,1.5876286788961669,1.3936491197433114,1.3874423298818643,1.3945935831891354,1.454275086651911,1.465127660740624,1.4743832382714173,1.4166550421396948,1.476218369201098,1.4157957363604152,1.445990508239817,1.5019497124783767,1.4483604730697779,1.4557890655407624,1.46552169786271,1.4719544463574081,1.4129504892669054,1.4874226356954516,1.4162210052833397,1.4435593209984008,1.43902310776199,1.4635892985239722,1.405786882465477,1.4694966521432398,1.4109420718725798,1.420114849127461,1.4849631223823505,1.4301350536609454,1.406152738074095,1.4683108503932416,1.4098841121608578,1.424984133995608,1.5126326242309984,1.424984133995608,1.4346569821531798,1.4993458656981338,1.4415507330274802,1.3943660899693153,1.4490605693245988,1.3997914263056204,1.339192434327878,1.3687798547400962,1.379481857936437,1.4702041381125872,1.562613885846683,1.4861740599302382,1.4180343971878395,1.4983779224282305,1.4282139632120225
