Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,Charge Move 2,Shiny,Lucky
Chesnaught,30,15,15,15,Vine Whip,Frenzy Plant,,,
Chesnaught,35,15,15,15,Vine Whip,Frenzy Plant,,,
Chesnaught,40,15,15,15,Vine Whip,Frenzy Plant,,,
Chesnaught,45,15,15,15,Vine Whip,Frenzy Plant,,,
Chesnaught,50,15,15,15,Vine Whip,Frenzy Plant,,,
Decidueye,30,15,15,15,Razor Leaf,Frenzy Plant,,,
Decidueye,35,15,15,15,Razor Leaf,Frenzy Plant,,,
Decidueye,40,15,15,15,Razor Leaf,Frenzy Plant,,,
Decidueye,45,15,15,15,Razor Leaf,Frenzy Plant,,,
Decidueye,50,15,15,15,Razor Leaf,Frenzy Plant,,,
Decidueye,30,15,15,15,Magical Leaf,Frenzy Plant,,,
Decidueye,35,15,15,15,Magical Leaf,Frenzy Plant,,,
Decidueye,40,15,15,15,Magical Leaf,Frenzy Plant,,,
Decidueye,45,15,15,15,Magical Leaf,Frenzy Plant,,,
Decidueye,50,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Abomasnow,30,15,15,15,Magical Leaf,Grass Knot,,,
Mega Abomasnow,35,15,15,15,Magical Leaf,Grass Knot,,,
Mega Abomasnow,40,15,15,15,Magical Leaf,Grass Knot,,,
Mega Abomasnow,45,15,15,15,Magical Leaf,Grass Knot,,,
Mega Abomasnow,50,15,15,15,Magical Leaf,Grass Knot,,,
Mega Sceptile,30,15,15,15,Bullet Seed,Frenzy Plant,,,
Mega Sceptile,30,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Sceptile,35,15,15,15,Bullet Seed,Frenzy Plant,,,
Mega Sceptile,35,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Sceptile,40,15,15,15,Bullet Seed,Frenzy Plant,,,
Mega Sceptile,40,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Sceptile,45,15,15,15,Bullet Seed,Frenzy Plant,,,
Mega Sceptile,45,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Sceptile,50,15,15,15,Bullet Seed,Frenzy Plant,,,
Mega Sceptile,50,15,15,15,Magical Leaf,Frenzy Plant,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,Charge Move 2,Shiny,Lucky
Mega Venusaur,30,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Venusaur,35,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Venusaur,40,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Venusaur,45,15,15,15,Magical Leaf,Frenzy Plant,,,
Mega Venusaur,50,15,15,15,Magical Leaf,Frenzy Plant,,,
Rillaboom,30,15,15,15,Razor Leaf,Grass Knot,,,
Rillaboom,30,15,15,15,Razor Leaf,Frenzy Plant,,,
Rillaboom,35,15,15,15,Razor Leaf,Grass Knot,,,
Rillaboom,35,15,15,15,Razor Leaf,Frenzy Plant,,,
Rillaboom,40,15,15,15,Razor Leaf,Grass Knot,,,
Rillaboom,40,15,15,15,Razor Leaf,Frenzy Plant,,,
Rillaboom,45,15,15,15,Razor Leaf,Grass Knot,,,
Rillaboom,45,15,15,15,Razor Leaf,Frenzy Plant,,,
Rillaboom,50,15,15,15,Razor Leaf,Grass Knot,,,
Rillaboom,50,15,15,15,Razor Leaf,Frenzy Plant,,,
Roserade,30,15,15,15,Magical Leaf,Grass Knot,,,
Roserade,35,15,15,15,Magical Leaf,Grass Knot,,,
Roserade,40,15,15,15,Magical Leaf,Grass Knot,,,
Roserade,45,15,15,15,Magical Leaf,Grass Knot,,,
Roserade,50,15,15,15,Magical Leaf,Grass Knot,,,
Sceptile,30,15,15,15,Magical Leaf,Frenzy Plant,,,
Sceptile,35,15,15,15,Magical Leaf,Frenzy Plant,,,
Sceptile,40,15,15,15,Magical Leaf,Frenzy Plant,,,
Sceptile,45,15,15,15,Magical Leaf,Frenzy Plant,,,
Sceptile,50,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Chesnaught,30,15,15,15,Vine Whip,Frenzy Plant,,,
Shadow Chesnaught,35,15,15,15,Vine Whip,Frenzy Plant,,,
Shadow Chesnaught,40,15,15,15,Vine Whip,Frenzy Plant,,,
Shadow Chesnaught,45,15,15,15,Vine Whip,Frenzy Plant,,,
Shadow Chesnaught,50,15,15,15,Vine Whip,Frenzy Plant,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,Charge Move 2,Shiny,Lucky
Shadow Decidueye,30,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Decidueye,35,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Decidueye,40,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Decidueye,45,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Decidueye,50,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Rillaboom,30,15,15,15,Razor Leaf,Frenzy Plant,,,
Shadow Rillaboom,35,15,15,15,Razor Leaf,Frenzy Plant,,,
Shadow Rillaboom,40,15,15,15,Razor Leaf,Frenzy Plant,,,
Shadow Rillaboom,45,15,15,15,Razor Leaf,Frenzy Plant,,,
Shadow Rillaboom,50,15,15,15,Razor Leaf,Frenzy Plant,,,
Shadow Roserade,30,15,15,15,Magical Leaf,Grass Knot,,,
Shadow Roserade,30,15,15,15,Razor Leaf,Grass Knot,,,
Shadow Roserade,35,15,15,15,Magical Leaf,Grass Knot,,,
Shadow Roserade,35,15,15,15,Razor Leaf,Grass Knot,,,
Shadow Roserade,40,15,15,15,Magical Leaf,Grass Knot,,,
Shadow Roserade,40,15,15,15,Razor Leaf,Grass Knot,,,
Shadow Roserade,45,15,15,15,Magical Leaf,Grass Knot,,,
Shadow Roserade,45,15,15,15,Razor Leaf,Grass Knot,,,
Shadow Roserade,50,15,15,15,Magical Leaf,Grass Knot,,,
Shadow Roserade,50,15,15,15,Razor Leaf,Grass Knot,,,
Shadow Sceptile,30,15,15,15,Bullet Seed,Frenzy Plant,,,
Shadow Sceptile,30,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Sceptile,35,15,15,15,Bullet Seed,Frenzy Plant,,,
Shadow Sceptile,35,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Sceptile,40,15,15,15,Bullet Seed,Frenzy Plant,,,
Shadow Sceptile,40,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Sceptile,45,15,15,15,Bullet Seed,Frenzy Plant,,,
Shadow Sceptile,45,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Sceptile,50,15,15,15,Bullet Seed,Frenzy Plant,,,
