Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Arceus (Water),Arceus (Water),Shadow Groudon,Shadow Groudon,Groudon,Groudon,Keldeo,Keldeo,Shadow Kyogre,Shadow Kyogre,Kyogre,Kyogre,Manaphy,Manaphy,Shadow Manaphy,Shadow Manaphy,Phione,Phione,Shadow Phione,Shadow Phione,Shadow Regirock,Shadow Regirock,Regirock,Regirock,Shadow Suicune,Shadow Suicune,Suicune,Suicune,Shadow Terrakion,Shadow Terrakion,Terrakion,Terrakion,Ting-Lu,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Tapu Fini,Tapu Fini,Mega Sharpedo,Mega Sharpedo,Mega Blastoise,Mega Blastoise,Mega Gyarados,Mega Gyarados,Mega Slowbro,Mega Slowbro,Mega Swampert,Mega Swampert,Primal Kyogre,Primal Kyogre,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Boldore,Boldore,Brionne,Brionne,Claydol,Claydol,Cloyster,Cloyster,Corsola,Corsola,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Donphan,Donphan,Feraligatr,Feraligatr,Floatzel,Floatzel,Gigalith,Gigalith,Golduck,Golduck,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Kabutops,Kabutops,Lanturn,Lanturn,Lapras,Lapras,Lumineon,Lumineon,Marowak,Marowak,Nosepass,Nosepass,Octillery,Octillery,Omastar,Omastar,Onix,Onix,Shadow Onix,Shadow Onix,Piloswine,Piloswine,Politoed,Politoed,Poliwrath,Poliwrath,Prinplup,Prinplup,Quagsire,Quagsire,Rhydon,Rhydon,Samurott (Hisuian),Samurott (Hisuian),Sandslash,Sandslash,Sandygast,Sandygast,Seadra,Seadra,Sealeo,Sealeo,Sharpedo,Sharpedo,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Stunfisk,Stunfisk,Sudowoodo,Sudowoodo,Vaporeon,Vaporeon,Wailmer,Wailmer,Walrein,Walrein,Whiscash,Whiscash,Shadow Croconaw,Shadow Croconaw,Shadow Golett,Shadow Golett
(Boss weights),,,,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.14705882352941177,0.0,0.14705882352941177,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Shadow Tier 3,Shadow Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Chesnaught,Vine Whip,Frenzy Plant,35,1.4251093185902015,1.4067518363946747,1.4259544227998315,1.4054109024604287,1.4226752363618913,1.40700593447073,1.5744512549892586,1.408136732703876,1.4818275007952488,1.426623282493774,1.4621265261282306,1.472075604326859,1.5241690462661135,1.3684842396072736,1.4295912193034621,1.3944578353167563,1.4977806479433609,1.5260530782830413,1.5121978561550438,1.5609741578970062,1.5463566896175571,1.6224794536962686,1.483260872657276,1.4833043188919144,1.4720264353562271,1.4945045751768582,1.4157964476744718,1.4039420568031042,1.3610809734072575,1.388803027787922,1.4737572138964858,1.498560232960166,1.4325312849762162,1.4293618776731822,1.4349233661523306,1.4294597903533037,1.4758446847088107,1.4758126401222376,1.436418963562092,1.4409958953681192,1.4020703231263323,1.4053482680275415,1.5276521272640295,1.536136036647174,1.4048241929743053,1.353585872210149,1.4367650553028324,1.433446310324982,1.4681196384898674,1.4484893645173382,1.450207079016943,1.4570477507677158,1.5319742922625492,1.3897079004994304,1.4951824163658276,1.5093837024235806,1.428583803438388,1.4710797449124555,1.4986943124676118,1.5140505425918676,1.4585988241542724,1.5053498561826855,1.4811851442005761,1.5439506401791576,1.514317366674989,1.5568100099991806,1.4206315926141666,1.4226717720315252,1.5143798853544097,1.5970245255728492,1.5308733431857333,1.5981307809545076,1.451341270792691,1.4988823814125507,1.4299022889859112,1.4737286777948015,1.4276654992277011,1.4453764492588825,1.4883732266251506,1.5529957584492162,1.3608282576971098,1.423311673602059,1.4956131315786287,1.519772124885051,1.4323016993995905,1.4808007782859378,1.467809244386889,1.5269982678426384,1.4451011691714133,1.4931954685012998,1.4500079682760363,1.5209132018434774,1.414275701699283,1.4747109997135752,1.4851952885309125,1.5658276605663728,1.4017542654940756,1.4261273085673727,1.4476394301632396,1.5106527682371582,1.4707511984823973,1.5349724900912747,1.5036695919554046,1.5863474547489205,1.4686565628292123,1.5123271756886503,1.469444107400917,1.5333469682042764,1.5229070901933872,1.597247807196581,1.5008754910208648,1.5928511902975082,1.4142887515800109,1.4380419106530753,1.4371966771125777,1.4853055834470106,1.4083161202808778,1.4632075206419086,1.4623506532226904,1.5517078512497229,1.499933530601834,1.5710099546549803,1.4139320820723857,1.4577801379369075,1.4214714237752366,1.491388898879087,1.505965966885011,1.590166748596893,1.5112151249635324,1.5710737911703776,1.4572356834402187,1.4928905966401673,1.4347335936083538,1.5295827904936516,1.483794998120871,1.5496267694158152,1.5556034541058579,1.5688666973906498,1.4689826520288394,1.4504410844625812,1.5689821576821643,1.5572164106689492,1.4830877151792352,1.5619125880239513,1.4540773014813337,1.520296918282978,1.489681816816857,1.5690556874927288,1.5156497039001666,1.6119762637394468,1.4123017310961223,1.4236321292435647,1.5715921820886094,1.6312177256739648,1.4623041850436524,1.5186643592959295,1.573499216331666,1.6596218402027265
Exeggutor (Alola),Bullet Seed,Solar Beam,35,1.6465715299302124,1.5873487547059688,1.6583927671942353,1.5901294103779773,1.657480512694726,1.589868387016127,1.7261906411379495,1.6276055571326293,1.6205731246726855,1.566881941800191,1.62532587706546,1.6330238022176804,1.7430264603516863,1.5434860349220392,1.8293154501083506,1.517702633943582,1.56257242592828,1.6065329968835675,1.6012713514125736,1.6444167298931682,1.5477809165572838,1.6455119049422695,1.58906141909712,1.5987585066046466,1.5830191941416456,1.569559634534997,1.6126029905938841,1.589142133185079,1.5806428737425715,1.5860490687560174,1.5423407033230028,1.5899017176305354,1.6068306988747654,1.5935687482511893,1.6390095937364164,1.5922335941330974,1.6313436628837459,1.6162600906019637,1.619715280049606,1.5978922569851235,1.6570303648162186,1.6280681419014391,1.7596367374627067,1.6886661872820992,2.2675424887217694,1.5877699358967852,1.8737109949497912,1.7040331742455053,1.6637464830322273,1.618419686736399,1.6131272321103305,1.5691144671477073,1.7888903417713253,1.5247809683985625,1.5661568573438764,1.5649415696544717,1.6564604117460429,1.6017936003041937,1.5738592123343387,1.5859934600836882,1.5744833761017183,1.6114657052325756,1.5710979495198187,1.6636553675850594,1.6226632505178655,1.6737146595161496,1.710656173459004,1.6471310943300888,1.5733094309122717,1.7029700241912267,1.620249605627836,1.7058199484611754,1.5968302489206065,1.6130561158692265,1.603988157637057,1.6184602624212334,1.602193336764103,1.6087664303846385,1.5048203962511206,1.5898133145648958,1.5756246776151088,1.5648238540664805,1.536907758694991,1.5942139765208356,1.579331982108817,1.6120924980107423,1.6145065538259513,1.6180040958748265,1.493032788941108,1.5830010312566984,1.5828565720912942,1.634549360009642,1.556812862490502,1.6045859083421616,1.5422463185575324,1.5948962602705743,1.6063464876125177,1.5539517023736804,1.5928642685288423,1.6158962640275876,1.5851768160015942,1.642524491075499,1.5568709096133808,1.634188436690441,1.5422524984618966,1.5909274847595165,1.6006426812284624,1.6477447904515932,1.5693228694292995,1.642572332348057,1.5341431593530799,1.5963618653553577,1.6702938627956687,1.6154408531493114,1.5345815046628117,1.5230844878381418,1.590455329301638,1.5797454383628047,1.5871525791791015,1.6236304509279882,1.5845453636390388,1.5964966395520133,1.5990975198239419,1.5953608856196435,1.6683705969822402,1.6514790818114389,1.5759312768784177,1.63889570649708,1.6001096478536534,1.6567978651933384,1.65058693128633,1.6029342435169704,1.5919735733383942,1.6332204988212682,1.6294764611904846,1.5852323986600358,1.622961305925429,1.647053186249687,1.5718328598945503,1.49679324216288,1.6907927525097535,1.6948673226353528,1.575230544918889,1.6523112834193114,1.566453962435574,1.589028767906869,1.517820684786989,1.6075115103476074,1.5837821529098886,1.6329883897326314,1.5572796705458605,1.5426874524691176,1.5489058109308234,1.5918281338994809,1.5433992301133161,1.5798254430185672,1.729474892092379,1.8187197625660132
Tsareena,Magical Leaf,Grass Knot,45,1.323103017863599,1.319976837572684,1.315338803992328,1.3154971489782281,1.3184168546077424,1.318462571744783,1.421514025568104,1.327351728307221,1.4065360767893549,1.3072280277447692,1.317112344568666,1.3273315653712254,1.352280499718875,1.2956152158108802,1.2802782616810127,1.2938344710106284,1.3574144286205396,1.394191516903103,1.3644140656924961,1.424280585377657,1.3524938605564685,1.4061792483365312,1.3662233110599546,1.4074796916868992,1.326280673055204,1.3427912944113491,1.30937754327666,1.3167490732343892,1.2472513661565021,1.2929283888317122,1.312132130944437,1.3380277026501888,1.319894971419435,1.3068066839549106,1.298586399786256,1.2983784839107686,1.3341926755714955,1.3548302897508595,1.3123955192245198,1.328743460763614,1.3160593054150633,1.32691623924739,1.4135023593025253,1.42423857784441,1.2821910846064193,1.2870973447344611,1.3762210491874083,1.3506295350200395,1.3526552535201948,1.3363856301712402,1.32370558983466,1.3330741651424272,1.3072648406256184,1.2715612720136524,1.3475583508095623,1.362249381625633,1.294209723348335,1.3350147441697484,1.3002307457376716,1.319402976588032,1.3031367346942855,1.3647956322874422,1.3207841749080125,1.3995934736169715,1.3685848502562588,1.4310940669128247,1.2744166874285034,1.2757365261528961,1.3165440506153392,1.3806881338343315,1.3680897274111845,1.4436012714049864,1.2689251215783228,1.314393178688045,1.2658415411967545,1.3095745273998642,1.28505371133947,1.297257877957582,1.322043007409968,1.3993571147009338,1.319635752709308,1.3261411805339807,1.3224050722175567,1.364879943699012,1.2902799386865451,1.3375416169245413,1.301280855037498,1.3396500771567044,1.2825652041676119,1.3607701028989552,1.3119666734024995,1.3724606341912242,1.295373205902239,1.3258944458882562,1.28851114554854,1.3635788678074572,1.2858483912886842,1.314148956354575,1.3312250385747868,1.3789208207195796,1.3027430773484503,1.3604916669309848,1.3270244508793692,1.4137562359107076,1.2975774748167237,1.3292061638560315,1.3296531258521793,1.373036950358177,1.3288450425985847,1.389252055922186,1.3269629190327883,1.3825748715867774,1.2690067154557438,1.2823985760168122,1.2892492779408504,1.3290207507125176,1.266896243652464,1.3125966228388424,1.2981364359332066,1.3552274928793138,1.333095471409305,1.3840554626908115,1.3124580088747113,1.3348215434769872,1.3619433636723626,1.3754072156513915,1.32376417509865,1.3930470918767837,1.3332643798854185,1.4090484730867372,1.2968454395728095,1.3227039520243413,1.3121112453168815,1.354874375421119,1.3615019947129408,1.3786873439831635,1.3688727014331517,1.3971153544809785,1.282981468399836,1.2909097830897946,1.383663387475142,1.3929255579737616,1.351943408672106,1.430133057580495,1.2990484783409302,1.3398711206503797,1.3235596285522986,1.3770951974889327,1.360260027186233,1.446021730481367,1.2494987581706463,1.2699152259009678,1.3823669143787267,1.403276999759756,1.3243269779069897,1.3701465531876202,1.3761710236164515,1.428506331430713
