Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Arceus (Water),Arceus (Water),Keldeo,Keldeo,Manaphy,Manaphy,Phione,Phione,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Groudon,Groudon,Kyogre,Kyogre,Regirock,Regirock,Suicune,Suicune,Tapu Fini,Tapu Fini,Terrakion,Terrakion,Mega Blastoise,Mega Blastoise,Mega Sharpedo,Mega Sharpedo,Mega Slowbro,Mega Slowbro,Mega Gyarados,Mega Gyarados,Mega Swampert,Mega Swampert,Primal Kyogre,Primal Kyogre,Golurk,Golurk,Hippowdon,Hippowdon,Marowak,Marowak,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Boldore,Boldore,Brionne,Brionne,Claydol,Claydol,Cloyster,Cloyster,Corsola,Corsola,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Donphan,Donphan,Feraligatr,Feraligatr,Floatzel,Floatzel,Golem,Golem,Graveler,Graveler,Kabutops,Kabutops,Lapras,Lapras,Lumineon,Lumineon,Nosepass,Nosepass,Octillery,Octillery,Omastar,Omastar,Onix,Onix,Piloswine,Piloswine,Politoed,Politoed,Poliwrath,Poliwrath,Quagsire,Quagsire,Rhydon,Rhydon,Sharpedo,Sharpedo,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Stunfisk,Stunfisk,Sudowoodo,Sudowoodo,Vaporeon,Vaporeon,Walrein,Walrein,Whiscash,Whiscash
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Tangela,Vine Whip,Power Whip,40,1.4246890148503424,1.4531688424940368,1.4245970499502867,1.4537462288718763,1.42133133555069,1.4522554408574992,1.3726207125789438,1.4495920325621359,1.4415945796394123,1.506727680224203,1.4286105768498831,1.521024800434401,1.3645906164998398,1.4305665194621244,1.4238725600978006,1.4021467758324004,1.4029285538396594,1.4052344601962923,1.3833797126487053,1.4240755117214834,1.3602690046125137,1.4150487658885251,1.386887574118339,1.4458345046563135,1.372963385540919,1.431905404003734,1.3624951135188486,1.445408648447832,1.4165695203682116,1.4877270552828235,1.4384247641522498,1.514311512915538,1.43376889572124,1.5180371192427604,1.4354233923522688,1.464673858555072,1.3519408620375994,1.3886456066542137,1.426156141223272,1.4621213759107519,1.4026343160461945,1.4679094039165053,1.3746986980170073,1.44253980770437,1.4215244954610249,1.474966864230875,1.3804771151780775,1.4514260297898653,1.412366935713762,1.4515022927373573,1.4276142342363085,1.4890457167198168,1.4231821421182096,1.5149428722499367,1.418458934422411,1.4835861919033495,1.3457939686118994,1.3968223112113318,1.4066841843131193,1.4887079877032992,1.3987980202686778,1.4785057742163563,1.3542058196014344,1.3799536973988833,1.3698588718641898,1.4411966100790568,1.3742307085371628,1.4342485929198885,1.3976139800604905,1.4586647249915985,1.409648076948839,1.474098088335767,1.365838990963617,1.446264381458798,1.3827415705226693,1.4331927256474006,1.3682891279927958,1.379160206838289,1.4017517552309358,1.4667672965967884,1.4108979030038054,1.5013197311958546,1.397996921875359,1.4377828314152483,1.4088871746445528,1.465399603654887,1.3928711692948526,1.459577506694436,1.3667333503919608,1.4296796855009422,1.3699081704732752,1.433573019869229,1.3854475001345459,1.4510521500457456,1.4087332230189373,1.4650854936569222,1.3764251120536655,1.422058779291881,1.446842807381605,1.5026865782257466,1.4784793407413788,1.533388845818857,1.429899844122337,1.4207442710479636,1.4681950577844594,1.5166306492530301,1.392420889687131,1.4813201424928308,1.3697466992851226,1.4216062368518747,1.4024309279403504,1.461253255707063,1.360284528749259,1.3686927180703115,1.4494750281064808,1.5127384287048153
Shaymin (Sky),Hidden Power Grass,Grass Knot,50,1.1455983311532312,1.2043089076406166,1.1412248044300204,1.20554844013009,1.1418658903073982,1.201865924438081,1.1436342236911698,1.2149360192496241,1.1791573281953496,1.2577238944112483,1.186680740714427,1.2660274139444718,1.1332103370968978,1.1999395544168128,1.1610882644463385,1.2004274333180889,1.2103493157913252,1.197556900130158,1.1599580672673198,1.2183331328726381,1.1787208196894476,1.2388472236893069,1.1693513660198798,1.2250012593414699,1.1587138263665593,1.2061528887044912,1.121814083601108,1.1923873475487192,1.1828424929520553,1.245403161008959,1.2242644818550956,1.3040871044045224,1.203228861693828,1.2725186906067645,1.1751970082813659,1.2426159491488038,1.199230753171975,1.1950286255652791,1.1904092707500054,1.240189825524831,1.180465891973316,1.2500986299404633,1.1726359555193147,1.2337924174947803,1.1851851851851851,1.2339635381498988,1.1704835157682336,1.2302476702936678,1.1903827201720163,1.2252583910929393,1.194540702962204,1.2597483335443984,1.195958527782248,1.2585231844410216,1.2229141109057875,1.296504495551035,1.1417194769513885,1.211318896362246,1.2039260137049823,1.279681247531214,1.1897242517086968,1.2524628800377091,1.1484043760497527,1.2082164419628671,1.145352197846173,1.2052627366586335,1.1578998123893185,1.2130170252310066,1.1673574549120644,1.2393861319592248,1.153107291652712,1.2127480005894409,1.1389640602003512,1.2028359366345407,1.1597200882755538,1.215311338939017,1.1674016172006274,1.1890880733774611,1.2108561157509012,1.2549379834953673,1.2007772649987856,1.2758481094648206,1.1880986837571499,1.2343279810718306,1.1736337398752443,1.2333382100629098,1.1942398095804818,1.259875037191312,1.1520156319058363,1.2117053199655725,1.144853380666896,1.1898534712285596,1.1502789587930322,1.2276429327449185,1.1883250597536312,1.2665195808052951,1.1481966128207441,1.1836326444665042,1.1626398873489958,1.2458682279700586,1.2288454360122893,1.2845589150180416,1.157606650780284,1.197274828444986,1.237151179178803,1.282185474020483,1.192236323764351,1.2674816674439604,1.185154160281001,1.2388794227675552,1.171145498187018,1.2472703130585772,1.1993251561716292,1.1919201130819388,1.2262619333447664,1.3242439833076087
Shaymin (Sky),Hidden Power Grass,Solar Beam,50,1.2296681970128327,1.2767413031025845,1.2281590073043491,1.2873203118204934,1.2239126391038648,1.2777640306971363,1.2023468319023638,1.2653617562146309,1.2596307339540844,1.2996305747190497,1.2271114877723253,1.310172897646826,1.1962383901627067,1.2433160266501868,1.2196708300783508,1.2774383896334074,1.33871495409294,1.256075210187498,1.2457192529741077,1.2906889651854443,1.2120506320199993,1.2844037181789374,1.1985128395956457,1.2591903490569563,1.2323327455658126,1.2704677937973239,1.1928531227733588,1.2361397214775056,1.2577109390602432,1.3055533623456304,1.2935314288246667,1.3489743461907056,1.2962543937679745,1.3348994003460317,1.2435734194221089,1.3026458262316776,1.3746057088095562,1.2792401773900284,1.225779949408687,1.2787494865197933,1.2604009755397747,1.3139032350620472,1.2129320155198522,1.267556160897499,1.2454297646735188,1.2604221371945883,1.2249319259267295,1.2463793271786414,1.2392428672655746,1.2555893108756384,1.24413718469739,1.3121193631203878,1.2338444561943953,1.3444332053610428,1.2925446837585601,1.3486497818221346,1.2627489859129375,1.3108679030105101,1.249695158603397,1.360159376234393,1.2550789535705869,1.3201272684421401,1.2428979980934223,1.2683553497662172,1.2113453859903425,1.2605045753261421,1.2425963915627796,1.2717900163063491,1.2351853926291028,1.2966002016354878,1.247257090037108,1.301726794110949,1.1661839877193816,1.2727215179857254,1.2547280498365785,1.2805961393412855,1.1937205826378379,1.226138863874783,1.229098600780544,1.3172424750990575,1.2471378835721805,1.3233746255363938,1.24105850733926,1.3002779500608734,1.2477555960471889,1.3017409924588026,1.2396548646236238,1.2966379053853019,1.2465281816278584,1.3138012049594083,1.1824908079911611,1.2159805111300284,1.2356798162998044,1.2716125791579211,1.2524728810443098,1.276833976833977,1.1708479980747828,1.2250398580152213,1.2560772252278958,1.2847402356777589,1.2661727969678698,1.3168518678037155,1.2052389228315983,1.2228781825022843,1.3013436061260923,1.3284224372827211,1.206902368596009,1.314377288468599,1.2462185753857575,1.272986016582106,1.2092027986313263,1.2800776262703641,1.2029273630933381,1.233787788974511,1.281064806875131,1.3180510299357837
