Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,12.5,12.5,12.5,12.5,12.5,12.5,8.75,8.75,8.75,8.75,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
Shadow Arcanine,Thunder Fang,Wild Charge,40,1.2538060685127013,,1.310716461852261,,,1.2902221167529344,1.3058323695772773,,,,1.2570546985116455,1.2386689143859153,1.212787511272314,,,,,1.261986608412517,1.281426085361703,,,,,,,
Shadow Arcanine(Unscaled),Thunder Fang,Wild Charge,40,2.8380358,,2.560261,,,2.7994895,2.91651,,,,0.62199426,0.69310933,1.138167,,,,,0.77430993,0.6735369,,,,,,,
Chandelure,Hex,Energy Ball,40,,,,,,,,,,1.653881061290998,,,,,,,,,,,,1.6252120810110087,1.5755314526832565,,,
Chandelure(Unscaled),Hex,Energy Ball,40,,,,,,,,,,3.9962394,,,,,,,,,,,,1.088639,1.0549893,,,
Shadow Raikou,Volt Switch or Thunder Shock,Wild Charge,40,1.0,1.0738978921672393,1.0,1.0027100791957215,1.0,1.0092416106327788,1.0,1.0,1.0,1.0221782675996383,1.0015339038258588,1.0,1.0,1.0,1.0028831035387282,1.0157101978447027,1.0,1.018988392903564,1.0,1.0751187422216333,1.011605684471253,1.0,1.0,1.0,1.0,1.0
Shadow Raikou(Unscaled),Volt Switch or Thunder Shock,Wild Charge,40,2.2635365,1.8593205,1.9533294,1.5231128,2.1855931,2.1898255,2.233449,2.3285165,1.4220786,2.4698687,0.49556184,0.5595598,0.9384719,0.54121673,0.6461285,0.45417708,0.643945,0.6252149,0.5256151,0.6782497,0.3463035,0.66984427,0.66960853,0.6799087,0.6048952,0.66206414
Mega Venusaur,Vine Whip,Frenzy Plant,40,1.1116116749166625,1.1278168716145054,1.0871506362418952,1.078450690001726,1.0799437919162538,1.0848041129458086,1.0967196475048233,1.0666167493337495,1.0859532658743334,1.1398914976651298,1.1143824027209541,1.113101691722672,1.1206900281191159,1.0949750204506796,1.1306659775156729,1.0987911208672716,1.123029606565778,1.1040304985149887,1.118006769592426,1.1787059597206844,1.0803647889764545,1.1217606444554642,1.1375185139890616,1.1196561685414528,1.0938893216543957,1.0900454448416432
Mega Venusaur(Unscaled),Vine Whip,Frenzy Plant,40,2.5161736,1.9526745,2.1235633,1.6381625,2.3603177,2.353779,2.4494674,2.4836347,1.5443109,2.7542968,0.5513996,0.62284696,1.0517361,0.5926188,0.7284553,0.4913269,0.7231693,0.6773937,0.58764124,0.74359876,0.36984184,0.75140494,0.7616921,0.76126397,0.6616884,0.72168
