Attacker,Fast Move,Charged Move,Level,[Blanks],[Average],[Average T5/Mega only],"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
(Boss weights),,,,,,,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.75,8.75,8.75,8.75,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
Shadow Raikou,Thunder Shock or Volt Switch,Wild Charge,40,0,1.009770382,1.010538048,1,1.073897892,1,1.002710079,1,1.007592933,1,1,1,1.022178268,1,1,1,1,1,1,1,1,1,1.075118742,1.011605684,1,1,1,1,1
Shadow Electivire,Thunder Shock,Wild Charge,40,0,1.055336891,1.059446312,1.025660289,1.107303644,1.017406998,1,1.113278634,1,1.064547523,1.108129146,1.129960046,1.023746919,1.030437634,1.015135558,1.011031934,1.034478997,1.004475333,1.02068572,1.032380638,1.010289262,1.039786433,1.102147485,1.051029572,1.025864012,1.015418666,1.038160565,1.020133173,1.061347772
Shadow Magnezone,Charge Beam or Spark,Wild Charge,40,0,1.054149168,1.054822,1.002339923,1.19197482,1.05307108,1.046651466,1.089184442,1.040669691,1.019795975,1.050601316,1.058453168,1,1.04414668,1.031511806,1.021540549,1.051542143,1.041357563,1.035997413,1.033043754,1.029660761,1.03083454,1.16079594,1.04877044,1.022053678,1.039528872,1.044038413,1.070676606,1.099884008
Shadow Zapdos,Thunder Shock,Thunderbolt,40,0,1.062333566,1.063455165,1.062388789,1.068108507,1.045046012,1.044934345,1.132629582,1.057153063,1.053581837,1.062349741,1.066418762,1.043347174,1.047968585,1.030974634,1.062040217,1.045262662,1.070195634,1.030555879,1.073056783,1.030861117,1.057829008,1.112137082,1.039369321,1.054042905,1.056427402,1.079570772,1.052952148,1.052401267
Zekrom,Charge Beam,Wild Charge,40,0,1.086380968,1.084924674,1.118102138,1.131080982,1.076091109,1.055810673,1.04335226,1.069485004,1.114436596,1.083012897,1.063842744,1.093288244,1.097462529,1.103694654,1.120166837,1.072694612,1.101230405,1.059820324,1.09673,1.076571512,1.110849365,1.153468897,1.089919473,1.098853768,1.09465099,1.081252292,1.084178383,1.072588828
Shadow Tangrowth,Vine Whip,Power Whip,40,0,1.119125492,1.118528798,1.119557471,1.179511897,1.112901234,1.078498946,1.131906666,1.1145822,1.12943761,1.113838876,1.105242917,1.10103805,1.121340981,1.126971845,1.114575833,1.091558589,1.126823689,1.06036161,1.117167988,1.132293712,1.142009999,1.208020121,1.121873562,1.140190242,1.159221643,1.134547918,1.075492813,1.08765761
Zarude,Vine Whip,Power Whip,40,0,1.121041348,1.115834625,1.083273453,1.183117527,1.09672726,1.120321104,1.116113791,1.111216618,1.118572665,1.091946782,1.128189609,1.109618017,1.161423365,1.145329239,1.163196682,1.141596454,1.161309801,1.117868387,1.164486253,1.141152426,1.170971382,1.234034281,1.110852927,1.134840491,1.13584709,1.145758394,1.133389784,1.146680743
Thundurus (Therian),Volt Switch,Thunderbolt,40,0,1.133209753,1.135684261,1.117250329,1.142748699,1.111437016,1.103616717,1.21216845,1.11845346,1.113150065,1.146686012,1.145056891,1.145873504,1.103985731,1.082548997,1.143070133,1.117557933,1.119647098,1.097737054,1.131161357,1.090783505,1.103408254,1.181626575,1.10267878,1.111596431,1.116399607,1.153586209,1.1071212,1.144091779
Shadow Venusaur,Vine Whip,Frenzy Plant,40,0,1.152160685,1.15372109,1.202922904,1.150076861,1.129640705,1.115363751,1.206852273,1.12223932,1.153448008,1.122245773,1.142148191,1.192500223,1.153877466,1.127097854,1.165309904,1.126472569,1.163705873,1.085577348,1.149941843,1.104521917,1.152047116,1.178919224,1.14513462,1.16245997,1.18976964,1.137866069,1.086001509,1.164391323
Shadow Mewtwo,Confusion or Psycho Cut,Thunderbolt,40,0,1.178473943,1.178375434,1.128510939,1,1.113129972,1.112866181,1.119860142,1.125656851,1.152723434,1.52887042,1.281915078,1.19782949,1.110617799,1.118341239,1.107471199,1.533581565,1.114222171,1.09214395,1.139609594,1.119465323,1.124211043,1,1.518999825,1.208294056,1.210530875,1.238282787,1.12660408,1.102139047
Shadow Torterra,Razor Leaf,Frenzy Plant,40,0,1.172886304,1.173866977,1.114073133,1.195692269,1.147441901,1.117134263,1.225531642,1.141763334,1.367579291,1.150045662,1.129046172,1.145525655,1.137496705,1.146614178,1.229991116,1.125597596,1.235502845,1.102484608,1.206673769,1.129521337,1.149161544,1.24695838,1.144265285,1.139581234,1.20960308,1.155823422,1.143108922,1.174882542
Raikou,Thunder Shock or Volt Switch,Wild Charge,40,0,1.192327395,1.192537801,1.165738922,1.270666011,1.162643689,1.201015184,1.176995297,1.172952799,1.204241064,1.175452998,1.194473147,1.200950569,1.184393052,1.193742474,1.18514321,1.183866766,1.203207969,1.167792659,1.173667099,1.1699638,1.197676132,1.283961027,1.205005852,1.173675189,1.176662729,1.203935823,1.170625193,1.184842605
