Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,9.375,9.375,18.75,18.75,18.75,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231
Shadow Articuno,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Articuno(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Exeggutor,Bullet Seed or Confusion,Solar Beam or Seed Bomb,40,1.2905065737994974,,1.2668805034025392,1.345072740893807,1.1608267797770138,1.300805702730393,1.172297858994873,1.2075704226391872,1.167597214898621,1.1920262610401848,1.1648129180091076,1.1927068333655142,1.2901690052768242,1.1422139113887382,,1.130349832650801,1.1602731827871942,1.3115748277428636
Shadow Exeggutor(Unscaled),Bullet Seed or Confusion,Solar Beam or Seed Bomb,40,2.9234772,,2.8733933,3.30541,2.0900223,0.62377757,0.9673816,0.8178831,0.54817134,0.70467114,0.46081907,0.82489043,0.87208503,0.5985523,,0.45866013,0.6970912,0.7760242
Shadow Omastar,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Omastar(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Venusaur,Vine Whip,Frenzy Plant,40,1.2008284026489602,1.4044010012883557,1.1732698348452912,1.280661311187623,1.1712674999018307,1.3058365067418902,1.157678999982065,1.130348249304145,1.1511902744503848,1.1088274047826856,1.1125721083641682,1.144528841790295,1.2439783127758586,1.100182776423101,1.2676346255673774,1.145404162917606,1.1740568229784594,1.2424128776406451
Shadow Venusaur(Unscaled),Vine Whip,Frenzy Plant,40,2.7203228,2.7212567,2.6610763,3.147124,2.1088204,0.62619,0.9553181,0.7655808,0.5404685,0.6554878,0.44015175,0.79156995,0.8408626,0.5765268,0.60170937,0.4647687,0.7053724,0.7351029
Genesect (Burn),Metal Claw,Magnet Bomb,40,,1.441185353329649,,,,,,,,,,,,,,,,
Genesect (Burn)(Unscaled),Metal Claw,Magnet Bomb,40,,2.7925324,,,,,,,,,,,,,,,,
Shadow Weavile,Ice Shard or Snarl,Avalanche,40,1.1139268618069669,,1.237015712150181,,,,1.0,1.1686487629345144,,1.1713350381568903,,1.155780785546163,,,,,1.1079297875230194,
Shadow Weavile(Unscaled),Ice Shard or Snarl,Avalanche,40,2.5234585,,2.8056574,,,,0.8252012,0.7915216,,0.69243944,,0.79935193,,,,,0.66564333,
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,40,,1.3711399646460818,,1.1420306492049999,1.024487851744118,1.108556744006705,,,,,,,1.112088407608089,,1.1038652499885289,,,1.076455329424872
Shadow Machamp(Unscaled),Counter or Karate Chop,Dynamic Punch,40,,2.656808,,2.8064501,1.8445495,0.5315881,,,,,,,0.7517121,,0.5239728,,,0.6369102
Kingler,Bubble,Crabhammer,40,1.212395157386527,1.4163910598310252,1.2874643394175393,,,1.342257873671334,1.1562648600123218,1.220060227693518,1.2163659254400998,,1.1676479371253536,1.2125080641306343,1.3136085430448734,1.1262592356670882,1.2773992208244962,1.2048964150230563,1.2125834055704467,1.3179685556360805
Kingler(Unscaled),Bubble,Crabhammer,40,2.7465258,2.7444894,2.9200792,,,0.6436552,0.95415115,0.8263424,0.5710676,,0.46194065,0.8385852,0.8879289,0.5901916,0.60634434,0.48890877,0.72851914,0.7798072
Exeggutor,Bullet Seed,Solar Beam,40,,,,,,,,,,,,,,,,1.3346062272484076,,
Exeggutor(Unscaled),Bullet Seed,Solar Beam,40,,,,,,,,,,,,,,,,0.5415409,,
Landorus (Therian),Mud Shot,Earthquake,40,,,,1.363898249424905,,1.3572185113100972,,,,,,,1.3542997014481992,,,,1.2058984099845673,1.2658726703371588
Landorus (Therian)(Unscaled),Mud Shot,Earthquake,40,,,,3.3516722,,0.6508293,,,,,,,0.91543394,,,,0.7245028,0.74898344
Clawitzer,Water Gun,Crabhammer,40,,,1.2902839421177024,,,,,1.2754899479755097,1.2902354546033128,,1.2734380209434197,,,1.29509089396334,,1.302432940177929,,
Clawitzer(Unscaled),Water Gun,Crabhammer,40,,,2.9264743,,,,,0.86388475,0.60574836,,0.50379294,,,0.67866415,,0.528486,,
Samurott,Fury Cutter or Waterfall,Hydro Cannon,40,1.2212653128285609,1.4313390105485801,1.2567857340475037,1.3579238559449114,,,1.1589077912150394,1.2616261802070705,1.226981562075414,,1.2047617947467189,1.2500985017525577,,1.255439554588856,,1.2401640295705703,1.3015364201550201,
Samurott(Unscaled),Fury Cutter or Waterfall,Hydro Cannon,40,2.76662,2.7734535,2.8504975,3.3369906,,,0.9563321,0.85449487,0.5760515,,0.4766235,0.8645832,,0.65788573,,0.50321925,0.78196204,
Mamoswine,Mud-Slap or Powder Snow,Avalanche,40,1.2297024267716232,,,,,,,1.2450123756748153,,,,1.2561913104869802,,,,,1.199114279779334,
Mamoswine(Unscaled),Mud-Slap or Powder Snow,Avalanche,40,2.7857332,,,,,,,0.8432424,,,,0.86879706,,,,,0.7204269,
Shadow Golduck,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Golduck(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
