Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,9.375,9.375,18.75,18.75,18.75,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231
Shadow Entei,Fire Fang,Iron Head,40,,,,,,,,,,,,,,,1.3350885701923467,,,
Shadow Entei(Unscaled),Fire Fang,Iron Head,40,,,,,,,,,,,,,,,0.6337278,,,
Kyogre,Waterfall,Surf,40,1.0749312434755807,1.306307451923027,1.153244119814054,1.3209410597532942,1.1643782053265164,1.3011943735940712,1.1346356500693406,1.0720302240425537,1.1103601230353517,1.1117480757785623,1.0897776424841907,1.0836635935891417,1.3131236524910594,1.0836879842604756,1.2688578518113747,1.0890862762003628,1.1963906243550257,1.2617817661629656
Kyogre(Unscaled),Waterfall,Surf,40,2.5248716,2.5311844,2.6981823,3.2461083,2.0964165,0.62396395,0.9363027,0.7807252,0.5262425,0.66650987,0.43496513,0.7879901,0.88760114,0.59801555,0.60229,0.4643413,0.71879053,0.74656296
Shadow Tangela,Vine Whip,Power Whip,40,,,1.2555106427666347,,,,,,1.3312961354612658,,1.2566664662317228,,,1.1878287969727113,,1.2678662281000077,,
Shadow Tangela(Unscaled),Vine Whip,Power Whip,40,,,2.9374497,,,,,,0.6309526,,0.5015758,,,0.65548396,,0.54056567,,
Blaziken,Counter,Focus Blast,40,,,,,,,,,,,,,,,1.4249763067462013,,,
Blaziken(Unscaled),Counter,Focus Blast,40,,,,,,,,,,,,,,,0.6763949,,,
Conkeldurr,Counter,Dynamic Punch,40,,1.33709917449035,,1.2527538830342868,1.157849596333737,1.2591492282991927,,,,,,,1.3174868094191203,,1.2394707593036338,,,1.2411539064781663
Conkeldurr(Unscaled),Counter,Dynamic Punch,40,,2.5908484,,3.0785437,2.084662,0.60380197,,,,,,,0.8905504,,0.5883408,,,0.734358
Shadow Metagross,Bullet Punch,Meteor Mash,40,,0.9999999999999999,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,1.0
Shadow Metagross(Unscaled),Bullet Punch,Meteor Mash,40,,1.9376636,,2.457421,1.8004601,0.4795317,,,,,,,0.67594635,,0.47467098,,,0.5916736
Shadow Cacturne,Sucker Punch,Grass Knot,40,,,,,,,1.1309466467087057,,,,,,,,,,1.2977508958067854,
Shadow Cacturne(Unscaled),Sucker Punch,Grass Knot,40,,,,,,,0.93325853,,,,,,,,,,0.7796877,
Entei,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Entei(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Groudon,Mud Shot,Earthquake,40,,,,1.369953459338062,,1.3755651607599666,,,,,,,,,,,,
Groudon(Unscaled),Mud Shot,Earthquake,40,,,,3.3665524,,0.6596271,,,,,,,,,,,,
Feraligatr,Waterfall or Water Gun,Hydro Cannon,40,1.2096324271947168,,1.2486323782227853,,,,,1.195365469218127,1.2485955458616598,,1.209421519697744,1.2397553722472467,,1.2275155359304806,,1.2163944857685525,,
Feraligatr(Unscaled),Waterfall or Water Gun,Hydro Cannon,40,2.8412669,,2.921357,,,,,0.8705463,0.5917576,,0.48271883,0.90149283,,0.67738444,,0.51862025,,
Machamp,Counter,Dynamic Punch,40,,1.3936919700612633,,1.3502075956866975,1.2007946191087489,1.3113016303197473,,,,,,,1.3468155571814242,,1.3144987292039636,,,1.2800934501725274
Machamp(Unscaled),Counter,Dynamic Punch,40,,2.7005062,,3.3180285,2.1619828,0.6288107,,,,,,,0.91037506,,0.6239544,,,0.7573975
Shadow Mewtwo,Confusion or Psycho Cut,Ice Beam or Focus Blast,40,1.095798742202627,1.468480287290322,1.0658772051525414,1.3665436650862834,1.0146170414995588,1.3655430078970796,1.2052695391136126,1.068293000419214,,1.112817539905577,,1.096908384443566,1.3024880450941112,,1.3025703193399352,,1.1731314888568427,1.304689545046458
Shadow Mewtwo(Unscaled),Confusion or Psycho Cut,Ice Beam or Focus Blast,40,2.5738866,2.8454208,2.4937747,3.3581731,1.8267775,0.65482116,0.99458987,0.7780035,,0.66715103,,0.7976211,0.88041204,,0.61829233,,0.70481646,0.77195036
Shadow Ho-Oh,Hidden Power Water or Steel Wing or Incinerate,Solar Beam,40,,1.4249694838670655,1.1750255401951082,1.3621523540329474,,,,1.2039405279293514,,,,,,1.2310257601157741,1.2517783370704483,1.2824337306670957,,
Shadow Ho-Oh(Unscaled),Hidden Power Water or Steel Wing or Incinerate,Solar Beam,40,,2.7611115,2.7491431,3.3473818,,,,0.87679124,,,,,,0.6793215,0.59418285,0.54677665,,
Shadow Banette,Shadow Claw,Thunder,40,,,,,,,,,,1.841760475797778,,,,,,,,
Shadow Banette(Unscaled),Shadow Claw,Thunder,40,,,,,,,,,,1.1041634,,,,,,,,
Krookodile,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Krookodile(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Salamence,Fire Fang or Bite or Dragon Tail,Hydro Pump,40,,,1.156173751800166,,,,1.1525208640026214,1.1877684846469274,,1.1056620415962766,,1.228236997455009,,,1.3159146573485492,,1.2814987936069155,
Shadow Salamence(Unscaled),Fire Fang or Bite or Dragon Tail,Hydro Pump,40,,,2.7050366,,,,0.9510616,0.86501366,,0.6628612,,0.8931172,,,0.6246265,,0.76992345,
