Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Groudon, Tier 5","Kyogre, Tier 5","Regirock, Tier 5","Suicune, Tier 5","Terrakion, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Swampert, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Donphan, Tier 3","Floatzel, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Kabutops, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Nosepass, Tier 3","Octillery, Tier 3","Omastar, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Poliwrath, Tier 3","Rhydon, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Whiscash, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,1.8518518518518516,1.8518518518518516,1.8518518518518516,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,5.0,5.0,5.0,5.0,5.0,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125
Shadow Bellossom,Razor Leaf,Leaf Blade,40,1.3678411679258937,1.3713273948985636,1.3677789699877123,1.3671651880536155,1.3019796961079522,1.3090673239071215,1.3727412646734571,1.3521379770189412,1.3243595069990421,1.2995252315531747,1.3411047297706231,1.3146119029793988,1.3583206499732026,1.3258813364588697,1.3140544185570977,1.4007315047586422,1.2841052840807285,1.3164638388858798,1.3290697161526095,1.2906191098399338,1.284921741253641,1.3028136155308014,1.3093530469270316,1.3692052040714209,1.3011857299771254,1.32125734805475,1.3445126517611385,1.3123939389056198,1.353000281459133,1.3250656508876233,1.3175646794414984,1.326478338962999,1.3409311400758912,1.2988821206626002,1.3155447484867933,1.280171588694118,1.3039789957326098,1.3942997683282556,1.301789692949117,1.360526975530946,1.3033704968721658,1.2904869474050416,1.3347577713417855,1.2984024783446295,1.3304909802302718,1.300418297798741,1.3264882569635208,1.303178501994651
(Unscaled),,,,3.3535035,3.3590212,3.3538337,2.6696286,2.7648363,2.144465,3.2946916,3.1914752,3.9648614,3.0587952,2.6923175,3.220099,3.3735723,2.047573,3.4959314,1.9952874,0.70805514,0.8199555,0.79246247,1.185683,1.3440257,0.7696629,0.95330447,1.0110826,0.62664056,0.67001885,0.8458767,0.5513597,1.0244877,0.6345697,0.9478491,0.89854807,1.1260543,0.7632767,0.6696017,0.7363113,0.761965,0.9944911,0.5809073,0.5031798,0.97935903,0.9815094,1.016103,0.88082105,0.93854743,0.8460007,0.955203,0.47739312
Zarude,Vine Whip,Power Whip,40,1.0,1.0,1.0,1.0490333642396619,1.0088089203651243,1.038824597681854,1.018125005728971,1.0334924828128011,1.0686244624465653,1.0260238110714728,1.0172557209528035,1.019925801012906,1.0237480173714757,1.0388933342372964,1.00779261589165,1.0135842258931624,1.0438112396164234,1.02895292288173,1.0383489572807538,1.0337821157269915,1.0436227369820268,1.0458407511271268,1.030604710050326,1.0531296918700366,1.0542331750817924,1.0060667669742285,1.0396246056693583,1.0401315555673194,1.0371829807663253,1.0406103360891115,1.0423555501670752,1.0532508643053515,1.0448785390509499,1.047374142767788,1.046436175534089,1.0466804284883966,1.0250485677477297,1.0914796838330736,1.0175394516426053,1.0282202251643568,1.0116601043373497,1.0,1.0233127150362835,1.052509160314233,1.060365443373813,1.0538329690013122,1.0542662808493997,1.0453018018190168
(Unscaled),,,,2.4516761,2.449467,2.452029,2.0484207,2.1422696,1.7017635,2.4435835,2.4393706,3.199243,2.4150333,2.0421786,2.498275,2.5426161,1.6043743,2.6811476,1.4438112,0.5755571,0.6408802,0.6191192,0.9497286,1.0916274,0.6178511,0.75035536,0.77767825,0.5077102,0.5101835,0.6540617,0.4369775,0.7853518,0.49834496,0.7498651,0.7134655,0.8774425,0.61548024,0.5326276,0.6020151,0.59897524,0.7785032,0.4540642,0.38027886,0.7601664,0.7605729,0.7790111,0.7140099,0.747997,0.68558204,0.7591762,0.3829252
Abomasnow,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Unscaled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor,Bullet Seed or Confusion or Extrasensory,Seed Bomb or Solar Beam,40,1.3036888518838197,1.3069126058852805,1.300135398072372,1.2737780925597175,1.2539089369269099,1.2425595140897192,1.4345536110849546,1.4052005795660474,1.264685255378507,1.275825895294333,1.1826599368948152,1.3222848771124696,1.3707654752931258,1.359794196880952,1.2499149757030479,1.3015861438115892,1.2301083461068887,1.2181542958803235,1.222626886047629,1.2187237262668322,1.322299725018621,1.2834179040677725,1.2490434680373352,1.2819723448560618,1.2461448171246388,1.2535417574594712,1.2870214301573992,1.2562903528448335,1.2570078199997,1.2641083423401451,1.2279332206404512,1.2886018869086027,1.2565425293433625,1.2093056470985597,1.1973696598272396,1.1909304112325119,1.2471756092017912,1.1905189655417285,1.2135711875722486,1.2940363913396062,1.2386271375857603,1.2246319846526217,1.2383973722019181,1.222911951753885,1.280212360295761,1.2461915913608272,1.2890494377787722,1.219315573016446
(Unscaled),,,,3.1962228,3.2012393,3.1879697,2.487274,2.662755,2.0355144,3.4430463,3.3167198,3.7862089,3.0030122,2.3742337,3.2388937,3.4044807,2.099945,3.3252938,1.8540587,0.67828125,0.7587237,0.72899556,1.1196332,1.383123,0.7582045,0.9093947,0.94666594,0.6001333,0.6356798,0.8097071,0.5277896,0.9518025,0.60537744,0.8833687,0.8728908,1.0551885,0.71063787,0.60945153,0.6849828,0.7287726,0.84914345,0.5415409,0.4785888,0.93071055,0.9314219,0.9427473,0.82960916,0.90308017,0.81072295,0.92824334,0.44667163
