Attacker,Fast Move,Charged Move,Level,IV,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Shadow Azelf,Shadow Azelf,Azelf,Azelf,Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Shadow Cresselia,Shadow Cresselia,Cresselia,Cresselia,Jirachi,Jirachi,Shadow Jirachi,Shadow Jirachi,Shadow Latias,Shadow Latias,Latias,Latias,Shadow Latios,Shadow Latios,Latios,Latios,Shadow Lugia,Shadow Lugia,Lugia,Lugia,Lunala,Lunala,Shadow Mesprit,Shadow Mesprit,Mesprit,Mesprit,Mew,Mew,Shadow Mewtwo,Shadow Mewtwo,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Shadow Uxie,Shadow Uxie,Uxie,Uxie,Victini,Victini,Shadow Victini,Shadow Victini,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Blacephalon,Blacephalon,Hoopa (Confined),Hoopa (Confined),Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Banette,Mega Banette,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Mewtwo Y,Mega Mewtwo Y,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Alakazam,Alakazam,Banette,Banette,Braviary (Hisuian),Braviary (Hisuian),Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gengar,Gengar,Golurk,Golurk,Gothorita,Gothorita,Greavard,Greavard,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Metagross,Metagross,Metang,Metang,Mr. Mime (Galarian),Mr. Mime (Galarian),Raichu (Alola),Raichu (Alola),Sandygast,Sandygast,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Typhlosion (Hisuian),Typhlosion (Hisuian),Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0
(Raid tier),,,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Elite Tier,Elite Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Houndoom,Snarl,Foul Play,35,15\15\15,1.6294979614714942,1.56909751037249,1.627155025028229,1.567370598901275,1.6356357172542642,1.6132176548065846,1.673332955619495,1.6311792805524183,1.600865364609503,1.6013546621978334,1.5606279871942657,1.5564776958816042,1.5928093002856452,1.572317202242572,1.6494595563348937,1.729181625038451,1.613933436855293,1.706042163339085,1.594286585234292,1.6246856938634717,1.612163456932928,1.5856247167855613,1.5883997341038625,1.581332972586323,1.6376786519148518,1.6096731560832676,1.6144021501895374,1.5783686930815515,1.6111443196237307,1.5995826287777668,1.635277509068492,1.605390111069714,1.6059202788522762,1.612644979809622,1.8123750276736248,1.6478316226402445,1.690523732097285,1.6230192646819455,1.5808377566955123,1.5671410323522634,1.6613187523322384,1.6397625965435545,1.5557591121855243,1.5457341299993275,1.6990952607436953,1.658815965297234,1.5817743203308714,1.5224342055076665,1.5899793922326053,1.4944446314698911,1.7520946752333773,1.6044040086975,1.8367080401394085,1.8430830808399319,1.8608010447666488,1.832122794282765,1.870089820722743,1.836900434564431,1.844204189671822,1.792255912144374,1.5687044737864777,1.593869926993202,1.6141618408881544,1.588637771482279,1.605964239374905,1.619390589652229,1.6056751989207168,1.6061037312237652,1.711888785154138,1.5856590350837856,1.7244286599038454,1.6161416785338565,1.8042161529525822,1.5729404417737332,1.8023679892057471,1.5961467070235575,1.704703427164558,1.7300823718396054,1.6249958829705755,1.6146534914141646,1.6653999845714726,1.6406524724215072,1.6181654596199215,1.5922405933499073,1.672203774633583,1.600223848516901,1.6149650903109625,1.5822846645747803,1.7305765473736108,1.5989220704327167,1.6696206966699898,1.5476734074932008,1.6380847714607718,1.5795392254335128,1.627378516887631,1.5085097601321276,1.6427075882669229,1.6488830354930917,1.643553562236639,1.509267559957719,1.6176608334442277,1.5874624327603029,1.6705895068349546,1.6143183282231783,1.5858369165722066,1.5355323195829254,1.6656442939672222,1.6198680186374683,1.6090072777463167,1.611312635457187,1.6068889666655242,1.59715430587659,1.5910228172206224,1.6517293164461062,1.6196467695478869,1.6807669053274361,1.4402127280908301,1.4878947287962894,1.7348547115321253,1.61639559279218,1.7380822434329435,1.694220239875878,1.4842547494557474,1.5324612213004503,1.636395863802794,1.699204511592381,1.4559330322963264,1.5148696703497182,1.589656416574747,1.604043090870729,1.5802714109127378,1.6456971913085752,1.6656016759532208,1.5825306352348296,1.6103568550254916,1.5872902342815196,1.607257760664805,1.677604392647898,1.5861754665667758,1.6334333262055665,1.6199687930746678,1.5670681233414563,1.5234924273563364,1.5982601534979606,1.4847211755081335,1.550404428139154,1.655154061684179,1.6497944116914691,1.7009397310410268,1.6391035101607807,1.6496623991342385,1.648115952400593,1.58950329936443,1.6142315990522906,1.697734345956624,1.651601041950942,1.6096850409957246,1.593241785370732,1.6628740492635026,1.7476580548000202,1.591664847800293,1.6172835107633425
Pangoro,Snarl,Brutal Swing,45,15\15\15,1.2673518245655773,1.2904323332635106,1.262068980077748,1.2845125514749125,1.4160666590331026,1.3399909803803491,1.340747498689186,1.3230155904239274,1.2800770109394881,1.3113569551168185,1.3150064371335894,1.3309266873943082,1.296776514197997,1.3144280256636438,1.3958189167134447,1.4572542772582935,1.3642215226004055,1.4416997391800752,1.4345630805846357,1.3299161905626005,1.3454838531443216,1.3522023813154354,1.3372509364872693,1.345682056406551,1.6141604043306557,1.3415428295307221,1.270139285709975,1.2991516101142697,1.3272377555722783,1.3513728386978485,1.3652993812745482,1.290165128339002,1.2885043702935361,1.3293817480802141,1.304457724844344,1.3208257368681484,1.3552797254265716,1.3413224680582008,1.3677820925114605,1.3015400627289107,1.3192764594818078,1.3304558383719418,1.2777696988967262,1.2965649169265028,1.3154651926517746,1.341074043135985,1.281311478672137,1.2521529848394897,1.2727650693682255,1.2384658513405027,1.314589729756241,1.3143483414259323,1.4188872508575978,1.5039071868178777,1.4249973561319513,1.50124930078128,1.4094367748632222,1.4857769012037854,1.401572754956271,1.458856650940005,1.3062669553868078,1.3359459838647885,1.232846728493054,1.254909178005103,1.2478231137294664,1.2940833153378337,1.3161708867291464,1.3219972888521174,1.294905310631507,1.3201055269864972,1.405149280235476,1.3078764895468442,1.3025591957586928,1.2810089699806977,1.3918094230909488,1.2728811902851724,1.3373168546221037,1.388489281750662,1.2960977386146235,1.3223675145101697,1.2932222479364346,1.3696836637609606,1.2546392940246862,1.2890424326460537,1.4555826258611715,1.3199481490274474,1.2783103324065606,1.3079353440240535,1.260792212336416,1.2809242475150204,1.3083955894612314,1.2566506491627873,1.5287399002488702,1.317804183585787,1.2688552618526472,1.1903609033017744,1.273663954168083,1.3126933768697562,1.295962655292315,1.2163387963784704,1.2643896605417546,1.2827789138907526,1.4024560749052657,1.3179516673778109,1.2797590980959133,1.2610794162313175,1.3045509408612377,1.3635245044256321,1.3587892802745867,1.3625614342353156,1.243879089744807,1.3146434595728231,1.3020870991311553,1.379742475161086,1.341781304603036,1.415291068308398,1.2128437219450712,1.2473827724494726,1.3406863741233783,1.3197078249917236,1.2893691066263573,1.3142206631070363,1.2448153704628495,1.2927596507280035,1.3209039625426857,1.4226956524717511,1.2010857036083298,1.2795491257255722,1.2693862642823104,1.3199319679828985,1.3076523978084997,1.375764285918093,1.3436043388549286,1.3315154946637042,1.2798189312804684,1.3362854634871801,1.338006429882846,1.403506943884537,1.3043376118646868,1.3705919227601842,1.2373149940125634,1.2707431119427801,1.2749140827108256,1.3497179213518917,1.2289468895471487,1.302924741495432,1.3083173366434393,1.3518674869688605,1.262958648878987,1.3530523414887885,1.2752710694788987,1.340516231801006,1.2615956635511891,1.3192599488431038,1.3030121040999632,1.324020658190081,1.3071308521392975,1.3244731758030917,1.374322145744558,1.4605127861475569,1.2946923121267082,1.3306564011692088
Krookodile,Snarl,Crunch,45,15\15\15,1.5325683895289028,1.560467560309286,1.5402039710483821,1.563608676746498,1.5495836777411214,1.566627055650218,1.5940947924220759,1.602099563506322,1.5636034495692286,1.567785337490782,1.6390418352476965,1.6429663684059086,1.5484737444057333,1.5795844606481628,1.6946514560926542,1.763188822821019,1.6238101946281207,1.7112320966291312,1.596697468898561,1.6285923566279936,1.6189775111142044,1.620237647186297,1.5629285289591313,1.5987293161223162,1.5773101109480352,1.6483183165334956,1.5070264298600837,1.6264495735520892,1.5551177453687781,1.5857119044294006,1.624328611099543,1.6294618047257865,1.6927724874351349,1.6229340228586617,1.5529415850570363,1.6447911843076652,1.567282822795365,1.613646286477526,1.5331019914178092,1.5449891464683871,1.5982942185443008,1.6461148142990594,1.5558826593182622,1.5920871646322694,1.6214939721797008,1.634506390195616,1.512496160951487,1.5509125824607721,1.5397025476630697,1.500768802517979,1.574724156816584,1.6046180947242794,1.739815098441338,1.8392857822634288,1.738816618162001,1.842695746365075,1.7268228805326187,1.8310151004417574,1.6906769598068354,1.800263788144458,1.6402714109761087,1.6081364219267564,1.4988134125332016,1.5121106168858307,1.5291600029046948,1.5485154566582726,1.5431167884538426,1.6005725529570995,1.5417078636864476,1.5895289015102274,1.6194402207051246,1.6141310288896051,1.5022053750010917,1.5292483383263606,1.4845735176135948,1.5015319816205965,1.5767319479593704,1.6595248403061618,1.5184731691964402,1.593834584918896,1.540609426830209,1.6271183625189642,1.5265195677188166,1.5775350230373297,1.6976934414946943,1.6124619719777389,1.5199582320771905,1.5429335580875183,1.5299582170438364,1.5616184298054747,1.5332596131962204,1.4780057554605202,1.5130015501850356,1.5488060239427093,1.5103168371297275,1.4394775346905964,1.6418793126961,1.645690684580007,1.5916491063127978,1.5230536914289599,1.4933240575524624,1.5245820754776198,1.6615229802997427,1.6102517437982709,1.4851618000193605,1.5312584029597154,1.595934580364984,1.6264893943623684,1.5811843955263176,1.5911749124541623,1.517114279669005,1.5923721662529,1.5919054217651847,1.6705136859145486,1.6311200902770193,1.718699805021659,1.446711879858509,1.5129159159514665,1.5439915826955184,1.5779309735260543,1.5717932977498534,1.6123401508819082,1.4987244665991688,1.555643081729248,1.6054196536728331,1.7054041263784756,1.4576552373065954,1.5364593714885515,1.5317966204753626,1.6040156763098545,1.561296293826023,1.63181043610684,1.627843894888927,1.6406561430600697,1.5636594390570562,1.5951842770341143,1.6376114235074464,1.6847590047530088,1.5732567889427411,1.6516015105422053,1.5078095106493568,1.556224283755706,1.5405446021232077,1.6337947827252057,1.518160078337318,1.569811514401803,1.6021944037706672,1.6579106517248985,1.5347265719013332,1.6374864104267746,1.6088519180541998,1.629779975930429,1.554947316037598,1.592725243658373,1.595382582351486,1.6475234765144509,1.549630879258658,1.6082148217278214,1.6655536502855284,1.756280546547282,1.5475111269154724,1.6195517615882227
