Attacker,Fast Move,Charged Move,Level,IV,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Shadow Azelf,Shadow Azelf,Azelf,Azelf,Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Shadow Cresselia,Shadow Cresselia,Cresselia,Cresselia,Jirachi,Jirachi,Shadow Jirachi,Shadow Jirachi,Shadow Latias,Shadow Latias,Latias,Latias,Shadow Latios,Shadow Latios,Latios,Latios,Shadow Lugia,Shadow Lugia,Lugia,Lugia,Lunala,Lunala,Shadow Mesprit,Shadow Mesprit,Mesprit,Mesprit,Mew,Mew,Shadow Mewtwo,Shadow Mewtwo,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Shadow Uxie,Shadow Uxie,Uxie,Uxie,Victini,Victini,Shadow Victini,Shadow Victini,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Blacephalon,Blacephalon,Hoopa (Confined),Hoopa (Confined),Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Banette,Mega Banette,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Mewtwo Y,Mega Mewtwo Y,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Alakazam,Alakazam,Banette,Banette,Braviary (Hisuian),Braviary (Hisuian),Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gengar,Gengar,Golurk,Golurk,Gothorita,Gothorita,Greavard,Greavard,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Metagross,Metagross,Metang,Metang,Mr. Mime (Galarian),Mr. Mime (Galarian),Raichu (Alola),Raichu (Alola),Sandygast,Sandygast,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Typhlosion (Hisuian),Typhlosion (Hisuian),Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0
(Raid tier),,,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Elite Tier,Elite Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Houndoom,Snarl,Foul Play,35,15\15\15,1.6026801376304698,1.6135410198424398,1.5586859869981466,1.5650732834640881,1.52465728037021,1.558935795410936,1.579946673009157,1.6068245404302461,1.523695950460126,1.566221985953166,1.5168090189895844,1.5705663800720397,1.524513059212731,1.5702370580673461,1.649459639496322,1.7291805445081454,1.6139342530262324,1.7060464273855163,1.6515870289928274,1.7290059601979997,1.646413331276831,1.6894070846507803,1.6195201273724342,1.6761265348548102,1.6207603739651861,1.6756753583989556,1.575468135265249,1.6105906904398983,1.6209831040880196,1.6620569353672199,1.5707318861021828,1.6190489412318716,1.5900510971399255,1.6465679662083486,1.7006269055263965,1.625811090183102,1.6456701794883566,1.64897533592587,1.5195381473690674,1.559081208063996,1.5855214238840998,1.6309285885853446,1.5049797996764411,1.547077804397217,1.6686005027085755,1.6961581419951937,1.5626543937641277,1.5754429195220383,1.6089753016822308,1.585815011805845,1.7057747606070566,1.6546345029455245,1.6777690013221458,1.7584688657010674,1.6925080606414065,1.748501944525865,1.700901398261929,1.7523696208796962,1.732540308585492,1.7641708474005826,1.6431287858835923,1.6990929681327362,1.524260732558451,1.573654001164028,1.5863751662624936,1.6358509804723482,1.6301723583459748,1.6881156355547329,1.7114273554490946,1.6713877338877339,1.6861432967032965,1.672118388278388,1.7068145701748656,1.6143095711233637,1.670486453669272,1.5853254407933013,1.6984698446245279,1.770007328908019,1.6322791089758892,1.6931062007639055,1.6480400869603538,1.6986849449887627,1.6187000354883216,1.6632956261168848,1.582594480567948,1.5821172750832662,1.5322969341141803,1.552207422982668,1.6820334026879604,1.6184603272788618,1.5836585281624476,1.5487360569119728,1.5461944607867018,1.5692514080363935,1.596707769375271,1.5731840951784595,1.6497109313158176,1.7132799172372712,1.5771884749875262,1.5396630360296386,1.616471501166682,1.6580562126935712,1.5757929453072077,1.5937524846626743,1.6112835153922542,1.6270998841443232,1.6476972598217234,1.6837790249807418,1.6203562213482303,1.6709211152583983,1.6264254135373897,1.6706201287699085,1.6239465760567882,1.6993221080253662,1.6268435157992713,1.6882351997175549,1.5326863284625851,1.5867248110143142,1.669434449672479,1.659620352431036,1.687599544937429,1.706245733788396,1.5845255914876828,1.6359870505099732,1.6580395119307638,1.7402000229911485,1.54314787154593,1.606628080657207,1.6078187877263583,1.667143485915493,1.6268499444660673,1.6948196808460143,1.6595806235100794,1.661640474923045,1.6216772151898733,1.662428078250863,1.6253994825749505,1.696545426875666,1.599580101475477,1.6612721370113335,1.6618180959056221,1.664810716732688,1.579384879654813,1.6568986319298173,1.586431304932924,1.6566087724462761,1.6503962951016082,1.7019492189300034,1.7011577531013884,1.7216069553902795,1.6605854009636725,1.7054401503488814,1.6247673543737378,1.6676236486754048,1.6636958735392524,1.6661494447946468,1.6415418276226668,1.6948483611276866,1.6628852240546392,1.7476761619190404,1.620941116714436,1.6807072282891315
Pangoro,Snarl,Brutal Swing,45,15\15\15,1.268692362299529,1.3274109626720998,1.2290272296321902,1.291085312258936,1.3154162524827633,1.308392442290376,1.2675299964323492,1.3055207831306448,1.2143064106340233,1.282270481773359,1.2663534548066155,1.3395839206711952,1.2364427277213548,1.3056775742215345,1.3958178844154607,1.4572532557191669,1.3642225375071693,1.4417001237661122,1.44305586422871,1.4072381048590765,1.34955238939873,1.420569201305879,1.33073633415645,1.4047470378174642,1.5268687693990919,1.3785657937368814,1.2449234650672492,1.32503450544787,1.3349640616388818,1.399490921488376,1.3045527140581927,1.309930407625174,1.2767531079941465,1.3542624315152543,1.2594935525633175,1.3235877878055657,1.3396310553548125,1.378323682363974,1.289170722719526,1.2841652719986487,1.2582266726581293,1.31975332336544,1.2270021305374081,1.2845089597496397,1.3252345624513608,1.3959771897410918,1.2633591885662507,1.2954916094975082,1.2835833394609346,1.3127568486155707,1.332255444835347,1.3928225596068902,1.35408172607097,1.4586632488167752,1.3557772210957637,1.440707825545661,1.3406619137817797,1.4230080240626695,1.3383207648376614,1.4417316126589468,1.3314195417434815,1.4165646563076113,1.2070655045867091,1.2886911502205078,1.2587839112746189,1.314429678982097,1.3344508048461765,1.4016151829709265,1.3069296302991955,1.38341769863509,1.3681582417582416,1.3569371428571428,1.2735624034009099,1.3174669813814486,1.3145506058536338,1.2840176064354556,1.364647917423266,1.456170114574825,1.3193296431129147,1.4072608319407973,1.3512401398416498,1.447212347782658,1.2862206617626988,1.376256003091054,1.347765332367502,1.307966394945048,1.212805496531351,1.2803404976789297,1.2324759601866953,1.2965708823033233,1.2456228200435127,1.2624523719077712,1.407463061294082,1.3084864405064809,1.266467174028226,1.2679994942440151,1.3107912879688386,1.384917224209143,1.2424852852579298,1.2448154213395333,1.2722087202065,1.3329165970609314,1.3204899463259856,1.3104304416365327,1.3152722608407812,1.337119331347236,1.325753824144382,1.4026631451524156,1.3381722989052833,1.3884240587189058,1.3087010315777858,1.3843238003672385,1.3396020118084409,1.419502430654847,1.347736427390753,1.4215813714634185,1.2737982894436222,1.330240689785336,1.3270135621367285,1.370594612049082,1.3091695108077361,1.3747895335608646,1.328912405286548,1.380095380652348,1.3527663278209319,1.4570147636017277,1.2738330843913368,1.357057505601195,1.3097648390342054,1.3794957243460766,1.3463418801796072,1.4168272562440076,1.3284652949753513,1.3824727474714744,1.3008486766398157,1.3804804372842348,1.3503424136356719,1.41934256581951,1.325965669407671,1.3939561828113762,1.2931272100111042,1.3510029217429653,1.3216907629700825,1.3992351894644282,1.3118718196728205,1.392173766768998,1.3165522326160086,1.395719091286116,1.3269802309591754,1.4219366858393339,1.3247395885398965,1.3972349401203592,1.31196293509682,1.3728665901081059,1.3117975076371042,1.3725549144159435,1.3324853700155983,1.4106026820765678,1.3743295019157087,1.460519740129935,1.3141288442235364,1.3822273821185405
Krookodile,Snarl,Crunch,45,15\15\15,1.5507310589277803,1.6364157441614935,1.5137316471254765,1.5936808816421641,1.4921815183186287,1.5646267290422944,1.5420826317996608,1.5998394557141873,1.5010476457305144,1.5733675284899773,1.5724721109670874,1.6465640931949657,1.4926646642743562,1.5914449514734643,1.6946509786459296,1.7631876152496755,1.6238113925196969,1.711232529356718,1.6380755631882007,1.7319820183856953,1.663064574175471,1.7274427392612015,1.611404662148014,1.7000843238715788,1.5948354393527453,1.7253605120186326,1.5220533126203313,1.685810620085772,1.6021524951632575,1.6771356555213337,1.574445848780412,1.6546969855151012,1.6644713411292302,1.6702951971640994,1.5321452663491633,1.663180828904956,1.5834414285620604,1.6726544209746277,1.4958436334044742,1.574223464201815,1.5521320450922682,1.6348510045085374,1.5104484737042176,1.588440287489944,1.6207575639374145,1.698515658744218,1.5213284067242536,1.6314561438378912,1.576674673398858,1.614722991576591,1.6164804926255036,1.7000915271773815,1.6605236208486005,1.7884438918352705,1.6607852439647175,1.7790251081047597,1.648778305523563,1.763614730770329,1.6501225296858402,1.7808096425078093,1.6769217803529102,1.7065599157229392,1.463867641722859,1.5547933363042838,1.54511511266811,1.6164209250468695,1.6303590393614569,1.7001447954431008,1.5903725631986503,1.687243891048239,1.6205843223443224,1.6820993406593405,1.5168568327626795,1.6068397597967414,1.4659507728112113,1.536616832359414,1.642062163299608,1.7416186267016112,1.606032913583194,1.7131848293148721,1.6130245898027233,1.7239890124417938,1.5715761644474218,1.6888850157387558,1.5887859158307414,1.616762393271158,1.4698742105769729,1.5586357141270628,1.5319957262554125,1.6115683517966597,1.4880742710455732,1.500834570800382,1.4811156369795513,1.5715297476963663,1.5331962574057125,1.5391659842974807,1.6486711722891156,1.7273898129739982,1.5496564317345694,1.57165246087628,1.5498583635556944,1.6295007966488655,1.5847976278693547,1.6104409368516688,1.5589415756372063,1.6252379179079774,1.6211896115329592,1.6904368878617806,1.6001402840752526,1.6790876524963052,1.5937758584003845,1.6767749206023972,1.635199919258524,1.7186495988157917,1.638365991045207,1.7263331889011921,1.5428086103964476,1.6134063117742303,1.5662538057016329,1.6417796844727373,1.6057679180887372,1.6849488054607509,1.5999698309372135,1.6607372854805584,1.6441462893928696,1.7465554333010365,1.5459484690067216,1.6295276325616133,1.5882010814889338,1.6764021629778674,1.607901956503166,1.6805232530543663,1.6261832573425603,1.7063438794639758,1.60445914844649,1.6701237054085154,1.6349261908385329,1.7037741591842945,1.6000758150113723,1.6797496160650065,1.6018396742768488,1.6545098008332086,1.597063454735077,1.6937383693585,1.5775999831784349,1.6773518650910468,1.6097299663609972,1.7116953135800195,1.612855051677485,1.720852863331904,1.613731331347342,1.698732430973469,1.5889696273710054,1.6574466400031678,1.6022014255927848,1.6897347621587548,1.625524742732117,1.7128021523612114,1.665567216391804,1.7562885224054638,1.6081945603405532,1.6830654621533698
