Attacker,Fast Move,Charged Move,Level,Arceus (Electric),Arceus (Electric),Arceus (Fire),Arceus (Fire),Arceus (Poison),Arceus (Poison),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Jirachi,Jirachi,Magearna,Magearna,Magearna (Original Color),Magearna (Original Color),Melmetal,Melmetal,Meltan,Meltan,Necrozma (Dusk Mane),Necrozma (Dusk Mane),Regieleki,Regieleki,Solgaleo,Solgaleo,Victini,Victini,Volcanion,Volcanion,Zacian (Crowned Sword),Zacian (Crowned Sword),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zeraora,Zeraora,Cobalion,Cobalion,Dialga,Dialga,Entei,Entei,Heatran,Heatran,Raikou,Raikou,Regirock,Regirock,Registeel,Registeel,Reshiram,Reshiram,Tapu Koko,Tapu Koko,Terrakion,Terrakion,Zekrom,Zekrom,Blacephalon,Blacephalon,Naganadel,Naganadel,Nihilego,Nihilego,Poipole,Poipole,Stakataka,Stakataka,Xurkitree,Xurkitree,Mega Blaziken,Mega Blaziken,Mega Houndoom,Mega Houndoom,Mega Lucario,Mega Lucario,Mega Mawile,Mega Mawile,Mega Metagross,Mega Metagross,Mega Aggron,Mega Aggron,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Gengar,Mega Gengar,Mega Manectric,Mega Manectric,Mega Steelix,Mega Steelix,Mawile,Mawile,Swalot,Swalot,Aggron,Aggron,Ampharos,Ampharos,Arcanine,Arcanine,Blaziken,Blaziken,Boldore,Boldore,Combusken,Combusken,Drapion,Drapion,Electabuzz,Electabuzz,Excadrill,Excadrill,Flaaffy,Flaaffy,Flareon,Flareon,Garbodor,Garbodor,Gengar,Gengar,Graveler (Alola),Graveler (Alola),Haunter,Haunter,Jolteon,Jolteon,Lairon,Lairon,Lampent,Lampent,Magcargo,Magcargo,Magmar,Magmar,Magneton,Magneton,Manectric,Manectric,Mareanie,Mareanie,Marowak (Alola),Marowak (Alola),Metagross,Metagross,Metang,Metang,Monferno,Monferno,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidorino,Nidorino,Ninetales,Ninetales,Nosepass,Nosepass,Raichu,Raichu,Raichu (Alola),Raichu (Alola),Seviper,Seviper,Skuntank,Skuntank,Stunfisk,Stunfisk,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Torracat,Torracat,Typhlosion,Typhlosion,Weezing (Galarian),Weezing (Galarian)
(Boss weights),,,,0.3225806451612903,0.0,0.3225806451612903,0.0,0.3225806451612903,0.0,0.3225806451612903,0.0,0.3225806451612903,0.0,0.8064516129032258,0.0,0.8064516129032258,0.0,1.6129032258064515,0.0,0.8064516129032258,0.0,0.8064516129032258,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,1.6129032258064515,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0,0.3409090909090909,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Seismitoad,Bubble or Mud Shot,Earth Power,45,1.3575760340664924,1.3325242758980234,1.329072191782427,1.327585386365204,1.3581735520553788,1.3355146245178717,1.3474226832284077,1.352492334620768,1.3558801025432476,1.3386137532224243,1.4093707035315717,1.422055541364981,1.3337937270515123,1.334655397936041,1.369599464441387,1.3842638982014934,1.4870442668257835,1.5068962898827605,1.4870442668257835,1.5068962898827605,1.3914096546212733,1.3978184022890463,1.3881258045561988,1.4547954913455543,1.4693498081321492,1.5368442511983522,1.4345656184258224,1.4018820204902598,1.4379535760773783,1.3500124530604345,1.3179514433051047,1.3199135071473542,1.3529097179379073,1.3225171063484196,1.3587630355450284,1.3237106605694628,1.3567132324408224,1.3292348475930114,1.5114051355182956,1.5372119127338617,1.3902369100140284,1.3927887208083634,1.3757224137006554,1.3711438594459853,1.2624833446423882,1.2602719144674075,1.3205981612557753,1.3277492135606566,1.367935634877009,1.3697042908149297,1.3634990497286836,1.34882081430782,1.468228002849417,1.4714124912683524,1.3247922025244738,1.317039433232788,1.3969661177114117,1.375532385282968,1.3641739544930243,1.3672886380780143,1.465738307256527,1.4393144213346782,1.2768861031228866,1.2474590088706168,1.3607278524492996,1.3832263097655808,1.3674398239383714,1.4088641577721914,1.4296708499797464,1.4884349038531088,1.3445206222019268,1.3563498278444122,1.951868757159801,1.3920309045846877,1.327417198014902,1.2918028149501801,1.3151382271017535,1.338260747445725,1.404945134953373,1.3747887119528415,1.3909388958614572,1.4226244747212051,1.3249700902757084,1.3026353998369877,1.3111181275402017,1.327434983474574,1.455641189522609,1.4508520483827119,1.432310718648378,1.4280138180404705,1.3562637411636624,1.2983081396709446,1.3545908378087468,1.3658269582834743,1.3304638910237698,1.3286349075689332,1.4061923923558561,1.4906366803161843,1.3966009234282049,1.4502492820692812,1.3791707446429609,1.420454919580811,1.44987011491057,1.5134912533258584,1.275296979515843,1.3249456884403972,1.3069765424007298,1.323753276254036,1.3241528070510142,1.367337980360222,1.3153641767015958,1.3781614891310032,1.3430006168177806,1.4129509838084866,1.4162015029687305,1.5065796962222946,1.3185461527837739,1.3220159424394804,1.4369399109128973,1.5500706541982878,1.2854265696400373,1.311823583581147,1.405205407662766,1.4396260830502925,1.3204829677692365,1.3275186543479796,1.4406725015685156,1.4844584053759642,1.3350465253672574,1.4022935799677012,1.4388921549835705,1.5046133174029777,1.375300451278955,1.458086112556498,1.3707195150108593,1.3754153000201284,1.333321893883238,1.3665761581061011,1.2955074790935117,1.334381373297125,1.3754270165615805,1.4397815433804688,1.3756372798499847,1.430448033154998,1.4233270780699372,1.49678509002621,1.329564222155026,1.3834253731757296,1.353971735823356,1.3562978774020251,1.3867827452804782,1.4680510503241717,1.3562037955362733,1.4243220703968689,1.3645777938231123,1.3898204936536875,1.3980464727483706,1.4216639559167445,1.4006244290648802,1.4871411252619202,1.3775534488555456,1.3580306211025277,1.3895535253987703,1.4539519366047142,1.4341369200774017,1.5164927057380126,1.407987023385015,1.4375363401133083,1.366059089508931,1.4533007297771119,1.3452984750909274,1.411317115227823,1.3210116318948568,1.3975088079336853,1.3127029299314803,1.3604552437684436,1.3547770731230981,1.4028450029803046,1.2788847412780002,1.324539729760033,1.3889466107944697,1.3258259851632737,1.375333504809495,1.4321581411693827
Seismitoad (Unscaled),Bubble or Mud Shot,Earth Power,45,3.5768778,3.5108726,3.5048475,3.5009267,3.5779557,3.5182633,3.5022907,3.515468,3.5694985,3.524043,2.9364839,2.9629133,6.8611355,6.865568,3.2324636,3.2670739,3.309591,3.353774,3.309591,3.353774,2.851232,2.8643646,1.5474063,1.621726,3.2397738,3.3885925,2.0273957,1.9812057,3.1228833,2.9318967,3.155726,3.160424,3.366368,3.2907438,3.735504,3.6391382,4.3563275,4.268096,2.7072582,2.7534838,3.388191,3.3944101,3.2507348,3.239916,2.529271,2.5248406,2.0062382,2.017102,2.901918,2.90567,4.259431,4.2135777,4.1425896,4.1515746,3.292257,3.2729905,2.845013,2.8013618,2.948886,2.9556189,3.3156648,3.255891,2.4180267,2.3623009,2.4600441,2.5007188,1.9612786,2.0206923,2.002221,2.0845187,2.7134771,2.7373505,3.4027457,2.4267652,1.6461302,1.6019648,1.774589,1.8057895,1.755034,1.7173631,1.9350269,1.9791068,2.654616,2.6098678,2.7954857,2.8302755,1.8215495,1.8155565,1.9794812,1.9735428,1.9588406,1.8751358,1.6469748,1.6606362,2.7851975,2.7813687,0.8606751,0.91236013,0.93649864,0.97247285,0.92159444,0.9491815,1.0220581,1.0669066,0.94963574,0.9866061,0.8486461,0.85953957,0.8304568,0.85754085,0.6833978,0.71602416,1.1506623,1.2105947,0.93139565,0.99083483,0.7885916,0.7906668,0.67737573,0.73070574,1.0350364,1.0562915,0.97816503,1.0021253,0.9361564,0.94114435,0.6206724,0.6395363,0.67837906,0.7125494,1.0733372,1.1223617,0.7187339,0.7619978,0.7129936,0.71543616,0.67524034,0.69208145,0.8901371,0.91684717,0.6344515,0.6641367,0.7779083,0.8089032,0.69123834,0.7269132,1.0664773,1.1096807,1.361398,1.3637369,1.0488064,1.1102686,0.6332559,0.66506255,0.910928,0.92777884,1.0168705,1.0340487,0.68901503,0.73157555,1.1443539,1.128136,1.1935092,1.248822,0.9010024,0.95274276,0.9619342,0.98212224,0.7184296,0.7643112,0.79828155,0.8374561,0.9562146,1.0115871,0.9564855,0.99127966,1.0097512,1.0455775,0.62026864,0.64241165,1.0889722,1.0394839,1.1373143,1.1843047
Shadow Nidoqueen,Poison Jab or Bite,Earth Power or Earthquake,40,1.4800046547054198,1.4033754660588322,1.4782615950098734,1.4119577637745746,1.5641589125245308,1.4482852315169858,1.5822197981057395,1.4713690097807766,1.5697774483028473,1.4409138958605394,1.5345370428231226,1.5443368904480284,1.5042838602249102,1.4664564209148254,1.3320696438047965,1.3166472081782852,1.6022145769015963,1.680565928459389,1.6022145769015963,1.680565928459389,1.5268218382690848,1.5459428678343048,1.5241066791059836,1.5956956075156201,1.358033165177788,1.417898293031485,1.3925173453389716,1.3599911154956554,1.3960979397632873,1.3292713041842237,1.33654135087135,1.2738979730978413,1.6487122298229004,1.392483426758698,1.47757212239541,1.4965764882558694,1.5144013812768962,1.5628283849412414,1.4737107581572644,1.5247624048734623,1.60125632910912,1.6548383241105395,1.5793794592161516,1.439915278040693,1.3932693936646199,1.3517618016567159,1.539500549306242,1.5606056257647996,1.3673036420689146,1.3794006453048668,1.472935970078146,1.4802067916893427,1.5539187052738423,1.560347402345279,1.6215321482492542,1.3220735322995503,1.1696730598647576,1.1569676006001282,1.852380818445344,1.5261582719462163,1.45263131045124,1.4448224588663234,1.5222959911816618,1.2293436381515837,1.4821913233139834,1.4774193473446704,1.5813586070410008,1.6416308499686774,1.4929000256983889,1.5931294546878996,1.5579038164392534,1.5998356732698622,1.333676508556541,1.3012093943815821,1.5268469859812122,1.3408153099898952,1.5184140132085282,1.3695722883999066,1.5450474722164471,1.5580467654346644,1.4788575195195972,1.5316494221394141,1.518472655000252,1.247591924050014,1.3815931862218906,1.4035905825451225,1.4197985476108395,1.422018589826883,1.667282890529612,1.456148661878408,1.2570456330223574,1.250955797159549,1.4055565557730265,1.4031244234984561,1.4981898614567009,1.4336355063546524,1.516865484093326,1.5948326693741322,1.5251994372130038,1.5772538789286172,1.6655269284113878,1.7263378605604471,1.3889468725157137,1.4407458150502148,1.3548417897587677,1.3593724421326903,1.4330190810211672,1.3603238846444403,1.5218114619240026,1.544804973078278,1.3567100322498151,1.4147972902563843,1.5078450752805281,1.58188059954016,1.4327165058189366,1.5018298643532937,1.5568764937467878,1.4925556358499898,1.4030427603370095,1.468821582414331,1.540286522062298,1.3749540646925609,1.492510067862269,1.5532321382626746,1.2452559983073561,1.2258951971225054,1.6797679223381015,1.7713198024331664,1.3387120732944273,1.313526973534798,1.436747632479061,1.491706903442757,1.6487562977494683,1.7316023109545238,1.2864973111163274,1.333271044818701,1.6285954198232113,1.729332277060059,1.393477382249595,1.4068494428647673,1.6321157124101098,1.7145398106756122,1.3850381634032396,1.4140829164967548,1.5036383839478697,1.5594784289778594,1.2719557769922398,1.3094157528601045,1.3460983199348213,1.2827517631295868,1.3384154220936046,1.3465863892546888,1.3921858546210195,1.4671863846759932,1.6102737909948726,1.5592376934865098,1.5324500825598644,1.5308010850332234,1.4966010290238423,1.5710480617549283,1.3741455399790083,1.3880285253168143,1.5265179721965698,1.6226849296950712,1.417762239832577,1.4725088145067418,1.3199857669414237,1.3237764677951436,1.4977001943283503,1.5949173058713022,1.4845188512978564,1.5670084676724871,1.4819128680276066,1.5560740636616484,1.4464624555780905,1.5118017419344745,1.5248390617985035,1.595848616457277,1.325408273101614,1.3980736502485962,1.3966918758196463,1.318371016114998,1.3885109278565442,1.4171482933828945
