Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Victini,Victini,Volcanion,Volcanion,Entei,Entei,Reshiram,Reshiram,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Flareon,Flareon,Lampent,Lampent,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Xurkitree,Spark or Thunder Shock,Discharge,35,2.015650176795057,1.9641431023622575,2.176719674300606,2.0151001872518686,1.1532347581609401,1.045948174617526,2.221589165969486,2.053668984069821,3.3608121529832355,2.9471506785546726,2.2308703215875005,1.95636726314293,3.423877781932243,3.0161860449677986,2.2648394305331654,2.0458492912791475,1.9845393605848631,1.960484202715209,2.191226443801761,1.9985140258360525,2.0431665892687887,2.025616669790935,2.0770761178453347,2.051954333637759,1.9427131090506957,1.9916648111024144,1.9480459412686824,1.9632044397047455,1.9895219389369314,2.018273612067852,2.160388124916842,2.025492314172488
Unscaled: Xurkitree,Spark or Thunder Shock,Discharge,35,3.79296,3.6960363,3.6847515,3.411162,2.455948,2.2274687,2.9921527,2.765989,5.8796844,5.1559906,2.829285,2.4811485,3.507191,3.0895789,2.09553,1.8929106,1.0577183,1.0448974,1.2399962,1.1309419,0.75903696,0.75251716,0.99432874,0.98230255,1.131596,1.1601095,1.1624535,1.171499,0.6835994,0.69347847,1.1755631,1.1021603
Golem (Alola),Rock Throw,Stone Edge,30,2.0040212459102675,1.9182200170468517,2.0085334937933017,1.9430100492662987,1.9932901540450916,1.6349868030242247,1.953719279113287,1.9339574254758727,2.0090315814407362,1.904371130857387,1.9895663503523418,1.903519334272533,1.9608047383028762,1.9105712693040253,2.0258689487880175,2.02124714291705,1.8496060400100005,1.9169374792733491,1.8704249613971866,1.9109929926484124,1.9378522406497245,1.9388558738098394,1.907737078131567,1.9895266208162006,1.9563310335781876,1.9904682082185157,1.9181507446349464,1.9472923315459807,1.8588233876599998,1.9396261051700754,2.003634880741215,1.9778558779618058
Unscaled: Golem (Alola),Rock Throw,Stone Edge,30,3.7710772,3.6096203,3.4000459,3.2891278,4.244944,3.4818952,2.6313715,2.6047552,3.514767,3.3316653,2.523253,2.4141245,2.008517,1.9570612,1.8744239,1.8701476,0.98580164,1.0216879,1.0584574,1.0814145,0.71991265,0.7202855,0.9132635,0.95241743,1.1395282,1.1594125,1.1446142,1.1620038,0.6386914,0.6664552,1.0902667,1.0762392
Swampert,Water Gun,Earthquake,35,1.9893103518093298,1.882625162009658,1.8470948904661049,1.8242999380553004,1.8155255356515563,1.7386108495486534,1.908354100271121,1.9043654672182344,2.1981021023808633,2.0820046742946716,2.0502538670240327,1.975507763616538,2.202758380331396,2.1991602340254586,2.0070599724786233,1.9908386367969373,1.8152998264003712,1.900321447786194,1.9391632387415676,1.9440323708754008,2.0184881152714067,2.0405949626740525,1.9215128982636036,2.0048059850149023,1.872275088873945,1.9508555023903733,1.9170380097986692,1.9220419649509644,1.8796970883251019,2.007182599595582,2.084337172265303,2.0127666479706487
Unscaled: Swampert,Water Gun,Earthquake,35,3.7433949,3.5426395,3.1267626,3.0881753,3.8663735,3.7025747,2.5702713,2.5648992,3.8455427,3.6424322,2.6002195,2.5054233,2.2563581,2.2526724,1.857021,1.8420123,0.96751714,1.0128319,1.0973558,1.1001112,0.7498689,0.7580816,0.9198582,0.9597319,1.0905671,1.1363388,1.1439502,1.1469362,0.6458636,0.6896676,1.1341804,1.0952357
Golem (Alola),Rock Throw,Stone Edge,35,1.956571819574184,1.8865265198430976,1.8430743923588857,1.8167773137077845,1.9707234639923699,1.5919961089711587,1.9061535621869183,1.890300971361079,1.852724335963901,1.7702583825897844,1.9277540489687026,1.8638922975862584,1.8159409098408428,1.7835690151542516,1.8799671740785462,1.8678001185416524,1.7330200753594065,1.7977442836658275,1.7652465649769546,1.7923223431209592,1.8948433901584139,1.9301846555808784,1.8108641122202827,1.8823424596984097,1.8208141260258037,1.8719816894006909,1.7651577485131122,1.829063249708238,1.7674281154330025,1.8393211370331586,1.8796304804386486,1.854378727411327
