Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
(Boss weights),,,,5.555555555555555,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,5.555555555555555,0.0,5.555555555555555,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,15.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Salamence,Dragon Tail,Outrage or Draco Meteor,50,1.0441012378882546,1.0269743661495112,1.0433998509079259,1.04333078766902,1.0770383366465515,1.069018792196369,1.0617829980063072,1.09952835426587,1.1143251739648032,1.0642668513910158,1.0825140148255097,1.1034052924115205,1.0825140148255097,1.1034052924115205,1.0432815416605261,1.03914695779906,1.0472674411278402,1.0404726073838972,1.0453381184412958,1.0500843551965686,1.0435818778548744,1.0520168751763759,1.0361418761909142,1.0342808362021418,1.0675261550353965,1.058077848284675,1.1280678860818667,1.097693588056293,1.0817985174920555,1.0544325643002541,1.0789203645896008,1.081547362030894
Shadow Flygon,Dragon Tail,Dragon Claw,50,1.2969651752759455,1.206729379525803,1.2360921261346085,1.219656687862742,1.2478468797973867,1.2569366526827634,1.2933197677062955,1.2818703894131447,1.2738746809506083,1.2525049832902313,1.2776946094040391,1.28633358104597,1.2776946094040391,1.28633358104597,1.2322879296050382,1.2085860333051126,1.2356804266730728,1.2040626725675785,1.3010100018006516,1.256052800402847,1.35940848996433,1.2022509040726643,1.2432697825261685,1.2130192340225683,1.1663103072122674,1.1951970067627244,1.4095648550214983,1.2728679868356758,1.3274166460241255,1.2596133172553678,1.2965305607211703,1.2909031584574682
Garchomp,Dragon Tail,Outrage,40,1.1640124774779506,1.1361113418034468,1.1435033456746337,1.137893375478591,1.187244227807923,1.1857024612141234,1.1962407540946394,1.2279313341691949,1.2322046903869834,1.1922693779785716,1.1919231165729722,1.223538139133359,1.1919231165729722,1.223538139133359,1.1625746163004458,1.1545960076973272,1.1609149130292917,1.149722100008964,1.1734350636477042,1.1730104424795775,1.129893746537574,1.1268291580166867,1.1489202836192447,1.143011593039485,1.1111041897416927,1.12531057368499,1.2010086797361124,1.191895248686117,1.1792844982287791,1.175955911165808,1.1934985386281813,1.2089357215495968
