Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
(Boss weights),,,,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,7.142857142857143,0.0,17.5,0.0,17.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Manectric,Thunder Fang,Wild Charge,35,1.4269428278698217,1.2209502236462315,1.3808833067956239,1.2890152968004454,1.242919498436783,1.2327046964137356,1.4685244412233167,1.4318207327172707,1.3236816532926723,1.270571638046899,1.3284792967016918,1.2462583702062202,1.3134047736633923,1.2347681961448076,1.3708950011391163,1.2673131679051417,1.442454488349472,1.273790948297869,1.2495552973580004,1.2529308284206426,1.313491891907218,1.2260680617529576,1.2408022468079898,1.255620834902591,1.2790519849800486,1.2447565192524095,1.1783424089741008,1.2257332267849947,1.2059464091767962,1.2275168990125918,1.2514080983157843,1.2381301696137301,1.2188163833945762,1.2128916579472204,1.2332932710244395,1.2326819549397432,1.2239575507737803,1.210616141823835,1.22862967357745,1.221571457289134,1.198018840237486,1.2111734225591713,1.2858738857701895,1.2417164766810989
Vikavolt,Spark,Discharge,40,1.3082929913484032,1.2780507025165435,1.3336583948710432,1.3011464979633511,1.34739621174087,1.3359041133011753,1.3875123614183045,1.4148972029436242,1.3182997785175097,1.3228766629904571,1.3012765367411991,1.302568720977039,1.2994119293942128,1.300435469654111,1.3324620886441552,1.3043066596294735,1.370601138849444,1.3275631606217788,1.4134037936066643,1.3792999363235925,1.3253274155001031,1.3131959419997528,1.3231233684523611,1.3053075598704895,1.3294054016062526,1.3828218235254766,1.3048162422570801,1.3849572670120012,1.3198966469780151,1.3438067040602264,1.3269400922954504,1.3894559667806734,1.311009450257457,1.354820521021693,1.3919603445863218,1.3574828095062081,1.340841962014821,1.282928422249487,1.32050395296162,1.3655559992203448,1.3371064981918697,1.3794954889299151,1.3384080148911148,1.3681844442008515
Glaceon,Frost Breath or Ice Shard,Avalanche,45,1.2662666039529864,1.2455739183580863,1.2369341828581153,1.2432811264535326,1.2583951818070385,1.2518825527893924,1.4089937362449105,1.4185664997314544,1.2583954387775698,1.2730233280608279,1.2699666063834902,1.260677320841344,1.2969593863356126,1.261645220611712,1.3153781117906325,1.2749687384702928,1.2883330681705514,1.279676985616319,1.295824916135345,1.310408356781898,1.3018827857364377,1.2657632312052562,1.281585234413717,1.2742430107951614,1.2964280643182755,1.3379866313424589,1.2444157012553487,1.32660448367552,1.25533175625747,1.2983818209770928,1.2957271241480017,1.3465778499788892,1.2478100689166336,1.3185749144429286,1.3255064472056701,1.3340208161075136,1.274789496761047,1.2556168259760458,1.2598711002730625,1.3246535086620541,1.2756544474105547,1.3133574466757736,1.278338415537244,1.3245435700106318
Mamoswine,Powder Snow,Avalanche,40,1.2336096527793525,1.2378435776360048,1.217418032406665,1.252285057144652,1.2272556748508756,1.264209916764627,1.352015601119818,1.3933093765620528,1.2415456673566994,1.2648988762950113,1.2763203144052413,1.2701792822794908,1.2802310303557176,1.251478838820145,1.2909174912778234,1.2633017533926283,1.2343318441396225,1.2684478358928954,1.247405492045059,1.3009558075308927,1.2306527878858784,1.2572615743358069,1.236470086950294,1.2670844555024712,1.2808098429703922,1.366440378555813,1.227043198077507,1.3033227316657763,1.2247019673773427,1.255856932438665,1.2889202538775086,1.3548771191756566,1.2209963334362632,1.29772389591963,1.3061682474228586,1.3164206442944948,1.210092159845876,1.2350696055994141,1.2086806291743781,1.301557843874666,1.2559526063188005,1.2961125317633901,1.227685043051249,1.3005823311606954
Mewtwo,Psycho Cut or Confusion,Ice Beam or Thunderbolt,45,1.239223605698034,1.2379546570543412,1.3626082040089391,1.3698809235706015,1.502947498735478,1.521550602250638,1.1630884364790623,1.162797007446298,1.328747421333522,1.3596310564405996,1.3454351669533917,1.3466424558727212,1.2615593194137484,1.277678426561028,1.4490471050292075,1.4641073529588449,1.2764032957922125,1.3072695611901823,1.3245007454970037,1.348426699676046,1.2510816233075792,1.3190150922913513,1.3691282598559185,1.4500260233263529,1.3627625276569975,1.4002219774424558,1.3073047716288004,1.370731884913925,1.2792997386418303,1.3557873228889252,1.1578145763911234,1.2008917561369379,1.3177111386422842,1.3620011427052165,1.3256026053982248,1.3858270696774893,1.2462881344446404,1.3098214697029555,1.3105623415561696,1.381447659537547,1.3154868814886542,1.4052027214779532,1.3942907512147196,1.5059297659990623
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam or Thunderbolt,50,1.0161965107625262,1.0239119996403734,1.115331126731854,1.1543420631661983,1.1781209742525935,1.2049231118936459,0.9421075987733487,0.9624702775503515,1.1231755171178746,1.1476888349052337,1.0786243157815707,1.0718424427945914,1.0362609668399165,1.0565479756802438,1.1771333071497398,1.2096727112862853,1.0418100769103826,1.0788673168260443,1.084413029591992,1.1102240218997135,1.03497571382605,1.0679207263068673,1.1368502364322992,1.1712270181986715,1.114318719029677,1.1187939789349246,1.0500779579704251,1.1109361451985404,1.050247819122293,1.1048089704868602,0.923204962633745,0.974306767478621,1.0718634130357019,1.123208468310998,1.1018775070934508,1.1346871322560126,1.0226736394108116,1.06233151971158,1.0580111400256993,1.1278503086542333,1.068071525596303,1.1406464279471944,1.1369692095874595,1.2042813565070205
Calyrex (Ice Rider),Confusion,Avalanche,45,1.1527675726601063,1.1858525752014957,1.2911624523971277,1.3477094824576772,1.4306313029437887,1.5000291650209485,1.1111802356696605,1.1249923845965792,1.3095657895707848,1.3649013409531392,1.176995107141578,1.223804996833305,1.1733606114521677,1.216654981808603,1.4069368698444704,1.4704077730865035,1.205089824304129,1.238071627549392,1.2239243908300361,1.2486679965822784,1.2032857050095354,1.2622044471678642,1.3073929269599796,1.3817358831588606,1.2683956093036688,1.312635246574499,1.2180087650417275,1.2790710414976805,1.1919372740392482,1.2714410208342632,1.0740967037371365,1.139198630053066,1.2097631389553398,1.2845161876129398,1.2329650441395517,1.2926143976454867,1.15588869168031,1.2359903395307703,1.2167749130678391,1.3000835257521441,1.2386375499674398,1.3211325263955944,1.366065367450285,1.447846086522103
Calyrex (Ice Rider),Confusion,Glaciate,45,1.1007124774454193,1.1225047299366726,1.2591269884395957,1.3160603813955238,1.4410587137427364,1.4675652561473147,1.033209006589196,1.0425045425396584,1.3023966435941707,1.324020221373587,1.1487194029121095,1.175301764403494,1.1315970815137402,1.1788430735593003,1.459851249888669,1.5136491710963589,1.1895731076847469,1.1903987356511525,1.1921688641407624,1.1982165194279184,1.1588442593160797,1.2025045937515089,1.353792154430414,1.3968553653698232,1.2104096461535998,1.2693668672821223,1.1826479542880814,1.25105783591448,1.1457578345458963,1.1987634138237147,0.993043902991232,1.0574245761348016,1.1583355365913346,1.2113285388930246,1.155992552173822,1.221950670371403,1.0951642133068793,1.1452347629065431,1.1629075393753348,1.2507394045414302,1.1264465159055468,1.201697536432612,1.3269139906519982,1.3786050361666118
Shadow Zapdos,Thunder Shock or Charge Beam,Thunderbolt,50,0.9587456432932674,0.9264293120948425,0.9685496998239154,0.9788009867945848,0.9591552570067671,0.9717952643708176,1.033269691135945,1.0566777555692093,0.9897200112543169,0.9870303814251901,0.9458750472222385,0.947452112133585,0.9658556342356975,0.9714678088175831,0.9534488761953175,0.9595819401794575,0.9646020038400842,0.9638864760722705,0.9646359431173459,0.9801657109860744,0.972053265444483,0.9772924343628092,0.9789148838014812,1.0022773882999565,1.0043609121208832,1.0283018006776412,0.9864419011435146,1.0310100509726081,0.9412852672350092,1.015630587336775,1.018601119503087,1.0833002407396926,0.9647445232026355,1.0284935452303114,0.9963837944680274,1.0314304061029091,0.970194940153764,0.9840723193582845,0.9611203510159041,1.01517043347238,0.996390333847811,1.0428097652788368,0.9844317234762116,1.0311087465391093
Shadow Ampharos,Volt Switch,Zap Cannon or Thunder Punch,30,1.6232782855915058,1.5286525889748133,1.6262244345373862,1.5706905998193825,1.572180327183631,1.5007750099447557,1.7487040388400195,1.7251182170176056,1.5833840415249043,1.5470123865549745,1.7340322881019468,1.5573817634232594,1.6080494919724302,1.5074775132652662,1.7380643397788857,1.5614686367423505,1.9003663199128027,1.6107459770194452,1.5401525147170267,1.547231278845543,1.5844358207824423,1.5371111012898901,1.5626057072767932,1.524695978784358,1.6004234333105851,1.6037290462275098,1.4377960120192814,1.5009857724681341,1.5224398851412673,1.544057449203775,1.5461632097402946,1.5638645151256643,1.488827893150533,1.53430818757951,1.4585929326972673,1.5293539644491525,1.5621563243351215,1.5205202681837482,1.5101814958991726,1.552449375878716,1.4515178051696562,1.528740565760353,1.494243603651642,1.5507305046716617
Electivire,Thunder Shock,Wild Charge,40,1.195908422998028,1.1681150971958172,1.200235009154118,1.200260826762522,1.2044133110846336,1.210510538153342,1.292652628944667,1.3058541135142336,1.1798879096410477,1.1946230903646124,1.2301110059401092,1.210572330090745,1.215034408788198,1.2103873039028905,1.2360174562554338,1.224152543066004,1.2254312683246424,1.1834176254524649,1.2038356567438766,1.1962013024300657,1.219104922393883,1.2206846516665633,1.1999611314973504,1.2030426799676555,1.2431164224131277,1.2677445613238092,1.2172512609080481,1.2679383197000311,1.1993698838022406,1.2261342299852707,1.2227351229717773,1.2777448041997113,1.1657757437094844,1.2316119656540734,1.219173524011756,1.2860628367618436,1.20150328825325,1.2015083456161126,1.2187971436270217,1.2771823012169585,1.2061055060115782,1.2720278386431763,1.206408835089553,1.2699827468661258
Mamoswine,Powder Snow,Avalanche,30,1.354002503508196,1.335672675607919,1.352426152760191,1.3777838684478871,1.3489063586790357,1.3710733244319748,1.6625224352320753,1.5653627763377047,1.400129939069209,1.4277971236723177,1.4141829316528314,1.421420163612905,1.4891571254516198,1.4048214171287767,1.487201034212458,1.396186648973281,1.4483339377727185,1.4027163868293482,1.419724433681833,1.4504504549646253,1.3563860831966903,1.3704280845433918,1.3805043178705265,1.3937953174908604,1.389028461970324,1.4763761020164283,1.3725138111010762,1.4366101724691516,1.3607776273439167,1.408817937006234,1.383920427139129,1.4688294452448554,1.344938445309768,1.4284495468136973,1.4251238907257089,1.4538836252287433,1.3756164135499414,1.3781301555559098,1.3606051737085127,1.4326451420334945,1.4061031992473527,1.4206616723492347,1.3660264271110387,1.4149118408309047
Shadow Electivire,Thunder Shock,Wild Charge,35,1.128928108366128,1.0404420580713298,1.1236725998570225,1.0791217984111303,1.077046142256734,1.0607306377840595,1.1897640982225632,1.1847991833781386,1.086226530310889,1.0957206226901444,1.1740274594463889,1.0495027216200679,1.1288693436670938,1.0623502212386187,1.158809360595181,1.0480627440575174,1.232251139788219,1.0583456938717093,1.0620410042392814,1.0647863853947928,1.0674922888259433,1.040785978861696,1.0972034123759762,1.0725488174731843,1.1289937909566832,1.1116736184275462,1.045995872908513,1.0938782709118644,1.0788249495385318,1.0854682675474487,1.083634831102994,1.1372967173274624,1.0696850822471786,1.0761062045515466,1.0812031712738321,1.0923039922519768,1.0699126658334386,1.0449343139180316,1.0457038465228052,1.076230232900592,1.0402127538030306,1.1063997962736964,1.0877424457145286,1.1149794259905825
Aurorus,Rock Throw,Weather Ball Ice,30,1.5805733987645478,1.577311297263066,1.5555498183092433,1.5806886409679852,1.5945071134941997,1.6376417567956612,2.1023172486664765,2.080988868115056,1.5673317374671956,1.5992183594676654,1.5762258355452692,1.5863394433580387,1.7018183956499233,1.6042189759799816,1.7016224408174359,1.6221622853708226,1.64277335894707,1.6337496718404703,1.6054578117242757,1.6517799429938813,1.6512948166993953,1.6448558250180223,1.6064495989797225,1.6398304467172153,1.6972278057919505,1.774197414700548,1.653800500179263,1.7635847397937472,1.638383150085053,1.6954438972619386,1.661230160510918,1.7696177066911531,1.6139287808930218,1.7132020583319412,1.6591620308800592,1.7291212685441377,1.5767663476560545,1.5872108428292364,1.6499456807654307,1.7417870417158279,1.6219660709559194,1.7082131451132274,1.6355635774858297,1.7119798484773576
Shadow Magneton,Spark or Thunder Shock,Discharge,35,1.337893600945886,1.2943320367584914,1.3120437022662506,1.2874465192482993,1.2929342218410784,1.300354817605904,1.561606540135309,1.5381155341878059,1.3021586321319343,1.3107720391126916,1.351053261433627,1.3011535698136762,1.5017502854951579,1.3091832878358685,1.403541181541142,1.3215344713889527,1.5364999863301176,1.3329873041377582,1.2938790476959743,1.2811259279628822,1.412411166191822,1.308583241322579,1.343931564645219,1.2966674235635902,1.4045513417802264,1.387329019096416,1.2591789182230715,1.3155319553708245,1.5548902742029072,1.3740294883430288,1.382636656250674,1.3870926933131762,1.3064955644215954,1.3291339424453006,1.2809517022444048,1.3482052092824879,1.3307157255845032,1.3054943018704872,1.3132227925707907,1.3357302943076006,1.3009610340349724,1.3445101246573905,1.3524809524481385,1.3555039652717291
